Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,291.30,291.30,291.30,291.30,000,291.30
2012-12-24,291.25,304.20,290.30,291.30,31100,291.30
2012-12-21,302.00,307.50,291.30,294.35,67200,294.35
2012-12-20,300.00,310.70,292.10,302.55,161600,302.55
2012-12-19,283.50,319.20,283.50,296.50,478100,296.50
2012-12-18,283.70,290.00,280.05,281.75,119200,281.75
2012-12-17,281.15,292.00,280.00,286.15,43100,286.15
2012-12-14,280.45,289.70,280.45,282.80,21400,282.80
2012-12-13,285.60,289.95,280.00,281.65,14000,281.65
2012-12-12,287.95,292.70,282.35,289.10,192600,289.10
2012-12-11,294.90,294.90,277.05,281.85,103800,281.85
2012-12-10,296.80,298.95,291.70,293.20,15200,293.20
2012-12-07,294.95,308.40,290.50,297.05,140200,297.05
2012-12-06,289.95,290.80,282.60,288.65,24200,288.65
2012-12-05,290.50,292.50,285.10,286.90,26500,286.90
2012-12-04,294.00,294.05,285.00,286.90,17900,286.90
2012-12-03,290.00,295.90,287.50,289.65,54600,289.65
2012-11-30,294.00,297.05,284.10,285.55,26300,285.55
2012-11-29,289.95,299.95,287.00,292.25,292500,292.25
2012-11-28,285.05,285.05,285.05,285.05,000,285.05
2012-11-27,275.05,287.00,274.95,285.05,28100,285.05
2012-11-26,274.00,278.60,272.30,275.15,41000,275.15
2012-11-23,273.55,280.45,273.55,275.30,9200,275.30
2012-11-22,278.40,285.80,275.40,277.25,10000,277.25
2012-11-21,277.05,284.90,276.15,281.60,15300,281.60
2012-11-20,290.00,290.00,275.50,276.70,28200,276.70
2012-11-19,278.70,288.00,276.00,283.20,36100,283.20
2012-11-16,299.70,299.70,278.10,283.70,89900,283.70
2012-11-15,283.00,299.00,274.50,294.95,677600,294.95
2012-11-14,280.25,280.25,280.25,280.25,000,280.25
2012-11-13,280.25,280.25,280.25,280.25,000,280.25
2012-11-12,279.00,286.00,271.00,280.25,28800,280.25
2012-11-09,279.00,279.00,272.00,273.85,14700,273.85
2012-11-08,272.55,281.70,272.20,275.50,29900,275.50
2012-11-07,270.00,283.70,268.00,279.30,119900,279.30
2012-11-06,270.80,270.80,265.80,269.45,29400,269.45
2012-11-05,271.80,271.90,265.20,268.80,7200,268.80
2012-11-02,272.15,272.15,267.00,269.35,19700,269.35
2012-11-01,269.05,271.20,265.05,267.75,16700,267.75
2012-10-31,265.95,274.20,262.55,273.05,83100,273.05
2012-10-30,260.40,267.95,255.90,263.25,18800,263.25
2012-10-29,273.00,273.50,263.25,263.85,21500,263.85
2012-10-26,271.75,271.75,271.75,271.75,000,271.75
2012-10-25,279.00,283.00,266.80,271.75,51000,271.75
2012-10-24,278.95,278.95,278.95,278.95,000,278.95
2012-10-23,277.00,282.50,272.30,278.95,569500,278.95
2012-10-22,273.50,284.75,264.40,275.90,145500,275.90
2012-10-19,274.00,275.50,267.30,268.80,14700,268.80
2012-10-18,274.00,275.00,269.50,274.05,24000,274.05
2012-10-17,271.00,274.00,264.25,270.30,29900,270.30
2012-10-16,268.20,273.40,265.30,268.70,50700,268.70
2012-10-15,264.00,271.75,261.05,267.85,47400,267.85
2012-10-12,261.55,276.00,261.55,264.00,63500,264.00
2012-10-11,261.00,266.50,258.05,265.15,21900,265.15
2012-10-10,267.00,272.00,258.10,259.10,22400,259.10
2012-10-09,267.40,274.90,266.00,270.20,66800,270.20
2012-10-08,278.60,280.50,265.10,268.80,68300,268.80
2012-10-05,278.95,281.70,263.20,269.65,93500,269.65
2012-10-04,258.00,284.00,258.00,277.35,383100,277.35
2012-10-03,261.20,267.40,255.40,258.55,30800,258.55
