Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,452.80,452.80,452.80,452.80,000,452.80
2012-12-24,451.25,457.00,451.25,452.80,34100,452.80
2012-12-21,450.90,459.70,450.05,455.95,133300,455.95
2012-12-20,457.85,458.95,452.00,455.20,102000,455.20
2012-12-19,451.25,459.95,451.10,457.15,172200,457.15
2012-12-18,447.25,452.40,445.00,450.00,70500,450.00
2012-12-17,450.00,453.95,446.00,447.00,107000,447.00
2012-12-14,435.15,464.90,432.60,449.30,281100,449.30
2012-12-13,441.95,443.75,433.40,438.00,149300,438.00
2012-12-12,445.05,447.80,438.00,440.25,84100,440.25
2012-12-11,449.65,453.00,444.65,445.15,86700,445.15
2012-12-10,455.00,455.00,447.00,449.40,74300,449.40
2012-12-07,452.10,454.35,449.00,449.95,212500,449.95
2012-12-06,452.15,453.50,449.15,451.10,333200,451.10
2012-12-05,451.10,457.15,448.25,449.45,66300,449.45
2012-12-04,456.15,459.50,453.20,454.85,44500,454.85
2012-12-03,457.00,459.90,454.05,458.45,84200,458.45
2012-11-30,455.00,456.30,451.00,454.85,211000,454.85
2012-11-29,460.35,460.35,450.15,451.05,97400,451.05
2012-11-28,458.70,458.70,458.70,458.70,000,458.70
2012-11-27,459.70,463.10,451.00,458.70,121000,458.70
2012-11-26,480.00,485.00,452.60,453.85,35900,453.85
2012-11-23,456.00,462.80,454.00,459.15,61700,459.15
2012-11-22,462.10,467.15,450.00,454.55,129800,454.55
2012-11-21,460.15,463.05,458.00,461.05,30400,461.05
2012-11-20,465.00,465.00,456.20,462.40,18400,462.40
2012-11-19,463.95,469.00,456.00,457.35,42700,457.35
2012-11-16,466.15,472.00,464.40,465.55,28800,465.55
2012-11-15,472.00,475.00,457.30,465.75,103500,465.75
2012-11-14,471.00,471.00,471.00,471.00,000,471.00
2012-11-13,471.00,471.00,471.00,471.00,000,471.00
2012-11-12,474.00,474.45,461.25,471.00,30900,471.00
2012-11-09,474.95,475.00,468.00,469.85,54000,469.85
2012-11-08,462.10,475.40,462.10,473.70,43400,473.70
2012-11-07,468.00,474.50,466.25,467.95,109800,467.95
2012-11-06,477.00,481.00,472.70,474.80,212400,474.80
2012-11-05,479.00,482.00,474.00,475.10,50600,475.10
2012-11-02,480.20,484.00,476.50,478.10,168300,478.10
2012-11-01,481.55,486.00,476.00,476.95,65000,476.95
2012-10-31,484.80,488.00,481.00,483.25,39400,483.25
2012-10-30,485.40,489.90,481.50,482.15,20300,482.15
2012-10-29,486.10,491.00,484.15,489.30,88500,489.30
2012-10-26,490.90,490.90,490.90,490.90,000,490.90
2012-10-25,492.95,492.95,488.30,490.90,57100,490.90
2012-10-24,491.90,491.90,491.90,491.90,000,491.90
2012-10-23,485.00,492.80,485.00,491.90,183300,491.90
2012-10-22,488.60,490.90,483.50,489.10,26000,489.10
2012-10-19,476.50,493.00,476.50,488.80,125500,488.80
2012-10-18,481.75,483.55,477.10,477.95,95000,477.95
2012-10-17,485.00,485.00,479.50,480.50,65600,480.50
2012-10-16,488.35,491.00,484.00,484.95,39700,484.95
2012-10-15,489.05,491.00,482.50,488.30,140300,488.30
2012-10-12,490.00,493.00,488.05,490.40,56700,490.40
2012-10-11,484.00,494.00,481.00,492.50,195600,492.50
2012-10-10,485.15,487.10,481.80,484.80,111500,484.80
2012-10-09,484.15,493.00,481.00,490.70,69000,490.70
2012-10-08,489.95,492.00,481.65,483.00,33900,483.00
2012-10-05,482.60,493.00,481.50,490.10,78700,490.10
2012-10-04,480.00,491.85,478.00,489.05,167200,489.05
2012-10-03,482.85,483.70,475.10,478.10,156900,478.10
2012-10-02,479.65,479.65,479.65,479.65,000,479.65
2012-10-01,494.00,494.00,478.05,479.65,132700,479.65
2012-09-28,479.65,495.00,476.00,491.90,582700,491.90
2012-09-27,475.25,482.00,472.50,479.65,169600,479.65
2012-09-26,477.00,478.00,472.55,475.95,354100,475.95
2012-09-25,477.00,479.90,469.95,476.05,174900,476.05
2012-09-24,480.00,480.00,474.00,475.15,115500,475.15
2012-09-21,487.90,490.10,473.05,478.10,381000,478.10
2012-09-20,474.90,479.85,471.30,476.65,112200,476.65
2012-09-19,476.30,476.30,476.30,476.30,000,476.30
2012-09-18,481.05,481.10,473.25,476.30,292400,476.30
2012-09-17,493.80,500.00,475.15,477.15,178200,477.15
2012-09-14,504.00,504.00,483.85,487.35,300900,487.35
2012-09-13,489.35,489.85,478.00,481.30,235600,481.30
2012-09-12,487.35,494.00,481.50,482.30,51500,482.30
2012-09-11,491.95,494.95,487.20,489.05,42000,489.05
2012-09-10,495.00,497.00,492.15,493.65,62900,493.65
2012-09-07,495.05,498.00,481.55,484.60,96300,484.60
2012-09-06,480.80,495.95,478.00,492.40,92100,492.40
2012-09-05,486.00,489.95,476.50,481.80,43800,476.80
2012-09-04,486.60,491.00,485.05,489.20,25200,484.12
2012-09-03,493.00,494.70,484.00,486.25,17400,481.20
2012-08-31,485.05,498.75,474.05,493.00,133700,487.88
2012-08-30,490.90,492.00,486.00,488.75,72400,483.68
2012-08-29,488.80,493.75,488.00,492.05,193200,486.94
2012-08-28,485.00,488.25,480.20,485.60,252600,480.56
2012-08-27,479.30,483.20,478.20,482.45,71400,477.44
2012-08-24,481.95,481.95,475.00,479.00,65300,474.03
2012-08-23,479.25,482.75,477.35,480.60,23700,475.61
2012-08-22,477.05,480.90,477.05,479.75,28500,474.77
2012-08-21,488.00,488.00,469.00,477.00,68600,472.05
2012-08-20,479.35,479.35,479.35,479.35,000,474.38
2012-08-17,478.80,483.85,476.50,479.35,26200,474.38
2012-08-16,487.00,487.00,477.25,477.95,57000,472.99
2012-08-15,485.80,485.80,485.80,485.80,000,480.76
2012-08-14,482.05,489.00,482.00,485.80,67400,480.76
2012-08-13,479.80,483.00,475.00,480.55,32400,475.56
2012-08-10,475.10,482.00,471.80,476.65,502600,471.70
2012-08-09,482.05,487.00,480.00,482.20,56000,477.20
2012-08-08,479.95,488.25,475.00,480.95,215900,475.96
2012-08-07,485.80,486.60,478.35,480.45,89500,475.46
2012-08-06,494.00,494.00,483.00,484.45,63600,479.42
2012-08-03,491.45,494.40,483.30,485.40,42900,480.36
2012-08-02,492.40,498.80,489.05,493.70,32000,488.58
2012-08-01,495.25,502.00,492.40,495.65,46100,490.51
2012-07-31,495.25,498.00,490.05,496.30,68300,491.15
2012-07-30,496.70,499.00,488.65,496.20,438100,491.05
2012-07-27,495.65,496.00,486.00,488.60,76800,483.53
2012-07-26,499.15,500.00,494.15,495.70,309000,490.56
2012-07-25,499.60,504.80,493.20,500.10,69700,494.91
2012-07-24,498.00,506.00,494.15,504.65,188100,499.41
2012-07-23,495.95,502.00,488.15,500.30,212300,495.11
2012-07-20,490.50,498.15,486.10,496.30,130600,491.15
2012-07-19,491.00,494.00,481.95,492.85,71800,487.74
2012-07-18,482.30,484.00,476.25,483.00,24300,477.99
2012-07-17,482.05,486.00,475.60,482.20,160700,477.20
2012-07-16,488.95,488.95,478.00,481.85,40000,476.85
2012-07-13,480.00,486.50,480.00,485.35,58200,480.31
2012-07-12,473.00,482.70,472.00,480.10,48700,475.12
2012-07-11,473.35,479.00,470.50,473.75,72500,468.83
2012-07-10,475.10,479.00,473.90,475.90,139000,470.96
2012-07-09,491.95,491.95,471.15,473.90,160700,468.98
