Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,166.75,166.75,166.75,166.75,000,166.75
2012-12-24,167.00,167.00,166.30,166.75,71900,166.75
2012-12-21,167.50,168.05,165.50,166.35,179400,166.35
2012-12-20,168.00,170.00,167.30,167.80,237400,167.80
2012-12-19,168.00,168.10,164.80,167.65,275900,167.65
2012-12-18,166.00,168.45,165.60,167.60,118400,167.60
2012-12-17,166.80,167.25,164.40,165.05,279000,165.05
2012-12-14,166.95,168.35,165.10,166.30,104800,166.30
2012-12-13,167.05,167.05,165.70,166.00,88000,166.00
2012-12-12,167.00,167.20,165.50,166.25,71100,166.25
2012-12-11,168.00,168.00,164.70,165.95,144300,165.95
2012-12-10,167.50,168.10,167.25,167.55,157200,167.55
2012-12-07,168.50,168.50,165.70,167.60,74100,167.60
2012-12-06,168.05,168.50,167.20,167.85,86700,167.85
2012-12-05,165.05,171.00,164.30,167.95,128000,167.95
2012-12-04,165.10,165.25,164.50,164.50,57600,164.50
2012-12-03,166.05,166.50,164.40,164.80,73400,164.80
2012-11-30,162.30,166.50,162.00,165.90,224500,165.90
2012-11-29,162.05,162.50,161.00,162.15,138400,162.15
2012-11-28,161.95,161.95,161.95,161.95,000,161.95
2012-11-27,161.05,162.00,160.80,161.95,97500,161.95
2012-11-26,161.20,161.60,160.10,160.65,69500,160.65
2012-11-23,161.00,161.40,160.50,160.85,96000,160.85
2012-11-22,161.65,161.70,159.90,160.75,90900,160.75
2012-11-21,157.00,163.65,156.25,161.60,161200,161.60
2012-11-20,157.20,158.00,156.80,157.50,88900,157.50
2012-11-19,157.05,157.40,154.60,156.60,78100,156.60
2012-11-16,159.75,160.00,154.75,155.00,200000,155.00
2012-11-15,160.60,160.70,159.00,159.80,184300,159.80
2012-11-14,159.60,159.60,159.60,159.60,000,159.60
2012-11-13,159.60,159.60,159.60,159.60,000,159.60
2012-11-12,159.50,160.00,159.30,159.60,72800,159.60
2012-11-09,159.50,160.10,159.20,159.60,68200,159.60
2012-11-08,159.50,159.90,156.25,158.55,107400,158.55
2012-11-07,160.00,164.00,157.50,159.20,302800,159.20
2012-11-06,162.65,162.65,159.50,159.75,198900,159.75
2012-11-05,159.50,160.00,158.80,159.15,85700,159.15
