Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,105.00,105.00,105.00,105.00,000,105.00
2012-12-24,107.20,108.50,104.60,105.00,1102400,105.00
2012-12-21,109.00,112.40,106.80,107.40,3163200,107.40
2012-12-20,106.90,110.95,106.50,109.10,4112400,109.10
2012-12-19,107.00,107.95,104.80,105.60,839400,105.60
2012-12-18,106.00,107.50,104.25,106.65,946300,106.65
2012-12-17,105.95,107.30,105.00,106.00,756400,106.00
2012-12-14,102.10,105.80,101.60,105.50,1041100,105.50
2012-12-13,104.95,106.00,100.60,102.35,842300,102.35
2012-12-12,104.70,106.30,103.90,105.00,804100,105.00
2012-12-11,104.80,108.20,104.10,105.10,3253900,105.10
2012-12-10,106.00,106.00,101.80,103.45,1629500,103.45
2012-12-07,107.25,107.55,102.50,103.05,1615400,103.05
2012-12-06,108.50,109.35,105.45,106.35,1982200,106.35
2012-12-05,106.55,109.00,105.40,108.05,1406300,108.05
2012-12-04,108.30,109.70,105.30,106.15,920000,106.15
2012-12-03,108.85,110.80,108.00,108.55,1058900,108.55
2012-11-30,107.00,110.20,105.75,108.35,2336300,108.35
2012-11-29,99.00,106.70,98.35,105.20,6860100,105.20
2012-11-28,98.15,98.15,98.15,98.15,000,98.15
2012-11-27,99.70,100.20,97.70,98.15,2103000,98.15
2012-11-26,100.50,102.70,97.30,98.80,4476200,98.80
2012-11-23,103.15,103.15,99.00,100.20,2736200,100.20
2012-11-22,106.05,106.95,101.65,102.80,2091500,102.80
2012-11-21,106.85,107.00,102.75,104.90,2354000,104.90
2012-11-20,111.10,112.10,105.60,106.25,1600800,106.25
2012-11-19,114.00,115.00,107.10,110.05,2707800,110.05
2012-11-16,116.80,117.70,112.20,113.90,1365400,113.90
2012-11-15,120.00,120.00,114.50,115.70,1571100,115.70
2012-11-14,121.50,121.50,121.50,121.50,000,121.50
2012-11-13,121.50,121.50,121.50,121.50,000,121.50
2012-11-12,125.00,125.05,120.75,121.50,629100,121.50
2012-11-09,125.60,126.95,124.50,124.70,213600,124.70
2012-11-08,125.60,126.30,124.55,125.70,248100,125.70
2012-11-07,126.25,128.35,125.75,126.70,442900,126.70
2012-11-06,127.00,127.60,125.20,126.10,490300,126.10
2012-11-05,124.15,127.30,122.80,125.80,590200,125.80
2012-11-02,124.10,126.80,123.20,124.10,719200,124.10
2012-11-01,120.90,124.80,120.15,124.05,873700,124.05
2012-10-31,116.75,120.70,115.05,120.15,1137600,120.15
2012-10-30,120.05,121.00,115.60,116.40,968500,116.40
2012-10-29,125.30,127.20,119.10,119.65,882000,119.65
2012-10-26,127.45,127.45,127.45,127.45,000,127.45
2012-10-25,126.85,128.50,125.90,127.45,582400,127.45
2012-10-24,126.40,126.40,126.40,126.40,000,126.40
2012-10-23,128.00,128.30,125.65,126.40,394000,126.40
2012-10-22,127.00,129.50,124.95,127.30,972700,127.30
2012-10-19,129.80,130.50,126.10,126.85,966800,126.85
2012-10-18,130.60,131.40,128.10,130.20,762900,130.20
2012-10-17,131.40,132.85,129.05,130.40,587800,130.40
2012-10-16,133.85,134.95,130.30,131.20,830100,131.20
2012-10-15,132.80,134.60,130.80,132.75,655400,132.75
2012-10-12,134.45,135.50,131.50,131.95,455200,131.95
2012-10-11,132.00,135.00,129.40,134.50,903600,134.50
2012-10-10,137.05,137.05,131.00,131.80,976300,131.80
2012-10-09,138.95,139.85,134.80,136.50,854500,136.50
2012-10-08,139.20,141.55,134.95,136.00,1623900,136.00
2012-10-05,137.00,140.35,135.60,138.35,3440600,138.35
2012-10-04,129.20,137.60,128.20,135.15,3933400,135.15
2012-10-03,129.80,130.15,127.15,128.25,1314600,128.25
2012-10-02,129.50,129.50,129.50,129.50,000,129.50
2012-10-01,131.60,131.70,128.20,129.50,1361700,129.50
2012-09-28,134.40,134.90,129.00,129.60,1630700,129.60
2012-09-27,128.25,131.50,127.25,130.40,2902200,130.40
2012-09-26,128.20,129.10,126.75,127.35,1735800,127.35
2012-09-25,129.50,130.35,126.00,127.90,1838000,127.90
2012-09-24,130.55,132.00,127.30,128.05,1594800,128.05
2012-09-21,128.00,131.70,127.30,130.00,2397200,130.00
2012-09-20,131.05,131.95,128.05,128.40,1386600,125.40
2012-09-19,131.95,131.95,131.95,131.95,000,128.87
2012-09-18,131.10,137.00,130.15,131.95,1705500,128.87
2012-09-17,135.80,135.80,128.00,132.00,1210500,128.92
2012-09-14,139.00,141.50,132.35,133.15,1592400,130.04
2012-09-13,141.55,141.60,137.20,138.35,1133900,135.12
2012-09-12,141.05,143.65,137.70,140.50,2912600,137.22
2012-09-11,133.20,140.50,128.35,139.60,4465700,136.34
2012-09-10,130.90,133.80,127.00,129.60,2087000,126.57
