Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,54.65,54.65,54.65,54.65,000,54.65
2012-12-24,55.25,55.90,54.50,54.65,457600,54.65
2012-12-21,56.30,56.70,54.15,54.55,680600,54.55
2012-12-20,58.60,58.70,56.30,57.00,863100,57.00
2012-12-19,58.25,59.35,57.75,58.40,1431200,58.40
2012-12-18,57.60,58.40,56.00,57.40,1054300,57.40
2012-12-17,56.20,58.10,55.80,56.85,1022000,56.85
2012-12-14,55.60,56.50,55.25,56.10,1203400,56.10
2012-12-13,57.35,58.50,54.55,55.05,977200,55.05
2012-12-12,59.40,59.40,56.80,57.30,810900,57.30
2012-12-11,61.05,61.65,58.05,58.65,966700,58.65
2012-12-10,59.50,61.30,59.10,60.25,987800,60.25
2012-12-07,62.35,62.90,59.15,59.75,1893100,59.75
2012-12-06,61.05,62.40,59.30,61.75,2460700,61.75
2012-12-05,59.80,61.75,58.80,60.55,2287800,60.55
2012-12-04,58.90,60.70,58.50,59.15,1428700,59.15
2012-12-03,57.95,59.60,57.35,58.95,1801300,58.95
2012-11-30,57.55,59.10,56.65,57.60,1411900,57.60
2012-11-29,56.50,57.90,56.30,56.95,1239000,56.95
2012-11-28,56.25,56.25,56.25,56.25,000,56.25
2012-11-27,54.95,57.15,54.00,56.25,1785400,56.25
2012-11-26,54.55,55.25,53.40,53.75,789500,53.75
2012-11-23,55.05,55.70,53.65,54.05,582700,54.05
2012-11-22,55.90,56.40,54.70,55.05,858800,55.05
2012-11-21,53.90,55.35,52.60,54.65,1279800,54.65
2012-11-20,55.65,55.90,53.20,53.50,627400,53.50
2012-11-19,56.00,56.70,54.35,54.90,701100,54.90
2012-11-16,58.50,59.45,55.40,55.75,1199400,55.75
2012-11-15,58.85,59.60,57.60,58.80,1057900,58.80
2012-11-14,60.15,60.15,60.15,60.15,000,60.15
2012-11-13,60.15,60.15,60.15,60.15,000,60.15
2012-11-12,58.25,61.15,57.45,60.15,1742100,60.15
2012-11-09,60.60,61.80,57.55,58.05,1652500,58.05
2012-11-08,59.70,61.70,58.45,60.85,3121200,60.85
2012-11-07,56.45,60.50,55.60,59.80,2876800,59.80
2012-11-06,54.40,57.20,53.55,56.45,1787300,56.45
2012-11-05,55.70,55.90,54.20,54.40,603500,54.40
2012-11-02,56.05,56.95,55.25,55.50,703800,55.50
2012-11-01,55.10,56.70,54.75,55.70,849500,55.70
2012-10-31,54.50,55.70,53.80,55.15,746600,55.15
2012-10-30,55.50,57.30,54.00,54.70,1307200,54.70
2012-10-29,56.50,57.35,54.65,54.90,736700,54.90
2012-10-26,57.00,57.00,57.00,57.00,000,57.00
