Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,100.70,100.70,100.70,100.70,000,100.70
2012-12-24,102.45,103.10,100.50,100.70,290400,100.70
2012-12-21,102.95,104.20,101.20,101.70,451500,101.70
2012-12-20,102.10,105.40,101.75,103.70,1104100,103.70
2012-12-19,102.25,103.65,101.70,102.10,326000,102.10
2012-12-18,101.50,104.00,100.50,101.85,400400,101.85
2012-12-17,103.00,104.20,100.40,101.20,420100,101.20
2012-12-14,102.70,105.00,101.95,102.75,342400,102.75
2012-12-13,105.00,105.75,102.00,102.65,383400,102.65
2012-12-12,104.85,106.40,103.40,104.85,548500,104.85
2012-12-11,105.15,107.20,103.10,104.35,797100,104.35
2012-12-10,106.20,106.65,104.00,104.85,357100,104.85
2012-12-07,108.15,109.20,104.85,105.70,1354800,105.70
2012-12-06,103.65,109.20,102.10,107.05,2529400,107.05
2012-12-05,104.15,104.70,102.35,102.65,348800,102.65
2012-12-04,102.85,105.20,102.60,103.45,496200,103.45
2012-12-03,102.05,104.35,102.05,102.85,542200,102.85
2012-11-30,99.70,102.65,99.50,101.45,880100,101.45
2012-11-29,98.60,101.50,98.20,99.20,733400,99.20
2012-11-28,98.15,98.15,98.15,98.15,000,98.15
2012-11-27,96.90,99.80,95.00,98.15,633600,98.15
2012-11-26,97.35,98.70,96.75,97.15,334500,97.15
2012-11-23,98.95,98.95,96.10,96.60,427400,96.60
2012-11-22,99.00,100.45,98.05,98.35,319000,98.35
2012-11-21,100.65,100.65,98.20,98.70,315100,98.70
2012-11-20,102.50,103.00,98.20,99.85,753200,99.85
2012-11-19,99.50,102.75,96.70,101.80,1446100,101.80
2012-11-16,100.10,102.80,99.00,99.80,459700,99.80
2012-11-15,103.40,103.45,99.65,100.95,485200,100.95
2012-11-14,102.70,102.70,102.70,102.70,000,102.70
2012-11-13,102.70,102.70,102.70,102.70,000,102.70
2012-11-12,106.35,107.00,102.05,102.70,855600,102.70
2012-11-09,104.50,109.40,104.50,107.20,1298500,107.20
2012-11-08,105.20,106.60,104.40,105.30,445200,105.30
2012-11-07,104.50,107.60,103.80,106.15,636100,106.15
2012-11-06,104.45,105.65,103.70,104.25,331100,104.25
2012-11-05,104.90,105.95,104.00,104.35,244100,104.35
2012-11-02,105.05,106.70,104.35,105.10,385900,105.10
2012-11-01,104.50,106.30,104.00,104.85,300900,104.85
2012-10-31,104.30,105.40,103.25,104.30,314600,104.30
2012-10-30,107.00,107.25,103.25,104.25,472400,104.25
2012-10-29,105.65,106.85,103.10,105.90,433000,105.90
2012-10-26,107.35,107.35,107.35,107.35,000,107.35
2012-10-25,108.00,108.40,106.70,107.35,326000,107.35
2012-10-24,107.90,107.90,107.90,107.90,000,107.90
2012-10-23,107.60,109.80,106.80,107.90,416600,107.90
2012-10-22,108.90,108.90,106.40,107.30,555400,107.30
2012-10-19,111.50,111.95,108.50,108.95,645200,108.95
2012-10-18,111.70,111.95,110.60,111.35,399100,111.35
2012-10-17,112.90,113.25,110.60,110.90,414800,110.90
2012-10-16,113.75,114.80,111.50,111.90,591300,111.90
2012-10-15,113.00,114.30,112.70,113.45,416600,113.45
2012-10-12,113.75,115.45,113.00,113.35,870600,113.35
2012-10-11,113.00,114.40,112.55,113.75,781900,113.75
2012-10-10,114.00,115.70,112.10,112.40,824300,112.40
2012-10-09,115.00,117.00,114.10,115.45,804700,115.45
2012-10-08,114.00,117.00,113.05,114.70,1362700,114.70
2012-10-05,117.00,117.45,112.75,113.85,859500,113.85
2012-10-04,118.30,119.25,116.00,116.40,1954600,116.40
2012-10-03,114.00,117.00,113.00,116.00,1461100,116.00
2012-10-02,114.40,114.40,114.40,114.40,000,114.40
2012-10-01,113.00,115.20,112.55,114.40,811500,114.40
2012-09-28,112.65,113.95,112.10,112.35,857900,112.35
2012-09-27,115.75,116.65,110.50,111.70,3231000,111.70
2012-09-26,113.30,118.20,112.80,115.10,2814100,115.10
2012-09-25,110.00,114.70,110.00,113.10,876500,113.10
2012-09-24,113.65,115.85,112.30,112.75,1018800,112.75
2012-09-21,113.70,115.30,112.75,113.00,905000,113.00
2012-09-20,112.70,116.20,112.10,113.10,827600,113.10
