Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,328.25,328.25,328.25,328.25,000,328.25
2012-12-24,333.05,335.50,317.70,328.25,525500,328.25
2012-12-21,345.00,345.00,330.65,332.65,502600,332.65
2012-12-20,344.65,347.40,340.30,345.00,418600,345.00
2012-12-19,355.00,357.85,342.65,345.00,645600,345.00
2012-12-18,353.05,355.70,340.85,353.90,951900,353.90
2012-12-17,344.95,356.00,344.95,354.10,602700,354.10
2012-12-14,340.20,352.25,336.45,351.60,558500,351.60
2012-12-13,348.80,353.10,338.10,340.10,507800,340.10
2012-12-12,349.05,354.30,345.15,348.50,729100,348.50
2012-12-11,368.30,368.30,346.20,348.85,1058700,348.85
2012-12-10,347.90,367.80,346.40,364.75,1324700,364.75
2012-12-07,350.95,355.85,342.65,346.35,326600,346.35
2012-12-06,346.50,351.30,340.60,349.85,368300,349.85
2012-12-05,338.20,348.25,337.50,345.35,722200,345.35
2012-12-04,333.95,339.70,331.15,336.85,497700,336.85
2012-12-03,330.00,344.00,330.00,332.20,865800,332.20
2012-11-30,328.75,339.00,322.15,337.20,1014200,337.20
2012-11-29,316.55,325.00,315.00,320.70,867600,320.70
2012-11-28,318.70,318.70,318.70,318.70,000,318.70
2012-11-27,313.00,321.50,313.00,318.70,397400,318.70
2012-11-26,319.95,320.00,311.40,312.45,211100,312.45
2012-11-23,321.00,323.90,310.40,314.90,267100,314.90
2012-11-22,321.05,325.80,317.30,320.75,316900,320.75
2012-11-21,318.05,324.35,312.90,319.90,820200,319.90
2012-11-20,315.15,320.00,314.00,316.95,626300,316.95
2012-11-19,318.05,318.75,312.05,313.70,267300,313.70
2012-11-16,326.35,329.70,313.75,317.00,636500,317.00
2012-11-15,318.00,327.45,313.75,325.15,700600,325.15
2012-11-14,320.75,320.75,320.75,320.75,000,320.75
2012-11-13,320.75,320.75,320.75,320.75,000,320.75
2012-11-12,318.00,324.20,315.55,320.75,395100,320.75
2012-11-09,328.00,331.80,315.75,316.65,597200,316.65
2012-11-08,324.00,330.75,322.55,326.55,888200,326.55
2012-11-07,325.00,335.50,323.00,328.20,1416600,328.20
2012-11-06,323.15,327.80,321.50,324.45,444000,324.45
2012-11-05,328.50,331.40,322.45,327.90,843900,327.90
2012-11-02,316.00,330.00,313.80,328.50,870600,328.50
2012-11-01,308.00,314.85,308.00,313.35,681600,313.35
2012-10-31,296.00,311.30,296.00,310.40,1127700,310.40
2012-10-30,312.00,317.85,293.00,298.30,1393800,298.30
2012-10-29,311.00,318.70,307.10,314.85,1151000,314.85
2012-10-26,314.20,314.20,314.20,314.20,000,314.20
2012-10-25,295.00,315.45,287.15,314.20,3317100,314.20
