Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,236.55,236.55,236.55,236.55,000,236.55
2012-12-24,239.90,240.60,234.25,236.55,2301000,236.55
2012-12-21,233.45,241.40,229.00,238.25,5603200,238.25
2012-12-20,240.90,242.60,230.00,233.90,3432100,233.90
2012-12-19,238.00,245.60,238.00,241.15,4218900,241.15
2012-12-18,238.50,241.40,234.30,237.85,3169700,237.85
2012-12-17,244.40,244.40,235.60,238.10,3201600,238.10
2012-12-14,234.45,241.80,233.45,241.05,4172200,241.05
2012-12-13,232.65,239.50,232.00,234.45,5867600,234.45
2012-12-12,225.60,234.70,224.75,232.45,6195600,232.45
2012-12-11,231.00,234.00,224.70,227.75,7253900,227.75
2012-12-10,243.00,243.55,229.40,230.45,7700400,230.45
2012-12-07,239.00,247.85,236.70,242.75,16492300,242.75
2012-12-06,243.00,257.80,232.20,239.30,25115000,239.30
2012-12-05,230.00,244.00,229.30,237.65,14985200,237.65
2012-12-04,231.00,235.85,222.70,230.15,15385000,230.15
2012-12-03,213.20,234.35,211.50,230.70,18502900,230.70
2012-11-30,206.80,213.35,206.80,210.70,12227500,210.70
2012-11-29,204.70,209.70,202.15,205.55,8611500,205.55
2012-11-28,201.80,201.80,201.80,201.80,000,201.80
2012-11-27,196.80,209.00,193.80,201.80,15855300,201.80
2012-11-26,184.60,196.70,182.40,194.95,11807000,194.95
2012-11-23,177.10,184.75,175.75,182.60,8142700,182.60
2012-11-22,188.20,191.40,175.25,177.25,10553900,177.25
2012-11-21,180.00,192.75,176.60,188.10,9403800,188.10
2012-11-20,183.85,185.30,177.80,179.70,4118000,179.70
2012-11-19,194.90,194.90,181.50,182.85,3178300,182.85
2012-11-16,191.75,195.70,186.65,188.00,3734000,188.00
2012-11-15,195.65,196.50,188.55,191.60,3014600,191.60
2012-11-14,197.90,197.90,197.90,197.90,000,197.90
2012-11-13,197.90,197.90,197.90,197.90,000,197.90
2012-11-12,203.00,205.60,196.30,197.90,4196600,197.90
2012-11-09,207.35,210.90,200.05,202.35,6078100,202.35
2012-11-08,197.00,209.70,194.20,207.35,9096200,207.35
2012-11-07,194.90,203.70,194.00,200.05,6520700,200.05
2012-11-06,189.00,194.35,187.80,193.30,2588100,193.30
2012-11-05,194.80,195.40,187.60,189.40,3153700,189.40
2012-11-02,191.00,196.80,190.75,195.60,4463800,195.60
2012-11-01,179.00,191.30,177.55,190.30,5640800,190.30
2012-10-31,175.95,180.65,171.50,179.45,3754800,179.45
2012-10-30,180.50,184.00,173.05,174.45,3287200,174.45
2012-10-29,180.15,183.70,177.25,181.05,2948400,181.05
2012-10-26,189.25,189.25,189.25,189.25,000,189.25
2012-10-25,186.45,191.20,182.50,189.25,3076300,189.25
2012-10-24,186.75,186.75,186.75,186.75,000,186.75
2012-10-23,193.05,194.00,185.85,186.75,3105600,186.75
2012-10-22,195.55,195.70,191.55,193.35,2048000,193.35
2012-10-19,193.70,198.00,191.50,196.35,5763700,196.35
2012-10-18,190.20,194.65,189.30,193.55,3612500,193.55
2012-10-17,190.80,192.35,186.50,189.20,3362500,189.20
2012-10-16,189.00,195.35,187.10,188.50,5735400,188.50
2012-10-15,190.05,191.80,185.70,187.95,5360800,187.95
2012-10-12,196.70,198.65,190.15,190.95,5154200,190.95
2012-10-11,188.05,197.30,184.35,196.40,9064000,196.40
2012-10-10,198.00,198.50,187.25,188.70,8721000,188.70
2012-10-09,206.40,208.00,197.00,199.75,5436800,199.75
2012-10-08,216.80,216.80,199.50,203.20,4685600,203.20
2012-10-05,215.60,217.45,204.35,214.55,7152100,214.55
2012-10-04,222.00,222.00,210.10,212.25,4042900,212.25
2012-10-03,210.00,219.45,206.55,213.90,6006100,213.90
2012-10-02,210.65,210.65,210.65,210.65,000,210.65
2012-10-01,214.90,214.95,208.10,210.65,4453800,210.65
2012-09-28,220.90,227.35,213.20,214.00,7485500,214.00
2012-09-27,220.00,220.75,208.50,217.65,12523500,217.65
2012-09-26,206.00,221.80,200.00,214.65,21177300,214.65
2012-09-25,187.00,209.20,187.00,206.55,20075200,206.55
2012-09-24,184.00,194.20,179.30,188.50,9526100,188.50
2012-09-21,181.30,194.90,180.00,183.00,10487100,183.00
2012-09-20,174.00,179.30,161.00,174.60,11957000,174.60
2012-09-19,179.85,179.85,179.85,179.85,000,179.85
2012-09-18,189.00,193.55,178.90,179.85,7592100,179.85
2012-09-17,176.65,204.80,170.85,187.70,23000800,187.70
2012-09-14,149.50,163.85,149.50,157.90,9265100,157.90
2012-09-13,150.90,152.15,145.85,147.40,2870700,147.40
2012-09-12,145.00,152.30,143.75,151.00,5420400,151.00
2012-09-11,148.90,149.70,143.80,144.60,2558800,144.60
2012-09-10,152.00,152.00,143.60,149.00,5223600,149.00
2012-09-07,144.40,144.40,139.00,142.15,2126900,142.15
2012-09-06,139.20,141.60,136.10,138.65,2830700,138.65
2012-09-05,135.50,140.35,135.25,138.55,2421300,138.55
2012-09-04,151.00,151.00,132.70,136.75,3896200,136.75
2012-09-03,140.00,141.70,137.70,138.55,1721700,138.55
2012-08-31,139.95,142.50,136.60,138.55,2407300,138.55
2012-08-30,137.00,141.15,135.40,139.70,3296900,139.70
2012-08-29,143.50,144.00,137.50,138.25,3817000,138.25
2012-08-28,149.50,150.20,141.20,143.95,3525500,143.95
2012-08-27,156.85,158.75,148.70,149.80,2601800,149.80
2012-08-24,158.00,158.00,154.00,156.10,1920400,156.10
2012-08-23,161.75,164.00,157.70,159.35,2948100,159.35
2012-08-22,164.00,165.60,160.75,163.60,3910000,163.60
2012-08-21,160.00,166.45,160.00,165.55,4121700,165.55
2012-08-20,159.40,159.40,159.40,159.40,000,159.40
2012-08-17,158.50,163.45,157.50,159.40,3645000,159.40
2012-08-16,162.05,163.85,157.25,158.50,2529600,158.50
2012-08-15,161.50,161.50,161.50,161.50,000,161.50
2012-08-14,160.00,163.40,160.00,161.50,2837100,161.50
2012-08-13,157.40,163.20,152.65,158.95,4713900,158.95
2012-08-10,151.00,156.30,150.70,153.85,3219700,153.85
2012-08-09,159.00,159.00,149.85,151.60,5508700,151.60
2012-08-08,163.00,165.40,158.80,159.85,3037400,159.85
2012-08-07,160.40,165.90,160.40,163.00,2678200,163.00
2012-08-06,163.00,166.70,162.15,163.40,2874200,163.40
2012-08-03,165.70,165.90,159.90,161.40,3656400,161.40
2012-08-02,164.00,168.90,163.20,166.80,3365500,166.80
2012-08-01,165.00,167.70,162.10,164.65,3837200,164.65
2012-07-31,164.00,166.75,157.65,164.90,5991900,164.90
2012-07-30,153.60,163.45,146.90,162.50,6563500,162.50
2012-07-27,158.00,162.70,150.45,152.50,4296900,152.50
