Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,71.55,71.55,71.55,71.55,000,71.55
2012-12-24,73.05,73.40,71.15,71.55,168500,71.55
2012-12-21,76.80,76.80,71.30,72.30,390300,72.30
2012-12-20,78.30,79.90,76.50,77.10,804600,77.10
2012-12-19,74.95,79.80,73.15,78.20,1646500,78.20
2012-12-18,75.00,75.45,72.95,74.30,415400,74.30
2012-12-17,69.10,75.30,69.10,74.20,764100,74.20
2012-12-14,70.95,71.40,69.15,69.90,214600,69.90
2012-12-13,70.35,71.90,68.70,69.00,171100,69.00
2012-12-12,70.00,71.90,69.45,70.00,115700,70.00
2012-12-11,74.25,74.90,70.50,71.20,220800,71.20
2012-12-10,73.55,74.65,72.15,72.80,161300,72.80
2012-12-07,75.40,75.70,71.55,72.65,242600,72.65
2012-12-06,75.05,76.65,74.05,75.05,547600,75.05
2012-12-05,71.80,76.35,70.65,74.00,1258900,74.00
2012-12-04,72.00,72.95,70.55,70.90,190900,70.90
2012-12-03,69.75,73.50,68.15,71.35,461100,71.35
2012-11-30,70.15,71.45,68.35,68.75,181700,68.75
2012-11-29,71.85,72.50,69.20,69.85,242900,69.85
2012-11-28,70.85,70.85,70.85,70.85,000,70.85
2012-11-27,70.85,72.90,70.10,70.85,383400,70.85
2012-11-26,70.00,71.80,69.50,70.00,223100,70.00
2012-11-23,70.00,72.65,68.00,69.75,502900,69.75
2012-11-22,71.95,73.65,68.50,69.00,933800,69.00
2012-11-21,64.80,70.55,64.50,70.55,1353800,70.55
2012-11-20,66.95,68.70,62.60,64.15,331400,64.15
2012-11-19,70.00,70.00,65.50,66.00,226700,66.00
2012-11-16,72.70,73.40,68.20,69.65,214700,69.65
2012-11-15,72.90,74.25,71.50,72.65,222200,72.65
2012-11-14,73.80,73.80,73.80,73.80,000,73.80
2012-11-13,73.80,73.80,73.80,73.80,000,73.80
2012-11-12,72.00,75.25,70.10,73.80,527800,73.80
2012-11-09,75.10,76.40,70.55,71.55,643400,71.55
2012-11-08,71.95,76.85,70.10,74.65,1320100,74.65
2012-11-07,73.30,74.00,71.50,72.20,383800,72.20
2012-11-06,69.10,73.85,69.10,73.15,490000,73.15
2012-11-05,72.00,72.95,70.40,71.20,229300,71.20
2012-11-02,74.00,74.95,70.50,71.05,291500,71.05
2012-11-01,75.00,76.90,72.10,72.85,757200,72.85
2012-10-31,71.30,74.00,68.25,73.10,943500,73.10
2012-10-30,72.75,74.80,65.40,70.70,525200,70.70
2012-10-29,79.90,79.90,70.40,72.30,1107800,72.30
2012-10-26,81.05,81.05,81.05,81.05,000,81.05
2012-10-25,71.50,84.00,71.35,81.05,8742000,81.05
2012-10-24,70.05,70.05,70.05,70.05,000,70.05
2012-10-23,61.00,70.05,57.60,70.05,2025800,70.05
2012-10-22,51.70,58.90,51.55,58.40,1284800,58.40
2012-10-19,51.90,51.90,49.00,49.70,100500,49.70
2012-10-18,51.50,51.75,50.30,51.25,80100,51.25
2012-10-17,51.80,52.00,49.55,50.85,60500,50.85
2012-10-16,52.90,54.20,50.95,51.30,310100,51.30
2012-10-15,50.15,52.30,49.10,50.80,79600,50.80
2012-10-12,54.00,54.00,49.85,50.60,74800,50.60
2012-10-11,52.25,53.20,51.50,51.95,126100,51.95
2012-10-10,51.00,55.00,51.00,51.75,486200,51.75
2012-10-09,51.00,53.00,49.80,50.10,64500,50.10
2012-10-08,51.00,53.50,50.00,50.80,124200,50.80
2012-10-05,55.50,56.90,50.10,51.10,517200,51.10
2012-10-04,46.15,52.85,46.00,52.85,431500,52.85
2012-10-03,46.55,47.75,37.25,44.05,162300,44.05
2012-10-02,46.45,46.45,46.45,46.45,000,46.45
2012-10-01,48.50,48.50,46.05,46.45,28600,46.45
2012-09-28,48.50,49.25,46.00,47.15,95800,47.15
2012-09-27,46.15,49.30,45.85,47.75,253000,47.75
2012-09-26,45.50,47.20,44.10,46.15,161000,46.15
2012-09-25,44.40,45.50,43.75,45.10,215200,45.10
2012-09-24,42.90,45.00,42.00,43.45,142100,43.45
2012-09-21,41.80,43.00,41.05,42.20,191300,42.20
2012-09-20,38.40,41.50,37.35,40.05,97000,40.05
2012-09-19,38.75,38.75,38.75,38.75,000,38.75
2012-09-18,38.40,39.10,37.80,38.75,40300,38.75
2012-09-17,38.50,39.25,36.85,37.50,81600,37.50
2012-09-14,37.35,37.65,36.75,37.20,34600,37.20
2012-09-13,37.25,37.95,36.35,36.55,14000,36.55
2012-09-12,39.95,39.95,36.60,37.15,62100,37.15
2012-09-11,35.80,40.65,35.10,39.10,256300,39.10
2012-09-10,36.00,36.40,35.70,35.95,3600,35.95
2012-09-07,36.00,36.90,35.25,35.80,11200,35.80
2012-09-06,34.30,37.50,34.25,35.45,50200,35.45
2012-09-05,34.60,35.45,34.35,34.50,6000,34.50
2012-09-04,35.00,35.60,34.65,34.85,12100,34.85
2012-09-03,35.55,35.85,35.00,35.30,8200,35.30
2012-08-31,36.90,37.30,35.15,35.55,82500,35.55
2012-08-30,34.50,35.45,34.35,35.10,9200,35.10
2012-08-29,35.50,35.95,34.80,35.05,9500,35.05
2012-08-28,35.00,37.60,35.00,35.95,37900,35.95
2012-08-27,35.05,35.85,35.00,35.05,11600,35.05
2012-08-24,35.55,35.55,35.20,35.30,5600,35.30
2012-08-23,36.05,36.40,35.65,35.90,19300,35.90
2012-08-22,36.05,36.80,35.80,36.20,13700,36.20
2012-08-21,36.00,37.00,36.00,36.20,12800,36.20
2012-08-20,36.00,36.00,36.00,36.00,000,36.00
2012-08-17,36.05,36.75,35.75,36.00,16300,36.00
2012-08-16,37.00,37.30,35.90,36.15,11500,36.15
2012-08-15,36.95,36.95,36.95,36.95,000,36.95
2012-08-14,36.40,37.45,36.40,36.95,7100,36.95
2012-08-13,36.20,37.75,36.20,36.95,15600,36.95
2012-08-10,38.45,38.50,36.00,36.50,21300,36.50
2012-08-09,37.15,37.90,36.55,37.50,18200,37.50
2012-08-08,37.80,38.50,37.25,37.50,13900,37.50
2012-08-07,38.50,38.85,37.60,37.80,21600,37.80
