Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,513.40,513.40,513.40,513.40,000,513.40
2012-12-24,525.00,529.95,511.00,513.40,56400,513.40
2012-12-21,501.00,525.00,501.00,521.25,165700,521.25
2012-12-20,495.00,509.00,490.00,502.25,39500,502.25
2012-12-19,496.05,500.00,488.40,492.75,2156300,492.75
2012-12-18,484.80,498.45,482.05,493.30,123400,493.30
2012-12-17,493.00,509.15,480.20,489.95,535700,489.95
2012-12-14,493.05,499.20,490.10,491.90,10300,491.90
2012-12-13,481.00,506.00,480.00,492.00,24100,492.00
2012-12-12,487.00,489.95,480.20,485.00,142700,485.00
2012-12-11,492.25,492.55,477.05,480.20,13300,480.20
2012-12-10,492.00,495.00,485.20,492.30,9500,492.30
2012-12-07,500.00,500.00,487.90,493.40,8200,493.40
2012-12-06,489.00,494.85,485.00,491.90,5700,491.90
2012-12-05,494.95,503.95,486.00,489.30,9300,489.30
2012-12-04,506.00,509.00,500.00,504.80,14900,504.80
2012-12-03,483.00,514.95,483.00,504.70,54700,504.70
2012-11-30,480.95,484.00,476.05,481.00,8300,481.00
2012-11-29,481.90,484.00,478.00,478.55,6100,478.55
2012-11-28,479.05,479.05,479.05,479.05,000,479.05
2012-11-27,484.85,484.90,477.30,479.05,7300,479.05
2012-11-26,476.00,484.00,475.00,482.05,46400,482.05
2012-11-23,480.00,480.00,472.10,476.60,5700,476.60
2012-11-22,478.80,478.80,470.00,475.60,7500,475.60
2012-11-21,476.00,477.00,473.00,473.60,21500,473.60
2012-11-20,480.00,483.95,475.00,476.60,18500,476.60
2012-11-19,479.00,483.95,475.60,476.05,21000,476.05
2012-11-16,480.50,484.00,474.00,484.00,19100,484.00
2012-11-15,466.00,484.55,466.00,480.50,8600,480.50
2012-11-14,483.50,483.50,483.50,483.50,000,483.50
2012-11-13,483.50,483.50,483.50,483.50,000,483.50
2012-11-12,474.00,484.45,474.00,483.50,11200,483.50
2012-11-09,485.95,486.25,475.25,478.60,14600,478.60
2012-11-08,481.75,487.75,479.00,486.05,24100,486.05
2012-11-07,481.10,488.40,479.95,483.00,23800,483.00
2012-11-06,477.00,491.50,476.10,480.50,92700,480.50
2012-11-05,479.15,485.00,475.00,483.45,15000,483.45
