Date,Open,High,Low,Close,Volume,Adj Close
2013-01-23,158.50,158.50,151.90,154.65,1243100,154.65
2013-01-22,158.80,159.80,155.30,157.00,3109100,157.00
2013-01-21,160.25,160.85,157.70,158.05,2552500,158.05
2013-01-18,160.65,164.45,159.10,159.95,4629200,159.95
2013-01-17,162.40,162.40,159.30,160.05,1184900,160.05
2013-01-16,164.25,164.90,161.20,161.95,758200,161.95
2013-01-15,164.85,164.85,163.00,164.25,1003700,164.25
2013-01-14,163.30,165.50,161.40,164.90,1036900,164.90
2013-01-11,166.10,166.70,160.25,161.45,1068200,161.45
2013-01-10,166.20,168.70,164.50,166.35,1555800,166.35
2013-01-09,166.60,166.90,164.85,165.35,714800,165.35
2013-01-08,166.10,167.60,165.10,166.60,910100,166.60
2013-01-07,163.50,167.50,163.50,166.00,1701300,166.00
2013-01-04,161.20,163.90,160.15,163.15,1056700,163.15
2013-01-03,162.00,162.80,160.20,161.20,947400,161.20
2013-01-02,158.50,161.00,158.35,160.50,1222100,160.50
2013-01-01,157.75,158.65,157.30,158.00,1203900,158.00
2012-12-31,159.50,160.15,157.00,157.15,1128400,157.15
2012-12-28,158.90,160.75,158.45,159.15,891200,159.15
2012-12-27,159.10,161.15,157.50,158.90,1212100,158.90
2012-12-26,162.10,162.10,159.20,159.85,859700,159.85
2012-12-25,158.95,158.95,158.95,158.95,000,158.95
2012-12-24,162.90,162.90,158.60,158.95,699800,158.95
2012-12-21,163.40,163.40,160.15,161.10,411800,161.10
2012-12-20,161.75,162.80,160.30,162.15,570000,162.15
2012-12-19,162.05,162.90,161.15,161.75,556800,161.75
2012-12-18,160.40,162.75,160.35,161.90,1153300,161.90
2012-12-17,158.10,161.50,158.10,159.45,381900,159.45
2012-12-14,157.90,162.35,157.90,160.30,1122900,160.30
2012-12-13,164.70,165.70,160.40,161.65,1344000,161.65
2012-12-12,161.00,163.95,158.50,163.60,1148000,163.60
2012-12-11,162.15,162.55,159.70,161.05,623300,161.05
2012-12-10,163.05,163.35,161.00,161.90,771800,161.90
2012-12-07,162.05,164.00,162.00,162.80,1203200,162.80
2012-12-06,161.00,162.25,157.50,161.30,1038000,161.30
2012-12-05,163.20,163.35,159.60,160.15,2123800,160.15
2012-12-04,163.30,164.20,161.05,161.65,951400,161.65
