Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,44.15,44.15,44.15,44.15,000,44.15
2012-12-24,44.45,44.65,43.40,44.15,166800,44.15
2012-12-21,45.30,45.50,43.85,44.05,182000,44.05
2012-12-20,45.80,46.10,44.95,45.35,194000,45.35
2012-12-19,46.80,46.80,45.30,45.55,187300,45.55
2012-12-18,46.45,47.25,46.10,46.25,293600,46.25
2012-12-17,46.40,47.30,46.00,46.20,211500,46.20
2012-12-14,46.90,48.35,46.00,46.25,510900,46.25
2012-12-13,48.10,48.60,46.35,46.80,581700,46.80
2012-12-12,47.10,48.00,46.05,47.50,439500,47.50
2012-12-11,47.60,48.90,46.50,46.75,738100,46.75
2012-12-10,45.10,48.20,44.80,47.35,910100,47.35
2012-12-07,46.85,47.20,43.85,44.80,672400,44.80
2012-12-06,48.00,48.30,45.75,46.65,276000,46.65
2012-12-05,45.95,48.40,45.40,47.80,1481300,47.80
2012-12-04,44.85,46.20,44.10,45.80,657200,45.80
2012-12-03,44.75,45.90,44.50,44.85,247800,44.85
2012-11-30,44.30,45.50,43.65,44.65,453900,44.65
2012-11-29,45.30,45.50,44.10,44.30,278500,44.30
2012-11-28,44.75,44.75,44.75,44.75,000,44.75
2012-11-27,44.95,46.45,44.55,44.75,331600,44.75
2012-11-26,45.50,46.80,44.30,44.70,261600,44.70
2012-11-23,45.80,46.00,43.25,45.50,416500,45.50
2012-11-22,45.35,46.10,45.10,45.30,175400,45.30
2012-11-21,45.20,45.80,44.75,44.95,132800,44.95
2012-11-20,46.70,46.85,44.85,45.20,185900,45.20
2012-11-19,46.55,47.90,45.80,46.45,305800,46.45
2012-11-16,47.35,47.90,45.70,46.10,240000,46.10
2012-11-15,48.25,48.25,46.70,47.10,376900,47.10
2012-11-14,48.35,48.35,48.35,48.35,000,48.35
2012-11-13,48.35,48.35,48.35,48.35,000,48.35
2012-11-12,47.60,48.90,47.35,48.35,172500,48.35
2012-11-09,48.55,49.45,47.25,47.60,158300,47.60
2012-11-08,49.00,49.85,48.55,48.80,132000,48.80
2012-11-07,50.25,50.45,49.25,49.55,155300,49.55
2012-11-06,50.10,50.90,49.55,49.90,184900,49.90
2012-11-05,50.85,51.75,49.60,50.45,720900,50.45
2012-11-02,49.40,51.20,48.55,50.65,1584700,50.65
2012-11-01,48.45,49.00,47.00,47.90,806200,47.90
2012-10-31,46.95,49.40,45.75,48.35,1830100,48.35
2012-10-30,46.25,47.70,45.60,47.00,309300,47.00
2012-10-29,48.20,48.65,45.75,46.30,428800,46.30
2012-10-26,47.80,47.80,47.80,47.80,000,47.80
2012-10-25,47.40,49.00,47.10,47.80,331500,47.80
2012-10-24,47.85,47.85,47.85,47.85,000,47.85
2012-10-23,49.05,49.05,47.10,47.85,506400,47.85
2012-10-22,49.45,49.65,48.25,48.85,219000,48.85
2012-10-19,51.95,51.95,48.85,49.35,320000,49.35
2012-10-18,51.55,52.25,51.30,51.75,187100,51.75
2012-10-17,51.50,52.90,50.90,51.50,240700,51.50
2012-10-16,53.35,53.35,51.25,51.55,281100,51.55
2012-10-15,53.55,53.55,52.45,53.00,175600,53.00
2012-10-12,54.35,54.45,52.80,53.45,698100,53.45
2012-10-11,54.55,57.00,51.15,53.90,2063600,53.90
2012-10-10,54.20,54.75,52.50,53.15,667800,53.15
2012-10-09,53.55,54.75,52.50,54.10,513600,54.10
2012-10-08,52.00,55.10,51.55,52.95,852700,52.95
2012-10-05,53.00,53.70,50.50,51.70,424700,51.70
2012-10-04,52.40,54.75,52.40,52.95,1155300,52.95
2012-10-03,53.00,53.75,52.10,52.35,524900,52.35
2012-10-02,52.40,52.40,52.40,52.40,000,52.40
2012-10-01,53.50,53.90,52.20,52.40,390400,52.40
2012-09-28,53.90,54.40,51.90,53.20,884100,53.20
2012-09-27,54.85,54.90,52.25,52.95,785400,52.95
2012-09-26,51.95,55.95,51.60,53.70,2838500,53.70
2012-09-25,51.65,53.45,50.85,52.20,1225000,52.20
2012-09-24,48.45,52.45,48.45,51.65,1876100,51.65
2012-09-21,48.50,48.90,47.60,48.20,314300,48.20
2012-09-20,48.00,48.30,47.50,47.60,189400,47.60
2012-09-19,48.65,48.65,48.65,48.65,000,48.65
2012-09-18,47.60,49.70,47.50,48.65,489800,48.65
2012-09-17,48.50,49.15,47.10,47.85,271000,47.85
2012-09-14,48.95,49.45,47.55,48.50,287500,48.50
2012-09-13,47.55,48.95,47.50,48.00,315300,48.00
2012-09-12,48.70,49.10,47.05,47.60,358100,47.60
2012-09-11,49.00,49.30,48.25,48.60,83600,48.60
