Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,245.85,245.85,245.85,245.85,000,245.85
2012-12-24,239.25,249.00,239.25,245.85,28600,245.85
2012-12-21,247.50,250.10,238.00,238.85,260400,238.85
2012-12-20,252.00,252.00,241.00,245.00,55900,245.00
2012-12-19,246.10,254.50,246.00,249.40,232100,249.40
2012-12-18,247.50,249.50,246.00,246.45,36100,246.45
2012-12-17,247.00,254.00,238.60,246.80,607400,246.80
2012-12-14,244.30,249.00,241.05,244.50,183800,244.50
2012-12-13,234.00,248.00,231.00,243.00,432500,243.00
2012-12-12,232.15,237.00,227.15,232.75,38800,232.75
2012-12-11,236.30,239.70,230.00,231.25,28600,231.25
2012-12-10,238.00,241.85,234.30,235.85,96600,235.85
2012-12-07,239.00,252.10,231.10,234.05,90000,234.05
2012-12-06,235.00,249.00,231.00,234.95,104800,234.95
2012-12-05,223.70,245.00,218.05,232.90,317200,232.90
2012-12-04,215.00,220.00,214.05,218.00,382400,218.00
2012-12-03,219.00,219.00,207.20,213.55,41200,213.55
2012-11-30,214.80,214.80,200.65,204.30,506500,204.30
2012-11-29,213.00,214.85,205.00,209.00,142600,209.00
2012-11-28,213.30,213.30,213.30,213.30,000,213.30
2012-11-27,204.95,215.00,204.95,213.30,133100,213.30
2012-11-26,215.55,217.00,201.05,214.00,72300,214.00
2012-11-23,214.00,216.50,211.00,214.90,112000,214.90
2012-11-22,214.00,216.75,211.05,214.95,72200,214.95
2012-11-21,220.00,220.00,211.50,214.95,20200,214.95
2012-11-20,219.70,219.70,215.00,216.75,22500,216.75
2012-11-19,215.00,220.00,214.00,216.20,22100,216.20
2012-11-16,216.15,220.00,216.15,218.20,8700,218.20
2012-11-15,218.00,222.60,215.80,219.95,140800,219.95
2012-11-14,219.05,219.05,219.05,219.05,000,219.05
2012-11-13,219.05,219.05,219.05,219.05,000,219.05
2012-11-12,220.05,228.70,218.00,219.05,10300,219.05
2012-11-09,226.00,232.00,221.60,224.05,74000,224.05
2012-11-08,214.30,227.00,214.30,223.10,72800,223.10
2012-11-07,222.55,226.00,217.00,218.55,43700,218.55
2012-11-06,216.20,222.00,216.20,221.90,70500,221.90
2012-11-05,211.00,222.00,211.00,217.00,116900,217.00
2012-11-02,207.00,214.80,207.00,213.30,182600,213.30
2012-11-01,202.50,207.40,201.40,205.55,37400,205.55
2012-10-31,200.05,202.00,198.50,200.70,56100,200.70
2012-10-30,201.60,206.90,198.55,200.70,137300,200.70
2012-10-29,203.00,203.00,196.10,199.30,660500,199.30
2012-10-26,197.60,197.60,197.60,197.60,000,197.60
2012-10-25,196.00,203.00,195.80,197.60,498100,197.60
2012-10-24,191.50,191.50,191.50,191.50,000,191.50
2012-10-23,188.25,194.40,186.90,191.50,42300,191.50
2012-10-22,187.95,190.00,185.05,186.00,84600,186.00
2012-10-19,188.50,190.00,187.25,188.30,55200,188.30
2012-10-18,188.50,190.95,186.50,188.50,20300,188.50
2012-10-17,194.90,200.00,186.70,188.30,23900,188.30
2012-10-16,198.00,198.00,191.25,194.15,12100,194.15
2012-10-15,201.80,201.80,195.50,198.00,38700,198.00
2012-10-12,198.80,204.90,196.05,201.15,153200,201.15
2012-10-11,195.50,200.00,195.25,199.25,17500,199.25
2012-10-10,203.45,203.50,195.10,195.70,30700,195.70
2012-10-09,204.00,204.00,198.00,199.60,60600,199.60
2012-10-08,190.10,207.00,190.10,199.10,134900,199.10
2012-10-05,200.00,202.00,191.50,196.30,22400,196.30
2012-10-04,196.25,204.45,194.25,200.00,279500,200.00
2012-10-03,202.00,202.00,195.10,196.00,10400,196.00
2012-10-02,198.35,198.35,198.35,198.35,000,198.35
2012-10-01,199.40,200.00,195.10,198.35,14400,198.35
2012-09-28,200.00,200.00,195.40,197.25,150700,197.25
2012-09-27,198.00,198.00,194.00,194.70,40100,194.70
2012-09-26,197.70,199.00,188.15,195.10,56800,195.10
2012-09-25,191.50,201.75,191.50,195.80,62300,195.80
2012-09-24,195.00,198.45,190.10,193.50,32000,193.50
2012-09-21,194.95,196.00,187.65,193.25,143300,193.25
2012-09-20,198.00,198.00,185.55,188.00,108500,188.00
2012-09-19,196.65,196.65,196.65,196.65,000,196.65
2012-09-18,202.95,204.50,195.20,196.65,269300,196.65
2012-09-17,188.00,210.00,185.00,197.30,269400,197.30
2012-09-14,180.00,182.00,175.25,179.95,195500,179.95
2012-09-13,180.00,181.00,175.25,176.20,49300,176.20
2012-09-12,178.10,178.45,173.90,174.85,17000,174.85
2012-09-11,179.45,180.50,175.00,175.95,59500,175.95
2012-09-10,176.00,177.00,175.05,176.55,7000,176.55
2012-09-07,177.10,180.40,176.10,176.90,10600,176.90
2012-09-06,176.90,178.90,175.00,176.10,47800,176.10
2012-09-05,176.95,181.55,175.55,177.85,20700,177.85
2012-09-04,171.50,177.00,170.85,175.70,11700,175.70
2012-09-03,175.00,176.95,169.25,171.80,35800,171.80
2012-08-31,179.90,180.00,173.00,176.55,55600,176.55
2012-08-30,164.00,194.00,161.10,180.10,573000,180.10
2012-08-29,159.30,168.95,158.00,163.10,86900,163.10
2012-08-28,160.00,162.50,155.00,157.10,65200,157.10
2012-08-27,163.60,164.70,156.55,158.40,32300,158.40
2012-08-24,170.00,170.00,159.00,159.95,44500,159.95
2012-08-23,176.90,177.00,169.50,171.95,32000,171.95
2012-08-22,180.00,180.00,173.55,174.25,23100,174.25
2012-08-21,178.00,183.90,175.25,177.05,14200,177.05
2012-08-20,180.10,180.10,180.10,180.10,000,180.10
2012-08-17,180.05,184.50,176.20,180.10,42100,180.10
2012-08-16,183.85,185.00,178.50,180.00,528500,180.00
2012-08-15,183.80,183.80,183.80,183.80,000,183.80
2012-08-14,186.00,186.00,182.15,183.80,5900,183.80
2012-08-13,183.00,186.10,180.10,185.00,58900,185.00
2012-08-10,185.00,186.95,181.30,184.50,20200,184.50
2012-08-09,185.40,186.95,182.00,184.00,23300,182.00
2012-08-08,195.60,195.60,185.00,185.40,26300,183.38
2012-08-07,184.00,188.90,181.10,186.25,63200,184.23
2012-08-06,195.60,195.60,183.05,183.85,8800,181.85
2012-08-03,183.80,185.00,183.05,184.00,4800,182.00
2012-08-02,184.40,184.70,183.05,183.80,6500,181.80
2012-08-01,188.00,188.00,182.25,182.95,5100,180.96
2012-07-31,188.40,188.40,176.60,184.00,15400,182.00
2012-07-30,182.00,182.00,177.50,178.45,5300,176.51
2012-07-27,181.20,183.95,180.15,181.60,19700,179.63
2012-07-26,182.40,184.40,182.40,183.40,5500,181.41
2012-07-25,184.00,185.00,182.70,184.75,4300,182.74
2012-07-24,184.85,186.00,180.50,181.85,6100,179.87
2012-07-23,182.70,187.65,182.70,186.00,8600,183.98
2012-07-20,188.00,190.00,185.50,188.75,21800,186.70
2012-07-19,185.05,188.50,185.05,186.00,5300,183.98
2012-07-18,185.00,187.90,184.10,186.50,171100,184.47
2012-07-17,181.10,186.00,176.20,184.05,4700,182.05
2012-07-16,180.50,184.40,180.50,182.30,10200,180.32
2012-07-13,179.00,183.40,178.00,180.30,16800,178.34
2012-07-12,180.00,182.00,177.50,180.10,69000,178.14
2012-07-11,175.00,181.85,172.95,180.85,67200,178.88
2012-07-10,182.20,190.00,175.50,176.55,59200,174.63
2012-07-09,187.00,189.85,180.20,182.05,6800,180.07
2012-07-06,194.80,194.80,181.85,189.65,12200,187.59
2012-07-05,191.00,192.00,183.30,189.45,7100,187.39
2012-07-04,189.00,194.00,182.60,188.95,36900,186.90
2012-07-03,178.60,184.00,178.00,182.05,43300,180.07
2012-07-02,179.80,179.80,176.50,177.55,8100,175.62
2012-06-29,172.90,179.15,171.00,177.55,72800,175.62
2012-06-28,177.90,177.90,171.00,172.60,114100,170.72
2012-06-27,177.90,177.90,174.00,174.85,12000,172.95
2012-06-26,183.90,183.90,174.50,175.75,8000,173.84
2012-06-25,194.00,194.00,174.00,177.75,13100,175.82
2012-06-22,179.90,179.90,173.00,175.90,11000,173.99
2012-06-21,176.80,177.00,174.00,174.80,48200,172.90
2012-06-20,172.65,177.50,172.65,174.85,22500,172.95
2012-06-19,179.50,179.80,172.75,173.65,4300,171.76
2012-06-18,184.85,184.90,175.00,176.30,39800,174.38
2012-06-15,180.75,182.00,178.40,180.30,28500,178.34
2012-06-14,180.00,184.15,178.00,178.55,11200,176.61
2012-06-13,186.90,187.80,181.00,182.20,15600,180.22
2012-06-12,185.10,190.00,182.10,186.90,52100,184.87
2012-06-11,217.90,217.90,186.35,188.85,14700,186.80
2012-06-08,190.10,193.95,179.00,186.80,80400,184.77
2012-06-07,187.85,195.50,184.40,193.10,4200,191.00
2012-06-06,183.95,186.00,180.55,184.10,5800,182.10
2012-06-05,180.00,180.75,179.05,180.00,14600,178.04
2012-06-04,181.05,183.80,178.50,179.25,34100,177.30
2012-06-01,199.70,199.70,182.00,182.60,1300,180.62
2012-05-31,185.00,201.55,180.35,187.45,33100,185.41
2012-05-30,182.50,186.15,181.25,183.15,29400,181.16
2012-05-29,186.00,186.00,183.05,183.50,12200,181.51
2012-05-28,182.40,185.00,182.40,184.70,22500,182.69
2012-05-25,183.00,185.25,183.00,184.45,4700,182.45
2012-05-24,186.00,186.50,183.00,183.15,1600,181.16
2012-05-23,184.00,185.90,180.00,183.20,3200,181.21
2012-05-22,186.50,188.45,184.50,185.15,10200,183.14
2012-05-21,187.90,187.90,184.50,185.45,11500,183.43
2012-05-18,193.00,193.00,184.00,187.90,18900,185.86
2012-05-17,193.05,198.70,193.05,195.05,9400,192.93
2012-05-16,193.00,197.00,190.35,195.35,6500,193.23
2012-05-15,195.05,196.95,191.05,194.15,2800,192.04
2012-05-14,202.00,203.00,195.50,196.60,4500,194.46
2012-05-11,206.00,208.45,199.00,201.60,6200,199.41
2012-05-10,210.00,210.00,201.40,205.00,502500,202.77
2012-05-09,210.00,212.00,203.60,204.95,2400,202.72
2012-05-08,210.05,215.75,210.05,213.30,1700,210.98
2012-05-07,211.20,215.00,211.00,213.45,32000,211.13
2012-05-04,219.85,219.85,214.00,214.95,137800,212.61
2012-05-03,212.10,221.20,212.10,214.20,115700,211.87
2012-05-02,213.90,217.00,211.00,215.85,118500,213.50
2012-05-01,209.70,209.70,209.70,209.70,000,207.42
2012-04-30,210.10,215.00,208.10,209.75,5900,207.47
2012-04-27,210.10,212.75,210.00,211.05,31800,208.76
2012-04-26,209.95,214.00,208.00,211.70,2700,209.40
2012-04-25,211.00,213.95,210.00,211.90,2800,209.60
2012-04-24,212.00,214.00,208.00,212.20,1900,209.89
2012-04-23,217.00,217.00,207.25,211.20,4000,208.90
2012-04-20,217.40,218.80,216.50,217.00,36100,214.64
2012-04-19,215.00,217.90,215.00,217.50,16300,215.14
