Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,212.40,212.40,212.40,212.40,000,212.40
2012-12-24,206.15,213.95,206.00,212.40,87500,212.40
2012-12-21,211.95,211.95,205.05,207.80,54400,207.80
2012-12-20,210.05,213.50,209.60,210.25,84500,210.25
2012-12-19,211.05,213.00,209.00,210.50,197200,210.50
2012-12-18,215.85,216.70,210.25,210.75,92800,210.75
2012-12-17,213.05,218.00,212.10,214.75,193700,214.75
2012-12-14,213.45,216.55,212.00,212.50,317200,212.50
2012-12-13,214.50,214.80,210.50,212.60,197100,212.60
2012-12-12,211.15,217.25,211.10,213.75,499800,213.75
2012-12-11,211.85,214.70,210.00,212.80,79700,212.80
2012-12-10,211.95,219.85,210.35,211.80,126400,211.80
2012-12-07,212.35,214.50,210.65,211.70,151100,211.70
2012-12-06,212.05,214.00,208.55,210.35,67600,210.35
2012-12-05,213.65,213.80,208.05,210.95,121300,210.95
2012-12-04,216.45,218.40,210.10,210.95,110800,210.95
2012-12-03,216.05,224.70,214.25,215.30,417800,215.30
2012-11-30,212.00,217.70,208.10,214.55,135200,214.55
2012-11-29,208.55,214.90,207.05,212.00,186300,212.00
2012-11-28,207.40,207.40,207.40,207.40,000,207.40
2012-11-27,205.95,210.00,204.70,207.40,165500,207.40
2012-11-26,202.15,206.00,199.05,203.15,61500,203.15
2012-11-23,205.55,206.00,202.00,203.80,40400,203.80
2012-11-22,205.00,206.65,201.60,205.60,24400,205.60
2012-11-21,204.95,205.45,200.95,205.05,33000,205.05
2012-11-20,202.80,204.05,200.95,202.95,44900,202.95
2012-11-19,202.35,203.70,198.55,199.55,166600,199.55
2012-11-16,205.05,207.90,201.10,202.10,64900,202.10
2012-11-15,208.00,210.15,202.00,204.15,430500,204.15
2012-11-14,208.50,208.50,208.50,208.50,000,208.50
2012-11-13,208.50,208.50,208.50,208.50,000,208.50
2012-11-12,208.80,211.30,207.00,208.50,112400,208.50
2012-11-09,205.00,209.50,204.55,207.00,184300,207.00
2012-11-08,198.85,207.45,196.05,206.45,425100,206.45
2012-11-07,190.95,202.00,190.10,200.80,906800,200.80
2012-11-06,190.60,192.50,190.00,190.65,120300,190.65
2012-11-05,191.05,193.05,188.60,189.45,158500,189.45
2012-11-02,195.00,195.60,190.25,191.35,87700,191.35
2012-11-01,193.20,195.00,191.35,193.35,147400,193.35
2012-10-31,193.90,196.00,189.00,192.30,139500,192.30
2012-10-30,198.90,199.75,192.00,193.50,95400,193.50
