Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,91.20,91.20,91.20,91.20,000,91.20
2012-12-24,90.50,91.40,90.25,91.20,2900700,91.20
2012-12-21,90.60,91.80,89.60,90.35,899400,90.35
2012-12-20,90.75,91.90,90.60,90.95,1923700,90.95
2012-12-19,91.35,92.10,90.10,90.85,2416700,90.85
2012-12-18,89.90,91.70,89.40,90.95,2752100,90.95
2012-12-17,95.25,96.50,88.95,90.30,3534100,90.30
2012-12-14,95.10,95.90,92.30,92.95,3379300,92.95
2012-12-13,96.40,98.50,94.95,95.95,2189500,95.95
2012-12-12,95.85,97.25,94.80,96.65,846100,96.65
2012-12-11,95.00,97.00,94.20,95.40,986400,95.40
2012-12-10,94.50,95.00,93.20,94.70,1428800,94.70
2012-12-07,94.25,95.50,92.70,94.60,1546900,94.60
2012-12-06,90.80,94.70,89.85,93.90,1589000,93.90
2012-12-05,86.90,90.80,86.75,90.20,2338100,90.20
2012-12-04,85.00,86.95,85.00,86.50,1334700,86.50
2012-12-03,84.00,85.10,83.60,84.85,1189200,84.85
2012-11-30,85.20,85.50,83.25,84.15,1198400,84.15
2012-11-29,85.50,85.70,84.65,85.00,690400,85.00
2012-11-28,85.70,85.70,85.70,85.70,000,85.70
2012-11-27,86.00,87.00,85.50,85.70,980300,85.70
2012-11-26,85.35,88.30,85.00,85.95,1116200,85.95
2012-11-23,85.25,85.90,84.75,85.35,217900,85.35
2012-11-22,84.65,85.50,84.60,85.05,467300,85.05
2012-11-21,86.15,86.25,84.60,85.05,271000,85.05
2012-11-20,84.90,86.40,84.90,85.50,852600,85.50
2012-11-19,82.55,85.10,82.30,84.60,616900,84.60
2012-11-16,82.50,84.05,82.30,82.30,175500,82.30
2012-11-15,83.50,83.80,81.75,82.80,442600,82.80
2012-11-14,82.25,82.25,82.25,82.25,000,82.25
2012-11-13,82.25,82.25,82.25,82.25,000,82.25
2012-11-12,82.60,83.00,81.95,82.25,1583100,82.25
2012-11-09,83.00,83.05,82.10,82.55,740700,82.55
2012-11-08,84.25,84.35,82.40,82.85,1160100,82.85
2012-11-07,85.85,85.85,83.65,84.40,1096800,84.40
2012-11-06,83.30,85.25,83.25,84.95,668600,84.95
2012-11-05,82.40,84.10,82.40,83.25,1169000,83.25
