Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,116.60,116.60,116.60,116.60,000,116.60
2012-12-24,114.95,117.50,114.95,116.60,141800,116.60
2012-12-21,114.40,115.40,113.55,114.35,140100,114.35
2012-12-20,116.00,116.00,114.00,114.20,95900,114.20
2012-12-19,115.85,117.50,114.50,115.20,130800,115.20
2012-12-18,115.60,116.00,114.15,115.35,123600,115.35
2012-12-17,116.95,117.50,113.95,114.30,157500,114.30
2012-12-14,117.80,117.80,115.25,115.95,126700,115.95
2012-12-13,120.65,121.40,116.70,117.05,97100,117.05
2012-12-12,119.15,122.80,119.15,120.50,54500,120.50
2012-12-11,122.05,123.25,118.25,119.95,120900,119.95
2012-12-10,119.10,123.90,99.95,121.90,111300,121.90
2012-12-07,122.10,124.75,121.55,122.00,177500,122.00
2012-12-06,124.00,124.70,120.70,121.55,160500,121.55
2012-12-05,124.90,126.05,122.00,123.40,105000,123.40
2012-12-04,122.55,125.35,122.55,123.85,95400,123.85
2012-12-03,125.40,127.75,122.80,124.75,326800,124.75
2012-11-30,124.10,126.20,121.25,125.20,376700,125.20
2012-11-29,126.90,127.00,122.05,123.15,353600,123.15
2012-11-28,124.10,124.10,124.10,124.10,000,124.10
2012-11-27,115.85,125.95,115.85,124.10,983600,124.10
2012-11-26,113.55,116.70,113.50,114.85,149600,114.85
2012-11-23,115.25,116.50,112.65,113.30,159400,113.30
2012-11-22,115.20,117.50,114.00,115.50,110400,115.50
2012-11-21,116.45,117.95,114.10,114.95,135100,114.95
2012-11-20,119.25,120.90,116.25,116.95,336500,116.95
2012-11-19,117.70,119.95,115.00,116.60,137500,116.60
2012-11-16,116.30,120.50,115.05,117.70,374200,117.70
2012-11-15,114.85,117.90,113.55,116.65,140100,116.65
2012-11-14,114.55,114.55,114.55,114.55,000,114.55
2012-11-13,114.55,114.55,114.55,114.55,000,114.55
2012-11-12,116.05,116.95,114.00,114.55,166600,114.55
2012-11-09,117.05,118.00,115.20,115.85,181500,115.85
2012-11-08,117.20,118.90,116.55,116.80,292400,116.80
2012-11-07,120.20,121.10,119.15,119.45,266500,116.45
2012-11-06,120.65,121.00,119.35,119.90,164600,116.89
2012-11-05,120.20,122.80,119.25,119.80,194800,116.79
2012-11-02,120.85,123.20,119.40,119.95,1017500,116.94
2012-11-01,121.75,121.85,119.55,119.80,218500,116.79
2012-10-31,118.85,121.95,118.80,119.85,105700,116.84
2012-10-30,123.65,123.65,119.00,119.75,228100,116.74
2012-10-29,123.00,123.85,121.90,122.50,119400,119.42
2012-10-26,124.65,124.65,124.65,124.65,000,121.52
2012-10-25,127.85,128.50,123.75,124.65,406000,121.52
2012-10-24,128.65,128.65,128.65,128.65,000,125.42
2012-10-23,129.20,131.90,126.55,128.65,541500,125.42
2012-10-22,126.10,130.50,124.25,128.00,891200,124.79
2012-10-19,125.80,129.45,125.30,126.15,384700,122.98
2012-10-18,125.50,126.35,123.35,125.00,163600,121.86
2012-10-17,124.55,126.85,123.10,125.75,261300,122.59
2012-10-16,128.00,128.80,123.20,123.80,191300,120.69
2012-10-15,131.00,131.00,126.45,127.15,147600,123.96
2012-10-12,129.00,129.50,125.15,127.45,577400,124.25
2012-10-11,127.00,129.20,125.10,128.30,335800,125.08
2012-10-10,130.00,130.00,122.65,126.80,2649000,123.62
2012-10-09,132.05,135.90,132.05,134.20,483400,130.83
2012-10-08,130.50,133.90,129.80,131.80,340500,128.49
2012-10-05,132.50,133.95,127.40,129.25,483000,126.00
2012-10-04,137.00,138.80,131.50,132.20,569100,128.88
2012-10-03,134.75,138.40,134.10,135.95,784400,132.54
2012-10-02,133.80,133.80,133.80,133.80,000,130.44
2012-10-01,130.40,135.50,130.40,133.80,670600,130.44
2012-09-28,132.00,133.45,130.00,130.15,401800,126.88
2012-09-27,130.15,133.50,129.15,130.35,1533300,127.08
2012-09-26,132.80,135.50,129.60,130.35,976200,127.08
2012-09-25,135.60,136.75,131.30,133.60,1319700,130.24
2012-09-24,142.90,142.90,134.05,134.60,675000,131.22
2012-09-21,143.55,144.45,136.20,141.05,1294200,137.51
2012-09-20,140.30,147.15,140.20,143.05,1450900,139.46
2012-09-19,140.75,140.75,140.75,140.75,000,137.22
2012-09-18,135.00,142.80,132.20,140.75,1403100,137.22
2012-09-17,138.30,138.80,132.05,135.20,940500,131.80
2012-09-14,141.80,143.05,136.10,136.80,739600,133.36
2012-09-13,148.00,148.00,138.25,139.90,1166400,136.39
2012-09-12,139.85,144.20,136.15,143.50,2599500,139.90
2012-09-11,129.70,139.30,129.00,137.85,3180200,134.39
2012-09-10,122.80,129.50,122.10,128.30,902600,125.08
2012-09-07,122.65,124.35,121.30,121.75,943500,118.69
2012-09-06,119.20,123.90,118.55,121.40,940000,118.35
2012-09-05,121.25,123.10,118.55,119.10,393400,116.11
2012-09-04,117.70,122.15,116.90,121.70,520100,118.64
