Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,48.55,48.55,48.55,48.55,000,48.55
2012-12-24,48.75,49.25,47.50,48.55,343300,48.55
2012-12-21,48.50,48.50,47.30,48.25,295700,48.25
2012-12-20,48.60,49.40,48.40,48.50,285500,48.50
2012-12-19,49.25,49.45,48.80,49.00,356300,49.00
2012-12-18,48.25,49.40,48.25,48.80,392000,48.80
2012-12-17,49.00,49.85,48.50,48.70,244000,48.70
2012-12-14,49.20,49.70,48.80,49.05,278000,49.05
2012-12-13,49.80,51.30,48.80,49.00,702700,49.00
2012-12-12,50.10,50.20,49.30,49.50,319600,49.50
2012-12-11,51.05,51.40,49.15,49.70,467400,49.70
2012-12-10,51.35,51.90,50.55,50.80,369000,50.80
2012-12-07,52.50,52.50,50.50,51.00,634200,51.00
2012-12-06,52.45,52.50,50.90,51.50,899300,51.50
2012-12-05,52.00,53.15,51.60,51.90,1458200,51.90
2012-12-04,50.00,52.90,49.55,51.50,2946200,51.50
2012-12-03,48.35,50.60,47.70,49.80,1406600,49.80
2012-11-30,49.95,50.35,47.25,47.65,1120600,47.65
2012-11-29,50.45,50.80,49.20,49.55,641500,49.55
2012-11-28,49.95,49.95,49.95,49.95,000,49.95
2012-11-27,49.80,51.30,49.20,49.95,1120400,49.95
2012-11-26,51.00,51.00,48.70,49.40,1484800,49.40
2012-11-23,46.80,52.15,46.70,50.25,8390500,50.25
2012-11-22,45.95,46.50,45.50,45.85,206500,45.85
2012-11-21,45.85,46.30,45.40,45.80,193500,45.80
2012-11-20,46.45,47.00,45.10,45.35,260300,45.35
2012-11-19,48.15,48.25,46.30,46.45,222900,46.45
2012-11-16,49.00,49.60,47.35,47.75,682300,47.75
2012-11-15,46.65,49.90,46.00,48.40,1381400,48.40
2012-11-14,45.65,45.65,45.65,45.65,000,45.65
2012-11-13,45.65,45.65,45.65,45.65,000,45.65
2012-11-12,45.60,46.40,45.50,45.65,232600,45.65
2012-11-09,46.05,46.40,45.50,45.65,302600,45.65
2012-11-08,46.90,46.90,45.60,46.05,777900,46.05
2012-11-07,45.40,48.50,45.10,47.00,1192700,47.00
2012-11-06,45.75,45.85,45.00,45.10,303000,45.10
2012-11-05,46.15,46.70,45.20,45.70,173100,45.70
2012-11-02,46.15,46.75,46.00,46.20,228600,46.20
2012-11-01,45.05,46.10,44.60,45.90,259400,45.90
2012-10-31,44.80,45.45,43.50,45.15,291500,45.15
2012-10-30,45.05,45.90,44.50,44.55,251900,44.55
2012-10-29,46.20,46.55,45.20,45.50,186900,45.50
2012-10-26,47.20,47.20,47.20,47.20,000,47.20
2012-10-25,47.75,48.00,46.95,47.20,276100,47.20
2012-10-24,46.90,46.90,46.90,46.90,000,46.90
2012-10-23,46.65,48.05,46.65,46.90,332700,46.90
2012-10-22,48.05,48.05,46.50,46.65,399700,46.65
2012-10-19,49.50,49.50,48.00,48.10,549900,48.10
2012-10-18,48.50,50.40,48.40,49.60,452400,49.60
2012-10-17,49.75,50.20,48.45,49.00,300000,49.00
2012-10-16,50.50,51.50,49.00,49.25,398200,49.25
2012-10-15,50.70,50.70,49.65,50.15,310000,50.15
2012-10-12,50.80,51.60,50.10,50.40,494100,50.40
2012-10-11,49.95,50.50,47.00,50.20,582800,50.20
2012-10-10,51.50,51.60,49.50,49.70,518100,49.70
2012-10-09,53.00,53.80,51.35,51.80,600300,51.80
