Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,48.25,48.25,48.25,48.25,000,48.25
2012-12-24,48.00,48.70,47.45,48.25,112900,48.25
2012-12-21,50.85,51.40,47.25,47.80,720000,47.80
2012-12-20,49.45,51.25,49.00,50.00,442700,50.00
2012-12-19,48.85,49.40,48.35,48.60,304400,48.60
2012-12-18,46.40,48.65,45.60,47.85,399800,47.85
2012-12-17,48.30,49.20,46.20,46.55,214100,46.55
2012-12-14,48.65,49.60,48.00,48.75,95500,48.75
2012-12-13,49.30,49.65,48.00,48.45,159300,48.45
2012-12-12,50.55,50.85,49.00,49.20,143000,49.20
2012-12-11,51.00,51.95,49.60,49.90,168900,49.90
2012-12-10,51.20,52.75,50.60,50.85,222600,50.85
2012-12-07,50.10,52.20,49.00,50.60,163800,50.60
2012-12-06,52.80,52.80,49.90,50.90,260700,50.90
2012-12-05,52.50,54.40,51.25,52.00,617200,52.00
2012-12-04,47.00,53.80,46.65,51.95,1993800,51.95
2012-12-03,47.25,47.90,46.65,46.90,63400,46.90
2012-11-30,46.35,49.00,45.80,46.65,262100,46.65
2012-11-29,45.85,46.60,45.05,45.50,113400,45.50
2012-11-28,45.80,45.80,45.80,45.80,000,45.80
2012-11-27,45.00,47.00,45.00,45.80,114300,45.80
2012-11-26,46.00,46.45,44.45,45.05,86800,45.05
2012-11-23,46.95,47.50,45.85,46.15,57700,46.15
2012-11-22,47.10,47.20,46.50,46.65,33700,46.65
2012-11-21,47.65,47.65,46.10,46.60,69200,46.60
2012-11-20,48.95,49.05,47.25,47.60,119000,47.60
2012-11-19,48.20,49.00,46.75,48.45,248300,48.45
2012-11-16,47.65,49.35,47.50,47.65,102200,47.65
2012-11-15,48.65,49.45,47.60,47.85,79000,47.85
2012-11-14,48.80,48.80,48.80,48.80,000,48.80
2012-11-13,48.80,48.80,48.80,48.80,000,48.80
2012-11-12,50.30,50.30,48.30,48.80,169200,48.80
2012-11-09,51.80,52.95,48.70,49.40,158000,49.40
2012-11-08,51.75,52.65,50.70,52.35,83700,52.35
2012-11-07,53.55,53.55,51.50,51.70,78200,51.70
2012-11-06,52.85,54.70,52.45,53.50,251800,53.50
2012-11-05,52.30,53.00,51.10,52.75,103100,52.75
2012-11-02,51.50,53.30,51.10,51.65,99700,51.65
2012-11-01,49.60,51.90,49.60,50.90,70800,50.90
2012-10-31,49.50,50.55,49.25,50.00,44600,50.00
2012-10-30,51.10,51.80,49.50,49.65,63600,49.65
2012-10-29,50.60,52.45,50.60,51.55,84800,51.55
2012-10-26,52.25,52.25,52.25,52.25,000,52.25
2012-10-25,50.10,53.50,50.10,52.25,59700,52.25
2012-10-24,52.75,52.75,52.75,52.75,000,52.75
2012-10-23,53.25,53.30,51.60,52.75,96700,52.75
2012-10-22,53.00,53.75,52.60,52.75,43500,52.75
2012-10-19,53.55,55.10,52.65,53.00,132000,53.00
2012-10-18,53.45,53.60,51.55,53.30,134500,53.30
2012-10-17,52.50,53.10,51.80,52.00,41500,52.00
2012-10-16,53.40,54.00,52.10,52.25,95100,52.25
2012-10-15,53.50,53.95,53.10,53.40,42000,53.40
2012-10-12,52.80,54.30,52.55,53.55,140400,53.55
2012-10-11,52.50,54.20,52.50,53.15,95900,53.15
2012-10-10,53.80,54.15,52.30,52.65,91600,52.65
2012-10-09,54.30,55.80,53.70,54.10,151700,54.10
2012-10-08,55.70,55.90,52.50,53.20,153700,53.20
2012-10-05,57.80,58.00,54.70,55.15,155300,55.15
2012-10-04,57.05,58.90,56.60,57.35,253600,57.35
2012-10-03,56.50,57.90,55.10,57.00,200100,57.00
2012-10-02,55.60,55.60,55.60,55.60,000,55.60
2012-10-01,57.50,57.50,55.25,55.60,211900,55.60
2012-09-28,57.00,58.60,55.60,57.50,187400,57.50
2012-09-27,57.00,58.80,56.55,57.15,281000,57.15
2012-09-26,54.00,56.90,53.15,56.00,257300,56.00
2012-09-25,55.30,55.30,52.40,54.05,172600,54.05
2012-09-24,51.85,56.80,51.85,54.85,333300,54.85
2012-09-21,49.65,53.00,49.65,51.70,193300,51.70
2012-09-20,50.25,51.00,49.55,49.95,92900,48.95
2012-09-19,51.25,51.25,51.25,51.25,000,50.22
2012-09-18,51.90,52.00,50.90,51.25,158100,50.22
2012-09-17,51.85,52.00,50.75,51.65,84700,50.62
2012-09-14,51.10,51.50,49.80,50.40,166300,49.39
2012-09-13,50.25,51.40,50.00,50.15,43900,49.15
2012-09-12,51.00,51.90,48.25,51.00,147700,49.98
2012-09-11,52.80,53.40,50.40,50.60,69700,49.59
2012-09-10,47.75,52.50,47.50,52.00,252500,50.96
2012-09-07,49.20,49.80,48.30,48.45,90800,47.48
2012-09-06,48.45,49.00,47.70,48.10,141200,47.14
2012-09-05,49.90,50.00,48.40,49.00,122000,48.02
2012-09-04,48.55,50.50,46.90,49.75,223400,48.75
2012-09-03,51.00,51.55,48.10,48.50,138600,47.53
2012-08-31,47.95,51.70,47.10,50.65,355100,49.64
2012-08-30,52.00,52.00,46.80,47.55,379700,46.60
2012-08-29,53.55,53.85,51.05,52.45,112300,51.40
2012-08-28,56.25,56.90,52.90,53.85,225300,52.77
2012-08-27,59.05,59.50,54.60,56.25,240000,55.12
2012-08-24,60.00,60.00,58.75,59.25,86900,58.06
2012-08-23,60.00,60.55,59.70,60.05,125400,58.85
2012-08-22,59.40,61.40,59.10,59.95,112200,58.75
2012-08-21,60.50,60.65,58.85,59.75,150200,58.55
2012-08-20,60.10,60.10,60.10,60.10,000,58.90
2012-08-17,61.05,62.20,59.85,60.10,231500,58.90
2012-08-16,60.85,62.95,60.30,61.20,326800,59.97
2012-08-15,61.00,61.00,61.00,61.00,000,59.78
2012-08-14,61.10,61.80,59.85,61.00,189900,59.78
2012-08-13,59.90,61.70,59.35,61.00,94300,59.78
2012-08-10,59.70,60.70,59.10,60.30,117600,59.09
2012-08-09,60.90,61.00,59.10,60.05,184300,58.85
2012-08-08,59.50,61.50,58.05,60.35,425900,59.14
2012-08-07,61.00,61.00,58.45,59.05,284800,57.87
2012-08-06,62.00,62.50,59.20,60.15,851600,58.95
2012-08-03,62.80,64.00,60.95,61.45,436100,60.22
2012-08-02,61.90,64.25,61.50,63.80,579700,62.52
2012-08-01,59.65,61.90,59.55,61.35,874900,60.12
2012-07-31,59.75,60.80,58.50,59.10,769300,57.92
2012-07-30,59.45,60.40,57.30,59.85,152900,58.65
2012-07-27,59.40,60.40,58.40,59.05,540400,57.87
