Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,179.35,179.35,179.35,179.35,000,179.35
2012-12-24,177.05,182.45,177.05,179.35,186300,179.35
2012-12-21,182.75,184.45,174.35,177.15,281300,177.15
2012-12-20,177.00,186.20,175.20,184.15,730600,184.15
2012-12-19,173.70,191.60,173.00,177.05,1473700,177.05
2012-12-18,170.95,177.70,167.70,172.75,203600,172.75
2012-12-17,170.10,172.00,166.35,169.85,273500,169.85
2012-12-14,160.65,175.90,156.75,169.60,435300,169.60
2012-12-13,161.40,162.00,159.00,160.55,151800,160.55
2012-12-12,165.65,165.70,158.20,161.45,108300,161.45
2012-12-11,166.85,168.70,161.15,164.25,664600,164.25
2012-12-10,163.70,167.90,163.10,166.20,416400,166.20
2012-12-07,167.00,167.90,156.30,162.40,163500,162.40
2012-12-06,163.70,170.85,162.20,165.70,251100,165.70
2012-12-05,163.60,165.40,162.20,162.55,438900,162.55
2012-12-04,165.45,166.00,161.10,162.15,49700,162.15
2012-12-03,165.70,167.40,164.05,165.80,105700,165.80
2012-11-30,169.50,171.45,163.85,164.60,295500,164.60
2012-11-29,163.45,170.20,163.45,169.30,609200,169.30
2012-11-28,162.80,162.80,162.80,162.80,000,162.80
2012-11-27,162.75,165.90,160.50,162.80,88900,162.80
2012-11-26,156.50,166.00,155.95,162.55,255600,162.55
2012-11-23,158.70,158.95,155.25,156.10,114900,156.10
2012-11-22,161.80,163.20,156.70,158.05,185900,158.05
2012-11-21,156.35,161.70,154.25,160.60,507700,160.60
2012-11-20,158.10,159.35,153.00,155.50,58400,155.50
2012-11-19,156.35,163.25,152.30,157.65,121900,157.65
2012-11-16,159.70,161.90,153.20,155.45,59300,155.45
2012-11-15,162.45,166.00,157.35,158.85,759200,158.85
2012-11-14,162.80,162.80,162.80,162.80,000,162.80
2012-11-13,162.80,162.80,162.80,162.80,000,162.80
2012-11-12,161.70,166.90,161.15,162.80,138200,162.80
2012-11-09,165.50,167.70,159.10,162.15,200100,162.15
2012-11-08,163.95,169.60,163.95,166.90,334900,166.90
2012-11-07,158.75,171.80,158.25,166.70,471400,166.70
2012-11-06,157.00,159.90,152.00,158.70,222900,158.70
2012-11-05,157.75,160.90,155.90,156.75,171900,156.75
2012-11-02,159.65,163.10,156.55,157.35,344500,157.35
2012-11-01,155.40,167.15,153.65,158.10,1000500,158.10
2012-10-31,150.70,157.45,146.15,154.70,737000,154.70
2012-10-30,158.00,158.05,144.10,149.50,928300,149.50
2012-10-29,156.50,161.80,150.20,157.30,278400,157.30
2012-10-26,150.75,150.75,150.75,150.75,000,150.75
2012-10-25,155.90,155.90,147.50,150.75,205700,150.75
2012-10-24,154.30,154.30,154.30,154.30,000,154.30
2012-10-23,147.95,156.80,147.95,154.30,250500,154.30
2012-10-22,147.95,153.75,146.05,148.50,230300,148.50
2012-10-19,147.95,148.95,146.60,148.30,114500,148.30
2012-10-18,148.60,151.35,147.30,149.00,283800,149.00
