Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,50.05,50.05,50.05,50.05,000,50.05
2012-12-24,48.50,50.20,48.20,50.05,195900,50.05
2012-12-21,50.00,50.80,46.25,48.25,946600,48.25
2012-12-20,50.75,51.20,49.00,50.35,430800,50.35
2012-12-19,52.25,52.50,50.25,50.50,524700,50.50
2012-12-18,51.90,52.00,50.60,51.80,615200,51.80
2012-12-17,53.25,53.40,50.85,51.85,773300,51.85
2012-12-14,53.35,54.10,52.60,53.55,192300,53.55
2012-12-13,54.00,54.30,52.55,52.65,136500,52.65
2012-12-12,54.80,54.80,53.30,53.55,65700,53.55
2012-12-11,55.50,55.50,53.80,54.05,99900,54.05
2012-12-10,55.85,55.85,54.40,54.60,68600,54.60
2012-12-07,55.00,56.15,54.65,55.85,164100,55.85
2012-12-06,55.20,55.50,54.10,54.45,81300,54.45
2012-12-05,54.60,55.20,54.40,55.00,85900,55.00
2012-12-04,55.00,55.40,54.35,54.85,87900,54.85
2012-12-03,55.40,55.75,54.00,54.20,354300,54.20
2012-11-30,55.00,56.80,54.65,55.90,317100,55.90
2012-11-29,54.65,57.10,54.10,54.45,178000,54.45
2012-11-28,54.55,54.55,54.55,54.55,000,54.55
2012-11-27,53.65,54.90,53.05,54.55,169000,54.55
2012-11-26,53.75,53.85,52.50,52.95,91500,52.95
2012-11-23,54.25,54.25,52.60,52.75,175100,52.75
2012-11-22,54.70,54.70,53.90,54.20,85800,54.20
2012-11-21,54.80,55.30,53.85,53.95,213800,53.95
2012-11-20,54.75,55.95,54.15,54.65,229600,54.65
2012-11-19,56.50,56.50,54.00,54.20,282600,54.20
2012-11-16,53.35,56.00,53.35,55.70,258800,55.70
2012-11-15,55.90,56.00,53.20,53.45,362600,53.45
2012-11-14,56.15,56.15,56.15,56.15,000,56.15
2012-11-13,56.15,56.15,56.15,56.15,000,56.15
2012-11-12,55.10,56.45,54.35,56.15,210600,56.15
2012-11-09,55.50,56.35,54.00,54.25,121000,54.25
2012-11-08,56.95,56.95,55.25,55.40,139100,55.40
2012-11-07,58.80,59.40,57.05,57.25,183800,57.25
2012-11-06,56.10,57.95,56.00,57.75,375100,57.75
2012-11-05,54.65,56.25,54.60,55.80,135200,55.80
2012-11-02,55.05,55.60,54.10,54.25,43400,54.25
2012-11-01,55.35,55.35,54.10,54.55,71300,54.55
2012-10-31,55.20,55.90,54.50,55.55,100900,55.55
