Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,57.40,57.40,57.40,57.40,000,57.40
2012-12-24,57.40,58.20,57.20,57.40,32200,57.40
2012-12-21,58.75,58.75,56.50,56.80,64500,56.80
2012-12-20,59.50,60.70,58.25,58.55,179200,58.55
2012-12-19,55.25,60.90,55.25,58.90,265200,58.90
2012-12-18,55.00,55.75,54.80,55.20,73000,55.20
2012-12-17,55.50,55.85,55.00,55.15,33900,55.15
2012-12-14,55.05,55.90,54.35,55.30,28000,55.30
2012-12-13,56.50,57.10,55.30,55.45,33400,55.45
2012-12-12,57.10,57.75,56.45,56.50,46700,56.50
2012-12-11,57.50,57.90,56.70,56.90,42600,56.90
2012-12-10,57.30,58.45,57.15,57.35,123300,57.35
2012-12-07,57.50,58.30,57.10,57.30,37900,57.30
2012-12-06,58.30,58.45,57.00,57.85,19800,57.85
2012-12-05,58.40,59.00,58.05,58.20,70000,58.20
2012-12-04,58.90,59.10,57.70,57.85,111000,57.85
2012-12-03,57.00,58.70,57.00,58.20,90600,58.20
2012-11-30,57.90,57.90,56.80,57.05,36200,57.05
2012-11-29,55.60,58.25,55.10,57.25,113800,57.25
2012-11-28,55.00,55.00,55.00,55.00,000,55.00
2012-11-27,55.00,55.50,54.30,55.00,41300,55.00
2012-11-26,54.90,55.80,54.70,54.75,44100,54.75
2012-11-23,55.00,55.40,54.65,54.95,33200,54.95
2012-11-22,55.55,55.95,54.65,54.85,32400,54.85
2012-11-21,55.30,56.20,55.00,55.15,23400,55.15
2012-11-20,56.70,56.70,55.10,55.30,36800,55.30
2012-11-19,56.50,56.80,55.65,55.95,57900,55.95
2012-11-16,56.35,57.00,56.20,56.40,53000,56.40
2012-11-15,56.40,57.00,56.20,56.25,54300,56.25
2012-11-14,56.45,56.45,56.45,56.45,000,56.45
2012-11-13,56.45,56.45,56.45,56.45,000,56.45
2012-11-12,56.65,57.20,56.20,56.45,40000,56.45
2012-11-09,57.10,57.50,56.50,56.65,46000,56.65
2012-11-08,56.85,57.95,56.80,57.30,50900,57.30
