Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,73.25,73.25,73.25,73.25,000,73.25
2012-12-24,70.75,73.95,70.75,73.25,314800,73.25
2012-12-21,75.20,75.20,72.60,73.40,657500,73.40
2012-12-20,75.40,75.80,74.00,75.20,591500,75.20
2012-12-19,75.00,75.70,73.60,75.35,955700,75.35
2012-12-18,73.40,75.15,72.90,74.90,1171500,74.90
2012-12-17,73.00,73.70,72.25,72.65,415400,72.65
2012-12-14,72.25,73.20,71.15,72.90,421600,72.90
2012-12-13,73.50,74.75,71.50,72.00,801000,72.00
2012-12-12,74.90,75.00,73.15,73.35,359600,73.35
2012-12-11,75.60,76.05,74.10,74.70,774900,74.70
2012-12-10,68.00,76.50,68.00,75.55,557000,75.55
2012-12-07,77.45,77.90,75.40,76.25,1231600,76.25
2012-12-06,74.25,77.50,74.05,76.95,2442700,76.95
2012-12-05,75.25,75.70,74.00,74.70,651300,74.70
2012-12-04,76.55,77.00,74.65,74.90,1723600,74.90
2012-12-03,71.30,76.20,71.30,75.85,3123800,75.85
2012-11-30,68.75,72.80,68.75,71.90,2671900,71.90
2012-11-29,70.00,71.50,70.00,70.85,595000,70.85
2012-11-28,70.20,70.20,70.20,70.20,000,70.20
2012-11-27,69.60,71.10,69.00,70.20,608900,70.20
2012-11-26,70.65,71.50,68.50,68.80,676900,68.80
2012-11-23,70.50,71.00,69.65,70.65,697000,70.65
2012-11-22,67.20,71.25,66.40,70.50,1655200,70.50
2012-11-21,68.50,69.80,67.30,68.05,665500,68.05
2012-11-20,69.35,69.70,68.00,68.40,629400,68.40
2012-11-19,70.60,70.80,67.85,68.45,532600,68.45
2012-11-16,71.70,73.30,70.05,70.55,1860900,70.55
2012-11-15,70.20,72.15,68.60,71.50,1329300,71.50
2012-11-14,70.20,70.20,70.20,70.20,000,70.20
2012-11-13,70.20,70.20,70.20,70.20,000,70.20
2012-11-12,69.80,70.70,67.95,70.20,1098900,70.20
2012-11-09,70.20,70.95,68.15,68.70,1338000,68.70
2012-11-08,69.20,70.45,68.15,70.00,1049300,70.00
2012-11-07,69.75,70.40,69.15,69.55,574000,69.55
2012-11-06,68.80,70.25,68.60,69.75,1067400,69.75
2012-11-05,69.00,69.00,67.85,68.60,489400,68.60
2012-11-02,65.70,68.80,65.50,68.45,1845800,68.45
2012-11-01,63.85,65.60,63.60,65.05,963300,65.05
2012-10-31,63.00,64.20,62.20,63.85,570300,63.85
2012-10-30,64.00,64.35,62.25,62.55,453300,62.55
2012-10-29,64.00,64.45,63.15,63.60,451900,63.60
2012-10-26,64.75,64.75,64.75,64.75,000,64.75
2012-10-25,66.00,66.40,64.00,64.75,1221700,64.75
2012-10-24,66.40,66.40,66.40,66.40,000,66.40
2012-10-23,67.75,68.05,66.20,66.40,462800,66.40
2012-10-22,67.00,68.60,66.30,67.50,740500,67.50
2012-10-19,68.20,68.80,67.30,67.70,424700,67.70
2012-10-18,67.55,68.60,66.75,68.00,982900,68.00
2012-10-17,68.00,68.55,66.50,67.20,715700,67.20
2012-10-16,69.30,69.95,67.15,67.65,414500,67.65
2012-10-15,70.40,70.40,69.10,69.35,360500,69.35
2012-10-12,68.00,71.60,68.00,70.30,1176700,70.30
2012-10-11,68.10,69.70,66.75,69.45,785700,69.45
2012-10-10,70.45,70.50,67.70,68.05,815600,68.05
2012-10-09,69.55,71.50,69.40,70.90,1372000,70.90
2012-10-08,71.00,71.15,68.65,69.00,752500,69.00
2012-10-05,71.85,72.20,67.40,70.20,898800,70.20
2012-10-04,72.90,72.90,70.95,71.20,1007900,71.20
2012-10-03,71.00,72.85,70.25,71.80,1753700,71.80
2012-10-02,70.25,70.25,70.25,70.25,000,70.25
2012-10-01,71.00,71.45,69.75,70.25,1064900,70.25
2012-09-28,69.00,72.25,68.50,70.90,2078100,70.90
2012-09-27,69.00,70.95,67.70,68.20,1877400,68.20
2012-09-26,69.05,69.30,67.40,68.90,1474400,68.90
2012-09-25,69.70,71.70,68.30,69.00,3652800,69.00
2012-09-24,67.05,69.80,66.25,67.90,2480000,67.90
2012-09-21,62.10,69.25,62.10,66.35,5138400,66.35
2012-09-20,61.00,63.40,60.60,61.95,3253600,61.95
2012-09-19,61.10,61.10,61.10,61.10,000,61.10
2012-09-18,59.00,62.00,59.00,61.10,3189400,61.10
2012-09-17,57.55,59.80,56.30,58.60,2463900,58.60
2012-09-14,54.20,55.60,53.95,55.20,974800,55.20
2012-09-13,54.20,54.20,53.00,53.20,493500,53.20
2012-09-12,54.50,54.50,53.30,53.65,446000,53.65
2012-09-11,54.70,55.00,53.85,54.20,710200,52.70
2012-09-10,55.70,56.05,55.00,55.30,532700,53.77
2012-09-07,54.90,55.45,54.50,55.05,483400,53.53
2012-09-06,55.00,55.55,53.65,53.85,810400,52.36
2012-09-05,55.80,56.50,54.75,54.90,380700,53.38
2012-09-04,56.00,56.70,55.20,56.35,598700,54.79
2012-09-03,55.05,56.50,55.05,55.55,304200,54.01
2012-08-31,55.55,56.40,54.90,55.65,411000,54.11
2012-08-30,55.50,56.25,54.65,55.15,659500,53.62
2012-08-29,56.00,57.00,55.20,55.70,451500,54.16
2012-08-28,57.00,57.20,55.90,56.40,689100,54.84
2012-08-27,57.95,58.10,56.90,57.15,482600,55.57
2012-08-24,58.10,59.00,57.55,58.00,711200,56.39
2012-08-23,58.20,58.95,57.80,58.15,356000,56.54
2012-08-22,57.10,59.25,57.05,58.15,504100,56.54
2012-08-21,58.00,59.10,57.65,57.95,567000,56.35
2012-08-20,58.30,58.30,58.30,58.30,000,56.69
2012-08-17,60.20,60.75,58.05,58.30,701000,56.69
2012-08-16,59.80,60.45,59.25,59.90,523200,58.24
2012-08-15,59.80,59.80,59.80,59.80,000,58.15
2012-08-14,60.55,60.90,59.00,59.80,1100300,58.15
2012-08-13,60.75,61.45,59.85,61.25,459900,59.55
2012-08-10,58.95,61.10,58.80,60.70,609600,59.02
2012-08-09,60.80,61.25,59.10,59.50,481900,57.85
2012-08-08,61.35,61.80,60.15,60.45,544900,58.78
2012-08-07,60.85,61.55,59.70,61.00,1036600,59.31
2012-08-06,59.95,60.65,59.00,60.25,824900,58.58
2012-08-03,59.00,59.40,57.70,59.10,603800,57.46
2012-08-02,58.75,59.90,57.80,59.55,779800,57.90
2012-08-01,57.00,59.00,56.50,58.55,867500,56.93
2012-07-31,58.50,58.90,56.20,56.65,967300,55.08
2012-07-30,55.20,57.90,55.10,57.55,742200,55.96
2012-07-27,56.90,57.65,54.65,54.95,489600,53.43
2012-07-26,56.50,57.30,55.55,56.10,1053000,54.55
2012-07-25,57.75,58.10,56.00,56.30,917700,54.74
2012-07-24,58.75,58.80,57.70,58.00,560100,56.39
2012-07-23,58.30,58.80,58.00,58.20,403300,56.59
2012-07-20,61.10,61.25,59.10,59.35,546600,57.71
2012-07-19,61.45,62.40,61.10,61.25,680600,59.55
2012-07-18,60.45,61.60,59.85,60.85,1005000,59.17
2012-07-17,62.25,62.35,59.60,60.00,740500,58.34
2012-07-16,62.85,63.10,61.25,61.70,488100,59.99
2012-07-13,62.10,63.85,62.05,62.30,463300,60.58
2012-07-12,64.40,64.40,62.90,63.20,606000,61.45
2012-07-11,65.05,65.30,63.70,64.50,851900,62.71
2012-07-10,62.00,65.60,61.40,64.80,1549700,63.01
2012-07-09,64.00,64.00,61.60,62.15,617400,60.43
2012-07-06,65.55,65.60,63.75,64.15,802800,62.37
2012-07-05,64.45,65.15,64.45,64.90,752300,63.10
2012-07-04,64.30,65.00,63.15,64.55,780200,62.76
2012-07-03,65.25,65.55,62.90,63.25,1274200,61.50
2012-07-02,65.50,66.35,64.45,64.85,1229700,63.06
