Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,144.80,144.80,144.80,144.80,000,144.80
2012-12-24,145.50,147.00,143.15,144.80,26800,144.80
2012-12-21,145.00,146.20,144.95,145.50,48000,145.50
2012-12-20,140.55,145.85,140.55,144.60,25800,144.60
2012-12-19,144.20,145.95,143.25,143.55,43600,143.55
2012-12-18,143.00,145.95,143.00,144.20,36900,144.20
2012-12-17,144.95,145.90,144.05,144.65,19000,144.65
2012-12-14,143.50,149.90,139.50,143.95,59900,143.95
2012-12-13,143.15,146.00,142.10,142.95,353300,142.95
2012-12-12,143.00,148.50,142.95,143.15,26700,143.15
2012-12-11,150.00,151.75,145.25,146.60,68600,146.60
2012-12-10,152.00,152.00,148.50,149.60,31200,149.60
2012-12-07,152.00,154.00,151.20,152.00,90100,152.00
2012-12-06,149.90,152.00,146.30,150.45,80600,150.45
2012-12-05,153.40,154.80,148.10,149.55,219200,149.55
2012-12-04,148.00,153.65,142.45,150.95,238200,150.95
2012-12-03,146.75,149.70,143.00,146.35,100500,146.35
2012-11-30,146.80,150.50,144.10,145.95,183000,145.95
2012-11-29,143.90,151.05,143.90,144.90,220800,144.90
2012-11-28,143.90,143.90,143.90,143.90,000,143.90
2012-11-27,144.70,148.10,142.30,143.90,367000,143.90
2012-11-26,134.10,141.05,134.10,141.05,122200,141.05
2012-11-23,134.00,136.00,132.90,134.35,35100,134.35
2012-11-22,135.00,136.95,132.05,133.60,25900,133.60
2012-11-21,137.80,138.00,134.10,134.85,44700,134.85
2012-11-20,136.00,136.45,132.30,134.70,89700,134.70
2012-11-19,137.00,139.90,133.70,135.00,787200,135.00
2012-11-16,138.95,140.90,136.25,137.15,1225100,137.15
2012-11-15,143.70,144.50,133.20,137.05,404900,137.05
2012-11-14,133.40,133.40,133.40,133.40,000,133.40
2012-11-13,133.40,133.40,133.40,133.40,000,133.40
2012-11-12,131.85,133.40,128.10,133.40,168400,133.40
2012-11-09,122.00,127.05,121.25,127.05,904900,127.05
