Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,71.85,71.85,71.85,71.85,000,71.85
2012-12-24,69.70,73.70,69.10,71.85,89000,71.85
2012-12-21,70.80,72.50,68.25,69.65,55900,69.65
2012-12-20,70.00,71.20,69.00,69.45,30200,69.45
2012-12-19,71.25,72.20,70.00,70.55,37700,70.55
2012-12-18,71.20,72.00,70.00,70.10,40400,70.10
2012-12-17,71.00,73.00,68.20,70.25,35700,70.25
2012-12-14,70.10,71.50,69.20,69.85,67900,69.85
2012-12-13,73.00,73.00,69.10,69.85,49500,69.85
2012-12-12,73.00,73.75,71.00,72.40,132100,72.40
2012-12-11,70.60,78.50,70.40,72.95,1330000,72.95
2012-12-10,66.45,70.00,65.25,69.10,196600,69.10
2012-12-07,68.00,68.00,65.25,66.45,45400,66.45
2012-12-06,66.05,67.05,64.25,66.75,65200,66.75
2012-12-05,63.95,66.50,62.65,66.05,103200,66.05
2012-12-04,60.90,63.85,60.20,62.60,48100,62.60
2012-12-03,61.90,62.20,60.15,60.90,25300,60.90
2012-11-30,64.95,64.95,61.70,61.90,21700,61.90
2012-11-29,64.95,64.95,61.65,62.05,29700,62.05
2012-11-28,62.45,62.45,62.45,62.45,000,62.45
2012-11-27,61.95,63.00,61.50,62.45,21100,62.45
2012-11-26,62.60,62.85,61.25,61.70,17000,61.70
2012-11-23,63.00,63.85,61.85,62.50,25400,62.50
2012-11-22,64.95,64.95,62.50,63.00,23000,63.00
2012-11-21,63.65,63.75,62.60,62.85,15200,62.85
2012-11-20,65.25,65.25,63.25,63.65,11800,63.65
2012-11-19,66.00,66.00,65.00,65.25,18200,65.25
2012-11-16,66.30,66.30,65.25,65.40,23800,65.40
2012-11-15,65.85,66.50,65.00,65.90,20600,65.90
2012-11-14,64.50,64.50,64.50,64.50,000,64.50
2012-11-13,64.50,64.50,64.50,64.50,000,64.50
2012-11-12,64.65,66.25,63.55,64.50,39200,64.50
2012-11-09,63.00,64.60,63.00,64.00,25800,64.00
2012-11-08,63.95,64.85,62.90,63.15,15000,63.15
2012-11-07,65.70,65.75,63.50,64.10,62700,64.10
2012-11-06,66.00,66.65,63.20,64.85,84600,64.85
2012-11-05,68.00,68.00,64.10,66.40,98500,66.40
2012-11-02,66.00,67.80,65.00,67.20,112400,67.20
2012-11-01,63.00,66.50,62.55,65.30,50200,65.30
2012-10-31,65.75,65.75,63.40,64.05,19300,64.05
2012-10-30,64.50,66.70,63.40,64.55,99100,64.55
2012-10-29,64.90,64.90,62.70,63.55,65400,63.55
2012-10-26,64.60,64.60,64.60,64.60,000,64.60
