Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,503.95,503.95,503.95,503.95,000,503.95
2012-12-24,506.70,507.40,501.10,503.95,301000,503.95
2012-12-21,511.40,512.70,502.00,504.00,327500,504.00
2012-12-20,512.90,517.45,510.50,512.85,601800,512.85
2012-12-19,506.70,514.15,505.05,511.75,836300,511.75
2012-12-18,508.10,510.00,500.10,503.25,516800,503.25
2012-12-17,499.00,508.30,499.00,506.10,387800,506.10
2012-12-14,501.55,503.40,496.50,498.75,608500,498.75
2012-12-13,503.80,505.45,497.00,500.95,790500,500.95
2012-12-12,507.00,507.70,498.50,502.00,652300,502.00
2012-12-11,509.00,514.40,500.00,504.50,675700,504.50
2012-12-10,508.55,510.55,504.00,507.95,502400,507.95
2012-12-07,511.45,514.75,505.10,506.90,516200,506.90
2012-12-06,517.00,517.35,503.30,510.60,645800,510.60
2012-12-05,515.90,519.00,511.50,513.70,771400,513.70
2012-12-04,502.40,514.55,500.40,512.50,915900,512.50
2012-12-03,500.00,508.00,497.60,500.70,679800,500.70
2012-11-30,511.10,511.10,498.20,504.15,1157300,504.15
2012-11-29,505.90,515.00,502.70,513.20,834100,513.20
2012-11-28,503.05,503.05,503.05,503.05,000,503.05
2012-11-27,498.00,505.00,495.80,503.05,692600,503.05
2012-11-26,495.00,501.80,490.00,497.50,853300,497.50
2012-11-23,513.15,514.35,490.70,496.35,1299900,496.35
2012-11-22,519.35,520.40,510.20,512.65,438400,512.65
2012-11-21,512.50,518.85,507.10,517.45,569200,517.45
2012-11-20,515.30,520.60,510.20,511.45,436500,511.45
2012-11-19,523.00,524.05,514.40,515.90,435200,515.90
2012-11-16,524.50,531.00,519.00,521.60,417000,521.60
2012-11-15,530.90,533.85,524.30,527.40,380600,527.40
2012-11-14,531.30,531.30,531.30,531.30,000,531.30
2012-11-13,531.30,531.30,531.30,531.30,000,531.30
2012-11-12,542.25,545.10,528.50,531.30,643500,531.30
2012-11-09,553.70,555.40,540.30,542.75,1112200,542.75
2012-11-08,550.45,559.95,545.25,549.10,3327200,549.10
2012-11-07,548.95,554.90,544.00,550.45,1065000,550.45
2012-11-06,534.10,548.90,533.05,547.75,752900,547.75
2012-11-05,538.70,540.90,533.60,535.00,233400,535.00
2012-11-02,535.45,541.40,533.45,539.55,427900,539.55
2012-11-01,525.10,533.85,523.70,530.90,326100,530.90
2012-10-31,518.25,529.80,518.25,526.10,297600,526.10
2012-10-30,524.95,526.25,519.00,520.80,235200,520.80
2012-10-29,526.05,530.00,517.80,524.20,381400,524.20
2012-10-26,532.10,532.10,532.10,532.10,000,532.10
2012-10-25,541.00,541.95,529.10,532.10,513300,532.10
2012-10-24,540.60,540.60,540.60,540.60,000,540.60
2012-10-23,540.50,545.60,537.65,540.60,241500,540.60
2012-10-22,538.00,544.90,536.90,542.60,284300,542.60
2012-10-19,549.95,553.20,538.00,540.10,475000,540.10
2012-10-18,554.80,554.80,546.10,549.35,477900,549.35
2012-10-17,545.55,552.90,542.70,551.40,659000,551.40
2012-10-16,558.00,558.00,540.70,541.90,836900,541.90
2012-10-15,539.00,548.90,534.60,546.85,904600,546.85
2012-10-12,534.00,543.65,534.00,539.65,617800,539.65
2012-10-11,535.20,541.95,528.65,534.00,834000,534.00
2012-10-10,538.80,544.10,531.10,533.95,845300,533.95
2012-10-09,529.20,540.80,529.20,538.30,890400,538.30
2012-10-08,530.80,534.25,526.35,528.20,324300,528.20
2012-10-05,535.00,538.00,498.30,529.40,734000,529.40
2012-10-04,541.25,543.50,531.20,534.65,877300,534.65
2012-10-03,539.00,546.50,536.75,539.00,952900,539.00
2012-10-02,539.60,539.60,539.60,539.60,000,539.60
2012-10-01,529.80,542.00,529.10,539.60,785300,539.60
2012-09-28,534.25,534.30,524.00,529.75,1244100,529.75
2012-09-27,541.00,541.90,528.10,531.05,1143000,531.05
2012-09-26,527.00,539.95,526.95,536.80,1175000,536.80
2012-09-25,524.00,533.40,517.00,530.55,903200,530.55
2012-09-24,532.00,534.40,517.00,521.65,1093800,521.65
2012-09-21,532.60,541.40,529.65,531.10,1468900,531.10
2012-09-20,521.95,536.45,520.20,529.95,1272000,529.95
2012-09-19,526.90,526.90,526.90,526.90,000,526.90
2012-09-18,522.20,533.95,521.25,526.90,1143300,526.90
2012-09-17,545.00,546.90,520.00,526.15,1595700,526.15
2012-09-14,561.00,561.00,539.00,540.95,1229400,540.95
2012-09-13,560.65,563.30,547.80,551.25,635500,551.25
2012-09-12,561.50,568.00,559.55,561.50,664200,561.50
2012-09-11,558.90,564.50,555.55,559.70,552000,559.70
2012-09-10,555.70,564.50,553.20,560.00,897500,560.00
2012-09-07,552.00,556.05,538.70,546.95,1222600,546.95
