Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,55.75,55.75,55.75,55.75,000,55.75
2012-12-24,55.60,57.25,55.50,55.75,316900,55.75
2012-12-21,57.90,58.60,55.90,56.30,492800,56.30
2012-12-20,58.00,59.80,57.55,57.90,1631200,57.90
2012-12-19,56.05,57.70,55.85,57.25,959000,57.25
2012-12-18,55.30,56.10,55.00,55.20,215600,55.20
2012-12-17,56.90,56.90,55.30,55.85,354000,55.85
2012-12-14,55.60,57.45,55.40,55.80,1113400,55.80
2012-12-13,55.00,55.85,54.30,54.55,465100,54.55
2012-12-12,55.20,55.45,54.15,54.35,131500,54.35
2012-12-11,55.30,55.90,54.30,54.60,337300,54.60
2012-12-10,55.40,56.05,54.80,55.00,237200,55.00
2012-12-07,55.90,57.00,55.00,55.20,577400,55.20
2012-12-06,55.40,56.75,55.10,56.15,1239600,56.15
2012-12-05,55.20,55.90,54.35,54.70,484600,54.70
2012-12-04,53.75,55.80,53.60,54.70,621500,54.70
2012-12-03,53.55,54.10,53.30,53.75,280000,53.75
2012-11-30,52.75,53.75,52.60,53.25,318500,53.25
2012-11-29,52.65,52.90,52.15,52.45,154700,52.45
2012-11-28,52.40,52.40,52.40,52.40,000,52.40
2012-11-27,52.25,53.20,52.10,52.40,258200,52.40
2012-11-26,51.00,53.90,50.95,52.20,570700,52.20
2012-11-23,51.25,51.55,50.55,50.95,104400,50.95
2012-11-22,50.70,52.25,50.50,51.25,410400,51.25
2012-11-21,50.00,51.40,50.00,50.60,153200,50.60
2012-11-20,51.90,51.95,50.25,50.35,146500,50.35
2012-11-19,52.75,52.75,51.20,51.30,206300,51.30
2012-11-16,53.30,53.80,52.05,52.35,209000,52.35
2012-11-15,53.15,53.20,52.60,52.85,115200,52.85
2012-11-14,53.00,53.00,53.00,53.00,000,53.00
2012-11-13,53.00,53.00,53.00,53.00,000,53.00
2012-11-12,53.30,53.45,52.85,53.00,158600,53.00
2012-11-09,53.60,54.30,52.80,53.05,225500,53.05
2012-11-08,53.50,54.15,53.35,53.60,253000,53.60
2012-11-07,54.40,54.80,54.25,54.40,159800,54.40
2012-11-06,54.60,55.10,54.10,54.30,315800,54.30
2012-11-05,55.05,55.70,54.10,54.35,368500,54.35
2012-11-02,54.20,55.60,54.05,55.10,591000,55.10
2012-11-01,53.70,54.75,53.40,54.10,223200,54.10
2012-10-31,53.20,54.20,53.00,53.70,272200,53.70
2012-10-30,54.70,54.85,53.00,53.10,253300,53.10
2012-10-29,54.85,55.95,54.20,54.85,1092800,54.85
2012-10-26,54.50,54.50,54.50,54.50,000,54.50
2012-10-25,55.00,55.10,54.30,54.50,169200,54.50
2012-10-24,54.90,54.90,54.90,54.90,000,54.90
2012-10-23,55.00,56.15,54.45,54.90,336800,54.90
2012-10-22,54.90,55.25,54.30,54.55,188700,54.55
2012-10-19,56.00,56.20,54.80,55.05,319900,55.05
2012-10-18,55.40,56.70,55.35,55.85,489700,55.85
2012-10-17,55.95,56.30,54.90,55.30,562200,55.30
2012-10-16,56.55,57.20,55.75,55.90,281000,55.90
2012-10-15,57.35,57.40,56.40,56.65,308000,56.65
2012-10-12,59.50,59.50,57.20,57.35,755500,57.35
2012-10-11,56.75,60.75,56.75,58.95,4727200,58.95
2012-10-10,56.55,57.40,56.00,56.45,337600,56.45
2012-10-09,57.90,58.20,56.35,56.95,504300,56.95
2012-10-08,57.40,58.85,57.00,57.30,567900,57.30
2012-10-05,60.60,60.85,56.35,57.00,1030200,57.00
2012-10-04,60.25,61.80,60.20,60.45,660300,60.45
2012-10-03,60.85,61.45,60.00,60.50,631800,60.50
2012-10-02,60.60,60.60,60.60,60.60,000,60.60
2012-10-01,60.25,61.55,59.60,60.60,675000,60.60
2012-09-28,62.30,62.75,59.90,60.15,1188000,60.15
2012-09-27,59.50,64.50,59.10,61.70,4504200,61.70
2012-09-26,60.80,60.90,58.20,58.40,1309100,58.40
2012-09-25,58.70,61.15,57.10,60.00,2172900,60.00
2012-09-24,57.10,59.20,56.55,58.20,1143300,58.20
2012-09-21,56.25,57.80,55.75,56.75,1310400,56.75
2012-09-20,54.60,57.40,53.90,55.60,1427700,55.60
2012-09-19,55.50,55.50,55.50,55.50,000,55.50
2012-09-18,53.95,55.80,53.85,55.50,963400,55.50
2012-09-17,53.60,54.20,53.15,53.75,505900,53.75
2012-09-14,53.90,54.40,53.15,53.30,424200,53.30
2012-09-13,53.75,54.20,53.05,53.25,386700,53.25
2012-09-12,54.00,54.00,53.05,53.30,380000,53.30
2012-09-11,53.40,53.75,52.50,53.30,596400,53.30
2012-09-10,54.85,54.90,52.75,52.95,362500,52.95
2012-09-07,52.25,53.35,52.10,53.05,479000,53.05
2012-09-06,52.25,52.45,51.60,51.80,304600,51.80
2012-09-05,53.00,53.25,51.60,51.75,396100,51.75
2012-09-04,54.80,54.80,52.20,53.20,1327800,53.20
2012-09-03,50.85,54.40,50.60,53.50,1297200,53.50
2012-08-31,50.00,51.70,50.00,50.35,1074000,50.35
2012-08-30,48.05,49.90,47.50,49.25,296800,49.25
2012-08-29,50.00,50.25,48.45,48.65,205100,48.65
2012-08-28,51.70,51.90,49.35,49.70,294300,49.70
2012-08-27,52.05,53.35,51.30,51.55,609700,51.55
2012-08-24,52.10,52.45,51.35,51.60,262300,51.60
2012-08-23,53.00,53.90,52.50,52.65,459900,52.65
2012-08-22,52.20,53.95,52.10,52.75,503100,52.75
2012-08-21,52.70,53.10,52.50,52.80,140300,52.80
2012-08-20,52.60,52.60,52.60,52.60,000,52.60
2012-08-17,52.50,53.35,52.30,52.60,418500,52.60
2012-08-16,55.35,55.35,53.10,53.25,706100,51.85
2012-08-15,54.85,54.85,54.85,54.85,000,53.41
2012-08-14,55.50,55.85,54.60,54.85,482400,53.41
2012-08-13,56.00,56.00,54.90,55.05,320500,53.60
2012-08-10,56.60,56.60,54.95,55.20,540900,53.75
2012-08-09,57.10,57.35,55.05,55.40,880400,53.94
2012-08-08,54.90,58.20,54.50,56.30,2175200,54.82
2012-08-07,54.65,55.25,54.00,54.70,269500,53.26
2012-08-06,53.90,54.65,53.65,54.15,251100,52.73
2012-08-03,53.85,53.85,52.80,53.35,171000,51.95
2012-08-02,53.55,55.20,53.10,54.35,555900,52.92
2012-08-01,53.05,54.00,53.00,53.40,230100,52.00
2012-07-31,53.10,53.95,52.50,53.00,426900,51.61
2012-07-30,51.00,52.65,50.75,52.40,235500,51.02
2012-07-27,52.60,53.15,50.40,50.65,297500,49.32
2012-07-26,54.20,54.20,51.75,51.95,290500,50.58
2012-07-25,54.35,54.60,53.50,53.90,215500,52.48
2012-07-24,55.00,55.20,54.25,54.45,236800,53.02
2012-07-23,55.80,56.00,54.50,54.65,231500,53.21
2012-07-20,57.35,57.40,56.15,56.35,193800,54.87
2012-07-19,56.80,57.30,56.60,56.80,337500,55.31
2012-07-18,56.25,56.65,55.05,56.30,392900,54.82
2012-07-17,57.45,57.60,55.60,55.90,373300,54.43
2012-07-16,60.00,60.00,56.65,57.00,346000,55.50
2012-07-13,59.00,59.75,58.15,58.40,575000,56.86
2012-07-12,60.60,60.70,58.60,59.00,491100,57.45
2012-07-11,60.80,62.90,60.40,60.70,2068600,59.10
2012-07-10,59.65,60.75,59.40,60.20,1066500,58.62
2012-07-09,60.85,61.50,59.50,59.65,383500,58.08
2012-07-06,62.00,63.20,61.25,61.80,1621200,60.18
2012-07-05,60.75,62.35,60.45,61.55,1206500,59.93
2012-07-04,59.50,61.20,59.50,60.70,1007200,59.10
2012-07-03,58.95,59.95,58.55,59.20,446600,57.64
2012-07-02,58.50,59.45,58.10,58.60,443100,57.06
2012-06-29,58.05,58.75,57.55,58.45,541900,56.91
2012-06-28,57.40,58.45,56.90,57.65,451700,56.13
2012-06-27,57.40,57.75,56.50,56.70,178000,55.21
2012-06-26,57.15,58.00,56.60,57.05,291500,55.55
2012-06-25,57.75,58.20,56.50,57.15,231500,55.65
2012-06-22,57.60,58.10,57.00,57.35,247600,55.84
2012-06-21,57.75,58.40,57.50,57.85,230100,56.33
2012-06-20,57.95,58.60,57.60,57.75,265800,56.23
2012-06-19,58.75,58.95,57.40,57.70,379600,56.18
2012-06-18,58.05,59.40,56.85,58.10,962100,56.57
2012-06-15,58.25,58.80,57.00,57.20,419500,55.70
2012-06-14,59.40,61.20,57.65,58.05,2533000,56.52
2012-06-13,58.90,59.20,57.55,58.15,808600,56.62
2012-06-12,57.25,59.60,57.25,58.45,339000,56.91
2012-06-11,59.35,60.20,58.15,58.45,514600,56.91
2012-06-08,59.00,59.50,58.10,58.70,329400,57.16
2012-06-07,59.35,60.50,58.30,59.35,1086100,57.79
2012-06-06,57.10,59.40,57.10,58.90,861900,57.35
2012-06-05,58.00,58.85,57.25,57.45,1070000,55.94
2012-06-04,54.00,57.75,53.70,56.70,876400,55.21
2012-06-01,56.00,57.25,54.10,54.45,175700,53.02
2012-05-31,56.75,57.50,56.50,56.65,195900,55.16
2012-05-30,56.80,58.30,56.25,56.90,1028600,55.40
2012-05-29,58.00,58.25,56.60,56.85,377100,55.36
2012-05-28,56.00,58.20,55.85,57.45,654800,55.94
2012-05-25,55.75,56.70,55.40,55.95,433600,54.48
2012-05-24,55.00,56.15,54.40,55.45,534300,53.99
2012-05-23,54.50,55.45,54.00,54.55,319300,53.12
2012-05-22,55.55,56.90,54.60,54.75,454700,53.31
2012-05-21,54.65,56.25,54.65,55.10,329700,53.65
2012-05-18,54.95,55.00,53.75,54.60,334200,53.16
2012-05-17,56.35,57.80,55.10,55.50,463600,54.04
2012-05-16,57.90,58.70,55.50,56.05,1252700,54.58
2012-05-15,53.80,60.15,53.45,57.30,3841700,55.79
2012-05-14,54.10,55.55,53.65,54.00,437000,52.58
2012-05-11,54.95,54.95,53.20,53.50,240200,52.09
2012-05-10,54.25,55.80,54.20,54.60,450200,53.16
2012-05-09,55.20,55.20,53.00,53.85,248200,52.43
2012-05-08,55.75,57.85,54.95,55.20,776100,53.75
2012-05-07,55.00,55.40,53.35,55.10,302100,53.65
2012-05-04,58.00,58.30,55.30,55.75,271100,54.28
2012-05-03,59.80,59.80,57.65,58.05,378700,56.52
2012-05-02,61.00,61.65,58.25,58.70,1259900,57.16
2012-05-01,60.80,60.80,60.80,60.80,000,59.20
2012-04-30,61.65,62.10,60.05,60.55,1317800,58.96
2012-04-27,57.70,57.70,55.60,55.90,158900,54.43
2012-04-26,56.75,57.70,56.35,56.90,307400,55.40
2012-04-25,57.85,58.00,55.50,56.05,118600,54.58
2012-04-24,57.35,58.35,56.20,57.10,233100,55.60
2012-04-23,57.90,58.60,56.75,57.20,191400,55.70
2012-04-20,58.25,59.25,57.20,57.70,213300,56.18
2012-04-19,59.80,60.20,58.35,58.55,315500,57.01
2012-04-18,57.80,60.85,57.80,59.45,545400,57.89
2012-04-17,58.50,58.90,57.50,58.50,184000,56.96
2012-04-16,58.00,58.60,57.25,58.10,162200,56.57
2012-04-13,60.00,60.25,57.70,57.95,265700,56.43
2012-04-12,59.20,61.00,57.25,59.55,293200,57.98
2012-04-11,59.70,60.75,59.05,59.25,315000,57.69
2012-04-10,60.35,61.40,59.75,60.35,551300,58.76
2012-04-09,60.30,61.25,59.10,59.65,354000,58.08
2012-04-06,60.40,60.40,60.40,60.40,000,58.81
2012-04-05,60.40,60.40,60.40,60.40,000,58.81
2012-04-04,60.50,61.80,59.65,60.40,578500,58.81
2012-04-03,58.05,60.75,58.00,60.30,789400,58.71
2012-04-02,56.95,58.50,56.50,58.05,321600,56.52
2012-03-30,56.00,57.20,55.85,56.45,394500,54.97
2012-03-29,56.00,56.80,54.85,55.55,401400,54.09
2012-03-28,58.70,58.70,55.50,55.85,367200,54.38
2012-03-27,61.30,61.30,58.20,58.75,247700,57.21
2012-03-26,62.10,62.10,59.05,59.60,184600,58.03
2012-03-23,62.10,63.30,61.00,61.65,269100,60.03
2012-03-22,64.10,65.40,61.85,62.15,514100,60.52
2012-03-21,63.65,64.50,63.40,64.10,297300,62.41
2012-03-20,64.40,65.20,63.15,63.35,389800,61.68
2012-03-19,64.90,66.70,63.60,63.90,581900,62.22
2012-03-16,67.00,68.80,63.90,64.45,1841000,62.76
2012-03-15,66.50,67.50,65.70,66.35,381600,64.61
2012-03-14,67.70,67.90,66.30,66.70,407300,64.95
2012-03-13,66.20,67.75,66.00,66.60,568700,64.85
2012-03-12,65.25,67.40,64.70,65.80,844900,64.07
2012-03-09,63.95,65.50,63.95,64.45,429700,62.76
2012-03-08,67.75,67.75,67.75,67.75,000,65.97
2012-03-07,64.00,64.90,62.90,63.55,393700,61.88
2012-03-06,66.10,67.85,63.40,63.85,753100,62.17
2012-03-05,67.20,68.00,65.25,65.80,468300,64.07
2012-03-02,68.10,68.10,65.55,65.95,412100,64.22
2012-03-01,66.80,69.80,66.80,67.75,1783700,65.97
2012-02-29,68.25,68.50,65.55,66.15,897500,64.41
2012-02-28,63.60,68.25,61.80,67.20,1475100,65.43
2012-02-27,67.40,68.15,62.75,63.55,1223300,61.88
2012-02-24,67.00,67.65,65.00,65.40,548700,63.68
2012-02-23,67.20,69.50,64.65,66.85,1311600,65.09
2012-02-22,69.80,70.70,66.00,66.65,487300,64.90
2012-02-21,70.20,70.90,69.10,69.70,541900,67.87
2012-02-20,69.90,69.90,69.90,69.90,000,68.06
2012-02-17,71.60,72.10,69.60,69.90,626500,68.06
2012-02-16,70.60,73.40,70.40,71.15,1057000,69.28
2012-02-15,71.75,72.65,69.60,70.60,1141700,68.74
2012-02-14,71.70,73.40,70.65,71.20,1931900,69.33
2012-02-13,67.00,72.45,66.15,71.70,3450200,69.81
2012-02-10,67.50,68.35,66.50,67.05,834800,65.29
2012-02-09,66.50,68.65,66.10,67.30,1211300,65.53
2012-02-08,65.70,67.95,65.05,66.55,1362500,64.80
2012-02-07,66.50,66.90,64.80,65.20,473600,63.49
2012-02-06,66.45,67.10,65.70,66.30,384200,64.56
2012-02-03,66.90,67.20,65.55,65.90,675700,64.17
2012-02-02,70.00,70.00,65.80,66.90,1320500,65.14
2012-02-01,66.20,68.95,65.65,67.60,2305600,65.82
2012-01-31,66.50,66.95,65.60,66.30,862100,64.56
2012-01-30,63.70,66.80,63.70,65.95,1620300,64.22
2012-01-27,63.50,64.50,63.00,63.30,494300,61.64
2012-01-26,63.20,63.20,63.20,63.20,000,61.54
2012-01-25,62.15,63.50,61.85,63.20,661200,61.54
2012-01-24,61.90,63.30,61.40,61.85,596000,60.22
2012-01-23,61.50,62.85,60.80,61.45,361600,59.83
2012-01-20,63.10,63.60,60.90,61.45,411900,59.83
2012-01-19,62.85,64.25,62.05,62.75,856900,61.10
2012-01-18,64.20,64.80,61.65,62.25,468300,60.61
2012-01-17,66.00,66.35,64.00,64.20,727000,62.51
2012-01-16,64.90,68.15,64.90,65.65,3354100,63.92
2012-01-13,64.10,66.20,63.55,64.20,1108900,62.51
2012-01-12,65.00,66.85,63.30,63.90,2080100,62.22
2012-01-11,66.00,68.35,64.75,65.45,1731700,63.73
2012-01-10,67.65,68.85,65.20,66.50,2611600,64.75
2012-01-09,67.45,72.00,66.35,67.30,7011700,65.53
2012-01-06,55.75,58.10,55.00,56.40,1957000,54.92
2012-01-05,54.70,57.25,53.20,56.10,2093300,54.63
2012-01-04,48.85,55.40,48.50,54.35,2858500,52.92
2012-01-03,46.55,48.70,46.25,48.15,393000,46.88
2012-01-02,46.00,47.00,45.40,45.90,121500,44.69
2011-12-30,45.95,47.80,45.45,46.15,478200,44.94
2011-12-29,45.20,46.50,44.30,45.20,257400,44.01
2011-12-28,46.00,46.80,45.25,45.40,145800,44.21
2011-12-27,47.15,47.60,46.05,46.30,156800,45.08
2011-12-26,48.00,48.40,46.60,47.35,356100,46.11
2011-12-23,44.85,48.40,44.35,47.15,1004500,45.91
2011-12-22,42.60,45.20,42.25,44.25,234500,43.09
2011-12-21,43.20,43.55,42.20,42.75,211500,41.63
2011-12-20,44.05,44.20,42.05,42.15,235600,41.04
2011-12-19,46.00,46.00,43.45,43.75,272400,42.60
2011-12-16,47.20,48.40,45.75,46.25,355800,45.03
2011-12-15,48.00,48.00,46.15,47.30,326800,46.06
2011-12-14,50.25,51.00,48.00,48.25,420300,46.98
2011-12-13,52.00,52.60,50.30,50.65,721000,49.32
2011-12-12,55.45,55.45,52.00,52.35,193800,50.97
2011-12-09,54.10,54.80,53.60,54.35,117900,52.92
2011-12-08,55.50,56.70,54.75,55.05,161600,53.60
2011-12-07,56.50,56.90,55.75,55.95,232500,54.48
2011-12-06,56.15,56.15,56.15,56.15,000,54.67
2011-12-05,54.05,58.50,54.05,56.15,444400,54.67
2011-12-02,56.30,58.20,56.30,57.55,204600,56.04
2011-12-01,57.60,58.50,56.20,56.60,183600,55.11
2011-11-30,57.10,57.80,55.85,56.45,188800,54.97
2011-11-29,57.45,58.75,56.85,57.50,309700,55.99
2011-11-28,58.40,59.00,55.10,57.85,234600,56.33
2011-11-25,57.40,59.40,56.25,56.85,642700,55.36
2011-11-24,59.70,59.70,54.30,57.25,805900,55.74
2011-11-23,56.20,56.90,54.70,55.15,193500,53.70
2011-11-22,55.35,57.80,54.60,56.65,520700,55.16
2011-11-21,60.50,60.75,55.00,55.35,608100,53.89
2011-11-18,65.20,65.50,60.05,60.50,416000,58.91
2011-11-17,63.00,69.00,62.40,65.20,260100,63.49
2011-11-16,67.20,67.45,57.65,63.95,424500,62.27
2011-11-15,69.90,69.95,66.75,67.15,243600,65.38
2011-11-14,71.60,72.45,69.05,69.60,185700,67.77
2011-11-11,71.25,72.80,70.40,71.25,360500,69.38
