Date,Open,High,Low,Close,Volume,Adj Close
2013-01-23,88.40,90.25,85.35,88.05,21231800,88.05
2013-01-22,89.50,91.85,86.40,87.60,31726400,87.60
2013-01-21,83.30,89.35,83.05,89.00,24808100,89.00
2013-01-18,83.25,84.25,82.10,83.30,9864200,83.30
2013-01-17,81.00,84.35,79.85,83.00,18805300,83.00
2013-01-16,86.35,87.25,80.10,80.90,21915300,80.90
2013-01-15,83.90,86.70,82.80,86.10,16358400,86.10
2013-01-14,80.10,84.10,78.90,83.85,9642200,83.85
2013-01-11,82.95,83.00,79.40,80.00,8597600,80.00
2013-01-10,82.90,83.40,80.70,82.65,12968300,82.65
2013-01-09,84.75,84.95,81.55,82.25,11555000,82.25
2013-01-08,82.00,84.50,82.00,84.05,13612000,84.05
2013-01-07,80.95,83.50,80.70,81.90,13690600,81.90
2013-01-04,79.70,80.85,78.40,80.65,13913900,80.65
2013-01-03,75.35,79.25,74.70,78.80,15263100,78.80
2013-01-02,76.25,76.60,75.00,75.30,5924900,75.30
2013-01-01,74.65,76.35,74.25,75.80,7258200,75.80
2012-12-31,73.50,74.60,73.30,73.90,4471300,73.90
2012-12-28,73.80,74.40,72.70,73.25,5115400,73.25
2012-12-27,74.70,75.10,73.20,73.35,8251700,73.35
2012-12-26,73.45,74.90,73.35,74.25,4933100,74.25
2012-12-25,73.30,73.30,73.30,73.30,000,73.30
2012-12-24,72.65,74.00,72.65,73.30,5779000,73.30
2012-12-21,73.90,74.50,71.65,72.70,11983300,72.70
2012-12-20,75.70,75.70,74.00,74.50,6314600,74.50
2012-12-19,76.40,76.90,75.15,75.65,7219200,75.65
2012-12-18,75.25,76.30,73.70,75.70,8306100,75.70
2012-12-17,75.20,75.85,74.40,75.00,6674100,75.00
2012-12-14,74.70,76.15,74.20,75.05,8995500,75.05
2012-12-13,77.60,78.80,74.05,74.65,18756500,74.65
2012-12-12,75.60,77.80,74.25,77.40,16993200,77.40
2012-12-11,76.70,76.85,73.10,74.80,14388000,74.80
2012-12-10,74.15,76.40,73.90,76.00,11797300,76.00
2012-12-07,74.15,76.25,72.90,73.70,14996400,73.70
2012-12-06,72.80,74.20,70.00,73.90,13182600,73.90
2012-12-05,73.40,73.50,72.20,72.50,8105500,72.50
2012-12-04,71.50,73.20,70.40,72.70,15950200,72.70
2012-12-03,72.10,72.50,70.15,71.50,13413800,71.50
2012-11-30,69.95,72.50,69.25,71.50,20172900,71.50
2012-11-29,69.50,70.70,69.05,69.55,17291700,69.55
2012-11-28,69.50,69.50,69.50,69.50,000,69.50
2012-11-27,68.35,70.00,67.10,69.50,21137700,69.50
2012-11-26,63.70,68.15,63.40,67.75,30645400,67.75
2012-11-23,63.50,64.20,61.80,63.40,13999400,63.40
2012-11-22,62.00,63.60,61.05,63.30,15276900,63.30
2012-11-21,58.80,61.95,58.30,61.55,15770900,61.55
2012-11-20,62.95,63.30,57.85,58.95,18322300,58.95
2012-11-19,61.50,63.15,60.65,62.15,13327800,62.15
2012-11-16,63.45,64.80,60.90,61.35,16157500,61.35
2012-11-15,60.50,63.95,59.40,63.50,23248600,63.50
2012-11-14,58.90,58.90,58.90,58.90,000,58.90
2012-11-13,58.90,58.90,58.90,58.90,000,58.90
2012-11-12,57.30,60.05,54.75,58.90,47341400,58.90
2012-11-09,58.00,59.20,56.80,57.40,10464700,57.40
2012-11-08,57.00,59.20,56.65,58.70,9823200,58.70
2012-11-07,56.50,58.50,56.05,57.90,9491700,57.90
2012-11-06,56.05,57.10,55.90,56.50,7035700,56.50
2012-11-05,55.25,56.90,55.00,56.15,9780800,56.15
2012-11-02,55.50,55.95,54.50,55.45,7670200,55.45
2012-11-01,54.10,55.30,53.85,54.85,10470600,54.85
2012-10-31,53.40,54.75,53.40,54.00,6191300,54.00
2012-10-30,56.50,57.10,53.30,53.85,8876900,53.85
2012-10-29,57.00,57.85,55.70,56.30,6798600,56.30
2012-10-26,58.25,58.25,58.25,58.25,000,58.25
2012-10-25,59.95,60.00,58.00,58.25,7611900,58.25
2012-10-24,59.45,59.45,59.45,59.45,000,59.45
2012-10-23,59.90,60.90,59.20,59.45,4840500,59.45
2012-10-22,59.40,60.35,59.00,59.90,5844000,59.90
2012-10-19,60.95,61.50,59.00,60.00,9326500,60.00
2012-10-18,61.45,62.25,60.05,61.70,10595700,61.70
2012-10-17,59.65,61.75,59.05,61.10,13849000,61.10
2012-10-16,62.40,63.00,58.40,58.85,11070000,58.85
2012-10-15,62.90,62.95,61.60,61.90,12698600,61.90
2012-10-12,62.00,64.90,61.60,62.60,23025900,62.60
2012-10-11,59.85,61.40,58.80,61.10,8087100,61.10
2012-10-10,61.10,61.50,59.35,59.85,7207400,59.85
2012-10-09,63.50,63.95,60.55,61.60,14058200,61.60
2012-10-08,62.00,64.70,60.60,63.00,17543800,63.00
2012-10-05,64.00,64.00,60.80,61.80,9817000,61.80
2012-10-04,62.55,64.50,62.55,63.10,12123600,63.10
2012-10-03,63.50,64.50,61.90,62.20,10095300,62.20
2012-10-02,63.50,63.50,63.50,63.50,000,63.50
2012-10-01,64.65,65.25,63.15,63.50,9415200,63.50
2012-09-28,64.45,65.50,63.50,64.80,14141100,64.80
2012-09-27,63.65,65.80,62.95,63.45,20783300,63.45
2012-09-26,64.00,64.30,62.10,63.20,10029900,63.20
2012-09-25,64.00,65.10,62.20,64.15,15769700,64.15
2012-09-24,62.00,65.25,61.70,63.45,22930600,63.45
2012-09-21,59.00,62.75,58.65,62.10,27762200,62.10
2012-09-20,56.65,58.90,55.50,57.50,12671700,57.50
2012-09-19,57.05,57.05,57.05,57.05,000,57.05
2012-09-18,53.60,58.45,53.20,57.05,22099900,57.05
2012-09-17,51.95,54.40,51.75,53.35,11433300,53.35
2012-09-14,50.95,51.75,50.40,51.15,7900900,51.15
2012-09-13,51.00,51.15,49.60,49.85,7872700,49.85
2012-09-12,52.00,52.25,50.20,51.15,8733000,51.15
2012-09-11,48.50,51.85,47.75,51.55,16470000,51.55
2012-09-10,50.20,50.60,48.55,48.80,8646800,48.80
2012-09-07,50.15,50.90,49.80,50.70,6091600,50.70
2012-09-06,49.30,50.50,49.00,49.45,7871500,49.45
2012-09-05,49.95,50.60,48.70,49.35,10017400,49.35
2012-09-04,48.00,50.75,47.60,50.15,14518000,50.15
2012-09-03,48.95,49.00,47.35,47.90,6680700,47.90
2012-08-31,49.10,49.75,47.55,48.20,8480300,48.20
2012-08-30,48.20,49.20,46.55,48.85,11386700,48.85
2012-08-29,51.10,51.40,47.10,48.20,12162200,48.20
2012-08-28,52.40,52.45,50.20,50.95,7048600,50.95
2012-08-27,54.00,55.15,51.70,52.10,7153400,52.10
2012-08-24,53.50,54.65,53.25,54.15,5726500,54.15
2012-08-23,54.00,54.85,52.75,54.10,11565800,54.10
2012-08-22,56.25,56.70,54.00,54.35,8526300,54.10
2012-08-21,55.55,57.25,55.50,57.10,5046800,56.84
2012-08-20,55.95,55.95,55.95,55.95,000,55.69
2012-08-17,56.30,57.45,55.30,55.95,7361000,55.69
2012-08-16,56.25,56.95,55.75,56.30,5796300,56.04
2012-08-15,56.20,56.20,56.20,56.20,000,55.94
2012-08-14,55.10,56.85,55.10,56.20,5443300,55.94
2012-08-13,54.40,56.25,53.75,55.75,8658700,55.49
2012-08-10,54.40,55.70,54.05,54.70,5408700,54.45
2012-08-09,56.40,56.55,54.25,54.90,6418900,54.65
2012-08-08,58.30,58.85,55.50,56.10,8907400,55.84
2012-08-07,57.30,59.15,56.95,57.90,8740000,57.63
2012-08-06,56.25,58.10,56.25,57.10,7608600,56.84
2012-08-03,55.75,56.30,54.60,55.90,4892000,55.64
2012-08-02,56.05,57.05,55.80,56.20,5045500,55.94
2012-08-01,56.00,57.25,55.50,56.45,9125900,56.19
2012-07-31,56.20,56.40,54.30,56.10,8186100,55.84
2012-07-30,54.50,56.85,53.85,56.20,8935900,55.94
2012-07-27,57.20,57.45,53.40,54.05,15507500,53.80
2012-07-26,58.85,59.40,55.50,56.10,14285400,55.84
2012-07-25,59.20,59.90,58.05,58.85,7192200,58.58
2012-07-24,61.50,62.00,59.35,59.95,9307100,59.67
2012-07-23,62.00,62.25,61.30,61.85,9490100,61.57
2012-07-20,63.50,65.10,63.35,63.75,6439800,63.46
2012-07-19,65.60,65.80,63.50,63.95,6541600,63.66
2012-07-18,64.50,65.50,63.20,64.95,7626300,64.65
2012-07-17,67.50,67.90,64.15,64.75,8443400,64.45
2012-07-16,69.00,69.00,66.80,67.15,7687100,66.84
2012-07-13,69.50,69.75,67.90,68.30,6138800,67.99
2012-07-12,70.50,70.50,67.80,68.90,8668600,68.58
2012-07-11,71.15,72.00,70.10,70.65,16854900,70.33
2012-07-10,66.90,71.65,66.50,71.15,15332300,70.82
2012-07-09,68.35,68.40,66.25,66.85,6441800,66.54
2012-07-06,69.30,69.75,68.05,68.65,10173200,68.33
2012-07-05,67.40,69.20,67.10,68.70,9996000,68.38
2012-07-04,66.50,67.45,64.30,66.95,12252000,66.64
2012-07-03,64.70,66.10,64.25,65.70,9670700,65.40
2012-07-02,63.90,64.90,63.45,64.15,6388500,63.85
2012-06-29,62.75,64.20,62.60,63.50,7193600,63.21
2012-06-28,62.60,63.25,61.60,61.85,7838200,61.57
2012-06-27,63.25,63.45,62.50,62.75,4179100,62.46
2012-06-26,63.10,63.45,62.20,62.65,4901500,62.36
2012-06-25,63.00,64.35,62.70,62.90,6247600,62.61
2012-06-22,63.05,63.95,61.90,62.75,9112100,62.46
2012-06-21,63.90,64.80,63.00,64.30,7520500,64.00
2012-06-20,63.50,64.90,62.85,64.20,10937500,63.90
2012-06-19,60.80,64.35,59.45,63.55,36182200,63.26
2012-06-18,69.15,69.50,64.40,65.15,9510300,64.85
2012-06-15,68.00,68.90,67.40,68.25,6952300,67.94
