Date,Open,High,Low,Close,Volume,Adj Close
2013-01-23,243.05,244.85,230.55,234.15,2302100,234.15
2013-01-22,254.25,255.05,241.20,242.10,2010700,242.10
2013-01-21,251.00,255.80,250.00,253.35,1107500,253.35
2013-01-18,248.00,254.80,246.10,250.85,1548100,250.85
2013-01-17,249.00,251.40,245.35,248.60,1408000,248.60
2013-01-16,250.80,254.75,245.70,247.90,1810600,247.90
2013-01-15,251.25,257.20,248.85,250.60,1795400,250.60
2013-01-14,251.00,253.90,247.95,250.90,1646300,250.90
2013-01-11,258.00,258.00,250.40,251.95,634300,251.95
2013-01-10,258.50,260.60,252.50,256.75,971900,256.75
2013-01-09,258.15,262.95,255.40,256.40,925400,256.40
2013-01-08,258.20,258.90,253.25,257.55,612500,257.55
2013-01-07,260.10,266.20,258.25,258.95,808500,258.95
2013-01-04,266.40,268.00,261.05,266.05,1373100,266.05
2013-01-03,256.90,266.40,256.50,265.45,2710100,265.45
2013-01-02,252.00,257.50,252.00,256.50,1836300,256.50
2013-01-01,247.15,252.40,245.70,250.60,1042800,250.60
2012-12-31,241.45,246.25,241.35,245.20,605400,245.20
2012-12-28,240.70,244.00,239.50,242.05,842100,242.05
2012-12-27,244.50,249.00,237.15,239.10,2056600,239.10
2012-12-26,246.00,246.90,242.40,243.90,638500,243.90
2012-12-25,245.40,245.40,245.40,245.40,000,245.40
2012-12-24,243.00,246.75,240.00,245.40,592300,245.40
2012-12-21,244.40,248.45,240.30,242.85,1644100,242.85
2012-12-20,248.80,250.40,243.30,247.55,1285800,247.55
2012-12-19,243.00,249.10,243.00,248.10,2032300,248.10
2012-12-18,234.30,247.75,232.90,245.80,3017700,245.80
2012-12-17,228.90,234.85,227.70,233.55,1562100,233.55
2012-12-14,229.35,232.00,225.95,228.90,1360000,228.90
2012-12-13,229.70,235.50,228.35,230.10,1065400,230.10
2012-12-12,238.05,238.55,231.60,232.45,1860100,232.45
2012-12-11,240.00,241.30,233.10,237.30,1537100,237.30
2012-12-10,240.00,240.00,234.65,238.45,1441800,238.45
2012-12-07,242.55,244.45,236.10,238.00,1932300,238.00
2012-12-06,234.70,242.10,234.40,240.85,2406000,240.85
2012-12-05,236.20,236.60,232.30,233.30,1093100,233.30
2012-12-04,234.70,237.75,232.50,234.20,1493700,234.20
2012-12-03,231.00,236.60,227.60,234.25,1699500,234.25
2012-11-30,230.30,233.90,227.55,230.65,2340400,230.65
2012-11-29,220.65,230.00,220.20,229.05,2801400,229.05
2012-11-28,219.60,219.60,219.60,219.60,000,219.60
2012-11-27,220.00,221.50,218.00,219.60,1477700,219.60
2012-11-26,222.60,222.60,217.60,219.10,902600,219.10
2012-11-23,224.50,224.60,219.10,221.10,1023400,221.10
2012-11-22,216.55,224.00,216.55,223.30,1568500,223.30
2012-11-21,215.00,219.65,214.30,217.95,1157600,217.95
2012-11-20,218.50,218.60,213.00,214.65,1141400,214.65
2012-11-19,225.50,225.80,215.10,215.85,1447200,215.85
2012-11-16,226.95,230.50,223.25,224.65,2087500,224.65
2012-11-15,224.80,228.80,221.05,226.90,2374800,226.90
2012-11-14,228.30,228.30,228.30,228.30,000,228.30
2012-11-13,228.30,228.30,228.30,228.30,000,228.30
2012-11-12,218.00,229.50,217.50,228.30,2858400,228.30
2012-11-09,221.95,224.20,217.50,218.60,1718200,218.60
2012-11-08,218.90,223.75,217.05,221.95,1335700,221.95
2012-11-07,219.00,223.40,217.30,221.45,1340300,221.45
2012-11-06,220.25,221.90,216.20,218.25,2187000,218.25
