Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,87.70,87.70,87.70,87.70,000,87.70
2012-12-24,89.30,91.00,87.35,87.70,30500,87.70
2012-12-21,90.55,90.55,88.90,89.85,71000,89.85
2012-12-20,91.95,91.95,89.50,90.35,63200,90.35
2012-12-19,89.90,92.75,89.90,91.35,227400,91.35
2012-12-18,90.85,92.80,88.20,89.55,1418100,89.55
2012-12-17,89.20,91.75,89.00,90.60,199600,90.60
2012-12-14,88.55,90.75,88.55,89.20,103500,89.20
2012-12-13,89.00,90.90,88.50,88.80,292200,88.80
2012-12-12,88.90,89.00,88.00,88.70,128700,88.70
2012-12-11,87.80,88.75,84.35,88.50,140400,88.50
2012-12-10,85.40,87.65,85.25,87.15,189800,87.15
2012-12-07,83.85,86.15,83.15,85.45,304000,85.45
2012-12-06,83.00,84.30,82.00,83.90,451000,83.90
2012-12-05,80.90,83.00,80.75,82.50,91200,82.50
2012-12-04,81.15,82.25,79.55,80.00,123900,80.00
2012-12-03,82.50,84.50,80.50,81.15,66100,81.15
2012-11-30,78.30,83.80,78.10,82.60,450900,82.60
2012-11-29,81.00,81.20,76.45,77.85,158700,77.85
2012-11-28,80.25,80.25,80.25,80.25,000,80.25
2012-11-27,81.00,83.00,72.10,80.25,2844500,80.25
2012-11-26,80.60,81.50,79.50,80.60,56500,80.60
2012-11-23,80.85,81.50,79.65,80.60,60100,80.60
2012-11-22,79.50,82.50,79.50,80.35,84000,80.35
2012-11-21,81.00,81.80,77.40,78.95,396500,78.95
2012-11-20,80.75,82.30,79.05,80.40,79900,80.40
2012-11-19,82.50,84.00,77.70,80.75,519000,80.75
2012-11-16,81.75,82.70,81.00,81.90,57300,81.90
2012-11-15,81.50,83.65,80.50,82.35,40600,82.35
2012-11-14,81.05,81.05,81.05,81.05,000,81.05
2012-11-13,81.05,81.05,81.05,81.05,000,81.05
2012-11-12,83.85,83.85,80.40,81.05,30400,81.05
2012-11-09,84.70,86.80,82.10,83.05,60800,83.05
2012-11-08,83.05,85.90,82.30,85.30,62700,85.30
2012-11-07,84.10,85.70,82.35,83.75,464000,83.75
2012-11-06,84.15,86.00,83.10,84.05,200800,84.05
2012-11-05,82.70,84.60,81.65,84.05,121000,84.05
2012-11-02,81.05,83.50,80.05,82.70,751800,82.70
2012-11-01,81.00,82.40,79.10,81.15,812500,81.15
2012-10-31,81.50,81.50,80.25,81.05,63400,81.05
2012-10-30,81.00,81.05,79.00,80.55,134700,80.55
2012-10-29,82.00,82.70,79.15,80.00,326300,80.00
2012-10-26,81.20,81.20,81.20,81.20,000,81.20
2012-10-25,77.80,82.95,76.55,81.20,370500,81.20
2012-10-24,76.90,76.90,76.90,76.90,000,76.90
2012-10-23,78.65,78.85,76.30,76.90,42000,76.90
2012-10-22,77.90,79.70,77.60,78.30,213300,78.30
2012-10-19,76.50,78.00,76.20,77.85,105000,77.85
2012-10-18,75.50,77.50,74.10,77.10,246700,77.10
2012-10-17,76.45,76.75,74.35,75.00,161200,75.00
2012-10-16,78.10,78.85,75.50,75.85,56800,75.85
2012-10-15,76.05,78.70,75.55,77.90,88100,77.90
2012-10-12,80.80,80.80,76.00,76.95,858900,76.95
2012-10-11,74.50,78.35,72.55,76.45,314500,76.45
2012-10-10,75.05,77.35,71.65,74.85,1792300,74.85
2012-10-09,77.00,77.45,75.25,75.65,109000,75.65
2012-10-08,77.20,78.30,75.20,76.55,591400,76.55
2012-10-05,77.00,77.50,75.30,76.10,163900,76.10
2012-10-04,77.90,78.95,76.05,76.60,636800,76.60
2012-10-03,79.80,79.80,76.10,76.70,221300,76.70
2012-10-02,78.35,78.35,78.35,78.35,000,78.35
2012-10-01,79.00,81.00,74.55,78.35,1148700,78.35
2012-09-28,74.95,79.50,73.00,78.20,1286900,78.20
2012-09-27,75.75,77.90,73.50,73.95,188000,73.95
2012-09-26,70.05,80.70,68.05,74.50,708100,74.50
2012-09-25,70.00,74.75,70.00,72.60,443900,72.60
2012-09-24,73.45,73.45,69.15,69.95,570900,69.95
2012-09-21,76.90,78.00,68.65,72.55,751300,72.55
2012-09-20,77.60,77.60,75.10,75.80,767500,75.80
2012-09-19,77.85,77.85,77.85,77.85,000,77.85
2012-09-18,79.00,79.15,76.35,77.85,266300,77.85
2012-09-17,76.30,79.25,75.00,78.90,190400,78.90
2012-09-14,74.95,77.20,73.50,75.10,514600,75.10
2012-09-13,70.05,76.00,70.05,73.15,400600,73.15
2012-09-12,71.15,72.95,70.00,70.80,22900,70.80
2012-09-11,72.15,73.20,71.20,71.80,11100,71.80
2012-09-10,71.20,73.35,71.15,72.75,247700,72.75
2012-09-07,71.95,73.70,70.40,71.60,190100,71.60
2012-09-06,71.50,72.70,70.10,70.45,22300,70.45
2012-09-05,71.90,73.80,71.55,72.00,85700,72.00
2012-09-04,73.10,74.85,71.90,72.45,11700,72.45
2012-09-03,76.50,76.50,73.10,73.75,39800,73.75
2012-08-31,75.00,76.75,75.00,75.10,54600,75.10
2012-08-30,74.65,75.80,74.25,75.00,248000,75.00
2012-08-29,75.15,75.80,74.25,75.00,525800,75.00
