Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,10.95,10.95,10.95,10.95,000,10.95
2012-12-24,11.15,11.35,10.60,10.95,1693900,10.95
2012-12-21,11.30,11.50,11.15,11.25,853500,11.25
2012-12-20,11.50,11.60,11.35,11.45,607400,11.45
2012-12-19,11.85,11.85,11.45,11.50,698900,11.50
2012-12-18,11.65,11.85,11.25,11.75,1300800,11.75
2012-12-17,11.50,11.50,11.25,11.30,818700,11.30
2012-12-14,11.75,11.75,11.20,11.45,798100,11.45
2012-12-13,11.85,11.85,11.50,11.50,339300,11.50
2012-12-12,11.90,12.05,11.70,11.75,253500,11.75
2012-12-11,12.10,12.20,11.75,11.95,2654100,11.95
2012-12-10,11.90,12.20,11.70,12.05,1167000,12.05
2012-12-07,11.85,12.40,11.75,11.90,2227900,11.90
2012-12-06,11.75,11.85,11.55,11.75,674100,11.75
2012-12-05,12.30,12.30,11.55,11.60,1118600,11.60
2012-12-04,11.70,11.90,11.55,11.75,554900,11.75
2012-12-03,11.80,12.00,11.70,11.70,762000,11.70
2012-11-30,12.20,12.20,11.90,11.90,523400,11.90
2012-11-29,12.10,12.35,11.70,11.95,1577600,11.95
2012-11-28,12.30,12.30,12.30,12.30,000,12.30
2012-11-27,12.20,12.50,12.05,12.30,1466400,12.30
2012-11-26,11.95,12.50,11.85,12.20,2229100,12.20
2012-11-23,11.90,12.25,11.80,11.95,1711700,11.95
2012-11-22,11.90,12.05,11.85,11.95,1035800,11.95
2012-11-21,12.20,12.20,11.80,11.95,1124700,11.95
2012-11-20,12.30,12.55,11.75,12.00,3959200,12.00
2012-11-19,11.95,12.25,11.25,12.10,3215200,12.10
2012-11-16,11.60,11.85,11.35,11.65,2105000,11.65
2012-11-15,12.00,12.00,11.40,11.60,2328300,11.60
2012-11-14,11.00,11.00,11.00,11.00,000,11.00
2012-11-13,11.00,11.00,11.00,11.00,000,11.00
2012-11-12,10.70,11.20,10.45,11.00,1860900,11.00
2012-11-09,10.85,10.90,10.50,10.60,1955400,10.60
2012-11-08,10.50,11.40,10.25,10.80,2806600,10.80
2012-11-07,10.50,10.70,10.40,10.55,1290600,10.55
2012-11-06,10.75,10.80,10.35,10.50,1656600,10.50
2012-11-05,10.80,10.85,10.65,10.70,815800,10.70
2012-11-02,10.45,10.95,10.40,10.75,1660200,10.75
2012-11-01,10.40,10.55,10.10,10.45,1272200,10.45
2012-10-31,10.00,10.50,9.25,10.25,2078900,10.25
2012-10-30,10.70,10.80,10.05,10.15,1133600,10.15
2012-10-29,10.00,10.70,9.85,10.50,1157500,10.50
2012-10-26,9.95,9.95,9.95,9.95,000,9.95
2012-10-25,10.00,10.05,9.90,9.95,587200,9.95
2012-10-24,9.95,9.95,9.95,9.95,000,9.95
2012-10-23,10.00,10.05,9.90,9.95,411700,9.95
2012-10-22,10.00,10.10,9.90,10.00,577000,10.00
2012-10-19,10.00,10.30,9.90,10.00,1848800,10.00
2012-10-18,10.00,10.10,9.85,10.00,1796300,10.00
2012-10-17,10.10,10.30,9.95,10.00,1560100,10.00
2012-10-16,10.40,10.40,10.15,10.25,683300,10.25
2012-10-15,10.20,10.40,10.20,10.25,1423200,10.25
2012-10-12,10.15,10.50,10.10,10.20,1650300,10.20
2012-10-11,10.15,10.20,9.95,10.15,2625800,10.15
2012-10-10,10.35,10.50,10.10,10.20,1300300,10.20
2012-10-09,10.45,10.65,10.40,10.50,433900,10.50
2012-10-08,10.50,10.75,10.35,10.45,643000,10.45
2012-10-05,10.60,10.75,10.30,10.40,593900,10.40
2012-10-04,10.85,10.85,10.40,10.45,1620000,10.45
2012-10-03,10.90,11.00,10.60,10.75,689000,10.75
2012-10-02,10.80,10.80,10.80,10.80,000,10.80
2012-10-01,10.70,10.95,10.50,10.80,1759500,10.80
2012-09-28,10.45,10.70,10.15,10.60,791300,10.60
2012-09-27,10.20,10.45,9.95,10.20,608400,10.20
2012-09-26,9.95,10.15,9.85,10.10,655900,10.10
2012-09-25,9.95,10.10,9.90,9.95,319000,9.95
2012-09-24,9.90,10.10,9.80,9.95,976700,9.95
2012-09-21,10.05,10.35,9.95,10.05,1762900,9.55
2012-09-20,10.20,10.20,9.95,10.05,769700,9.55
2012-09-19,10.20,10.20,10.20,10.20,000,9.69
2012-09-18,10.40,10.50,9.70,10.20,1805000,9.69
2012-09-17,10.35,11.50,10.25,10.35,970900,9.84
2012-09-14,10.40,10.40,10.15,10.15,365600,9.65
2012-09-13,10.05,10.25,10.05,10.20,320900,9.69
2012-09-12,10.00,10.30,9.85,10.00,901600,9.50
2012-09-11,9.85,10.05,9.70,9.95,288100,9.45
2012-09-10,10.05,10.10,9.85,9.90,345100,9.41
2012-09-07,9.95,10.15,9.70,9.75,2048300,9.26
2012-09-06,9.90,10.00,9.75,9.80,601600,9.31
2012-09-05,10.10,10.15,9.85,9.90,809400,9.41
2012-09-04,9.95,10.50,9.90,10.00,1808500,9.50
2012-09-03,9.50,10.15,9.50,9.95,594000,9.45
2012-08-31,9.55,9.75,9.30,9.35,413600,8.88
2012-08-30,9.20,9.55,9.15,9.45,2864900,8.98
2012-08-29,9.40,9.60,9.20,9.35,3556600,8.88
2012-08-28,9.65,9.80,9.40,9.50,567600,9.03
2012-08-27,9.70,10.00,9.55,9.65,557200,9.17
2012-08-24,10.00,10.10,9.65,9.70,1126300,9.22
2012-08-23,10.60,10.60,9.95,10.05,1029700,9.55
2012-08-22,10.65,10.70,10.35,10.40,1017000,9.88
2012-08-21,10.65,11.10,10.55,10.65,792400,10.12
2012-08-20,10.55,10.55,10.55,10.55,000,10.03
2012-08-17,10.95,10.95,10.00,10.55,2637100,10.03
2012-08-16,11.60,11.60,10.30,10.75,3453300,10.22
2012-08-15,11.90,11.90,11.90,11.90,000,11.31
2012-08-14,12.00,12.10,11.85,11.90,490900,11.31
2012-08-13,11.80,12.05,11.80,11.90,433800,11.31
2012-08-10,11.85,12.05,11.75,11.90,644500,11.31
2012-08-09,11.95,12.00,11.60,11.85,1288200,11.26
2012-08-08,12.15,12.25,11.70,11.80,1221400,11.21
2012-08-07,12.15,12.40,12.00,12.20,1578900,11.59
2012-08-06,11.60,12.10,11.60,12.00,2243300,11.40
2012-08-03,11.35,11.65,11.20,11.45,1415600,10.88
2012-08-02,10.70,11.35,10.60,11.15,1258800,10.60
2012-08-01,10.60,11.00,10.35,10.70,555200,10.17
2012-07-31,10.50,10.60,10.30,10.40,312700,9.88
2012-07-30,10.50,10.75,10.35,10.40,376200,9.88
2012-07-27,10.90,10.90,10.25,10.45,1131700,9.93
2012-07-26,10.85,10.90,10.40,10.50,1180200,9.98
2012-07-25,10.65,11.00,10.55,10.80,1986200,10.26
2012-07-24,11.10,11.10,10.75,10.80,1229500,10.26
2012-07-23,10.65,11.15,10.30,10.80,1705100,10.26
2012-07-20,10.80,10.90,10.55,10.65,886600,10.12
2012-07-19,11.10,11.20,10.65,10.80,953600,10.26
2012-07-18,10.95,11.05,10.80,11.00,879900,10.45
2012-07-17,11.25,11.30,10.80,10.90,1510800,10.36
2012-07-16,11.25,11.45,10.95,11.00,1182200,10.45
2012-07-13,10.65,11.35,10.65,11.00,3874300,10.45
2012-07-12,11.25,11.25,10.60,10.65,2740300,10.12
2012-07-11,11.95,11.95,11.30,11.40,2082300,10.83
2012-07-10,11.45,12.10,11.45,11.75,1859200,11.17
2012-07-09,11.75,12.15,11.45,11.75,2657000,11.17
2012-07-06,11.55,12.35,10.80,11.65,5242100,11.07
2012-07-05,10.50,11.85,10.15,11.55,6901000,10.98
2012-07-04,9.60,10.20,9.60,10.00,1565300,9.50
2012-07-03,9.60,9.70,9.45,9.60,1093000,9.12
2012-07-02,9.45,9.75,8.65,9.50,2153400,9.03
2012-06-29,9.40,10.25,9.10,9.35,1922800,8.88
2012-06-28,8.50,9.25,8.35,9.15,2849400,8.69
2012-06-27,8.00,8.50,7.85,8.35,2232200,7.93
2012-06-26,7.95,8.05,7.85,7.95,1570300,7.55
2012-06-25,7.75,8.05,7.75,7.85,1924700,7.46
2012-06-22,7.90,7.90,7.65,7.75,993900,7.36
2012-06-21,7.80,7.85,7.65,7.75,740300,7.36
2012-06-20,7.65,7.85,7.65,7.70,708700,7.32
2012-06-19,7.80,7.85,7.60,7.60,1040500,7.22
2012-06-18,7.85,8.05,7.65,7.70,1270700,7.32
2012-06-15,7.75,7.90,7.70,7.80,956800,7.41
2012-06-14,7.95,7.95,7.60,7.65,2944000,7.27
2012-06-13,8.05,8.05,7.85,7.85,2521100,7.46
2012-06-12,8.40,8.40,7.90,8.00,1637500,7.60
2012-06-11,8.40,8.45,8.15,8.20,848400,7.79
2012-06-08,8.25,8.30,8.10,8.15,497000,7.74
2012-06-07,8.60,8.60,7.80,8.15,5445800,7.74
2012-06-06,8.45,8.60,8.25,8.40,920600,7.98
2012-06-05,8.25,8.35,8.15,8.15,492300,7.74
2012-06-04,8.10,8.25,7.90,8.05,1312500,7.65
2012-06-01,8.85,8.85,8.05,8.25,2568500,7.84
2012-05-31,9.00,9.00,8.10,8.25,2140300,7.84
2012-05-30,8.80,9.40,8.45,9.00,2681200,8.55
2012-05-29,8.60,9.00,7.90,8.60,3032000,8.17
2012-05-28,8.85,8.90,8.50,8.55,774000,8.12
2012-05-25,9.05,9.05,8.50,8.80,2134000,8.36
2012-05-24,7.90,9.10,7.60,8.85,3569000,8.41
2012-05-23,8.15,8.20,7.60,7.70,2644200,7.32
2012-05-22,8.55,8.70,8.10,8.20,1661900,7.79
2012-05-21,9.00,9.00,8.40,8.45,1490800,8.03
2012-05-18,9.45,9.45,8.30,8.50,2945600,8.08
2012-05-17,9.25,9.25,8.55,8.70,2288800,8.27
2012-05-16,9.10,9.10,8.70,8.85,2389600,8.41
2012-05-15,10.00,10.00,9.00,9.10,2840500,8.65
2012-05-14,10.30,10.30,9.65,9.75,1034900,9.26
2012-05-11,10.05,10.10,9.80,9.90,637100,9.41
2012-05-10,10.05,10.35,9.90,10.00,1082600,9.50
2012-05-09,10.40,10.40,9.35,9.85,2094800,9.36
2012-05-08,10.95,11.00,10.10,10.35,704300,9.84
2012-05-07,10.50,10.85,10.10,10.75,1185500,10.22
2012-05-04,11.00,11.00,10.40,10.55,1265600,10.03
2012-05-03,11.00,11.00,10.65,10.75,1141900,10.22
2012-05-02,11.55,11.55,10.75,10.85,1383700,10.31
2012-05-01,11.20,11.20,11.20,11.20,000,10.64
2012-04-30,11.50,11.60,11.15,11.35,506700,10.79
2012-04-27,11.20,11.30,10.90,11.00,1259300,10.45
2012-04-26,11.60,11.60,11.00,11.10,902300,10.55
2012-04-25,12.25,12.25,11.25,11.40,1264200,10.83
2012-04-24,12.20,12.55,11.95,12.05,1425600,11.45
2012-04-23,12.75,12.85,11.65,12.00,2323200,11.40
2012-04-20,12.70,12.90,12.30,12.60,1560500,11.97
2012-04-19,13.00,13.40,11.80,12.45,2710800,11.83
2012-04-18,11.75,13.60,11.40,12.80,12263300,12.16
2012-04-17,9.85,11.75,9.80,11.75,5392400,11.17
2012-04-16,10.10,10.25,9.60,9.80,3784100,9.31
2012-04-13,10.15,10.40,10.00,10.10,2042300,9.60
2012-04-12,10.55,10.65,10.15,10.15,5114400,9.65
2012-04-11,10.40,10.75,10.10,10.45,3313300,9.93
2012-04-10,11.65,11.65,10.30,10.40,4082100,9.88
2012-04-09,10.85,11.45,10.50,11.20,1589000,10.64
2012-04-06,10.75,10.75,10.75,10.75,000,10.22
2012-04-05,10.75,10.75,10.75,10.75,000,10.22
2012-04-04,11.70,11.70,10.70,10.75,4223400,10.22
2012-04-03,12.50,12.50,11.50,11.55,3033900,10.98
2012-04-02,12.50,12.50,11.95,12.00,1691300,11.40
2012-03-30,12.50,12.70,12.20,12.25,847100,11.64
2012-03-29,12.25,12.85,12.15,12.30,857300,11.69
2012-03-28,12.20,12.40,12.05,12.15,1815600,11.55
2012-03-27,12.60,12.60,12.20,12.25,1137400,11.64
2012-03-26,13.25,13.25,12.20,12.30,1613600,11.69
2012-03-23,12.90,13.40,12.65,13.10,1269600,12.45
2012-03-22,13.05,13.50,12.90,13.05,862500,12.40
2012-03-21,13.20,13.45,12.80,13.00,2146300,12.35
2012-03-20,13.50,13.70,12.90,13.00,816000,12.35
2012-03-19,14.05,14.05,13.40,13.45,6251900,12.78
2012-03-16,14.30,14.65,13.90,13.95,1721700,13.26
2012-03-15,14.65,14.70,14.20,14.25,785500,13.54
2012-03-14,14.90,15.00,14.60,14.70,1204300,13.97
2012-03-13,15.00,15.05,14.75,14.90,1991300,14.16
2012-03-12,15.20,15.30,14.85,14.95,1226200,14.21
2012-03-09,15.70,15.95,14.95,15.05,1392900,14.30
2012-03-08,15.15,15.15,15.15,15.15,000,14.40
2012-03-07,15.00,15.10,14.90,15.05,551200,14.30
2012-03-06,15.15,15.30,14.95,15.00,465900,14.25
2012-03-05,15.25,15.25,14.95,15.15,847500,14.40
2012-03-02,15.00,15.65,14.45,15.20,684900,14.44
2012-03-01,15.35,15.45,15.00,15.15,612300,14.40
2012-02-29,15.15,16.20,15.15,15.35,2136700,14.59
2012-02-28,15.05,15.40,14.80,15.15,1068200,14.40
2012-02-27,15.00,15.25,14.90,15.00,1380400,14.25
2012-02-24,15.25,15.40,14.85,15.00,604700,14.25
2012-02-23,15.25,15.45,14.80,15.05,831000,14.30
2012-02-22,16.00,17.00,15.00,15.20,2205500,14.44
2012-02-21,16.25,16.65,16.05,16.15,960500,15.35
2012-02-20,16.15,16.15,16.15,16.15,000,15.35
2012-02-17,15.80,17.00,15.80,16.15,4294900,15.35
2012-02-16,14.30,15.95,13.95,15.70,5184800,14.92
2012-02-15,14.50,14.60,14.20,14.25,2001700,13.54
2012-02-14,14.80,14.80,14.50,14.55,1473800,13.83
2012-02-13,15.10,15.10,14.65,14.75,982200,14.02
2012-02-10,15.00,15.10,14.70,14.80,672000,14.06
2012-02-09,14.85,15.15,14.85,14.95,598500,14.21
2012-02-08,14.85,15.05,14.75,14.80,1094300,14.06
2012-02-07,15.00,15.20,14.65,14.75,1505600,14.02
2012-02-06,15.00,15.40,14.70,14.75,1034800,14.02
2012-02-03,14.80,15.25,14.80,15.00,2704800,14.25
2012-02-02,15.15,15.45,14.80,15.05,3302700,14.30
2012-02-01,14.95,15.20,14.50,14.90,2638900,14.16
2012-01-31,14.35,14.80,14.00,14.70,681700,13.97
2012-01-30,14.70,14.70,14.00,14.10,499700,13.40
2012-01-27,14.40,14.90,14.30,14.50,2272100,13.78
2012-01-26,14.40,14.40,14.40,14.40,000,13.68
2012-01-25,14.60,14.60,14.35,14.40,510200,13.68
2012-01-24,14.65,14.80,14.30,14.40,772600,13.68
2012-01-23,14.90,15.20,14.55,14.60,692100,13.87
2012-01-20,14.00,15.25,13.35,14.40,1767300,13.68
2012-01-19,14.25,14.50,13.75,13.95,5774200,13.26
2012-01-18,15.00,15.00,14.05,14.20,1418900,13.49
2012-01-17,14.75,15.10,14.15,14.30,2074000,13.59
2012-01-16,15.30,15.70,14.30,14.50,2335000,13.78
2012-01-13,15.60,15.60,14.90,15.00,1053500,14.25
2012-01-12,15.90,15.90,15.25,15.45,536000,14.68
2012-01-11,15.50,15.90,15.30,15.65,636400,14.87
2012-01-10,16.25,16.35,15.15,15.25,1673100,14.49
2012-01-09,17.00,17.00,15.60,15.95,556300,15.16
2012-01-06,16.00,16.40,15.75,16.00,69900,15.20
2012-01-05,16.70,16.90,15.85,16.00,625400,15.20
2012-01-04,16.50,16.50,16.05,16.40,237700,15.58
2012-01-03,17.25,17.50,16.25,16.40,322500,15.58
2012-01-02,16.95,17.30,16.30,16.50,337200,15.68
2011-12-30,15.30,17.95,15.20,16.50,1387800,15.68
2011-12-29,15.35,15.50,15.00,15.30,739100,14.54
2011-12-28,15.60,15.60,14.90,15.20,1740500,14.44
2011-12-27,16.00,16.00,15.25,15.40,124600,14.63
2011-12-26,15.60,15.80,15.00,15.70,335200,14.92
2011-12-23,15.90,16.00,15.20,15.35,1288300,14.59
2011-12-22,17.00,17.00,15.00,15.60,1253800,14.82
2011-12-21,17.80,18.00,15.55,17.00,3591200,16.15
2011-12-20,18.35,18.45,17.35,17.40,751900,16.53
2011-12-19,18.45,18.45,17.70,17.95,279400,17.06
2011-12-16,19.00,19.25,18.20,18.40,1501300,17.48
2011-12-15,20.00,20.45,18.40,19.15,941300,18.20
2011-12-14,20.35,20.35,20.00,20.10,184500,19.10
2011-12-13,19.70,20.45,19.65,20.30,349400,19.29
2011-12-12,20.70,20.85,20.05,20.25,181900,19.24
2011-12-09,20.90,21.00,20.15,20.30,162600,19.29
2011-12-08,21.25,21.25,20.30,20.60,168300,19.58
2011-12-07,21.70,22.05,20.70,20.85,474900,19.81
2011-12-06,21.30,21.30,21.30,21.30,000,20.24
2011-12-05,21.75,22.30,21.10,21.30,99000,20.24
2011-12-02,21.45,21.80,20.85,21.60,79700,20.53
2011-12-01,21.25,21.80,21.00,21.25,167400,20.19
2011-11-30,21.25,21.45,20.15,20.85,127700,19.81
2011-11-29,21.45,21.50,20.50,21.00,88600,19.96
2011-11-28,20.35,21.85,20.35,21.00,66700,19.96
2011-11-25,21.55,21.60,20.70,20.85,276400,19.81
2011-11-24,22.00,22.00,20.20,20.75,96300,19.72
2011-11-23,21.00,21.85,20.00,20.90,358100,19.86
2011-11-22,21.90,21.90,20.60,20.75,2801000,19.72
2011-11-21,22.50,22.50,20.35,21.15,476200,20.10
2011-11-18,22.50,22.50,20.05,21.35,258500,20.29
2011-11-17,20.95,22.25,20.10,21.70,294600,20.62
2011-11-16,20.60,20.60,19.60,20.15,1544200,19.15
2011-11-15,19.40,21.40,18.80,20.25,1809800,19.24
2011-11-14,21.70,21.70,18.80,19.50,775800,18.53
2011-11-11,22.25,22.25,21.05,21.25,665000,20.19
