Date,Open,High,Low,Close,Volume,Adj Close
2013-01-23,486.55,487.70,471.35,479.85,2399600,479.85
2013-01-22,491.80,496.70,482.00,484.10,2599300,484.10
2013-01-21,482.30,493.00,481.50,490.15,3054500,490.15
2013-01-18,482.25,487.00,479.05,481.00,1869400,481.00
2013-01-17,479.25,485.45,473.05,478.80,3334300,478.80
2013-01-16,499.10,503.15,477.50,480.00,3580500,480.00
2013-01-15,496.20,500.85,491.60,496.85,2535700,496.85
2013-01-14,479.55,497.15,469.50,495.05,3025000,495.05
2013-01-11,496.45,498.20,475.80,479.40,2622700,479.40
2013-01-10,502.75,503.55,490.70,495.05,2808900,495.05
2013-01-09,503.50,507.70,494.50,497.60,2508000,497.60
2013-01-08,501.75,505.30,495.35,501.65,2674900,501.65
2013-01-07,502.00,507.95,499.75,501.45,2343500,501.45
2013-01-04,491.60,504.20,490.45,501.75,3427500,501.75
2013-01-03,497.00,499.20,490.20,493.85,2618300,493.85
2013-01-02,498.00,502.80,493.70,494.90,2887700,494.90
2013-01-01,484.00,495.80,482.20,493.45,3089300,493.45
2012-12-31,478.00,483.60,477.50,479.80,1523800,479.80
2012-12-28,480.00,483.40,474.30,478.30,2141300,478.30
2012-12-27,482.20,484.80,476.60,478.30,2397900,478.30
2012-12-26,476.35,484.35,475.40,481.05,2765400,481.05
2012-12-25,474.10,474.10,474.10,474.10,000,474.10
2012-12-24,465.10,475.45,458.35,474.10,3709400,474.10
2012-12-21,467.90,476.70,461.50,463.85,4033900,463.85
2012-12-20,482.70,482.90,470.30,472.05,3620000,472.05
2012-12-19,489.45,492.40,481.35,484.85,4307400,484.85
2012-12-18,472.00,484.00,455.25,479.80,5321900,479.80
2012-12-17,466.00,474.70,462.70,470.15,2596900,470.15
2012-12-14,461.85,468.70,455.65,465.50,3503100,465.50
2012-12-13,473.40,481.00,457.05,460.05,5366600,460.05
2012-12-12,455.65,477.40,450.20,472.20,7396200,472.20
2012-12-11,462.30,465.00,446.40,453.35,4219900,453.35
2012-12-10,449.85,460.20,446.10,458.95,3312700,458.95
2012-12-07,456.00,459.60,442.50,446.55,4392700,446.55
2012-12-06,440.00,455.40,436.25,453.20,5333400,453.20
2012-12-05,439.50,440.70,433.05,436.15,2688700,436.15
2012-12-04,424.80,436.90,421.60,435.80,3653100,435.80
2012-12-03,426.80,427.70,418.15,423.50,2323700,423.50
2012-11-30,417.75,427.00,414.00,423.95,4161100,423.95
2012-11-29,405.00,415.00,403.55,412.00,3338900,412.00
2012-11-28,402.15,402.15,402.15,402.15,000,402.15
2012-11-27,395.30,404.80,395.00,402.15,3239500,402.15
2012-11-26,384.10,395.80,382.20,393.85,3308000,393.85
2012-11-23,384.20,387.45,378.95,382.90,2518800,382.90
2012-11-22,383.10,387.80,376.50,384.50,2994600,384.50
