Date,Open,High,Low,Close,Volume,Adj Close
2013-01-23,922.10,928.80,916.20,923.05,2674800,923.05
2013-01-22,920.00,930.70,915.55,920.05,4266300,920.05
2013-01-21,938.10,955.00,918.05,919.95,10047900,919.95
2013-01-18,895.00,902.95,885.65,900.20,5201300,900.20
2013-01-17,862.10,893.55,859.75,890.00,5055600,890.00
2013-01-16,846.05,870.90,846.05,861.35,4469000,861.35
2013-01-15,846.15,851.80,838.00,847.15,2374400,847.15
2013-01-14,841.00,853.00,839.00,847.55,1614000,847.55
2013-01-11,852.50,853.00,836.25,839.90,1840100,839.90
2013-01-10,857.75,858.95,847.00,850.05,2112000,850.05
2013-01-09,852.40,859.85,848.65,852.70,3902300,852.70
2013-01-08,855.10,858.10,847.90,850.65,3194100,850.65
2013-01-07,865.70,871.00,851.80,856.60,3498900,856.60
2013-01-04,861.90,864.60,853.55,861.85,3041600,861.85
2013-01-03,848.60,862.00,844.60,860.75,3946900,860.75
2013-01-02,844.00,856.00,842.55,847.95,3072500,847.95
2013-01-01,844.00,846.60,839.10,840.70,1561500,840.70
2012-12-31,840.30,849.80,836.80,839.55,2224200,839.55
2012-12-28,823.50,846.00,821.55,840.25,3326000,840.25
2012-12-27,830.30,832.00,815.10,817.70,3680600,817.70
2012-12-26,822.00,835.90,822.00,828.25,1331200,828.25
2012-12-25,820.70,820.70,820.70,820.70,000,820.70
2012-12-24,825.60,827.35,815.60,820.70,1303800,820.70
2012-12-21,833.00,834.50,822.20,825.25,2149300,825.25
2012-12-20,841.95,841.95,829.50,837.85,2189200,837.85
2012-12-19,835.20,843.05,834.05,839.50,1993000,839.50
2012-12-18,834.50,839.45,826.00,831.40,1827700,831.40
2012-12-17,834.50,844.40,831.00,834.15,1656400,834.15
2012-12-14,834.50,846.80,828.50,839.25,2045900,839.25
2012-12-13,832.60,841.00,830.40,834.25,2652200,834.25
2012-12-12,825.00,834.80,819.35,832.60,2314000,832.60
2012-12-11,832.00,838.35,814.50,820.05,3715200,820.05
2012-12-10,834.60,837.95,821.25,828.30,1869300,828.30
2012-12-07,841.05,849.70,830.45,834.60,3014700,834.60
2012-12-06,835.95,845.85,822.00,843.90,2636600,843.90
2012-12-05,828.25,837.10,820.60,832.60,3089600,832.60
2012-12-04,806.15,825.70,806.00,824.70,3492500,824.70
2012-12-03,795.00,807.00,789.75,804.00,2359000,804.00
2012-11-30,796.05,808.00,790.00,793.70,4170400,793.70
2012-11-29,786.00,804.00,782.65,798.30,4483400,798.30
2012-11-28,786.80,786.80,786.80,786.80,000,786.80
2012-11-27,777.00,788.00,774.00,786.80,2470600,786.80
2012-11-26,774.90,779.45,771.00,773.65,1038400,773.65
2012-11-23,766.00,775.80,766.00,773.75,1707300,773.75
2012-11-22,773.05,773.70,761.40,765.85,2397100,765.85
2012-11-21,766.50,773.90,761.10,771.20,1968700,771.20
2012-11-20,780.70,780.70,762.20,765.35,2156400,765.35
2012-11-19,775.25,778.25,761.35,774.30,4737100,774.30
2012-11-16,787.40,792.65,771.00,775.15,3281900,775.15
2012-11-15,788.85,788.85,777.05,784.60,3486400,784.60
2012-11-14,786.65,786.65,786.65,786.65,000,786.65
2012-11-13,786.65,786.65,786.65,786.65,000,786.65
2012-11-12,785.85,789.40,779.00,786.65,2894100,786.65
2012-11-09,793.35,803.50,785.00,787.65,2421900,787.65
2012-11-08,793.00,798.30,789.75,796.60,2837700,796.60
2012-11-07,802.00,805.30,798.00,800.85,2381300,800.85
2012-11-06,804.00,807.40,796.25,805.45,3531600,805.45
2012-11-05,803.65,808.95,801.85,806.15,1158100,806.15
2012-11-02,812.00,814.90,802.50,807.95,2639600,807.95
2012-11-01,795.00,808.80,788.70,807.10,4201100,807.10
2012-10-31,803.15,807.35,798.00,805.50,2153800,805.50
2012-10-30,810.00,811.80,799.15,803.25,2134300,803.25
2012-10-29,802.35,814.40,802.35,811.20,2511200,811.20
2012-10-26,810.40,810.40,810.40,810.40,000,810.40
2012-10-25,810.10,818.70,807.20,810.40,4127400,810.40
2012-10-24,809.95,809.95,809.95,809.95,000,809.95
2012-10-23,813.50,814.80,804.80,809.95,2170100,809.95
2012-10-22,795.20,816.95,791.70,815.60,3237900,815.60
2012-10-19,807.70,810.50,799.35,802.80,2891200,802.80
2012-10-18,807.25,816.00,797.00,811.30,6080600,811.30
2012-10-17,816.05,817.40,801.55,805.15,4780900,805.15
2012-10-16,838.90,839.95,810.00,812.45,5068100,812.45
2012-10-15,819.00,829.90,819.00,823.05,2555800,823.05
2012-10-12,818.80,826.40,816.05,818.90,2429000,818.90
2012-10-11,819.00,822.00,809.30,819.95,2710300,819.95
2012-10-10,811.00,822.30,807.40,816.00,2144300,816.00
2012-10-09,825.50,826.70,813.10,815.30,2651900,815.30
2012-10-08,854.55,854.55,816.25,819.40,4775700,819.40
2012-10-05,859.90,862.00,682.35,857.80,3592100,857.80
2012-10-04,850.55,858.90,849.10,852.90,2886200,852.90
2012-10-03,834.45,853.45,834.25,846.10,5006600,846.10
2012-10-02,833.50,833.50,833.50,833.50,000,833.50
2012-10-01,840.00,842.30,829.25,833.50,1991400,833.50
2012-09-28,837.00,847.90,834.35,837.20,3227000,837.20
2012-09-27,845.20,848.00,824.25,829.85,6953500,829.85
2012-09-26,838.00,849.70,833.85,844.75,3807700,844.75
2012-09-25,838.00,844.80,830.25,839.75,3163100,839.75
2012-09-24,850.00,857.80,832.75,836.35,3407000,836.35
2012-09-21,833.00,854.70,832.00,850.30,8214200,850.30
2012-09-20,840.70,848.30,828.25,832.50,3499600,832.50
2012-09-19,855.60,855.60,855.60,855.60,000,855.60
2012-09-18,870.20,873.90,851.30,855.60,3953600,855.60
2012-09-17,848.10,881.60,848.10,873.75,9698900,873.75
2012-09-14,813.00,845.70,809.55,841.75,8300400,841.75
2012-09-13,798.10,808.50,794.30,799.15,2669300,799.15
2012-09-12,793.50,799.70,789.45,798.10,1776700,798.10
2012-09-11,789.50,795.85,783.20,791.00,3122100,791.00
2012-09-10,800.00,803.35,789.15,792.05,2006000,792.05
2012-09-07,778.70,796.50,778.50,791.75,3159400,791.75
2012-09-06,766.30,774.60,764.00,768.20,1212100,768.20
2012-09-05,775.25,779.95,764.20,771.15,3012600,771.15
2012-09-04,763.95,781.15,762.20,779.60,2001200,779.60
2012-09-03,768.00,769.95,760.05,763.05,2237800,763.05
2012-08-31,780.00,784.40,762.70,766.40,3378800,766.40
2012-08-30,779.75,791.85,768.60,783.40,6227900,783.40
2012-08-29,791.00,797.50,780.30,782.15,2021200,782.15
2012-08-28,786.85,793.90,778.55,790.20,2005600,790.20
2012-08-27,786.00,796.20,783.50,787.35,2092500,787.35
2012-08-24,791.75,794.50,778.70,782.10,3455600,782.10
2012-08-23,810.55,811.40,787.95,794.50,3808400,794.50
2012-08-22,809.20,815.50,805.70,807.80,1999700,807.80
2012-08-21,816.00,823.90,812.30,814.25,2527500,814.25
2012-08-20,816.10,816.10,816.10,816.10,000,816.10
2012-08-17,817.90,824.90,809.65,816.10,3275600,816.10
2012-08-16,802.05,821.85,799.10,816.15,4944700,816.15
2012-08-15,799.55,799.55,799.55,799.55,000,799.55
2012-08-14,787.90,802.00,787.00,799.55,3773600,799.55
2012-08-13,779.50,790.00,779.50,788.15,1413400,788.15
2012-08-10,777.65,789.00,774.15,782.10,2440800,782.10
2012-08-09,788.90,796.40,776.65,780.15,2914400,780.15
2012-08-08,785.05,799.00,782.55,790.80,4199200,790.80
2012-08-07,786.05,795.95,777.75,783.75,4496200,783.75
2012-08-06,748.05,789.40,748.05,786.05,8545500,786.05
2012-08-03,735.00,748.00,730.55,742.55,2501500,742.55
2012-08-02,742.10,747.60,736.75,739.55,1822800,739.55
2012-08-01,740.25,750.90,738.60,746.75,3298800,746.75
2012-07-31,731.60,746.10,721.00,743.60,3081200,743.60
2012-07-30,723.00,731.80,721.85,729.60,1591800,729.60
2012-07-27,719.00,726.80,716.15,721.00,3078100,721.00
2012-07-26,720.90,720.90,706.65,710.15,3204000,710.15
2012-07-25,720.40,724.55,712.15,719.25,1999600,719.25
2012-07-24,721.00,726.85,718.35,724.50,1836600,724.50
2012-07-23,715.00,725.80,713.30,719.00,2336300,719.00
2012-07-20,722.30,728.85,717.05,722.65,2836000,722.65
