Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,311.95,311.95,311.95,311.95,000,311.95
2012-12-24,315.00,320.00,310.00,311.95,3900,311.95
2012-12-21,318.00,322.75,315.00,317.05,8900,317.05
2012-12-20,324.70,324.70,316.05,320.20,13100,320.20
2012-12-19,316.00,330.00,315.70,320.15,36000,320.15
2012-12-18,312.45,316.90,306.10,313.25,9000,313.25
2012-12-17,317.60,317.60,309.00,310.55,5300,310.55
2012-12-14,316.45,318.50,311.00,313.00,7000,313.00
2012-12-13,318.50,331.90,316.60,318.20,42700,318.20
2012-12-12,319.45,327.05,308.00,316.85,231100,316.85
2012-12-11,333.90,333.90,317.45,318.70,10200,318.70
2012-12-10,334.30,335.00,324.50,327.85,16800,327.85
2012-12-07,367.30,367.30,326.00,330.55,92600,330.55
2012-12-06,305.00,349.90,305.00,324.40,242000,324.40
2012-12-05,306.00,306.00,303.10,303.95,1800,303.95
2012-12-04,308.80,308.80,303.75,303.75,1700,303.75
2012-12-03,305.10,308.70,303.50,304.00,228900,304.00
2012-11-30,308.85,308.85,303.65,304.20,1600,304.20
2012-11-29,306.95,307.00,303.05,303.10,2500,303.10
2012-11-28,306.50,306.50,306.50,306.50,000,306.50
2012-11-27,307.90,307.90,303.25,306.50,1500,306.50
2012-11-26,302.00,306.15,300.05,303.80,3200,303.80
2012-11-23,303.15,306.00,303.05,304.65,700,304.65
2012-11-22,303.15,305.00,303.10,303.40,1100,303.40
2012-11-21,299.95,306.00,299.95,301.85,1600,301.85
2012-11-20,313.95,313.95,303.05,303.05,900,303.05
2012-11-19,304.05,308.40,304.05,304.05,1400,304.05
2012-11-16,307.00,314.00,301.00,303.90,11200,303.90
2012-11-15,308.75,308.75,305.10,305.15,1500,305.15
2012-11-14,306.05,306.05,306.05,306.05,000,306.05
2012-11-13,306.05,306.05,306.05,306.05,000,306.05
2012-11-12,315.15,319.90,305.10,306.05,3300,306.05
2012-11-09,305.10,315.00,300.00,311.60,22300,311.60
2012-11-08,303.15,306.45,303.10,303.50,1200,303.50
2012-11-07,306.80,306.80,303.10,304.85,2200,304.85
2012-11-06,303.15,304.80,303.10,303.25,1800,303.25
2012-11-05,303.15,310.10,303.05,305.20,2400,305.20
2012-11-02,304.05,306.70,303.10,303.10,2000,303.10
2012-11-01,304.05,305.90,303.10,303.10,2100,303.10
2012-10-31,310.05,310.05,304.05,304.30,2300,304.30
2012-10-30,303.00,305.50,303.00,304.10,2000,304.10
2012-10-29,306.90,306.90,302.00,302.15,2000,302.15
2012-10-26,303.20,303.20,303.20,303.20,000,303.20
2012-10-25,310.00,310.00,302.00,303.20,2600,303.20
2012-10-24,304.35,304.35,304.35,304.35,000,304.35
2012-10-23,306.00,306.95,304.00,304.35,1200,304.35
2012-10-22,303.25,306.95,303.25,304.05,2500,304.05
2012-10-19,304.20,307.00,304.00,304.10,2500,304.10
2012-10-18,306.90,306.90,304.00,304.85,2000,304.85
2012-10-17,312.45,312.45,304.05,305.35,2700,305.35
2012-10-16,308.55,311.00,305.00,305.50,3400,305.50
2012-10-15,304.05,314.75,304.05,308.10,5100,308.10
2012-10-12,312.15,315.55,310.00,310.20,7500,310.20
2012-10-11,314.05,316.60,311.10,312.90,6100,312.90
2012-10-10,315.00,317.55,314.15,315.50,5800,315.50
2012-10-09,317.05,321.00,315.10,316.30,5700,316.30
2012-10-08,334.95,334.95,316.50,317.95,5600,317.95
2012-10-05,325.05,333.95,318.00,319.90,9200,319.90
2012-10-04,316.70,324.95,316.70,322.20,15000,322.20
2012-10-03,323.95,323.95,315.00,318.60,9100,318.60
2012-10-02,319.45,319.45,319.45,319.45,000,319.45
2012-10-01,320.55,331.50,318.10,319.45,12500,319.45
2012-09-28,336.90,340.10,321.45,324.00,31600,324.00
2012-09-27,320.00,345.00,320.00,331.00,242200,331.00
2012-09-26,315.95,320.50,315.00,318.40,4700,318.40
2012-09-25,316.90,316.90,314.10,315.00,1900,315.00
2012-09-24,320.00,320.00,315.00,316.00,2800,316.00
2012-09-21,318.90,324.00,316.15,318.10,5000,318.10
