Date,Open,High,Low,Close,Volume,Adj Close
2013-01-23,543.50,547.45,522.20,534.30,1511200,534.30
2013-01-22,551.25,553.85,538.50,540.55,1754300,540.55
2013-01-21,527.80,551.60,527.00,548.50,2113700,548.50
2013-01-18,526.95,535.65,525.00,527.30,1230000,527.30
2013-01-17,534.70,535.80,523.50,526.20,2190800,526.20
2013-01-16,553.20,559.70,533.05,535.80,1411700,535.80
2013-01-15,558.00,563.70,551.80,555.00,1218000,555.00
2013-01-14,548.70,559.80,535.20,558.55,2006300,558.55
2013-01-11,566.25,566.95,545.00,547.90,1438300,547.90
2013-01-10,565.00,572.50,558.15,565.65,2068000,565.65
2013-01-09,567.50,569.80,556.20,560.35,1621300,560.35
2013-01-08,550.20,569.00,546.40,567.10,2738900,567.10
2013-01-07,549.20,556.35,548.40,550.95,1777100,550.95
2013-01-04,543.50,552.20,542.45,547.20,1313700,547.20
2013-01-03,546.00,549.85,538.60,546.00,1338600,546.00
2013-01-02,549.00,552.35,538.70,543.35,2033500,543.35
2013-01-01,525.00,546.70,523.15,544.15,2900600,544.15
2012-12-31,518.25,523.90,518.25,520.55,700200,520.55
2012-12-28,517.10,523.85,513.10,517.05,1059000,517.05
2012-12-27,524.10,526.00,514.40,515.50,1641100,515.50
2012-12-26,517.00,525.95,517.00,521.15,890900,521.15
2012-12-25,517.25,517.25,517.25,517.25,000,517.25
2012-12-24,515.00,520.35,511.65,517.25,916300,517.25
2012-12-21,518.20,520.00,511.10,514.25,1767700,514.25
2012-12-20,524.50,526.05,517.00,522.60,1119500,522.60
2012-12-19,526.90,529.50,520.70,526.25,1471900,526.25
2012-12-18,513.65,526.55,510.55,523.15,2320700,523.15
2012-12-17,519.35,523.40,513.70,515.50,1223400,515.50
2012-12-14,518.20,525.70,514.30,521.15,1712600,521.15
2012-12-13,527.25,532.00,510.80,515.10,2623300,515.10
2012-12-12,519.50,530.40,513.35,526.45,2620200,526.45
2012-12-11,521.00,522.75,507.50,517.20,2764200,517.20
