Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,30.75,30.75,30.75,30.75,000,30.75
2012-12-24,30.20,31.05,30.00,30.75,5647300,30.75
2012-12-21,30.50,31.20,30.20,30.40,6139800,30.40
2012-12-20,30.50,31.05,26.00,30.55,3835900,30.55
2012-12-19,31.50,31.50,30.65,30.85,5287900,30.85
2012-12-18,30.45,31.50,30.25,30.80,5828900,30.80
2012-12-17,31.50,31.50,30.15,30.45,5758200,30.45
2012-12-14,31.95,31.95,30.90,31.30,6192600,31.30
2012-12-13,32.70,32.75,31.25,31.45,6082200,31.45
2012-12-12,32.45,33.10,31.85,32.60,8169300,32.60
2012-12-11,33.25,33.55,31.75,32.30,10699900,32.30
2012-12-10,34.10,34.10,32.65,33.25,13177300,33.25
2012-12-07,33.80,34.55,33.45,34.10,12939800,34.10
2012-12-06,33.40,34.10,32.40,33.70,10420200,33.70
2012-12-05,32.10,33.50,31.50,33.10,14132600,33.10
2012-12-04,31.80,32.00,30.80,31.60,4965500,31.60
2012-12-03,31.65,31.90,31.25,31.60,5620800,31.60
2012-11-30,29.15,31.45,29.15,31.20,13673500,31.20
2012-11-29,29.30,29.45,29.00,29.10,6616000,29.10
2012-11-28,29.15,29.15,29.15,29.15,000,29.15
2012-11-27,28.90,29.55,28.75,29.15,6165000,29.15
2012-11-26,30.00,30.00,28.45,28.60,4890000,28.60
2012-11-23,29.70,30.00,29.05,29.20,8986900,29.20
2012-11-22,29.70,29.85,28.90,29.30,6750800,29.30
2012-11-21,29.15,30.15,29.00,29.70,6699200,29.70
2012-11-20,30.70,30.75,29.25,29.60,5535500,29.60
2012-11-19,31.10,31.10,30.05,30.45,3977500,30.45
2012-11-16,32.10,32.30,30.55,30.90,5639700,30.90
2012-11-15,30.90,32.10,30.60,31.90,7681300,31.90
2012-11-14,31.45,31.45,31.45,31.45,000,31.45
2012-11-13,31.45,31.45,31.45,31.45,000,31.45
2012-11-12,30.65,31.70,30.65,31.45,4386600,31.45
2012-11-09,32.00,32.00,31.00,31.20,4216000,31.20
2012-11-08,31.85,32.10,31.45,31.80,3806100,31.80
2012-11-07,32.50,32.50,31.30,32.05,5530000,32.05
2012-11-06,31.30,31.85,31.15,31.70,4097600,31.70
2012-11-05,31.45,32.10,31.05,31.60,7628000,31.60
2012-11-02,32.00,32.30,31.20,31.50,6076500,31.50
2012-11-01,31.60,32.20,31.60,31.80,5659200,31.80
2012-10-31,31.10,31.55,30.75,31.45,6312000,31.45
2012-10-30,30.55,31.40,30.45,30.65,8685700,30.65
2012-10-29,31.55,31.80,30.35,30.65,13070600,30.65
2012-10-26,32.30,32.30,32.30,32.30,000,32.30
2012-10-25,32.95,32.95,32.00,32.30,9641800,32.30
2012-10-24,32.80,32.80,32.80,32.80,000,32.80
2012-10-23,34.10,34.20,32.65,32.80,10180900,32.80
