Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,439.10,439.10,439.10,439.10,000,439.10
2012-12-24,442.75,443.25,434.00,439.10,171600,439.10
2012-12-21,450.95,451.60,436.05,438.50,279900,438.50
2012-12-20,462.95,462.95,450.10,454.85,261000,454.85
2012-12-19,457.00,471.10,454.50,463.05,550800,463.05
2012-12-18,454.35,454.70,443.00,452.55,327700,452.55
2012-12-17,453.00,459.35,448.50,451.70,310200,451.70
2012-12-14,450.90,464.90,447.50,455.35,774900,455.35
2012-12-13,459.00,466.80,443.15,446.60,551500,446.60
2012-12-12,458.80,463.95,452.00,456.85,438500,456.85
2012-12-11,473.15,482.95,447.25,454.75,720600,454.75
2012-12-10,458.15,474.40,458.15,469.40,655200,469.40
2012-12-07,458.00,484.90,454.20,458.15,1237900,458.15
2012-12-06,458.55,462.70,447.30,458.70,514700,458.70
2012-12-05,461.00,472.15,451.10,454.60,731600,454.60
2012-12-04,434.95,472.40,432.00,460.40,1048100,460.40
2012-12-03,434.00,449.00,426.10,437.70,647300,437.70
2012-11-30,411.25,450.95,410.35,430.60,1029000,430.60
2012-11-29,404.90,412.00,402.40,408.05,187200,408.05
2012-11-28,405.70,405.70,405.70,405.70,000,405.70
2012-11-27,398.60,411.20,395.25,405.70,342500,405.70
2012-11-26,394.90,399.00,392.00,394.55,88500,394.55
2012-11-23,393.75,399.75,390.05,392.50,127300,392.50
2012-11-22,396.90,396.90,389.25,391.65,81000,391.65
2012-11-21,393.25,395.40,386.20,392.95,97300,392.95
2012-11-20,403.95,403.95,388.50,389.75,113000,389.75
2012-11-19,404.75,408.80,396.30,400.00,154500,400.00
2012-11-16,411.00,422.00,396.00,399.75,212400,399.75
2012-11-15,399.90,418.70,392.55,410.60,249500,410.60
2012-11-14,402.90,402.90,402.90,402.90,000,402.90
2012-11-13,402.90,402.90,402.90,402.90,000,402.90
2012-11-12,400.80,404.75,396.10,402.90,115300,402.90
2012-11-09,406.65,408.80,396.55,399.25,105900,399.25
2012-11-08,404.20,409.70,402.10,404.85,97900,404.85
2012-11-07,406.30,414.80,404.35,411.40,196800,411.40
2012-11-06,403.40,408.00,400.55,405.30,106100,405.30
2012-11-05,385.15,410.60,385.15,404.00,118900,404.00
2012-11-02,410.75,412.75,405.00,408.55,143400,408.55
2012-11-01,397.00,409.50,391.60,406.95,285800,406.95
2012-10-31,399.40,403.00,394.60,399.25,124300,399.25
2012-10-30,408.00,410.90,394.30,397.15,131600,397.15
2012-10-29,411.05,414.00,405.50,407.30,176700,407.30
2012-10-26,418.40,418.40,418.40,418.40,000,418.40
2012-10-25,422.05,425.95,415.05,418.40,132800,418.40
2012-10-24,421.90,421.90,421.90,421.90,000,421.90
2012-10-23,425.40,429.00,419.55,421.90,147200,421.90
2012-10-22,423.00,427.50,419.35,423.85,162700,423.85
2012-10-19,433.05,433.70,421.20,425.35,159300,425.35
2012-10-18,431.10,435.90,427.15,433.80,204000,433.80
2012-10-17,434.80,435.70,424.60,428.65,174000,428.65
2012-10-16,441.05,447.15,427.20,429.40,277600,429.40
2012-10-15,439.75,440.85,435.00,437.50,148100,437.50
2012-10-12,434.70,447.00,434.70,437.05,303100,437.05
2012-10-11,431.95,440.80,426.00,436.80,383700,436.80
2012-10-10,446.90,446.90,432.60,434.25,220000,434.25
2012-10-09,443.75,453.80,441.25,445.65,326200,445.65
2012-10-08,448.85,452.85,436.80,440.15,249900,440.15
2012-10-05,466.05,469.00,443.20,449.05,437200,449.05
2012-10-04,454.85,478.50,451.80,463.65,1314100,463.65
2012-10-03,440.45,459.00,439.25,451.70,652700,451.70
2012-10-02,438.15,438.15,438.15,438.15,000,438.15
2012-10-01,439.35,441.50,434.20,438.15,175800,438.15
2012-09-28,445.00,447.90,434.25,436.30,274900,436.30
2012-09-27,439.75,445.70,434.00,440.30,310600,440.30
2012-09-26,438.20,444.00,428.20,435.70,291000,435.70
2012-09-25,463.80,463.80,436.20,439.20,471200,439.20
2012-09-24,429.95,451.80,429.95,434.25,664400,434.25
2012-09-21,417.10,436.90,417.05,429.35,552800,429.35
2012-09-20,421.35,424.80,414.10,415.55,188500,415.55
2012-09-19,427.75,427.75,427.75,427.75,000,427.75
