Date,Open,High,Low,Close,Volume,Adj Close
2013-01-23,95.50,96.25,92.80,94.65,4888900,94.65
2013-01-22,97.25,98.50,94.40,95.15,9845000,95.15
2013-01-21,93.40,97.45,93.40,97.00,7080700,97.00
2013-01-18,92.75,94.25,92.75,93.35,3010500,93.35
2013-01-17,92.25,93.40,91.90,92.85,2467100,92.85
2013-01-16,93.75,94.90,91.80,92.15,3639000,92.15
2013-01-15,94.10,95.15,93.10,94.00,3857500,94.00
2013-01-14,93.10,94.45,91.40,94.25,4507500,94.25
2013-01-11,95.70,95.85,93.05,93.30,4126200,93.30
2013-01-10,96.55,96.80,95.00,95.50,3406700,95.50
2013-01-09,96.65,98.10,95.70,96.05,4415200,96.05
2013-01-08,96.60,97.40,95.40,96.60,3668200,96.60
2013-01-07,96.20,97.65,96.05,96.60,4944200,96.60
2013-01-04,95.75,97.10,94.85,96.00,5677100,96.00
2013-01-03,96.30,96.50,94.80,95.75,6015100,95.75
2013-01-02,95.50,96.00,94.75,95.50,6832500,95.50
2013-01-01,93.75,95.35,93.75,94.80,5623800,94.80
2012-12-31,93.00,94.20,93.00,93.35,2423700,93.35
2012-12-28,93.85,93.85,93.00,93.45,3383300,93.45
2012-12-27,93.95,94.65,92.55,93.00,22046900,93.00
2012-12-26,92.50,93.70,92.25,93.10,5039600,93.10
2012-12-25,92.20,92.20,92.20,92.20,000,92.20
2012-12-24,91.65,93.00,91.05,92.20,6662600,92.20
2012-12-21,95.65,95.95,91.00,91.70,11967200,91.70
2012-12-20,96.00,97.25,95.60,96.05,21830600,96.05
2012-12-19,98.70,101.25,97.15,98.10,21748500,98.10
2012-12-18,98.90,99.95,98.00,98.50,6872700,98.50
2012-12-17,99.85,101.20,99.40,100.15,3542900,100.15
2012-12-14,99.75,100.80,99.25,100.05,3815200,100.05
2012-12-13,100.70,100.90,98.95,100.00,6108200,100.00
2012-12-12,101.25,101.35,99.30,100.35,4652500,100.35
2012-12-11,101.20,102.30,98.50,100.75,8527400,100.75
2012-12-10,101.80,102.80,100.20,100.75,5635100,100.75
2012-12-07,101.05,102.80,99.85,100.80,8436300,100.80
2012-12-06,96.80,100.80,95.85,100.30,11358800,100.30
2012-12-05,99.35,100.00,96.55,97.10,9512000,97.10
2012-12-04,97.10,98.80,96.05,98.00,8814000,98.00
