Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,63.95,63.95,63.95,63.95,000,63.95
2012-12-24,63.85,64.35,63.50,63.95,48500,63.95
2012-12-21,65.85,66.70,62.05,63.25,80100,63.25
2012-12-20,66.00,67.00,65.55,65.85,25600,65.85
2012-12-19,66.25,67.00,66.20,66.25,36500,66.25
2012-12-18,65.20,67.60,65.20,66.20,19700,66.20
2012-12-17,66.50,66.80,65.60,66.30,18200,66.30
2012-12-14,67.25,67.35,65.70,66.20,20100,66.20
2012-12-13,65.95,68.00,65.95,66.65,68400,66.65
2012-12-12,67.35,68.75,65.60,65.90,55200,65.90
2012-12-11,68.80,70.05,67.20,68.00,59900,68.00
2012-12-10,69.70,70.15,68.75,69.20,70000,69.20
2012-12-07,68.15,71.85,67.90,70.35,218700,70.35
2012-12-06,71.85,71.85,68.00,68.45,90600,68.45
2012-12-05,70.30,72.90,69.80,70.70,368900,70.70
2012-12-04,63.00,72.35,63.00,70.15,983900,70.15
2012-12-03,61.15,63.60,61.15,63.10,100000,63.10
2012-11-30,61.85,62.45,60.80,61.65,50200,61.65
2012-11-29,60.95,61.95,60.25,61.40,55500,61.40
2012-11-28,60.05,60.05,60.05,60.05,000,60.05
2012-11-27,60.55,60.65,50.05,60.05,91700,60.05
2012-11-26,61.05,61.60,60.30,60.85,37400,60.85
2012-11-23,61.40,62.40,60.65,61.00,46100,61.00
2012-11-22,61.85,63.30,60.30,61.20,121400,61.20
2012-11-21,60.25,62.65,60.10,60.95,62400,60.95
2012-11-20,62.50,63.35,60.25,60.45,187800,60.45
2012-11-19,64.15,64.95,62.05,62.75,80700,62.75
2012-11-16,64.85,65.35,63.75,64.00,39200,64.00
2012-11-15,66.15,66.15,64.50,64.85,59400,64.85
2012-11-14,65.55,65.55,65.55,65.55,000,65.55
2012-11-13,65.55,65.55,65.55,65.55,000,65.55
2012-11-12,64.10,66.50,63.20,65.55,93600,65.55
2012-11-09,65.35,66.20,64.50,64.70,55000,64.70
2012-11-08,66.50,66.50,65.15,65.70,64900,65.70
2012-11-07,66.65,67.15,66.10,66.40,36800,66.40
2012-11-06,66.25,67.00,65.90,66.75,97000,66.75
2012-11-05,66.80,67.00,66.10,66.20,28000,66.20
2012-11-02,66.75,67.35,66.45,66.80,75300,66.80
2012-11-01,66.75,67.10,66.10,66.55,52800,66.55
2012-10-31,66.85,67.50,66.15,66.45,59100,66.45
2012-10-30,67.80,67.95,66.40,66.85,76600,66.85
2012-10-29,67.80,68.75,67.00,67.55,55800,67.55
2012-10-26,69.15,69.15,69.15,69.15,000,69.15
2012-10-25,68.00,70.00,67.00,69.15,172500,69.15
2012-10-24,67.80,67.80,67.80,67.80,000,67.80
2012-10-23,69.00,69.70,67.40,67.80,163500,67.80
2012-10-22,69.40,70.00,67.35,67.65,208500,67.65
2012-10-19,68.45,69.70,67.85,68.85,106600,68.85
2012-10-18,68.50,69.55,67.95,68.50,92700,68.50
2012-10-17,69.10,69.80,68.10,68.30,125300,68.30
2012-10-16,69.15,69.70,68.60,68.95,69500,68.95
2012-10-15,69.30,70.10,69.00,69.25,87400,69.25
2012-10-12,69.50,71.00,68.80,69.05,302200,69.05
2012-10-11,70.15,70.30,69.10,69.40,158000,69.40
2012-10-10,71.00,71.35,70.10,70.25,84800,70.25
2012-10-09,71.00,72.95,70.80,71.00,277200,71.00
2012-10-08,72.10,73.50,70.30,71.15,315600,71.15
2012-10-05,73.05,74.45,71.60,72.00,323300,72.00
2012-10-04,74.75,74.80,72.85,73.30,330300,73.30
2012-10-03,75.40,76.10,73.00,73.85,216100,73.85
2012-10-02,75.30,75.30,75.30,75.30,000,75.30
2012-10-01,75.65,76.50,71.00,75.30,667300,75.30
2012-09-28,77.90,79.55,72.80,74.55,2496800,74.55
2012-09-27,73.85,88.00,67.05,78.65,15792100,78.65
2012-09-26,73.95,76.50,73.15,74.25,662200,74.25
2012-09-25,70.20,75.85,70.00,73.70,2200000,73.70
2012-09-24,77.95,78.35,69.00,69.85,3240500,69.85
