Date,Open,High,Low,Close,Volume,Adj Close
2013-01-23,90.55,91.40,88.15,89.30,3711000,89.30
2013-01-22,91.55,93.70,90.15,90.50,3193100,90.50
2013-01-21,90.85,92.65,90.85,91.50,2231200,91.50
2013-01-18,93.05,94.50,90.55,90.95,4846700,90.95
2013-01-17,91.65,94.60,90.00,93.55,4097500,93.55
2013-01-16,94.50,94.90,91.45,92.00,2350600,92.00
2013-01-15,94.00,95.80,94.00,94.75,2929000,94.75
2013-01-14,92.05,94.80,90.50,94.40,3214100,94.40
2013-01-11,94.10,95.45,91.55,92.00,3352400,92.00
2013-01-10,95.90,97.55,93.30,93.85,5025800,93.85
2013-01-09,97.80,98.00,95.10,95.50,4848800,95.50
2013-01-08,99.20,99.40,96.10,97.25,6120300,97.25
2013-01-07,96.00,101.75,94.70,99.55,11603600,99.55
2013-01-04,95.00,95.90,94.10,95.30,2651000,95.30
2013-01-03,96.90,97.25,94.70,95.15,4193000,95.15
2013-01-02,93.55,97.00,93.05,96.00,7561300,96.00
2013-01-01,91.25,93.05,90.65,92.70,3283400,92.70
2012-12-31,90.80,91.70,90.50,90.65,1742200,90.65
2012-12-28,90.00,91.55,88.70,90.60,3722800,90.60
2012-12-27,89.45,90.20,88.80,89.30,3705700,89.30
2012-12-26,88.90,90.70,88.55,88.80,4068400,88.80
2012-12-25,88.90,88.90,88.90,88.90,000,88.90
2012-12-24,91.00,91.45,88.55,88.90,3378100,88.90
2012-12-21,91.00,92.50,89.60,90.70,5565300,90.70
2012-12-20,90.60,92.60,88.65,91.50,4530500,91.50
2012-12-19,89.40,91.00,88.45,90.70,5946100,90.70
2012-12-18,86.30,89.10,84.50,88.30,7193300,88.30
2012-12-17,83.40,86.00,83.20,85.70,4155600,85.70
2012-12-14,81.00,83.65,80.70,83.25,3117600,83.25
2012-12-13,82.10,82.45,80.65,81.10,2153700,81.10
2012-12-12,82.15,82.60,81.25,82.05,1724000,82.05
2012-12-11,81.65,82.60,81.50,82.00,3546000,82.00
2012-12-10,82.60,83.20,80.70,81.50,2429000,81.50
2012-12-07,84.00,84.00,82.10,82.35,2282300,82.35
2012-12-06,84.00,84.20,82.00,83.65,1819700,83.65
2012-12-05,82.05,83.80,81.75,83.20,2394500,83.20
2012-12-04,82.00,82.20,80.75,81.55,1353900,81.55
2012-12-03,80.95,82.20,80.60,81.55,1918800,81.55
2012-11-30,79.50,81.10,79.35,80.80,3236800,80.80
2012-11-29,78.60,79.70,78.45,79.05,3889700,79.05
2012-11-28,78.60,78.60,78.60,78.60,000,78.60
2012-11-27,77.65,79.20,77.65,78.60,1923900,78.60
2012-11-26,77.75,78.70,77.55,78.15,874800,78.15
2012-11-23,78.10,78.30,77.55,78.05,765200,78.05
2012-11-22,77.40,78.25,77.40,78.05,1620100,78.05
2012-11-21,77.80,77.90,76.90,77.20,2059800,77.20
2012-11-20,78.05,78.75,76.80,77.25,1666300,77.25
2012-11-19,79.50,79.75,77.70,77.95,1739100,77.95
2012-11-16,78.75,80.45,78.75,79.25,2359000,79.25
2012-11-15,79.35,80.00,78.50,79.15,1550800,79.15
2012-11-14,79.90,79.90,79.90,79.90,000,79.90
2012-11-13,79.90,79.90,79.90,79.90,000,79.90
2012-11-12,81.00,81.20,79.70,79.90,1484900,79.90
2012-11-09,82.45,83.20,80.25,81.20,1578400,81.20
2012-11-08,82.90,84.10,81.75,82.50,4038400,82.50
2012-11-07,82.25,83.90,82.25,83.50,1133000,83.50
2012-11-06,82.15,83.25,82.15,82.40,1115500,82.40
2012-11-05,82.60,83.60,82.40,82.75,1055900,82.75
2012-11-02,82.20,83.40,81.65,83.05,2241300,83.05
2012-11-01,80.30,81.65,80.10,81.30,1208700,81.30
2012-10-31,79.25,80.45,79.15,80.25,961300,80.25
2012-10-30,80.00,80.50,78.80,79.30,1649800,79.30
2012-10-29,80.45,81.35,80.15,80.50,1833700,80.50
2012-10-26,80.75,80.75,80.75,80.75,000,80.75
2012-10-25,81.90,81.95,80.50,80.75,4133700,80.75
2012-10-24,81.30,81.30,81.30,81.30,000,81.30
2012-10-23,81.20,82.30,81.10,81.30,1107200,81.30
2012-10-22,81.45,81.95,81.00,81.20,1595700,81.20
2012-10-19,82.00,83.15,82.00,82.20,1898900,82.20
2012-10-18,83.20,83.30,81.65,82.20,4086700,82.20
2012-10-17,84.35,84.80,82.10,82.50,3322800,82.50
2012-10-16,86.00,86.35,83.80,84.00,1700600,84.00
2012-10-15,85.10,86.50,85.10,85.75,1787400,85.75
2012-10-12,85.50,87.15,85.30,85.90,2720000,85.90
2012-10-11,85.00,85.80,84.60,85.65,2456900,85.65
2012-10-10,84.50,85.90,84.10,84.80,2980500,84.80
2012-10-09,85.30,86.45,84.30,84.90,2719100,84.90
2012-10-08,86.55,87.60,84.75,85.20,2618100,85.20
2012-10-05,87.70,87.95,84.80,86.20,2792000,86.20
2012-10-04,86.80,88.00,86.40,87.30,4114400,87.30
2012-10-03,86.70,87.90,86.25,86.80,3211800,86.80
2012-10-02,86.10,86.10,86.10,86.10,000,86.10
2012-10-01,86.60,88.00,85.65,86.10,4469500,86.10
2012-09-28,87.00,88.10,85.10,85.45,4245500,85.45
2012-09-27,88.70,88.90,85.00,85.65,8354800,85.65
2012-09-26,89.90,89.90,86.85,89.20,4153700,89.20
2012-09-25,90.95,91.75,89.05,89.60,2718200,89.60
2012-09-24,93.00,94.10,90.35,91.05,3456500,91.05
2012-09-21,86.10,93.90,86.10,92.65,7372300,92.65
2012-09-20,88.30,88.50,85.30,85.95,2360500,85.95
2012-09-19,88.30,88.30,88.30,88.30,000,88.30
2012-09-18,87.10,89.30,86.25,88.30,3695900,88.30
2012-09-17,85.50,87.90,85.10,87.10,3297200,87.10
2012-09-14,83.00,85.00,82.00,84.55,4979000,84.55
2012-09-13,81.00,82.40,80.25,80.45,2992500,80.45
2012-09-12,78.90,81.45,78.65,81.20,2300900,81.20
2012-09-11,79.00,79.00,77.85,78.65,1218700,78.65
2012-09-10,78.90,79.85,78.55,79.35,2056000,79.35
2012-09-07,77.90,78.50,77.00,77.65,2047800,77.65
2012-09-06,76.20,77.35,76.20,76.75,1513200,76.75
2012-09-05,76.30,77.05,75.75,76.40,3386300,76.40
2012-09-04,77.00,77.40,75.75,77.10,2779500,77.10
2012-09-03,79.00,79.80,76.20,76.45,3702700,76.45
2012-08-31,78.15,78.85,77.00,78.20,1634400,78.20
2012-08-30,77.50,79.65,76.45,77.95,4492700,77.95
2012-08-29,82.75,83.00,77.55,77.90,4216900,77.90
2012-08-28,83.50,84.00,81.95,82.85,1659900,82.85
2012-08-27,84.00,84.35,83.50,83.80,1770600,83.80
2012-08-24,83.50,84.20,83.10,83.95,1509000,83.95
2012-08-23,85.05,85.80,83.60,84.20,1492400,84.20
2012-08-22,84.45,85.65,84.25,84.85,1598100,84.85
2012-08-21,83.00,85.10,82.75,84.85,2303800,84.85
2012-08-20,83.15,83.15,83.15,83.15,000,83.15
2012-08-17,84.00,85.00,82.80,83.15,3110600,83.15
2012-08-16,86.70,87.00,84.30,84.60,2163100,84.60
2012-08-15,86.70,86.70,86.70,86.70,000,86.70
2012-08-14,86.00,86.95,84.60,86.70,2236000,86.70
2012-08-13,84.40,86.20,84.15,85.20,1959900,85.20
2012-08-10,85.00,85.60,83.65,84.90,1818300,84.90
2012-08-09,86.50,86.80,85.10,85.45,1893200,85.45
2012-08-08,87.20,88.80,86.20,86.60,3124600,85.80
2012-08-07,84.15,87.35,84.15,87.05,2546400,86.25
2012-08-06,86.15,87.35,84.80,85.40,6370000,84.61
2012-08-03,85.90,86.25,83.75,84.65,2205600,83.87
2012-08-02,85.00,87.40,85.00,86.55,2498500,85.75
2012-08-01,86.05,86.45,85.05,85.85,1653700,85.06
2012-07-31,86.25,86.70,83.50,85.80,3201800,85.01
2012-07-30,84.40,86.45,83.60,86.05,1916600,85.26
2012-07-27,83.50,85.00,82.55,83.15,2367400,82.38
