Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,433.20,433.20,433.20,433.20,000,433.20
2012-12-24,439.60,443.80,431.00,433.20,11200,433.20
2012-12-21,442.00,443.75,433.95,435.15,26200,435.15
2012-12-20,441.60,445.00,435.00,441.40,44300,441.40
2012-12-19,440.00,460.00,439.95,446.75,151400,446.75
2012-12-18,441.00,441.05,425.10,434.75,57700,434.75
2012-12-17,428.95,444.05,425.00,434.85,100300,434.85
2012-12-14,423.00,432.80,418.05,424.05,86800,424.05
2012-12-13,450.00,454.90,420.05,425.45,179800,425.45
2012-12-12,447.05,460.40,438.15,442.30,214700,442.30
2012-12-11,471.00,481.70,445.10,448.10,511600,448.10
2012-12-10,416.75,492.75,413.00,468.95,1131700,468.95
2012-12-07,412.00,419.00,412.00,413.15,20400,413.15
2012-12-06,415.00,415.00,406.80,411.30,7900,411.30
2012-12-05,405.00,413.00,405.00,409.35,17900,409.35
2012-12-04,409.85,410.85,405.00,407.95,9400,407.95
2012-12-03,405.00,415.00,405.00,408.65,38000,408.65
2012-11-30,398.00,409.00,397.05,405.30,21200,405.30
2012-11-29,394.25,399.70,390.35,396.15,11700,396.15
2012-11-28,393.10,393.10,393.10,393.10,000,393.10
2012-11-27,388.45,395.95,387.00,393.10,54200,393.10
2012-11-26,390.55,400.00,389.55,391.05,8300,391.05
2012-11-23,393.65,393.75,388.40,389.55,3300,389.55
2012-11-22,396.00,398.75,390.50,392.15,3900,392.15
2012-11-21,390.50,396.00,390.50,391.55,2600,391.55
2012-11-20,401.00,401.00,392.35,393.75,10400,393.75
2012-11-19,402.00,403.20,393.00,394.20,10400,394.20
2012-11-16,405.60,406.95,398.00,399.45,13500,399.45
2012-11-15,413.00,413.00,399.55,401.15,11500,401.15
2012-11-14,405.15,405.15,405.15,405.15,000,405.15
2012-11-13,405.15,405.15,405.15,405.15,000,405.15
2012-11-12,415.00,415.00,401.40,405.15,8100,405.15
2012-11-09,414.05,416.00,403.80,406.00,17700,406.00
2012-11-08,409.80,416.25,405.40,413.35,18000,413.35
2012-11-07,411.30,421.35,407.15,411.45,29200,411.45
2012-11-06,390.50,421.90,390.50,416.20,93800,416.20
2012-11-05,387.80,405.80,386.05,402.70,72600,402.70
2012-11-02,385.00,385.00,380.70,383.70,10000,383.70
2012-11-01,379.05,386.30,378.15,382.55,10400,382.55
2012-10-31,376.80,385.90,370.50,381.60,16200,381.60
2012-10-30,380.00,382.00,368.00,371.25,12200,371.25
2012-10-29,391.00,391.00,377.05,380.45,12500,380.45
2012-10-26,381.75,381.75,381.75,381.75,000,381.75
2012-10-25,384.75,384.75,376.05,381.75,5300,381.75
2012-10-24,380.15,380.15,380.15,380.15,000,380.15
2012-10-23,375.55,383.30,373.05,380.15,3300,380.15
2012-10-22,378.00,382.00,378.00,380.00,7100,380.00
2012-10-19,384.80,384.80,378.00,381.40,5400,381.40
2012-10-18,373.10,386.00,373.05,384.00,9200,384.00
2012-10-17,375.00,379.90,375.00,375.60,2400,375.60
2012-10-16,373.10,382.00,373.10,378.25,8600,378.25
2012-10-15,376.00,378.00,371.60,376.60,3900,376.60
2012-10-12,375.30,378.00,372.05,373.50,3000,373.50
2012-10-11,373.20,375.10,368.50,373.65,6500,373.65
2012-10-10,377.00,379.90,373.00,374.20,9200,374.20
2012-10-09,381.00,384.95,380.05,380.65,5400,380.65
2012-10-08,381.00,387.95,380.15,380.95,5900,380.95
2012-10-05,389.95,390.00,380.75,383.30,10200,383.30
2012-10-04,382.35,392.80,382.35,385.90,16600,385.90
2012-10-03,382.50,386.00,380.20,381.30,9000,381.30
2012-10-02,382.40,382.40,382.40,382.40,000,382.40
2012-10-01,377.10,390.00,375.35,382.40,21100,382.40
2012-09-28,378.00,378.00,370.10,376.05,10700,376.05
2012-09-27,374.90,375.80,370.00,371.35,5900,371.35
2012-09-26,371.00,375.00,370.00,373.00,5300,373.00
2012-09-25,380.00,380.00,371.50,375.10,6400,375.10
2012-09-24,370.00,384.90,370.00,374.55,35200,374.55
2012-09-21,370.00,375.00,364.75,369.35,37600,369.35
2012-09-20,367.00,376.50,356.25,365.25,43400,365.25
2012-09-19,367.40,367.40,367.40,367.40,000,367.40
2012-09-18,353.00,378.35,350.35,367.40,75800,367.40
2012-09-17,345.00,358.00,345.00,352.20,14900,352.20
2012-09-14,340.80,344.90,340.00,343.15,9900,343.15
2012-09-13,336.95,339.00,334.00,334.95,4100,334.95
2012-09-12,335.10,340.00,335.00,337.80,4200,337.80
2012-09-11,336.10,336.10,333.00,334.75,3400,334.75
2012-09-10,337.00,339.85,334.05,336.65,2500,336.65
2012-09-07,335.00,338.00,331.50,335.35,5100,335.35
2012-09-06,330.65,330.95,327.00,329.25,2800,329.25
2012-09-05,330.20,332.00,329.00,329.80,3900,329.80
2012-09-04,330.50,332.00,330.05,330.75,6000,330.75
2012-09-03,331.25,334.00,330.05,331.05,4700,331.05
2012-08-31,332.00,333.80,325.00,329.40,13400,329.40
2012-08-30,328.10,333.70,328.10,331.65,5600,331.65
2012-08-29,337.00,339.40,330.00,331.55,8200,331.55
2012-08-28,344.00,344.00,337.00,337.50,4600,337.50
2012-08-27,344.00,345.95,340.10,341.70,4800,341.70
2012-08-24,350.00,350.00,344.65,345.60,7500,345.60
2012-08-23,348.40,349.95,346.10,347.65,5400,347.65
2012-08-22,350.00,350.00,347.50,348.40,5400,348.40
2012-08-21,353.05,354.90,349.10,349.90,10400,349.90
2012-08-20,353.50,353.50,353.50,353.50,000,353.50
2012-08-17,354.10,357.90,351.00,353.50,2400,353.50
2012-08-16,360.00,360.00,353.15,353.70,6200,353.70
2012-08-15,354.55,354.55,354.55,354.55,000,354.55
2012-08-14,351.10,357.70,351.10,354.55,5500,354.55
2012-08-13,355.00,357.85,350.40,354.40,6400,354.40
2012-08-10,354.10,357.45,352.50,354.85,3200,354.85
2012-08-09,355.15,359.50,355.00,355.80,4600,355.80
2012-08-08,358.45,362.00,357.00,357.85,6400,357.85
2012-08-07,357.30,360.50,356.60,357.55,17700,357.55
2012-08-06,360.00,360.50,356.20,356.90,4400,356.90
2012-08-03,363.95,363.95,354.05,355.55,10900,355.55
2012-08-02,355.45,361.90,355.45,359.45,1600,359.45
2012-08-01,352.60,363.00,352.60,358.75,8300,358.75
2012-07-31,360.00,360.00,352.15,355.25,14600,355.25
2012-07-30,360.00,364.80,354.00,358.15,14000,358.15
2012-07-27,355.50,363.80,352.10,360.00,12900,360.00
2012-07-26,360.00,363.95,354.35,355.00,5500,355.00
2012-07-25,370.10,372.00,359.50,360.35,25800,360.35
2012-07-24,369.95,388.90,364.55,372.40,118800,372.40
2012-07-23,373.20,376.85,368.25,369.25,3200,369.25
2012-07-20,373.10,377.00,373.10,375.95,3500,375.95
2012-07-19,378.00,378.00,373.60,375.25,2800,375.25
2012-07-18,380.00,380.00,375.00,376.25,5600,376.25
2012-07-17,385.00,388.50,378.20,380.15,5200,380.15
2012-07-16,385.00,389.90,383.05,383.75,4000,383.75
2012-07-13,382.40,385.00,382.40,384.15,6800,384.15
2012-07-12,384.90,389.50,380.00,381.15,6700,381.15
2012-07-11,386.20,390.85,385.00,386.85,8400,386.85
2012-07-10,389.00,392.00,382.85,388.45,6400,388.45
2012-07-09,389.00,393.55,383.00,385.20,6900,385.20
2012-07-06,395.00,397.90,386.35,393.30,4400,393.30
2012-07-05,383.50,401.00,383.25,394.40,30700,394.40
2012-07-04,386.85,386.85,382.00,383.75,5700,383.75
2012-07-03,390.15,390.15,382.00,383.50,6800,383.50
2012-07-02,386.00,391.35,384.15,387.15,11700,387.15
2012-06-29,385.00,390.00,378.05,385.40,18900,385.40
2012-06-28,375.90,383.00,374.00,380.10,8500,380.10
2012-06-27,374.00,376.95,372.25,375.90,4000,375.90
2012-06-26,372.00,373.90,366.00,372.75,5800,372.75
2012-06-25,362.25,377.00,362.25,369.30,9900,369.30
2012-06-22,366.10,369.70,366.00,368.25,3700,368.25
2012-06-21,369.95,372.00,366.10,369.80,3000,369.80
2012-06-20,365.10,372.00,365.05,368.75,2700,368.75
2012-06-19,364.00,371.50,361.00,368.80,7200,368.80
2012-06-18,379.00,382.95,363.15,364.15,12700,364.15
2012-06-15,370.85,381.00,367.60,376.90,12700,376.90
2012-06-14,363.25,372.00,341.95,368.05,7900,368.05
2012-06-13,374.00,376.95,368.00,370.00,7200,370.00
2012-06-12,363.00,375.00,363.00,371.20,4800,371.20
2012-06-11,369.90,372.00,366.00,366.75,3900,366.75
2012-06-08,365.00,366.90,362.05,365.95,6100,365.95
2012-06-07,365.00,367.00,362.05,363.90,6700,363.90
2012-06-06,354.05,363.70,354.05,362.80,6100,362.80
2012-06-05,353.15,358.90,353.05,356.00,3600,356.00
2012-06-04,350.10,353.50,345.40,352.35,5400,352.35
2012-06-01,358.00,358.00,351.00,351.75,5000,351.75
2012-05-31,352.25,358.50,350.60,357.20,6100,357.20
2012-05-30,356.70,358.00,353.05,355.35,3900,355.35
2012-05-29,357.30,364.70,357.30,358.35,5300,358.35
2012-05-28,353.10,359.70,352.00,358.30,8100,358.30
2012-05-25,357.00,358.00,351.20,352.60,5800,352.60
2012-05-24,355.00,363.50,350.25,354.25,2400,354.25
2012-05-23,354.20,358.60,350.50,351.90,3800,351.90
2012-05-22,363.00,364.50,356.10,358.05,5100,358.05
2012-05-21,358.00,363.00,354.00,361.55,4200,361.55
2012-05-18,348.00,358.00,343.20,355.65,10500,355.65
2012-05-17,348.00,357.00,348.00,349.40,4700,349.40
2012-05-16,353.50,357.95,350.05,351.90,6300,351.90
2012-05-15,354.10,359.60,352.00,355.95,7200,355.95
2012-05-14,363.00,364.50,355.30,356.95,4700,356.95
2012-05-11,370.00,371.50,360.30,361.90,12000,361.90
2012-05-10,370.00,375.00,366.05,369.60,7200,369.60
2012-05-09,370.00,374.50,370.00,370.90,5300,370.90
2012-05-08,373.00,379.00,370.65,373.95,8700,373.95
2012-05-07,368.00,376.00,360.00,373.25,11100,373.25
2012-05-04,372.10,380.70,367.60,369.60,15700,369.60
