Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,54.60,54.60,54.60,54.60,000,54.60
2012-12-24,54.80,55.05,54.20,54.60,172200,54.60
2012-12-21,56.35,56.35,54.90,55.10,258400,55.10
2012-12-20,56.50,57.50,56.10,56.30,742500,56.30
2012-12-19,54.70,57.00,54.45,56.45,993900,56.45
2012-12-18,53.70,54.90,53.60,54.40,225600,54.40
2012-12-17,53.20,54.50,53.10,54.05,345500,54.05
2012-12-14,53.15,53.85,53.15,53.40,120000,53.40
2012-12-13,53.20,54.10,53.05,53.15,178700,53.15
2012-12-12,54.00,54.20,53.10,53.25,176000,53.25
2012-12-11,55.15,55.40,53.65,53.80,188500,53.80
2012-12-10,55.25,55.40,54.70,54.85,169800,54.85
2012-12-07,55.90,56.20,54.90,55.10,196700,55.10
2012-12-06,55.60,56.25,55.15,55.75,347900,55.75
2012-12-05,55.40,56.80,55.00,55.35,708200,55.35
2012-12-04,54.90,55.80,54.70,55.05,502000,55.05
2012-12-03,53.65,54.90,53.50,54.45,426400,54.45
2012-11-30,52.70,53.85,52.20,53.25,262300,53.25
2012-11-29,53.20,53.60,52.50,52.70,212500,52.70
2012-11-28,53.20,53.20,53.20,53.20,000,53.20
2012-11-27,52.45,53.90,52.20,53.20,336100,53.20
2012-11-26,51.90,52.35,51.60,52.05,134200,52.05
2012-11-23,52.00,52.25,51.70,51.90,102600,51.90
2012-11-22,51.95,52.70,51.80,51.90,145400,51.90
2012-11-21,51.55,52.40,51.45,51.85,113500,51.85
2012-11-20,52.95,52.95,51.50,51.75,129100,51.75
2012-11-19,53.65,54.00,52.20,52.50,145400,52.50
2012-11-16,53.60,55.20,53.15,53.50,483800,53.50
2012-11-15,54.85,54.85,53.25,53.55,231100,53.55
2012-11-14,54.25,54.25,54.25,54.25,000,54.25
2012-11-13,54.25,54.25,54.25,54.25,000,54.25
2012-11-12,55.00,55.40,53.70,54.25,644700,54.25
2012-11-09,53.60,55.50,53.25,53.85,1882800,53.85
2012-11-08,51.00,52.00,50.15,51.80,235900,51.80
2012-11-07,51.20,52.00,51.05,51.25,232100,51.25
2012-11-06,51.15,51.70,50.95,51.10,148200,51.10
2012-11-05,51.70,52.20,51.00,51.35,280800,51.35
2012-11-02,51.40,52.00,51.30,51.45,280800,51.45
2012-11-01,50.85,51.40,50.45,50.95,224300,50.95
2012-10-31,50.90,51.10,50.30,50.65,164400,50.65
2012-10-30,51.25,51.45,50.00,50.15,275500,50.15
2012-10-29,51.85,51.85,50.50,50.95,312800,50.95
2012-10-26,50.70,50.70,50.70,50.70,000,50.70
2012-10-25,54.25,54.80,50.25,50.70,3693400,50.70
2012-10-24,54.25,54.25,54.25,54.25,000,54.25
2012-10-23,55.00,55.90,54.10,54.25,620500,54.25
2012-10-22,55.55,56.10,55.00,55.15,734300,55.15
2012-10-19,57.00,57.30,55.35,55.65,483000,55.65
2012-10-18,57.20,57.80,56.50,56.80,468100,56.80
2012-10-17,56.60,57.25,55.55,56.85,574600,56.85
2012-10-16,58.10,58.30,55.60,56.00,426700,56.00
2012-10-15,57.90,58.80,57.50,57.80,530100,57.80
2012-10-12,58.50,59.25,57.30,57.50,448700,57.50
2012-10-11,57.50,58.90,57.25,58.50,491300,58.50
2012-10-10,57.60,59.60,57.20,57.50,835400,57.50
2012-10-09,57.55,58.65,57.10,58.20,372500,58.20
2012-10-08,57.50,59.30,57.00,57.25,583800,57.25
2012-10-05,59.50,59.80,56.60,57.80,633400,57.80
2012-10-04,60.00,61.00,59.00,59.20,855600,59.20
2012-10-03,59.50,60.40,58.75,59.70,994500,59.70
2012-10-02,59.30,59.30,59.30,59.30,000,59.30
2012-10-01,60.95,60.95,58.45,59.30,1192500,59.30
2012-09-28,55.80,60.15,55.80,59.35,3004800,59.35
2012-09-27,56.05,57.50,55.10,55.30,1444900,55.30
2012-09-26,56.35,57.65,55.40,56.50,688000,56.50
2012-09-25,57.95,57.95,55.65,56.35,440800,56.35
2012-09-24,55.20,58.15,55.20,57.10,1623800,57.10
2012-09-21,54.60,56.55,54.60,55.15,2727000,55.15
2012-09-20,54.00,55.00,53.10,53.80,366100,53.80
2012-09-19,54.70,54.70,54.70,54.70,000,54.70
2012-09-18,53.30,55.30,53.00,54.70,696000,54.70
2012-09-17,54.00,54.75,52.60,53.05,407800,53.05
2012-09-14,51.95,54.20,51.50,53.40,826900,53.40
2012-09-13,52.45,52.50,51.10,51.35,179900,51.35
2012-09-12,52.95,53.40,52.15,52.45,287800,52.45
2012-09-11,53.00,53.40,52.10,52.60,351600,52.60
2012-09-10,51.35,53.35,51.00,52.60,484700,52.60
2012-09-07,51.00,51.35,50.60,50.90,178800,50.90
2012-09-06,49.50,50.35,49.30,50.00,127000,50.00
2012-09-05,49.65,50.45,48.00,49.65,216900,49.65
2012-09-04,50.60,50.80,49.65,49.95,175100,49.95
2012-09-03,51.85,51.85,50.40,50.60,117500,50.60
2012-08-31,51.35,51.75,50.75,51.05,114300,51.05
2012-08-30,50.80,52.65,50.00,51.30,690600,51.30
2012-08-29,51.75,52.00,50.60,50.90,178900,50.90
2012-08-28,52.35,52.35,51.45,51.75,195600,51.75
2012-08-27,53.50,54.00,51.85,52.40,187000,52.40
2012-08-24,53.80,54.20,53.25,53.40,102400,53.40
2012-08-23,54.15,54.85,53.70,53.90,177500,53.90
2012-08-22,56.20,56.20,54.05,54.30,303400,54.30
2012-08-21,56.25,56.90,55.65,56.20,229100,56.20
2012-08-20,55.80,55.80,55.80,55.80,000,55.80
2012-08-17,55.00,57.40,55.00,55.80,825600,55.80
2012-08-16,54.25,56.15,54.05,54.95,337000,54.95
2012-08-15,54.20,54.20,54.20,54.20,000,54.20
2012-08-14,54.35,54.90,53.85,54.20,197400,54.20
2012-08-13,53.00,54.20,52.45,53.85,453800,53.85
2012-08-10,54.50,55.10,53.45,53.75,208500,53.75
2012-08-09,56.20,56.40,54.60,54.75,287000,54.75
2012-08-08,56.20,57.70,55.60,56.15,733800,56.15
2012-08-07,56.00,56.70,55.70,55.85,280000,55.85
2012-08-06,55.10,56.35,54.90,55.70,277600,55.70
2012-08-03,55.15,55.35,54.50,54.75,140000,54.75
2012-08-02,55.80,56.30,55.25,55.65,198800,55.65
2012-08-01,54.80,55.95,53.70,55.70,393000,55.70
2012-07-31,53.45,55.50,52.45,54.80,463200,54.80
2012-07-30,52.00,53.30,51.70,53.10,180400,53.10
2012-07-27,52.25,53.45,51.00,51.30,349200,51.30
2012-07-26,54.20,54.40,50.85,51.55,831600,51.55
2012-07-25,55.45,55.45,54.05,54.50,145400,54.50
2012-07-24,55.00,55.75,54.60,55.25,235400,55.25
2012-07-23,56.55,56.95,54.60,55.25,274900,55.25
2012-07-20,57.30,57.90,56.80,57.30,205400,57.30
2012-07-19,57.15,58.35,56.90,57.50,208500,57.50
2012-07-18,57.15,57.80,56.50,56.85,283900,56.85
2012-07-17,58.60,59.15,57.05,57.30,210400,57.30
2012-07-16,60.00,60.15,58.10,58.40,274100,58.40
2012-07-13,60.60,60.90,59.50,59.70,440800,59.70
2012-07-12,60.00,61.50,59.50,60.35,1066700,60.35
2012-07-11,60.00,60.70,59.10,59.85,722800,59.85
2012-07-10,58.35,59.90,58.35,59.70,413000,59.70
2012-07-09,58.50,59.35,58.05,58.30,364900,58.30
2012-07-06,60.35,60.40,58.65,58.90,379800,58.90
2012-07-05,60.10,60.45,59.20,59.75,461900,59.75
2012-07-04,68.00,68.00,59.50,59.85,767000,59.85
2012-07-03,57.30,60.10,57.15,59.75,1344800,59.75
2012-07-02,57.20,57.60,56.45,56.70,193300,56.70
2012-06-29,55.80,57.60,55.25,57.00,775000,57.00
2012-06-28,53.60,55.25,53.50,54.85,663400,54.85
2012-06-27,54.00,54.50,53.75,53.85,93900,53.85
2012-06-26,54.50,54.50,53.55,53.65,131300,53.65
2012-06-25,53.80,55.00,53.80,54.35,218600,54.35
2012-06-22,53.60,55.70,52.80,54.05,283100,54.05
2012-06-21,52.50,53.85,52.20,53.75,180200,53.75
2012-06-20,52.10,52.90,51.75,52.65,92400,52.65
2012-06-19,52.05,52.60,51.25,52.10,129800,52.10
2012-06-18,53.60,53.90,52.10,52.20,196400,52.20
2012-06-15,53.15,53.80,53.05,53.35,137200,53.35
2012-06-14,52.70,54.45,52.25,53.05,597700,53.05
2012-06-13,52.80,53.25,52.10,52.25,181900,52.25
2012-06-12,52.40,52.95,51.50,52.70,110700,52.70
2012-06-11,53.00,53.45,52.15,52.50,277800,52.50
2012-06-08,51.90,53.40,51.30,52.55,388700,52.55
2012-06-07,52.15,52.95,51.05,52.40,347800,52.40
2012-06-06,50.35,52.40,49.85,51.85,735700,51.85
2012-06-05,50.60,51.00,49.65,49.80,271200,49.80
2012-06-04,50.70,50.85,49.20,50.30,519000,50.30
2012-06-01,51.25,51.40,50.50,50.85,239600,50.85
2012-05-31,49.35,52.70,49.35,51.25,893900,51.25
2012-05-30,54.55,54.55,46.55,52.15,558300,52.15
2012-05-29,55.80,56.70,55.35,55.60,371500,55.60
2012-05-28,54.75,56.00,54.75,55.45,247700,55.45
2012-05-25,54.25,55.40,53.55,54.85,173800,54.85
2012-05-24,53.50,54.45,53.30,54.15,173100,54.15
2012-05-23,54.65,54.65,53.25,53.55,180700,53.55
2012-05-22,55.80,56.60,54.50,54.75,134200,54.75
2012-05-21,54.60,56.10,54.45,55.45,159300,55.45
2012-05-18,52.50,54.75,52.50,54.45,150900,54.45
2012-05-17,53.85,55.35,53.85,54.60,295700,54.60
2012-05-16,55.00,55.25,53.10,53.50,390400,53.50
2012-05-15,53.95,55.90,53.50,55.50,177700,55.50
2012-05-14,54.90,56.40,53.55,54.35,190100,54.35
2012-05-11,57.50,58.30,54.55,55.35,542200,55.35
2012-05-10,57.70,58.90,57.50,57.75,600800,57.75
2012-05-09,57.50,58.90,57.35,57.65,624300,57.65
2012-05-08,60.55,60.85,58.00,58.55,250800,58.55
2012-05-07,58.00,60.85,56.70,60.20,326000,60.20
2012-05-04,59.90,60.25,58.40,58.75,456900,58.75
2012-05-03,61.00,62.65,59.60,60.00,205000,60.00
