Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,379.35,379.35,379.35,379.35,000,379.35
2012-12-24,380.20,384.00,379.00,379.35,77900,379.35
2012-12-21,383.80,384.00,379.00,379.15,80800,379.15
2012-12-20,380.00,384.95,379.00,381.00,76000,381.00
2012-12-19,374.10,384.00,373.60,379.10,72100,379.10
2012-12-18,374.00,377.85,373.00,374.35,82300,374.35
2012-12-17,374.10,377.30,373.40,373.65,82000,373.65
2012-12-14,374.20,377.70,373.95,374.85,64800,374.85
2012-12-13,374.15,378.00,373.50,374.10,60800,374.10
2012-12-12,374.05,378.00,373.80,376.05,54700,376.05
2012-12-11,375.00,407.25,373.00,375.90,56500,375.90
2012-12-10,356.50,378.25,354.00,377.40,76000,377.40
2012-12-07,348.50,359.85,345.10,354.85,60100,354.85
2012-12-06,348.00,349.80,345.00,346.85,57200,346.85
2012-12-05,345.10,347.00,344.80,344.95,35700,344.95
2012-12-04,347.50,347.70,344.00,344.35,55400,344.35
2012-12-03,345.20,347.80,345.00,345.10,66100,345.10
2012-11-30,347.70,350.95,346.00,346.90,73000,346.90
2012-11-29,347.00,347.00,345.00,346.70,87400,346.70
2012-11-28,345.80,345.80,345.80,345.80,000,345.80
2012-11-27,353.45,353.45,345.00,345.80,66800,345.80
2012-11-26,385.00,385.00,344.00,345.45,58900,345.45
2012-11-23,345.50,346.80,345.00,345.70,51100,345.70
2012-11-22,345.20,349.75,344.00,344.50,46100,344.50
2012-11-21,346.00,350.95,345.00,345.35,65600,345.35
2012-11-20,345.20,349.95,345.00,347.00,68500,347.00
2012-11-19,345.45,349.75,344.50,345.05,62900,345.05
2012-11-16,347.70,350.00,344.20,349.75,64400,349.75
2012-11-15,348.90,349.00,335.20,344.10,60400,344.10
2012-11-14,347.40,347.40,347.40,347.40,000,347.40
2012-11-13,347.40,347.40,347.40,347.40,000,347.40
2012-11-12,345.15,349.80,345.00,347.40,65600,347.40
2012-11-09,346.05,349.70,345.00,347.30,59900,347.30
2012-11-08,347.00,351.35,344.00,348.75,68600,348.75
2012-11-07,346.00,347.45,344.00,344.55,59700,344.55
2012-11-06,344.50,349.60,343.45,345.15,78500,345.15
