Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,81.00,81.00,81.00,81.00,000,81.00
2012-12-24,80.35,82.60,80.30,81.00,7200,81.00
2012-12-21,84.50,84.50,80.20,80.60,10900,80.60
2012-12-20,86.90,87.35,82.10,83.05,11800,83.05
2012-12-19,83.95,90.90,83.95,86.90,248300,86.90
2012-12-18,80.00,83.75,78.35,81.70,25000,81.70
2012-12-17,81.40,81.40,78.30,79.15,2000,79.15
2012-12-14,78.00,81.00,77.05,80.05,8100,80.05
2012-12-13,80.00,80.60,78.55,78.70,4000,78.70
2012-12-12,80.00,80.95,79.25,80.15,4200,80.15
2012-12-11,82.00,82.00,80.15,80.25,8000,80.25
2012-12-10,84.45,84.45,81.30,81.75,4500,81.75
2012-12-07,85.00,85.00,82.10,84.20,4200,84.20
2012-12-06,84.05,84.50,82.65,83.30,5400,83.30
2012-12-05,87.30,87.30,84.40,84.60,5400,84.60
2012-12-04,90.00,90.00,84.00,85.65,15500,85.65
2012-12-03,84.05,91.50,84.05,88.90,43400,88.90
2012-11-30,82.65,85.00,82.45,84.20,5100,84.20
2012-11-29,82.40,84.00,81.50,82.25,13900,82.25
2012-11-28,81.40,81.40,81.40,81.40,000,81.40
2012-11-27,77.60,82.05,77.60,81.40,12100,81.40
2012-11-26,77.05,78.85,77.05,77.55,3700,77.55
2012-11-23,77.05,78.95,77.05,78.00,2700,78.00
2012-11-22,78.05,79.95,77.30,77.85,800,77.85
2012-11-21,78.80,81.00,77.50,78.35,15700,78.35
2012-11-20,78.05,79.75,76.10,77.40,7200,77.40
2012-11-19,80.00,80.40,77.20,78.80,4600,78.80
2012-11-16,82.05,83.00,77.60,78.80,42300,78.80
2012-11-15,83.00,83.60,81.20,82.45,2300,82.45
2012-11-14,84.60,84.60,84.60,84.60,000,84.60
2012-11-13,84.60,84.60,84.60,84.60,000,84.60
2012-11-12,84.15,85.85,83.15,84.60,2400,84.60
2012-11-09,86.90,88.90,84.05,84.55,64000,84.55
2012-11-08,86.85,86.85,84.10,85.00,1600,85.00
2012-11-07,89.90,89.90,85.10,85.80,4700,85.80
2012-11-06,88.65,92.50,84.80,86.10,83900,86.10
2012-11-05,97.00,97.00,83.40,85.60,6700,85.60
2012-11-02,85.00,87.40,83.05,85.50,7700,85.50
2012-11-01,81.95,86.95,80.70,84.10,7900,84.10
2012-10-31,80.05,81.90,80.00,80.90,10000,80.90
2012-10-30,85.55,85.55,77.00,79.75,23900,79.75
2012-10-29,86.05,88.00,84.80,85.45,8500,85.45
2012-10-26,87.70,87.70,87.70,87.70,000,87.70
2012-10-25,88.05,88.90,87.00,87.70,17100,87.70
2012-10-24,88.40,88.40,88.40,88.40,000,88.40
2012-10-23,91.65,91.65,86.20,88.40,52700,88.40
2012-10-22,91.25,92.00,88.05,88.90,17100,88.90
2012-10-19,91.40,93.00,86.00,88.85,10400,88.85
2012-10-18,90.00,91.80,89.30,90.15,7700,90.15
2012-10-17,91.00,91.95,89.55,90.60,12800,90.60
2012-10-16,93.90,94.10,90.50,90.85,84000,90.85
2012-10-15,91.10,93.40,89.55,89.95,10500,89.95
2012-10-12,89.25,92.90,89.25,90.70,107000,90.70
2012-10-11,90.00,91.30,89.10,90.20,104400,90.20
2012-10-10,92.20,92.20,89.65,89.95,4800,89.95
2012-10-09,90.90,93.35,90.90,91.45,74500,91.45
2012-10-08,90.75,90.75,89.25,89.90,9400,89.90
2012-10-05,90.80,90.80,88.90,89.10,11700,89.10
2012-10-04,88.60,90.55,88.55,90.00,22200,90.00
2012-10-03,89.90,90.90,88.60,89.60,6400,89.60
2012-10-02,89.35,89.35,89.35,89.35,000,89.35
2012-10-01,88.50,89.95,88.30,89.35,4000,89.35
2012-09-28,88.40,90.80,88.40,89.50,24000,89.50
2012-09-27,87.00,90.40,87.00,89.45,29400,89.45
2012-09-26,87.00,90.00,87.00,89.55,32100,89.55
2012-09-25,89.15,90.45,87.40,88.65,31700,88.65
2012-09-24,88.60,90.70,85.40,90.05,28300,90.05
2012-09-21,88.60,90.40,88.00,88.30,20900,88.30
2012-09-20,88.50,90.50,87.15,88.35,21800,88.35
2012-09-19,89.95,89.95,89.95,89.95,000,89.95
2012-09-18,89.70,91.10,89.00,89.95,75300,89.95
2012-09-17,89.70,92.70,85.00,91.75,328100,91.75
2012-09-14,86.00,90.95,85.00,88.05,160800,88.05
2012-09-13,76.00,84.90,76.00,83.70,106500,83.70
2012-09-12,73.25,80.00,73.25,79.10,212300,79.10
2012-09-11,71.90,74.15,69.75,72.95,64300,72.95
2012-09-10,65.90,74.90,64.55,71.15,193600,71.15
2012-09-07,78.50,79.50,61.35,65.15,213600,65.15
2012-09-06,76.40,79.30,75.15,76.65,45100,76.65
2012-09-05,76.90,78.95,75.55,75.95,42800,75.95
2012-09-04,79.25,81.95,76.05,77.60,50700,77.60
2012-09-03,82.00,83.80,79.00,79.65,57300,79.65
2012-08-31,82.00,83.50,78.05,79.10,66600,79.10
2012-08-30,86.00,86.80,81.45,83.40,111500,83.40
2012-08-29,88.00,88.95,85.35,86.00,20400,86.00
2012-08-28,90.00,90.95,86.00,87.05,9600,87.05
2012-08-27,92.70,93.70,88.10,88.75,75200,88.75
2012-08-24,92.10,94.50,89.60,91.60,108300,91.60
2012-08-23,93.10,98.95,92.55,93.50,128400,93.50
2012-08-22,99.20,100.00,91.60,94.10,100500,94.10
2012-08-21,101.00,102.85,98.25,99.15,87900,99.15
2012-08-20,100.55,100.55,100.55,100.55,000,100.55
2012-08-17,103.75,103.75,100.15,100.55,85100,100.55
2012-08-16,103.60,104.90,99.10,100.50,115600,100.50
2012-08-15,101.85,101.85,101.85,101.85,000,101.85
2012-08-14,98.10,104.00,98.10,101.85,136500,101.85
2012-08-13,103.00,104.80,98.05,99.75,149800,99.75
2012-08-10,102.70,105.70,102.65,103.15,92800,103.15
2012-08-09,101.70,106.00,101.70,102.50,122700,102.50
2012-08-08,103.50,104.85,102.30,103.35,123400,103.35
2012-08-07,104.00,106.25,102.50,104.35,22500,104.35
2012-08-06,102.20,107.00,102.20,104.00,39600,104.00
2012-08-03,100.00,104.50,98.65,103.50,12600,103.50
2012-08-02,106.00,106.00,100.55,101.35,6300,101.35
2012-08-01,101.50,105.95,99.05,104.15,65300,104.15
2012-07-31,107.00,108.00,95.05,99.45,154500,99.45
2012-07-30,90.30,109.00,90.30,106.40,405400,106.40
2012-07-27,102.00,102.85,80.00,92.35,143300,92.35
2012-07-26,104.15,105.35,95.00,97.30,86300,97.30
2012-07-25,104.00,107.00,102.80,103.80,73700,103.80
2012-07-24,105.80,108.50,104.90,105.40,100900,105.40
2012-07-23,107.80,108.95,104.10,107.15,106000,107.15
2012-07-20,106.60,107.00,103.65,106.50,123200,106.50
2012-07-19,107.30,107.30,104.10,104.80,218700,104.80
2012-07-18,104.10,107.85,102.75,105.60,126900,105.60
2012-07-17,102.60,104.70,102.10,103.85,106200,103.85
2012-07-16,105.40,105.50,102.20,103.10,109600,103.10
2012-07-13,103.00,104.85,101.35,103.25,231000,103.25
2012-07-12,105.15,105.15,100.70,101.85,114300,101.85
2012-07-11,104.10,107.00,103.05,103.40,103600,103.40
2012-07-10,104.00,106.10,103.50,104.45,123100,104.45
2012-07-09,106.65,107.40,102.50,103.05,109500,103.05
2012-07-06,107.50,107.65,103.65,106.00,141400,106.00
2012-07-05,107.80,108.75,105.00,106.35,156300,106.35
2012-07-04,105.70,108.80,105.70,106.95,137500,106.95
2012-07-03,106.55,115.00,106.20,106.90,137400,106.90
2012-07-02,105.20,109.00,105.15,106.20,112300,106.20
2012-06-29,105.05,108.00,105.05,106.60,131500,106.60
2012-06-28,108.20,108.30,105.00,105.35,117700,105.35
2012-06-27,106.90,109.30,105.10,106.40,108200,106.40
2012-06-26,103.50,109.40,103.45,106.75,129900,106.75
2012-06-25,109.00,109.75,104.25,106.10,116200,106.10
2012-06-22,106.90,106.95,101.20,105.70,126300,105.70
2012-06-21,105.50,106.90,102.60,104.75,118700,104.75
2012-06-20,102.50,105.95,102.50,105.10,128500,105.10
2012-06-19,105.85,105.85,102.15,103.25,128700,103.25
2012-06-18,106.00,107.00,100.60,103.95,242400,103.95
2012-06-15,107.00,107.00,102.10,104.95,153000,104.95
2012-06-14,105.55,105.55,102.50,103.35,114500,103.35
2012-06-13,103.95,105.60,102.20,103.85,123500,103.85
2012-06-12,108.00,108.00,103.25,103.95,124500,103.95
2012-06-11,100.20,107.95,100.20,104.80,112500,104.80
2012-06-08,108.50,108.60,102.00,103.35,118300,103.35
2012-06-07,107.05,110.50,105.80,106.30,148400,106.30
2012-06-06,107.05,108.75,105.80,106.35,113500,106.35
2012-06-05,107.00,109.00,105.25,105.95,119100,105.95
2012-06-04,110.00,110.00,106.70,107.50,107800,107.50
2012-06-01,106.35,112.10,106.00,110.65,154100,110.65
2012-05-31,105.00,108.80,104.55,105.15,140600,105.15
2012-05-30,108.90,112.80,105.00,106.50,198300,106.50
2012-05-29,108.00,110.95,105.25,108.25,287200,108.25
2012-05-28,105.00,110.00,103.30,107.80,156400,107.80
2012-05-25,101.00,111.10,101.00,104.75,222300,104.75
2012-05-24,96.00,106.00,96.00,101.00,189100,101.00
2012-05-23,96.55,98.45,90.80,96.40,118700,96.40
2012-05-22,98.00,101.00,95.00,97.10,86300,97.10
2012-05-21,84.05,101.75,84.05,97.40,346300,97.40
2012-05-18,113.15,113.15,93.35,93.35,44600,93.35
2012-05-17,124.90,124.90,107.20,116.65,243400,116.65
2012-05-16,129.50,129.95,122.10,124.70,213100,124.70
2012-05-15,131.40,131.40,123.50,126.45,256900,126.45
2012-05-14,129.70,129.70,124.00,125.80,208200,125.80
2012-05-11,125.90,134.00,125.90,127.60,226600,127.60
