Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,4458.45,4458.45,4458.45,4458.45,000,4458.45
2012-12-24,4512.55,4519.95,4393.35,4458.45,4800,4458.45
2012-12-21,4485.00,4510.00,4466.70,4489.75,20600,4489.75
2012-12-20,4486.00,4530.00,4485.00,4518.05,12600,4518.05
2012-12-19,4473.00,4541.00,4469.00,4524.70,36400,4524.70
2012-12-18,4494.45,4546.95,4444.95,4469.30,15800,4469.30
2012-12-17,4495.00,4511.00,4401.00,4499.80,4800,4499.80
2012-12-14,4349.00,4500.00,4323.85,4489.45,22000,4489.45
2012-12-13,4331.00,4360.00,4301.10,4321.10,26700,4321.10
2012-12-12,4349.40,4349.40,4261.00,4316.00,3400,4316.00
2012-12-11,4350.00,4390.00,4262.00,4286.25,5300,4286.25
2012-12-10,4310.10,4389.95,4291.55,4339.75,3200,4339.75
2012-12-07,4359.00,4359.00,4275.00,4299.50,73600,4299.50
2012-12-06,4320.05,4360.00,4250.10,4304.05,2500,4304.05
2012-12-05,4238.95,4347.50,4206.00,4299.30,17300,4299.30
2012-12-04,4316.15,4320.00,4165.05,4200.95,14800,4200.95
2012-12-03,4465.00,4465.00,4297.30,4341.95,16200,4341.95
2012-11-30,4471.90,4481.80,4370.00,4393.80,6300,4393.80
2012-11-29,4442.70,4465.00,4282.40,4390.40,23700,4390.40
2012-11-28,4371.75,4371.75,4371.75,4371.75,000,4371.75
2012-11-27,4340.00,4399.00,4309.15,4371.75,6400,4371.75
2012-11-26,5100.00,5100.00,4165.00,4264.90,6600,4264.90
2012-11-23,4293.30,4395.00,4225.05,4261.45,8700,4261.45
2012-11-22,4124.00,4408.00,4118.80,4293.30,20700,4293.30
2012-11-21,3911.95,4125.00,3911.95,4080.15,14200,4080.15
2012-11-20,4090.05,4190.00,3950.00,3999.95,9500,3999.95
2012-11-19,4270.00,4270.00,4081.60,4088.25,2300,4088.25
2012-11-16,4062.60,4279.00,4062.60,4197.30,24000,4197.30
2012-11-15,4278.10,4389.00,4082.25,4115.25,9700,4115.25
2012-11-14,4324.90,4324.90,4324.90,4324.90,000,4324.90
2012-11-13,4324.90,4324.90,4324.90,4324.90,000,4324.90
2012-11-12,4500.00,4500.00,4302.15,4324.90,4400,4324.90
2012-11-09,4408.25,4499.95,4380.00,4403.85,4600,4403.85
2012-11-08,4330.05,4472.10,4330.05,4449.55,6600,4449.55
2012-11-07,4301.05,4405.05,4301.05,4399.95,25400,4399.95
2012-11-06,4350.00,4374.00,4269.95,4330.65,6700,4330.65
2012-11-05,4320.00,4377.30,4235.00,4325.35,13200,4325.35
2012-11-02,4294.90,4294.90,4200.45,4259.85,4900,4259.85
2012-11-01,4280.00,4280.00,4200.00,4227.10,9300,4227.10
2012-10-31,4188.55,4250.00,4165.00,4223.10,6500,4223.10
2012-10-30,4215.00,4270.00,4145.00,4159.05,6000,4159.05
2012-10-29,4225.00,4282.25,4137.70,4261.30,18400,4261.30
2012-10-26,4201.10,4201.10,4201.10,4201.10,000,4201.10
2012-10-25,4149.95,4224.95,4072.05,4201.10,66100,4201.10
2012-10-24,4117.30,4117.30,4117.30,4117.30,000,4117.30
2012-10-23,4195.15,4230.00,4080.00,4117.30,2100,4117.30
2012-10-22,4231.05,4231.05,4172.00,4192.15,11700,4192.15
2012-10-19,4180.00,4225.00,4175.10,4197.35,12200,4197.35
2012-10-18,4100.00,4224.00,4096.00,4167.15,28900,4167.15
2012-10-17,4086.95,4143.95,4045.10,4072.80,26900,4072.80
2012-10-16,4100.00,4114.90,3955.25,4057.85,102300,4057.85
2012-10-15,4043.70,4090.00,4004.15,4079.10,7400,4079.10
2012-10-12,3978.40,4030.00,3947.60,4003.75,7500,4003.75
2012-10-11,3922.00,4019.00,3867.00,3978.40,14100,3978.40
2012-10-10,3915.05,3975.00,3915.05,3931.65,5800,3931.65
2012-10-09,3870.05,3937.00,3850.00,3909.75,20600,3909.75
2012-10-08,3844.00,3897.65,3792.95,3840.15,115900,3840.15
2012-10-05,4056.00,4085.00,3831.00,3873.95,20600,3865.95
2012-10-04,4149.95,4150.00,4025.10,4075.10,41000,4066.68
2012-10-03,4130.00,4130.00,3586.30,4024.70,20800,4016.39
2012-10-02,4065.45,4065.45,4065.45,4065.45,000,4057.05
2012-10-01,3940.00,4445.00,3905.00,4065.45,77500,4057.05
2012-09-28,3770.30,3984.00,3735.05,3890.65,30500,3882.62
2012-09-27,3698.95,3790.00,3675.00,3770.30,27100,3762.51
2012-09-26,3590.10,3699.90,3590.10,3680.45,16700,3672.85
2012-09-25,3602.00,3625.00,3577.00,3623.85,11400,3616.37
2012-09-24,3650.95,3651.00,3454.75,3615.15,2900,3607.68
2012-09-21,3540.00,3660.00,3540.00,3634.25,7400,3626.75
2012-09-20,3534.95,3570.00,3455.00,3541.30,5500,3533.99
2012-09-19,3501.90,3501.90,3501.90,3501.90,000,3494.67
2012-09-18,3440.05,3519.95,3440.05,3501.90,8100,3494.67
2012-09-17,3411.00,3469.95,3363.00,3427.50,2500,3420.42
2012-09-14,3500.00,3500.00,3386.05,3403.75,2700,3396.72
2012-09-13,3473.45,3495.00,3440.00,3463.30,4700,3456.15
2012-09-12,3462.25,3499.80,3454.00,3473.40,600,3466.23
2012-09-11,3429.90,3505.00,3400.00,3468.50,14300,3461.34
2012-09-10,3377.00,3439.90,3352.60,3405.35,1600,3398.32
2012-09-07,3400.00,3441.80,3380.00,3406.00,6000,3398.97
2012-09-06,3395.15,3430.00,3353.00,3378.95,26200,3371.97
2012-09-05,3350.00,3415.00,3282.60,3395.15,2700,3388.14
2012-09-04,3350.05,3359.00,3327.60,3331.25,27000,3324.37
2012-09-03,3429.00,3429.00,3340.00,3360.90,2600,3353.96
2012-08-31,3488.00,3488.00,3313.00,3385.00,12400,3378.01
2012-08-30,3500.00,3500.05,3370.00,3411.25,10300,3404.21
