Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,65.55,65.55,65.55,65.55,000,65.55
2012-12-24,66.00,66.40,64.50,65.55,1900,65.55
2012-12-21,67.80,68.10,65.30,66.20,3500,66.20
2012-12-20,68.60,69.30,66.25,68.25,5300,68.25
2012-12-19,67.40,69.15,66.00,67.25,8600,67.25
2012-12-18,67.50,69.40,67.00,67.55,4400,67.55
2012-12-17,66.50,68.95,66.00,68.00,6000,68.00
2012-12-14,65.40,73.45,64.80,67.10,108800,67.10
2012-12-13,65.20,68.45,63.70,65.95,57400,65.95
2012-12-12,67.80,68.50,63.10,64.50,27700,64.50
2012-12-11,68.00,68.85,67.00,67.80,43600,67.80
2012-12-10,68.30,70.00,65.75,68.25,77500,68.25
2012-12-07,70.00,72.40,67.60,68.55,118300,68.55
2012-12-06,59.50,72.15,59.05,69.50,212000,69.50
2012-12-05,59.50,61.35,59.10,60.15,11700,60.15
2012-12-04,64.00,64.00,60.00,60.20,16500,60.20
2012-12-03,59.00,66.50,59.00,64.60,82200,64.60
2012-11-30,59.00,61.85,59.00,60.30,56900,60.30
2012-11-29,61.20,62.00,58.55,60.15,139700,60.15
2012-11-28,60.00,60.00,60.00,60.00,000,60.00
2012-11-27,56.00,60.95,56.00,60.00,51200,60.00
2012-11-26,56.50,57.80,56.50,57.00,1800,57.00
2012-11-23,56.00,59.40,54.00,57.85,12800,57.85
2012-11-22,59.05,59.55,54.65,55.00,19500,55.00
2012-11-21,62.00,62.00,56.55,57.05,38400,57.05
2012-11-20,58.20,65.50,58.20,61.65,84000,61.65
2012-11-19,58.50,59.50,57.00,57.55,500,57.55
2012-11-16,55.00,60.50,55.00,59.35,11700,59.35
2012-11-15,55.50,56.00,55.00,55.00,1900,55.00
2012-11-14,57.35,57.35,57.35,57.35,000,57.35
2012-11-13,57.35,57.35,57.35,57.35,000,57.35
2012-11-12,55.65,58.95,55.65,57.35,800,57.35
2012-11-09,58.00,58.50,56.10,56.50,15500,56.50
2012-11-08,57.45,60.80,57.45,59.05,16100,59.05
2012-11-07,57.65,58.75,57.50,57.75,2100,57.75
2012-11-06,54.00,61.00,54.00,58.30,8500,58.30
2012-11-05,55.00,57.95,55.00,56.40,4200,56.40
2012-11-02,56.30,58.95,55.05,55.80,16900,55.80
2012-11-01,58.30,62.40,57.15,58.30,40100,58.30
2012-10-31,59.00,61.00,59.00,60.20,1200,60.20
2012-10-30,62.00,63.90,59.05,60.00,2600,60.00
2012-10-29,60.00,61.70,58.50,59.70,1900,59.70
2012-10-26,62.60,62.60,62.60,62.60,000,62.60
2012-10-25,60.75,64.45,60.75,62.60,5100,62.60
2012-10-24,63.25,63.25,63.25,63.25,000,63.25
2012-10-23,62.55,65.00,62.55,63.25,1800,63.25
2012-10-22,67.00,67.90,64.15,64.40,30100,64.40
2012-10-19,63.10,67.55,62.00,66.15,46700,66.15
2012-10-18,63.65,66.10,62.30,63.10,3100,63.10
2012-10-17,66.50,66.70,63.50,66.10,12500,66.10
