Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,217.50,217.50,217.50,217.50,000,217.50
2012-12-24,223.45,223.45,215.50,217.50,1200,217.50
2012-12-21,213.20,226.80,210.50,223.45,3300,223.45
2012-12-20,221.25,223.85,212.00,219.45,2900,219.45
2012-12-19,216.25,226.00,210.30,221.25,8100,221.25
2012-12-18,219.00,221.70,204.00,215.50,33900,215.50
2012-12-17,220.00,226.95,211.45,221.75,9200,221.75
2012-12-14,214.00,217.50,207.10,216.15,3800,216.15
2012-12-13,212.30,213.00,206.35,212.15,5100,212.15
2012-12-12,207.00,210.00,196.05,208.30,6700,208.30
2012-12-11,199.15,208.80,199.15,203.05,4200,203.05
2012-12-10,198.00,205.60,198.00,202.60,2900,202.60
2012-12-07,208.85,208.85,196.00,204.40,11400,204.40
2012-12-06,209.90,209.90,193.95,198.40,9900,198.40
2012-12-05,184.65,210.00,184.65,201.00,18200,201.00
2012-12-04,181.90,188.90,176.10,185.05,12400,185.05
2012-12-03,182.00,182.50,178.00,181.55,6800,181.55
2012-11-30,179.00,180.00,173.35,177.20,8100,177.20
2012-11-29,180.05,182.95,173.30,177.95,15000,177.95
2012-11-28,180.65,180.65,180.65,180.65,000,180.65
2012-11-27,193.50,193.50,180.00,180.65,8200,180.65
2012-11-26,180.05,186.00,178.00,183.00,8900,183.00
2012-11-23,181.50,183.70,172.00,178.10,15300,178.10
2012-11-22,180.50,188.00,178.00,181.35,9900,181.35
2012-11-21,189.30,189.30,178.50,180.85,5500,180.85
2012-11-20,191.00,191.00,185.60,187.30,2000,187.30
2012-11-19,196.80,196.80,186.10,189.30,4300,189.30
2012-11-16,192.05,197.95,188.00,191.75,11100,191.75
2012-11-15,194.45,196.30,193.50,196.00,2100,196.00
2012-11-14,186.85,186.85,186.85,186.85,000,186.85
2012-11-13,186.85,186.85,186.85,186.85,000,186.85
2012-11-12,197.20,197.20,186.00,186.85,5800,186.85
2012-11-09,200.00,200.00,195.60,196.40,1200,196.40
2012-11-08,199.90,199.90,196.50,198.00,900,198.00
2012-11-07,200.00,205.90,198.00,199.65,2700,199.65
2012-11-06,195.60,202.00,195.60,200.10,1300,200.10
2012-11-05,202.90,202.90,196.50,198.20,2100,198.20
2012-11-02,209.95,209.95,196.25,196.25,28100,196.25
2012-11-01,198.60,204.95,196.25,201.10,1100,201.10
2012-10-31,199.00,203.95,199.00,203.55,1200,203.55
2012-10-30,209.90,209.90,198.50,200.80,117300,200.80
2012-10-29,206.00,206.00,201.00,201.65,201900,201.65
2012-10-26,208.50,208.50,208.50,208.50,000,208.50
2012-10-25,209.15,215.00,207.60,208.50,2400,208.50
2012-10-24,210.65,210.65,210.65,210.65,000,210.65
2012-10-23,213.00,214.95,208.30,210.65,1300,210.65
2012-10-22,215.90,221.45,212.00,212.55,1500,212.55
2012-10-19,224.85,224.85,215.00,215.90,2900,215.90
2012-10-18,218.30,227.65,214.95,220.00,6200,220.00
2012-10-17,219.40,219.40,213.05,213.60,1300,213.60
2012-10-16,218.00,222.50,211.00,212.90,2200,212.90
2012-10-15,225.50,225.50,213.60,218.85,2500,218.85
2012-10-12,215.20,227.70,215.15,225.65,8100,225.65
2012-10-11,213.60,222.00,206.50,219.85,1900,219.85
2012-10-10,217.00,226.00,212.00,214.30,1300,214.30
2012-10-09,217.85,233.95,213.50,221.00,5900,221.00
2012-10-08,217.75,220.00,212.00,217.55,2100,217.55
2012-10-05,212.95,218.70,207.35,217.15,8200,217.15
2012-10-04,214.00,216.90,212.00,212.65,1200,212.65
2012-10-03,210.85,214.90,201.10,211.30,1200,211.30
2012-10-02,209.55,209.55,209.55,209.55,000,209.55
2012-10-01,218.85,218.85,208.75,209.55,900,209.55
2012-09-28,212.95,212.95,209.25,210.85,300,210.85
2012-09-27,219.65,219.65,205.55,209.50,1000,209.50
2012-09-26,206.75,212.10,204.15,209.90,3100,209.90
2012-09-25,210.05,214.00,209.00,211.00,5700,211.00
2012-09-24,203.10,216.00,203.10,212.55,4800,212.55
2012-09-21,200.00,205.00,198.35,202.20,4500,202.20
2012-09-20,195.00,201.85,195.00,198.10,2000,198.10
2012-09-19,199.10,199.10,199.10,199.10,000,199.10
2012-09-18,198.00,205.90,193.05,199.10,6500,199.10
2012-09-17,188.45,202.95,188.45,195.65,8500,195.65
2012-09-14,187.00,192.90,183.10,184.75,3800,184.75
2012-09-13,186.25,189.00,184.60,185.40,2400,185.40
2012-09-12,202.60,202.65,184.00,185.35,4000,185.35
2012-09-11,194.05,197.80,189.55,191.20,2000,191.20
2012-09-10,202.95,202.95,191.50,194.25,108900,194.25
2012-09-07,194.00,197.50,190.10,192.15,400,192.15
2012-09-06,193.75,198.55,191.10,191.15,1100,191.15
2012-09-05,194.00,197.95,193.00,194.50,51300,194.50
2012-09-04,197.45,197.45,192.50,196.10,600,196.10
2012-09-03,193.05,196.90,193.05,194.95,200,194.95
2012-08-31,182.50,195.00,182.50,192.45,4100,192.45
2012-08-30,190.05,195.00,180.35,183.45,4300,183.45
2012-08-29,197.10,199.45,192.45,193.10,800,193.10
2012-08-28,196.30,201.70,195.70,196.90,800,196.90
2012-08-27,206.00,209.45,196.10,199.35,700,199.35
2012-08-24,209.95,210.95,202.00,203.00,1900,203.00
2012-08-23,207.00,211.00,205.05,207.15,3300,207.15
2012-08-22,210.85,210.85,206.00,208.50,1400,206.50
2012-08-21,202.00,213.05,202.00,208.35,7100,206.35
2012-08-20,200.30,200.30,200.30,200.30,000,198.38
2012-08-17,204.00,205.00,198.35,200.30,101100,198.38
2012-08-16,202.00,206.65,200.15,203.55,100,201.60
2012-08-15,204.30,204.30,204.30,204.30,000,202.34
2012-08-14,209.85,209.85,202.00,204.30,300,202.34
2012-08-13,205.50,205.50,198.00,198.80,1300,196.89
2012-08-10,204.65,206.00,200.70,204.60,600,202.64
2012-08-09,201.60,206.90,192.70,201.00,2500,199.07
2012-08-08,206.00,209.90,201.55,203.45,2900,201.50
