Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,628.80,628.80,628.80,628.80,000,628.80
2012-12-24,632.00,632.00,622.00,628.80,3800,628.80
2012-12-21,635.00,635.00,626.30,630.70,900,630.70
2012-12-20,641.95,642.00,632.70,634.65,1700,634.65
2012-12-19,642.00,642.00,635.15,640.50,3200,640.50
2012-12-18,642.00,643.00,634.95,640.65,3500,640.65
2012-12-17,643.50,643.50,635.25,640.90,183700,640.90
2012-12-14,639.60,643.50,638.00,639.10,6100,639.10
2012-12-13,633.00,644.60,632.00,638.45,4600,638.45
2012-12-12,635.40,645.00,635.00,638.45,2000,638.45
2012-12-11,638.95,642.30,632.00,640.05,2700,640.05
2012-12-10,649.55,649.55,635.00,640.50,800,640.50
2012-12-07,655.90,655.90,640.00,640.05,1100,640.05
2012-12-06,647.95,648.00,629.00,645.05,5700,645.05
2012-12-05,652.95,652.95,636.00,642.90,4700,642.90
2012-12-04,634.00,647.00,632.10,644.90,67700,644.90
2012-12-03,631.00,643.85,631.00,637.95,11100,637.95
2012-11-30,632.20,640.00,627.55,637.95,9400,637.95
2012-11-29,641.65,641.70,627.70,631.95,104000,631.95
2012-11-28,634.00,634.00,634.00,634.00,000,634.00
2012-11-27,618.90,639.90,601.10,634.00,65100,634.00
2012-11-26,604.95,612.95,597.05,610.10,2900,610.10
2012-11-23,600.45,607.00,592.05,603.00,3600,603.00
2012-11-22,600.05,609.30,590.00,599.60,14400,599.60
2012-11-21,597.65,602.90,590.00,600.00,2400,600.00
2012-11-20,604.00,604.75,580.00,593.80,14800,593.80
2012-11-19,623.00,625.05,595.60,603.90,66000,603.90
2012-11-16,629.40,629.45,613.05,622.50,11300,622.50
2012-11-15,639.00,640.00,620.00,626.60,20500,626.60
2012-11-14,625.15,625.15,625.15,625.15,000,625.15
2012-11-13,625.15,625.15,625.15,625.15,000,625.15
2012-11-12,620.00,628.00,611.30,625.15,1200,625.15
2012-11-09,625.00,627.00,620.00,624.45,1400,624.45
2012-11-08,630.00,635.35,613.10,620.90,30300,620.90
2012-11-07,628.00,631.90,622.95,624.20,1900,624.20
2012-11-06,633.05,634.90,619.15,629.25,67400,629.25
2012-11-05,639.95,643.50,626.90,633.00,16300,633.00
2012-11-02,641.00,648.00,630.10,642.85,41900,642.85
2012-11-01,644.05,645.50,635.00,638.35,2600,638.35
2012-10-31,643.00,653.75,641.05,647.75,33300,647.75
2012-10-30,651.00,657.45,640.00,645.35,12500,645.35
2012-10-29,642.10,654.95,642.00,652.00,5100,652.00
2012-10-26,652.75,652.75,652.75,652.75,000,652.75
2012-10-25,664.00,667.95,648.00,652.75,24200,652.75
2012-10-24,667.50,667.50,667.50,667.50,000,667.50
2012-10-23,682.70,682.70,664.95,667.50,2900,667.50
2012-10-22,683.95,684.00,670.60,674.55,1800,674.55
2012-10-19,672.50,679.90,670.15,675.70,5200,675.70
2012-10-18,673.00,679.00,667.30,678.50,4700,678.50
2012-10-17,676.90,676.90,665.20,667.30,500,667.30
2012-10-16,675.00,677.00,663.15,670.00,2500,670.00
2012-10-15,670.90,678.95,670.00,671.60,1700,671.60
2012-10-12,660.00,679.00,660.00,671.05,7200,671.05
2012-10-11,657.35,667.00,641.10,662.85,9000,662.85
2012-10-10,661.05,665.00,656.05,662.00,5100,662.00
2012-10-09,664.25,670.00,658.00,662.80,5500,662.80
2012-10-08,667.95,670.05,660.00,662.80,2100,662.80
2012-10-05,700.00,700.00,655.50,667.85,3400,667.85
2012-10-04,668.05,680.00,668.05,672.70,3800,672.70
2012-10-03,683.40,702.00,671.45,679.15,6400,679.15
2012-10-02,683.20,683.20,683.20,683.20,000,683.20
2012-10-01,674.00,687.95,663.05,683.20,10500,683.20
2012-09-28,631.30,675.00,631.30,667.90,19600,667.90
2012-09-27,646.00,654.90,636.20,649.20,1500,649.20
2012-09-26,631.15,654.95,630.40,650.10,13500,650.10
2012-09-25,630.15,639.80,630.15,635.30,2300,635.30
2012-09-24,635.00,635.00,626.25,632.00,44500,632.00
2012-09-21,627.00,638.95,625.50,634.20,2400,634.20
2012-09-20,630.10,630.10,620.50,627.30,1400,627.30
2012-09-19,631.95,631.95,631.95,631.95,000,631.95
2012-09-18,645.00,645.00,629.00,631.95,1000,631.95
2012-09-17,658.90,658.90,628.70,639.05,6700,639.05
2012-09-14,651.90,663.95,636.00,645.30,5500,645.30
2012-09-13,633.50,660.00,633.50,651.90,12200,651.90
2012-09-12,619.00,638.00,619.00,635.65,22900,635.65
2012-09-11,618.05,623.00,618.00,620.00,88000,620.00
2012-09-10,612.75,625.15,610.00,621.40,2300,621.40
2012-09-07,609.55,618.50,609.55,616.10,11000,616.10
2012-09-06,610.00,615.10,608.15,613.95,1300,613.95
2012-09-05,608.00,615.10,605.10,611.60,1800,611.60
2012-09-04,610.00,613.85,605.25,608.70,1500,608.70
2012-09-03,627.00,627.00,601.00,606.05,2800,606.05
2012-08-31,610.00,613.55,610.00,610.20,2000,610.20
2012-08-30,602.55,615.00,602.50,611.25,2100,611.25
2012-08-29,608.05,613.85,608.05,611.15,1600,611.15
2012-08-28,608.00,612.00,608.00,611.00,3100,611.00
2012-08-27,610.00,614.80,605.05,608.95,1900,608.95
2012-08-24,608.95,608.95,600.00,608.80,1800,608.80
2012-08-23,609.65,609.95,601.10,605.20,3100,605.20
2012-08-22,607.25,618.95,594.90,599.15,24900,599.15
2012-08-21,625.80,628.00,610.00,615.80,2100,615.80
2012-08-20,620.00,620.00,620.00,620.00,000,620.00
2012-08-17,623.00,623.00,615.00,620.00,8100,620.00
2012-08-16,611.00,617.95,610.00,615.45,1900,615.45
2012-08-15,611.60,611.60,611.60,611.60,000,611.60
2012-08-14,615.10,615.10,605.50,611.60,1600,611.60
2012-08-13,622.05,623.95,608.05,609.00,19700,609.00
2012-08-10,615.05,626.10,615.05,621.30,2600,621.30
2012-08-09,616.05,626.00,616.05,619.95,5300,619.95
2012-08-08,615.00,633.00,614.70,620.45,36200,620.45
2012-08-07,629.00,630.00,619.00,622.90,4500,622.90
2012-08-06,620.10,629.85,618.10,628.35,5700,628.35
2012-08-03,620.00,624.30,616.00,619.00,6100,619.00
2012-08-02,610.00,627.00,610.00,625.65,7100,625.65
2012-08-01,604.00,616.75,604.00,613.85,6600,613.85
2012-07-31,612.95,617.85,597.15,609.90,5300,609.90
2012-07-30,600.00,624.25,592.35,597.05,1500,597.05
2012-07-27,618.85,618.85,591.10,599.35,3500,599.35
2012-07-26,618.95,618.95,606.00,610.00,13300,610.00
2012-07-25,611.10,614.70,605.20,610.20,66100,610.20
2012-07-24,620.00,626.20,618.00,619.10,50400,619.10
2012-07-23,637.95,637.95,618.00,622.50,29600,622.50
2012-07-20,630.00,632.95,623.00,629.95,14100,629.95
2012-07-19,639.00,639.00,621.55,630.10,3300,630.10
