Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,148.45,148.45,148.45,148.45,000,148.45
2012-12-24,143.85,153.90,143.85,148.45,818900,148.45
2012-12-21,155.55,156.60,151.40,151.40,770500,151.40
2012-12-20,167.75,168.90,159.35,159.35,938200,159.35
2012-12-19,175.00,175.00,166.15,167.70,832500,167.70
2012-12-18,178.40,178.55,167.00,167.90,733000,167.90
2012-12-17,175.20,183.70,172.30,174.75,848600,174.75
2012-12-14,186.95,192.25,178.20,179.20,1490900,179.20
2012-12-13,197.80,198.70,184.00,187.55,1743300,187.55
2012-12-12,183.70,191.85,180.00,191.85,886900,191.85
2012-12-11,180.70,185.80,176.65,182.75,1008000,182.75
2012-12-10,172.00,177.60,169.50,177.60,1186700,177.60
2012-12-07,175.70,178.25,165.55,169.15,1042500,169.15
2012-12-06,169.30,172.40,166.10,172.40,1704300,172.40
2012-12-05,152.10,164.20,150.25,164.20,1137200,164.20
2012-12-04,155.00,163.00,151.30,156.40,959700,156.40
2012-12-03,172.90,172.90,157.10,157.10,1493200,157.10
2012-11-30,165.35,165.35,165.35,165.35,96100,165.35
2012-11-29,157.50,157.50,157.50,157.50,52400,157.50
2012-11-28,150.00,150.00,150.00,150.00,000,150.00
2012-11-27,150.00,150.00,150.00,150.00,63600,150.00
2012-11-26,137.50,142.90,137.50,142.90,181500,142.90
2012-11-23,123.50,136.10,123.50,136.10,344800,136.10
2012-11-22,126.00,129.65,124.05,129.65,195700,129.65
2012-11-21,125.90,126.95,123.00,123.50,92500,123.50
2012-11-20,124.00,127.10,123.70,126.15,356800,126.15
2012-11-19,120.10,122.95,119.15,121.05,49500,121.05
2012-11-16,132.90,132.90,121.00,122.30,168200,122.30
2012-11-15,122.00,126.60,116.30,126.60,356400,126.60
2012-11-14,117.10,117.10,117.10,117.10,000,117.10
2012-11-13,117.10,117.10,117.10,117.10,000,117.10
2012-11-12,118.00,119.40,113.55,117.10,73400,117.10
2012-11-09,116.50,120.95,116.10,117.00,37300,117.00
2012-11-08,120.00,121.85,116.70,118.00,53700,118.00
2012-11-07,123.75,123.75,119.00,120.35,170500,120.35
2012-11-06,113.00,117.90,112.40,117.90,80100,117.90
2012-11-05,114.00,114.00,110.20,112.30,30800,112.30
2012-11-02,114.00,114.90,111.90,112.10,56600,112.10
2012-11-01,110.55,116.00,107.20,112.90,32800,112.90
2012-10-31,109.25,114.40,109.25,112.80,171100,112.80
2012-10-30,114.95,117.50,114.95,114.95,282800,114.95
2012-10-29,120.00,123.40,118.80,120.95,112000,120.95
2012-10-26,117.30,117.30,117.30,117.30,000,117.30
2012-10-25,127.50,127.50,116.35,117.30,291000,117.30
