Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,382.45,382.45,382.45,382.45,000,382.45
2012-12-24,384.95,389.50,377.20,382.45,29800,382.45
2012-12-21,392.00,392.00,358.00,386.75,63900,386.75
2012-12-20,390.00,397.00,386.55,393.90,313200,393.90
2012-12-19,379.95,388.50,375.50,385.95,153000,385.95
2012-12-18,378.00,382.00,377.00,379.15,47100,379.15
2012-12-17,376.00,376.55,373.95,375.30,180300,375.30
2012-12-14,378.65,378.65,369.00,374.20,158000,374.20
2012-12-13,376.00,377.25,372.00,376.15,67700,376.15
2012-12-12,375.20,379.90,373.00,377.25,48700,377.25
2012-12-11,372.95,376.20,372.95,375.25,65900,375.25
2012-12-10,371.50,372.00,367.20,370.05,121800,370.05
2012-12-07,367.00,372.65,366.20,369.10,159900,369.10
2012-12-06,363.85,367.70,357.50,365.80,63100,365.80
2012-12-05,355.50,365.80,355.50,358.95,51400,358.95
2012-12-04,365.05,368.20,350.00,352.65,52400,352.65
2012-12-03,365.85,370.00,363.00,364.70,22400,364.70
2012-11-30,370.05,371.00,362.05,365.90,480700,365.90
2012-11-29,349.90,410.00,349.90,363.20,1015900,363.20
2012-11-28,348.10,348.10,348.10,348.10,000,348.10
2012-11-27,340.10,354.35,338.95,348.10,277500,348.10
2012-11-26,341.05,344.90,340.00,341.25,37200,341.25
2012-11-23,347.85,347.85,340.00,341.60,41300,341.60
2012-11-22,348.30,352.50,342.05,344.25,22400,344.25
2012-11-21,345.00,350.00,343.10,346.90,56900,346.90
2012-11-20,351.90,357.00,343.55,345.05,60100,345.05
2012-11-19,373.85,373.90,345.00,347.50,109200,347.50
2012-11-16,369.95,372.40,360.00,364.90,56100,364.90
2012-11-15,359.15,373.00,358.05,370.75,56400,370.75
2012-11-14,358.05,358.05,358.05,358.05,000,358.05
2012-11-13,358.05,358.05,358.05,358.05,000,358.05
2012-11-12,372.20,372.20,357.00,358.05,47800,358.05
2012-11-09,377.50,381.00,365.45,368.65,47600,368.65
2012-11-08,379.80,382.90,376.30,379.10,67000,379.10
2012-11-07,376.95,386.00,373.00,385.15,55700,385.15
2012-11-06,383.00,384.00,375.15,378.60,53800,378.60
2012-11-05,372.40,382.00,368.00,380.25,154000,380.25
2012-11-02,365.95,369.50,360.15,362.50,336700,362.50
2012-11-01,350.15,372.00,350.15,361.45,305600,361.45
2012-10-31,361.60,362.65,356.30,358.80,16100,358.80
2012-10-30,369.85,377.00,359.50,361.80,89800,361.80
2012-10-29,370.00,372.00,364.05,369.95,23100,369.95
2012-10-26,363.50,363.50,363.50,363.50,000,363.50
2012-10-25,363.15,372.00,358.10,363.50,39600,363.50
2012-10-24,368.50,368.50,368.50,368.50,000,368.50
2012-10-23,357.40,370.80,357.40,368.50,449100,368.50
2012-10-22,353.25,363.00,351.00,359.20,39600,359.20
2012-10-19,362.05,369.40,352.00,353.70,149700,353.70
