Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,25.55,25.55,25.55,25.55,000,25.55
2012-12-24,26.00,26.30,25.40,25.55,1717000,25.55
2012-12-21,26.30,26.35,25.40,25.60,2695600,25.60
2012-12-20,26.90,26.90,26.15,26.30,2241100,26.30
2012-12-19,26.75,27.60,26.60,26.70,6250900,26.70
2012-12-18,26.70,26.85,25.85,26.35,3422300,26.35
2012-12-17,26.70,27.00,26.40,26.55,2458100,26.55
2012-12-14,26.15,26.80,25.70,26.60,4413100,26.60
2012-12-13,27.15,27.40,26.05,26.15,4243800,26.15
2012-12-12,27.00,27.40,26.30,27.15,4547500,27.15
2012-12-11,28.00,28.20,26.10,26.80,7971600,26.80
2012-12-10,26.80,27.75,26.15,27.60,10022700,27.60
2012-12-07,26.60,27.10,26.20,26.50,5561700,26.50
2012-12-06,26.65,26.65,25.30,26.35,4878300,26.35
2012-12-05,26.00,27.05,26.00,26.15,7479600,26.15
2012-12-04,26.00,26.70,25.85,26.20,8632000,26.20
2012-12-03,25.10,26.35,24.90,25.85,10460000,25.85
2012-11-30,23.25,25.15,23.25,24.95,11158200,24.95
2012-11-29,23.35,24.05,22.90,23.70,6280400,23.70
2012-11-28,23.10,23.10,23.10,23.10,000,23.10
2012-11-27,22.80,23.25,22.65,23.10,1833400,23.10
2012-11-26,23.00,23.15,22.40,22.55,1071300,22.55
2012-11-23,23.00,23.15,22.60,22.95,1105100,22.95
2012-11-22,22.85,23.00,22.70,22.95,680500,22.95
2012-11-21,22.85,22.95,22.40,22.75,1344000,22.75
2012-11-20,22.75,23.05,22.65,22.75,1347600,22.75
2012-11-19,22.80,23.20,22.65,22.75,1588600,22.75
2012-11-16,23.30,23.40,22.90,23.05,1004400,23.05
2012-11-15,23.25,23.55,22.50,23.25,1693700,23.25
2012-11-14,23.05,23.05,23.05,23.05,000,23.05
2012-11-13,23.05,23.05,23.05,23.05,000,23.05
2012-11-12,23.35,23.45,22.90,23.05,961800,23.05
2012-11-09,23.00,23.50,22.90,23.20,3826200,23.20
2012-11-08,22.95,23.10,22.60,23.00,4129300,23.00
2012-11-07,23.10,23.20,22.70,22.85,4660800,22.85
2012-11-06,22.95,23.10,22.85,23.05,1244400,23.05
2012-11-05,23.10,23.15,22.95,23.05,899900,23.05
2012-11-02,23.40,23.45,22.95,23.10,1693400,23.10
2012-11-01,23.35,23.35,22.95,23.10,2607900,23.10
2012-10-31,22.75,23.25,22.20,23.20,4468400,23.20
2012-10-30,22.05,23.10,21.85,22.75,3527700,22.75
2012-10-29,21.90,22.45,21.85,22.20,1667400,22.20
2012-10-26,22.00,22.00,22.00,22.00,000,22.00
2012-10-25,22.30,22.50,21.85,22.00,5830600,22.00
2012-10-24,22.10,22.10,22.10,22.10,000,22.10
2012-10-23,22.30,22.45,22.05,22.10,2224100,22.10
2012-10-22,23.30,23.40,22.05,22.25,7208100,22.25
2012-10-19,23.65,23.85,23.35,23.40,2254700,23.40
2012-10-18,23.50,23.90,23.20,23.60,2812000,23.60
2012-10-17,23.70,23.90,23.20,23.40,1525000,23.40
2012-10-16,23.60,24.20,23.50,23.65,4616400,23.65
2012-10-15,23.45,23.70,23.20,23.50,1051300,23.50
2012-10-12,23.25,23.75,23.00,23.30,2042000,23.30
2012-10-11,23.00,23.40,22.80,23.25,1215400,23.25
2012-10-10,23.10,23.15,22.80,22.95,1190200,22.95
2012-10-09,23.15,24.20,23.00,23.15,1146100,23.15
2012-10-08,23.20,23.45,22.95,23.10,1200800,23.10
2012-10-05,23.65,24.00,22.85,23.20,1969200,23.20
2012-10-04,23.60,23.90,23.50,23.60,2661200,23.60
2012-10-03,23.90,23.90,23.10,23.50,7640000,23.50
2012-10-02,23.10,23.10,23.10,23.10,000,23.10
2012-10-01,22.75,23.20,22.75,23.10,1848300,23.10
2012-09-28,22.60,23.05,22.60,22.75,1482300,22.75
2012-09-27,22.90,22.90,22.45,22.60,2358000,22.60
2012-09-26,22.70,22.95,22.40,22.60,1792600,22.60
2012-09-25,23.00,23.45,22.25,22.70,1919700,22.70
2012-09-24,23.45,23.70,22.95,23.00,3043800,23.00
2012-09-21,22.55,23.45,22.55,23.35,4702100,23.35
2012-09-20,22.50,22.95,21.95,22.50,3771200,22.50
2012-09-19,22.60,22.60,22.60,22.60,000,22.60
2012-09-18,22.50,22.95,22.10,22.60,3328000,22.60
2012-09-17,22.30,22.45,21.90,22.25,2020100,22.25
2012-09-14,21.90,22.15,21.70,21.80,2185400,21.80
2012-09-13,21.60,21.80,21.55,21.60,625700,21.60
2012-09-12,21.60,21.80,21.50,21.55,923600,21.55
2012-09-11,21.75,22.50,21.40,21.50,1170200,21.50
2012-09-10,21.75,21.90,21.50,21.55,683900,21.55
2012-09-07,21.80,22.00,21.50,21.60,829400,21.60
2012-09-06,21.60,21.65,21.30,21.35,819500,21.35
2012-09-05,22.00,22.00,21.45,21.55,957200,21.55
2012-09-04,21.90,22.10,21.65,22.00,1674100,22.00
2012-09-03,21.30,22.00,21.15,21.70,2394600,21.70
2012-08-31,21.35,21.60,20.05,21.00,3649200,21.00
2012-08-30,21.50,21.60,21.15,21.25,1017400,21.25
2012-08-29,21.90,22.00,21.40,21.50,896200,21.50
2012-08-28,22.05,22.25,21.75,21.85,911700,21.85
2012-08-27,22.25,22.60,22.10,22.15,634400,22.15
2012-08-24,22.40,22.60,22.20,22.55,729600,22.55
2012-08-23,22.75,22.75,22.35,22.40,680900,22.40
2012-08-22,22.95,22.95,22.05,22.55,1172400,22.55
2012-08-21,22.85,23.05,22.75,22.95,484200,22.95
2012-08-20,22.85,22.85,22.85,22.85,000,22.85
2012-08-17,22.85,23.05,22.80,22.85,534900,22.85
2012-08-16,23.00,23.15,22.85,22.90,426500,22.90
2012-08-15,23.00,23.00,23.00,23.00,000,23.00
2012-08-14,22.80,23.20,22.80,23.00,597100,23.00
2012-08-13,22.90,23.05,22.80,22.90,333900,22.90
2012-08-10,23.00,23.10,22.80,22.90,438800,22.90
2012-08-09,23.55,24.75,22.90,22.95,640800,22.95
2012-08-08,23.75,23.80,23.25,23.30,678100,23.30
2012-08-07,23.30,23.75,23.25,23.50,1061900,23.50
2012-08-06,23.45,23.60,23.25,23.35,556500,23.35
2012-08-03,23.40,23.40,23.05,23.25,425400,23.25
2012-08-02,23.35,23.50,23.25,23.45,297100,23.45
2012-08-01,23.05,23.55,23.05,23.35,490000,23.35
2012-07-31,23.60,23.60,23.05,23.25,646100,23.25
2012-07-30,23.10,23.55,22.70,23.45,860900,23.45
2012-07-27,23.20,23.40,22.50,22.65,1654900,22.65
2012-07-26,23.60,23.65,22.90,23.00,1058400,23.00
2012-07-25,23.50,23.80,23.35,23.60,1359400,23.60
2012-07-24,23.75,23.95,23.55,23.60,930800,23.60
2012-07-23,24.10,24.15,23.60,23.70,1100200,23.70
2012-07-20,24.45,24.45,24.20,24.25,733900,24.25
2012-07-19,24.50,24.60,24.15,24.30,1387700,24.30
2012-07-18,24.00,24.60,23.90,24.25,1445800,24.25
2012-07-17,25.50,25.55,24.10,24.35,2808100,24.35
2012-07-16,25.80,25.80,25.05,25.15,4642800,25.15
2012-07-13,24.70,25.20,24.50,25.00,1243500,25.00
2012-07-12,24.80,24.80,24.35,24.50,1105800,24.50
2012-07-11,25.25,25.35,24.75,24.85,963900,24.85
2012-07-10,25.00,25.40,24.95,25.25,1227000,25.25
2012-07-09,25.20,25.70,24.85,24.95,1945700,24.95
2012-07-06,25.90,25.90,25.10,25.20,3702700,25.20
2012-07-05,24.00,25.50,23.85,25.35,5195900,25.35
2012-07-04,23.60,24.20,23.60,24.10,782300,24.10
2012-07-03,24.05,24.20,23.80,23.85,835000,23.85
2012-07-02,24.30,24.30,23.90,24.00,812100,24.00
2012-06-29,23.90,24.30,23.80,24.10,1915700,24.10
2012-06-28,22.10,23.85,22.10,23.60,2661700,23.60
2012-06-27,25.15,25.15,23.35,23.50,1321900,23.50
2012-06-26,23.30,23.50,23.20,23.45,956700,23.45
2012-06-25,23.60,23.75,23.25,23.30,709300,23.30
2012-06-22,23.50,23.50,23.10,23.25,620000,23.25
2012-06-21,23.10,23.50,22.60,23.45,750900,23.45
2012-06-20,23.45,23.60,23.30,23.35,1048200,23.35
2012-06-19,23.45,23.90,23.45,23.80,871700,23.20
2012-06-18,24.30,24.70,23.40,23.55,1475700,22.96
2012-06-15,23.70,23.95,23.70,23.85,850500,23.25
2012-06-14,24.40,25.00,23.20,23.60,702300,23.01
2012-06-13,24.30,24.30,23.55,23.75,1079600,23.15
2012-06-12,23.50,24.15,23.30,24.00,1825500,23.39
2012-06-11,24.25,24.80,23.50,23.65,895700,23.05
2012-06-08,23.50,23.90,23.40,23.80,1113600,23.20
2012-06-07,24.20,24.35,23.10,23.60,1297200,23.01
2012-06-06,23.30,24.30,23.30,23.95,2033400,23.35
2012-06-05,23.25,23.80,23.15,23.25,622500,22.66
2012-06-04,23.40,23.50,22.70,23.25,763100,22.66
2012-06-01,24.20,24.50,23.50,23.60,934700,23.01
2012-05-31,23.40,24.50,22.65,24.20,1756000,23.59
2012-05-30,23.70,24.05,22.80,22.95,1679900,22.37
2012-05-29,22.30,24.10,22.30,23.70,3884100,23.10
2012-05-28,22.00,22.40,21.90,22.30,966300,21.74
2012-05-25,21.50,22.05,21.50,21.95,443700,21.40
2012-05-24,21.80,22.05,21.60,21.95,590700,21.40
2012-05-23,21.90,22.00,21.60,21.75,751700,21.20
2012-05-22,22.40,22.40,21.80,21.90,475600,21.35
2012-05-21,22.10,22.40,22.00,22.15,503700,21.59
2012-05-18,21.70,22.00,21.40,21.95,764800,21.40
2012-05-17,21.70,22.20,21.70,21.85,956300,21.30
2012-05-16,22.00,22.00,21.40,21.60,1090600,21.06
2012-05-15,21.95,22.30,21.65,22.15,871800,21.59
2012-05-14,22.00,22.40,21.70,21.80,713700,21.25
2012-05-11,26.00,26.00,20.75,22.05,3345900,21.49
2012-05-10,22.90,23.25,22.80,22.90,695200,22.32
2012-05-09,23.30,23.40,22.75,22.80,1022900,22.23
2012-05-08,27.00,27.00,22.95,23.20,1849300,22.62
2012-05-07,23.00,23.50,22.55,23.45,2884200,22.86
2012-05-04,23.65,23.85,22.80,23.05,1542100,22.47
2012-05-03,26.50,26.50,23.65,23.70,734100,23.10
2012-05-02,23.85,24.50,23.85,23.95,1170500,23.35
2012-05-01,24.05,24.05,24.05,24.05,000,23.44
2012-04-30,23.70,24.10,23.40,23.90,604100,23.30
2012-04-27,23.75,24.10,23.40,23.55,1061700,22.96
2012-04-26,23.95,24.00,23.60,23.65,1394600,23.05
2012-04-25,24.15,24.45,23.60,23.75,1445200,23.15
2012-04-24,24.20,24.25,23.75,23.90,827500,23.30
2012-04-23,24.30,24.70,23.85,23.95,1074900,23.35
2012-04-20,25.40,25.50,24.15,24.30,1156600,23.69
2012-04-19,24.75,25.10,24.60,24.95,1927300,24.32
2012-04-18,25.15,25.30,24.55,24.65,1139800,24.03
2012-04-17,25.45,25.75,24.80,25.00,2188200,24.37
2012-04-16,24.60,25.40,24.35,25.25,1694100,24.61
2012-04-13,25.90,25.90,24.45,24.50,1661400,23.88
2012-04-12,24.60,25.00,24.60,24.90,1095000,24.27
2012-04-11,24.60,24.65,24.25,24.45,542300,23.83
2012-04-10,24.40,24.70,24.00,24.60,672100,23.98
2012-04-09,24.75,24.95,24.15,24.35,960600,23.74
2012-04-06,24.75,24.75,24.75,24.75,000,24.13
