Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,46.70,46.70,46.70,46.70,000,46.70
2012-12-24,48.00,48.35,46.00,46.70,1649300,46.70
2012-12-21,47.20,48.65,45.35,47.75,3722200,47.75
2012-12-20,46.35,48.25,44.15,47.50,3145400,47.50
2012-12-19,46.80,48.00,45.85,46.35,3205500,46.35
2012-12-18,44.15,45.60,42.90,45.25,3054900,45.25
2012-12-17,43.25,44.30,42.85,43.70,1819100,43.70
2012-12-14,42.65,43.70,41.30,42.90,2480900,42.90
2012-12-13,41.10,43.00,40.10,42.00,6583700,42.00
2012-12-12,38.00,41.45,37.30,40.70,5083500,40.70
2012-12-11,38.75,38.95,36.50,37.75,1389600,37.75
2012-12-10,37.55,38.90,37.45,38.35,1582200,38.35
2012-12-07,37.45,38.35,36.90,37.25,1842300,37.25
2012-12-06,35.65,37.25,35.25,36.75,1102800,36.75
2012-12-05,36.15,36.35,34.90,35.30,932300,35.30
2012-12-04,36.25,37.50,35.35,35.85,1197600,35.85
2012-12-03,36.45,37.10,35.50,36.25,1006900,36.25
2012-11-30,34.90,36.15,34.30,35.35,1858600,35.35
2012-11-29,34.00,34.70,33.65,34.45,862500,34.45
2012-11-28,33.75,33.75,33.75,33.75,000,33.75
2012-11-27,34.10,34.70,33.50,33.75,681200,33.75
2012-11-26,33.85,34.90,33.10,33.75,1194800,33.75
2012-11-23,34.80,34.85,33.10,33.55,853000,33.55
2012-11-22,34.05,35.15,33.70,34.40,1643100,34.40
2012-11-21,34.30,34.80,32.00,33.70,1960100,33.70
2012-11-20,36.45,37.10,33.60,34.05,3460700,34.05
2012-11-19,35.40,37.60,35.05,36.10,4734100,36.10
2012-11-16,35.00,37.00,34.15,34.85,9820800,34.85
2012-11-15,29.95,35.15,29.65,34.15,6054300,34.15
2012-11-14,29.15,29.15,29.15,29.15,000,29.15
2012-11-13,29.15,29.15,29.15,29.15,000,29.15
2012-11-12,27.95,29.50,27.80,29.15,2165200,29.15
2012-11-09,25.90,27.90,25.85,27.55,1824000,27.55
2012-11-08,25.70,26.40,25.20,26.15,381100,26.15
2012-11-07,25.95,26.50,25.90,26.15,382400,26.15
2012-11-06,26.00,26.55,25.70,25.90,299300,25.90
2012-11-05,26.20,26.65,25.85,26.00,250900,26.00
2012-11-02,26.80,26.90,26.00,26.25,355100,26.25
2012-11-01,27.55,28.25,26.10,26.40,1955900,26.40
2012-10-31,23.85,27.60,23.65,26.85,1842000,26.85
2012-10-30,26.20,26.20,23.60,23.70,594300,23.70
2012-10-29,25.90,26.55,25.70,25.90,166600,25.90
2012-10-26,26.35,26.35,26.35,26.35,000,26.35
2012-10-25,26.60,26.60,26.10,26.35,185400,26.35
2012-10-24,26.30,26.30,26.30,26.30,000,26.30
2012-10-23,26.50,27.00,26.10,26.30,131300,26.30
2012-10-22,26.50,26.95,26.00,26.60,178700,26.60
2012-10-19,27.10,27.20,26.40,26.60,239100,26.60
2012-10-18,26.80,27.40,26.80,27.15,250600,27.15
2012-10-17,27.10,27.20,26.50,26.80,219400,26.80
2012-10-16,27.85,28.10,26.60,26.85,475500,26.85
2012-10-15,27.60,28.30,27.30,27.40,359100,27.40
2012-10-12,28.45,28.75,27.60,27.80,765700,27.80
2012-10-11,27.10,28.10,26.40,27.70,757500,27.70
2012-10-10,29.10,29.10,26.95,27.10,1257200,27.10
2012-10-09,26.65,29.15,26.30,28.55,1730600,28.55
2012-10-08,27.50,27.80,26.10,26.35,751400,26.35
2012-10-05,29.40,29.60,26.85,27.30,1284000,27.30
2012-10-04,27.35,29.20,27.20,28.70,2532300,28.70
2012-10-03,27.70,27.90,26.95,27.05,325500,27.05
2012-10-02,27.35,27.35,27.35,27.35,000,27.35
2012-10-01,27.35,27.85,26.80,27.35,441100,27.35
2012-09-28,26.60,28.10,25.85,27.35,1551400,27.35
2012-09-27,25.50,26.70,25.40,26.20,1550300,26.20
2012-09-26,25.60,25.80,24.75,25.40,1515800,25.40
2012-09-25,25.65,26.00,25.20,25.85,1312900,25.85
2012-09-24,25.35,26.45,25.00,25.30,1475500,25.30
2012-09-21,23.50,25.80,23.25,25.35,1729800,25.35
2012-09-20,24.00,24.10,22.90,23.35,365000,23.35
2012-09-19,24.50,24.50,24.50,24.50,000,24.50
2012-09-18,24.25,25.00,23.85,24.50,718800,24.50
2012-09-17,23.40,24.60,23.40,24.25,1455300,24.25
2012-09-14,23.00,23.45,22.60,23.10,925100,23.10
2012-09-13,22.45,22.90,22.45,22.55,217300,22.55
2012-09-12,23.05,23.25,21.70,22.30,928800,22.30
2012-09-11,22.85,23.00,22.65,22.95,177900,22.95
2012-09-10,23.00,23.10,22.70,22.85,216600,22.85
2012-09-07,23.45,23.65,22.80,22.90,257600,22.90
2012-09-06,22.70,23.20,22.70,22.80,299100,22.80
