Date,Open,High,Low,Close,Volume,Adj Close
2013-01-23,759.60,759.65,742.10,747.45,169600,747.45
2013-01-22,762.85,762.90,752.25,756.40,93300,756.40
2013-01-21,769.50,769.55,753.50,759.95,296700,759.95
2013-01-18,769.90,769.90,753.40,761.35,220400,761.35
2013-01-17,760.55,786.40,760.55,769.85,367600,769.85
2013-01-16,799.00,805.05,776.90,780.75,130800,780.75
2013-01-15,785.55,800.00,785.55,798.70,283600,798.70
2013-01-14,771.50,795.40,763.05,793.95,163800,793.95
2013-01-11,768.00,778.70,763.05,771.50,100200,771.50
2013-01-10,780.10,791.55,761.10,772.85,340500,772.85
2013-01-09,780.00,791.80,772.60,781.95,459400,781.95
2013-01-08,752.80,775.30,750.55,769.00,207200,769.00
2013-01-07,751.05,755.30,738.00,751.35,320500,751.35
2013-01-04,757.15,757.15,726.00,750.00,573900,750.00
2013-01-03,761.25,764.50,750.80,757.15,190300,757.15
2013-01-02,756.40,762.00,756.05,759.80,116300,759.80
2013-01-01,763.90,764.90,753.10,756.00,69200,756.00
2012-12-31,761.20,771.40,750.00,757.40,256700,757.40
2012-12-28,739.40,755.00,736.35,750.75,869800,750.75
2012-12-27,750.40,762.20,726.10,734.15,217400,734.15
2012-12-26,755.05,759.25,746.90,749.90,85500,749.90
2012-12-25,754.45,754.45,754.45,754.45,000,754.45
2012-12-24,759.95,770.35,751.10,754.45,255800,754.45
2012-12-21,753.05,753.05,746.25,749.50,146900,749.50
2012-12-20,764.75,769.40,744.20,754.25,319200,754.25
2012-12-19,770.05,784.00,607.55,765.55,953500,765.55
2012-12-18,742.00,769.00,730.80,759.35,539000,759.35
2012-12-17,731.95,740.00,719.00,731.70,198800,731.70
2012-12-14,717.00,743.20,710.00,732.20,533300,732.20
2012-12-13,701.10,719.95,689.10,716.30,805200,716.30
2012-12-12,705.85,720.75,698.65,706.80,726100,706.80
2012-12-11,701.95,710.50,696.15,706.20,628900,706.20
2012-12-10,711.20,713.00,692.85,698.95,341600,698.95
2012-12-07,705.25,715.00,701.85,708.10,91200,708.10
2012-12-06,692.00,708.05,685.05,703.90,471500,703.90
2012-12-05,685.10,694.50,684.50,690.00,323100,690.00
2012-12-04,657.00,689.00,657.00,684.70,218100,684.70
2012-12-03,675.00,680.00,668.65,673.95,583000,673.95
2012-11-30,656.05,678.00,656.05,670.25,556200,670.25
2012-11-29,642.00,656.00,634.25,651.35,761100,651.35
2012-11-28,634.10,634.10,634.10,634.10,000,634.10
2012-11-27,628.85,638.00,619.45,634.10,299900,634.10
2012-11-26,636.80,637.55,626.50,628.40,333500,628.40
2012-11-23,623.00,633.25,623.00,631.45,336800,631.45
2012-11-22,612.20,624.85,612.00,621.80,230600,621.80
2012-11-21,636.90,636.90,602.80,609.05,322100,609.05
2012-11-20,620.00,634.15,618.10,620.90,568000,620.90
2012-11-19,628.05,630.65,616.00,624.55,83500,624.55
2012-11-16,639.65,655.95,620.40,626.10,694600,626.10
2012-11-15,625.95,634.95,615.05,631.10,632800,631.10
2012-11-14,622.90,622.90,622.90,622.90,000,619.90
2012-11-13,622.90,622.90,622.90,622.90,000,619.90
2012-11-12,621.50,625.00,616.00,622.90,369900,619.90
2012-11-09,620.05,629.45,617.00,620.60,311600,617.61
2012-11-08,625.00,626.00,616.30,625.00,525200,621.99
2012-11-07,629.80,629.80,621.10,624.40,144600,621.39
2012-11-06,632.15,634.55,623.15,624.40,81300,621.39
2012-11-05,633.45,637.75,621.15,628.25,143800,625.22
2012-11-02,639.65,645.50,626.10,629.35,299100,626.32
2012-11-01,625.15,639.20,625.00,632.95,412300,629.90
2012-10-31,612.10,626.80,612.10,625.15,438200,622.14
2012-10-30,609.30,618.70,595.15,615.80,535400,612.83
2012-10-29,601.40,611.30,595.00,606.30,104700,603.38
2012-10-26,615.95,615.95,615.95,615.95,000,612.98
2012-10-25,620.00,629.95,612.05,615.95,367700,612.98
2012-10-24,621.55,621.55,621.55,621.55,000,618.56
2012-10-23,633.35,635.00,620.20,621.55,68200,618.56
2012-10-22,633.55,639.90,630.30,631.80,77400,628.76
2012-10-19,634.50,641.00,630.65,635.10,72100,632.04
2012-10-18,633.95,635.05,630.55,633.10,758800,630.05
2012-10-17,638.90,641.65,630.00,634.60,59800,631.54
2012-10-16,657.00,657.00,631.10,638.70,117600,635.62
2012-10-15,652.65,654.90,632.35,651.00,146000,647.86
2012-10-12,651.90,653.10,641.00,643.80,251100,640.70
2012-10-11,652.40,658.55,642.35,652.45,245500,649.31
2012-10-10,655.65,655.65,635.20,651.65,216500,648.51
2012-10-09,656.10,669.50,651.35,658.60,661400,655.43
2012-10-08,651.85,660.25,648.10,654.35,1126800,651.20
2012-10-05,639.15,650.20,629.05,646.50,614600,643.39
2012-10-04,635.00,639.70,631.15,635.30,494900,632.24
2012-10-03,626.15,640.35,625.40,634.00,328900,630.95
2012-10-02,623.25,623.25,623.25,623.25,000,620.25
2012-10-01,620.00,627.20,617.55,623.25,113900,620.25
2012-09-28,605.00,622.00,605.00,619.85,214900,616.86
2012-09-27,624.80,625.00,600.00,604.70,724600,601.79
2012-09-26,618.00,626.00,613.45,624.55,66100,621.54
2012-09-25,625.25,627.00,617.20,620.00,777400,617.01
2012-09-24,619.50,630.00,619.00,623.85,228200,620.85
2012-09-21,600.00,626.00,600.00,622.50,76700,619.50
2012-09-20,612.00,625.90,596.20,618.65,103500,615.67
2012-09-19,621.30,621.30,621.30,621.30,000,618.31
2012-09-18,619.20,626.55,610.05,621.30,94700,618.31
2012-09-17,623.00,635.00,613.60,621.40,106300,618.41
2012-09-14,630.75,644.00,625.90,629.90,432300,626.87
2012-09-13,635.80,635.80,625.00,627.90,163900,624.88
2012-09-12,634.75,642.30,628.65,630.35,273200,627.31
