Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,5.25,5.25,5.25,5.25,000,5.25
2012-12-24,5.30,5.30,5.10,5.25,160400,5.25
2012-12-21,5.25,5.35,5.10,5.15,214400,5.15
2012-12-20,5.25,5.40,5.10,5.25,486600,5.25
2012-12-19,5.20,5.40,5.15,5.15,305200,5.15
2012-12-18,5.25,5.35,5.10,5.30,337100,5.30
2012-12-17,5.10,5.25,4.95,5.15,339900,5.15
2012-12-14,5.20,5.30,5.00,5.10,394000,5.10
2012-12-13,5.25,5.35,5.15,5.20,250500,5.20
2012-12-12,5.25,5.40,5.10,5.15,303900,5.15
2012-12-11,5.60,5.70,5.20,5.35,796900,5.35
2012-12-10,5.70,5.70,5.50,5.50,445100,5.50
2012-12-07,5.70,5.85,5.50,5.55,576100,5.55
2012-12-06,6.10,6.10,5.65,5.70,602700,5.70
2012-12-05,6.10,6.10,5.65,5.95,443700,5.95
2012-12-04,6.10,6.10,5.75,5.90,435300,5.90
2012-12-03,5.50,6.10,5.35,5.80,782600,5.80
2012-11-30,5.20,5.70,5.15,5.60,517200,5.60
2012-11-29,5.10,5.25,5.10,5.20,219100,5.20
2012-11-28,5.10,5.10,5.10,5.10,000,5.10
2012-11-27,5.00,5.20,4.95,5.10,331500,5.10
2012-11-26,5.05,5.30,5.00,5.05,223800,5.05
2012-11-23,5.00,5.20,5.00,5.15,155500,5.15
2012-11-22,5.25,5.30,5.00,5.10,260100,5.10
2012-11-21,5.00,5.25,4.85,5.15,216200,5.15
2012-11-20,5.25,5.30,4.95,5.00,427900,5.00
2012-11-19,5.30,5.50,5.15,5.20,516500,5.20
2012-11-16,5.40,5.60,5.25,5.40,244200,5.40
2012-11-15,5.30,5.50,5.25,5.45,216100,5.45
2012-11-14,5.45,5.45,5.45,5.45,000,5.45
2012-11-13,5.45,5.45,5.45,5.45,000,5.45
2012-11-12,5.70,5.85,5.45,5.45,342900,5.45
2012-11-09,6.00,6.00,5.65,5.75,200200,5.75
2012-11-08,5.80,6.35,5.65,5.85,910200,5.85
2012-11-07,5.35,5.85,5.20,5.80,800000,5.80
2012-11-06,5.25,5.40,5.15,5.35,315700,5.35
2012-11-05,5.50,5.55,5.30,5.40,215100,5.40
2012-11-02,5.65,5.65,5.35,5.45,289600,5.45
2012-11-01,5.30,5.55,5.30,5.45,260800,5.45
2012-10-31,5.50,5.60,5.25,5.35,450400,5.35
2012-10-30,5.65,5.75,5.45,5.50,448800,5.50
2012-10-29,5.65,5.80,5.45,5.50,481500,5.50
2012-10-26,5.90,5.90,5.90,5.90,000,5.90
2012-10-25,5.95,6.05,5.85,5.90,118200,5.90
2012-10-24,5.95,5.95,5.95,5.95,000,5.95
2012-10-23,5.90,6.00,5.85,5.95,114500,5.95
2012-10-22,5.95,6.05,5.90,5.95,106700,5.95
2012-10-19,6.00,6.05,5.90,5.95,181400,5.95
2012-10-18,6.05,6.15,5.95,6.05,149300,6.05
2012-10-17,6.05,6.25,5.90,6.00,302500,6.00
2012-10-16,6.10,6.25,6.05,6.15,291600,6.15
2012-10-15,6.15,6.25,6.00,6.00,309600,6.00
2012-10-12,6.35,6.35,6.15,6.15,124500,6.15
2012-10-11,6.20,6.20,6.00,6.20,148700,6.20
2012-10-10,6.10,6.40,5.95,6.05,386000,6.05
2012-10-09,6.50,6.55,6.20,6.25,339900,6.25
2012-10-08,6.50,6.55,6.40,6.50,127200,6.50
2012-10-05,6.60,6.70,6.35,6.40,243700,6.40
2012-10-04,6.70,6.85,6.55,6.60,381500,6.60
2012-10-03,6.80,6.85,6.60,6.60,143100,6.60
2012-10-02,6.80,6.80,6.80,6.80,000,6.80
2012-10-01,6.90,6.90,6.75,6.80,170100,6.80
2012-09-28,6.40,6.85,6.40,6.75,203900,6.75
2012-09-27,6.90,7.05,6.60,6.65,429700,6.65
2012-09-26,7.15,7.20,6.60,6.90,814000,6.90
2012-09-25,6.85,6.90,6.60,6.90,458400,6.90
2012-09-24,6.50,6.60,6.30,6.60,322400,6.60
2012-09-21,6.40,6.45,6.25,6.30,435400,6.30
2012-09-20,6.50,6.50,6.15,6.30,256100,6.30
2012-09-19,6.30,6.30,6.30,6.30,000,6.30
2012-09-18,6.00,6.30,6.00,6.30,328700,6.30
2012-09-17,6.00,6.35,5.95,6.00,447700,6.00
2012-09-14,6.20,6.25,5.90,6.10,597300,6.10
2012-09-13,6.20,6.30,6.10,6.15,293200,6.15
2012-09-12,6.40,6.50,6.05,6.10,302100,6.10
2012-09-11,6.60,6.60,6.25,6.35,344200,6.35
2012-09-10,7.05,7.05,6.45,6.50,169500,6.50
2012-09-07,6.95,6.95,6.35,6.45,288700,6.45
2012-09-06,7.25,7.25,6.65,6.65,1580000,6.65
2012-09-05,6.95,6.95,6.50,6.95,1088800,6.95
2012-09-04,6.65,6.65,6.65,6.65,104900,6.65
2012-09-03,6.35,6.35,6.35,6.35,106800,6.35
2012-08-31,6.05,6.05,5.80,6.05,184000,6.05
2012-08-30,5.45,5.80,5.30,5.80,282500,5.80
2012-08-29,5.60,5.80,5.55,5.55,106000,5.55
2012-08-28,5.90,6.05,5.70,5.80,226900,5.80
2012-08-27,6.00,6.10,5.85,5.95,153000,5.95
2012-08-24,6.05,6.05,5.90,5.95,140400,5.95
2012-08-23,6.10,6.20,5.95,6.10,191500,6.10
2012-08-22,6.05,6.30,6.00,6.20,225600,6.20
2012-08-21,6.20,6.30,5.95,6.20,265600,6.20
2012-08-20,6.15,6.15,6.15,6.15,000,6.15
2012-08-17,6.40,6.40,6.05,6.15,179300,6.15
2012-08-16,6.40,6.50,6.05,6.35,361400,6.35
2012-08-15,6.35,6.35,6.35,6.35,000,6.35
2012-08-14,6.05,6.45,6.05,6.35,122600,6.35
2012-08-13,6.40,6.60,6.15,6.15,198000,6.15
2012-08-10,6.45,6.50,6.30,6.45,77400,6.45
2012-08-09,6.85,6.85,6.25,6.45,302400,6.45
2012-08-08,6.85,6.85,6.45,6.55,227400,6.55
2012-08-07,6.50,6.70,6.50,6.70,462300,6.70
2012-08-06,6.75,6.75,6.25,6.40,295700,6.40
2012-08-03,7.05,7.05,6.55,6.55,314700,6.55
2012-08-02,7.40,7.40,6.85,6.85,336700,6.85
2012-08-01,7.00,7.30,6.70,7.20,244400,7.20
2012-07-31,7.20,7.35,6.90,7.00,146700,7.00
