Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,31.00,31.00,31.00,31.00,000,31.00
2012-12-24,30.25,31.25,30.15,31.00,423200,31.00
2012-12-21,31.60,31.65,30.00,30.15,430700,30.15
2012-12-20,31.80,32.35,31.50,31.60,220900,31.60
2012-12-19,31.70,32.50,31.65,31.80,326200,31.80
2012-12-18,31.35,32.15,31.10,31.55,416900,31.55
2012-12-17,31.25,31.60,31.10,31.30,258400,31.30
2012-12-14,31.20,31.60,31.20,31.35,191200,31.35
2012-12-13,31.70,31.95,31.20,31.25,263100,31.25
2012-12-12,32.10,32.40,31.45,31.65,377200,31.65
2012-12-11,33.15,33.65,31.90,32.00,687500,32.00
2012-12-10,32.50,33.65,32.40,32.75,966700,32.75
2012-12-07,31.70,32.90,31.55,32.15,1201600,32.15
2012-12-06,31.60,31.85,31.25,31.40,248000,31.40
2012-12-05,32.00,32.25,31.35,31.55,387200,31.55
2012-12-04,31.40,32.40,31.40,31.90,574800,31.90
2012-12-03,30.20,31.90,30.20,31.40,490200,31.40
2012-11-30,30.45,31.40,30.25,30.95,643500,30.95
2012-11-29,30.10,30.90,30.05,30.20,395300,30.20
2012-11-28,30.05,30.05,30.05,30.05,000,30.05
2012-11-27,29.85,30.40,29.85,30.05,468100,30.05
2012-11-26,30.05,30.40,29.40,29.55,265500,29.55
2012-11-23,30.00,30.85,29.75,29.90,296700,29.90
2012-11-22,29.80,30.10,29.75,29.80,155400,29.80
2012-11-21,30.20,30.20,29.35,29.75,231400,29.75
2012-11-20,30.65,31.00,29.80,29.90,383700,29.90
2012-11-19,30.60,31.15,30.20,30.40,249600,30.40
2012-11-16,31.20,32.25,30.50,30.75,463100,30.75
2012-11-15,30.80,31.20,30.50,30.85,212300,30.85
2012-11-14,30.90,30.90,30.90,30.90,000,30.90
2012-11-13,30.90,30.90,30.90,30.90,000,30.90
2012-11-12,31.00,31.20,30.40,30.90,273600,30.90
2012-11-09,31.60,32.15,30.75,30.90,405900,30.90
2012-11-08,30.00,32.85,29.80,31.45,1808000,31.45
2012-11-07,30.50,30.90,30.10,30.20,410300,30.20
2012-11-06,31.10,31.35,30.05,30.40,486900,30.40
