Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,6.45,6.45,6.45,6.45,000,6.45
2012-12-24,6.60,6.65,6.40,6.45,874300,6.45
2012-12-21,6.85,6.90,6.60,6.60,690000,6.60
2012-12-20,7.00,7.10,6.70,6.90,1688400,6.90
2012-12-19,6.80,7.05,6.65,7.00,1482800,7.00
2012-12-18,6.35,6.95,6.35,6.75,5830600,6.75
2012-12-17,7.00,7.05,6.65,6.65,1079500,6.65
2012-12-14,7.00,7.25,6.75,7.00,3402400,7.00
2012-12-13,7.15,7.30,6.80,6.95,3066700,6.95
2012-12-12,7.05,7.35,7.05,7.10,897300,7.10
2012-12-11,7.40,7.55,7.00,7.00,1014800,7.00
2012-12-10,7.40,7.75,7.25,7.35,1375700,7.35
2012-12-07,7.50,7.80,7.30,7.40,1734500,7.40
2012-12-06,7.70,7.70,7.30,7.50,798600,7.50
2012-12-05,7.35,7.80,7.30,7.65,829000,7.65
2012-12-04,7.45,7.75,7.25,7.30,936300,7.30
2012-12-03,7.65,7.80,7.25,7.60,962700,7.60
2012-11-30,7.70,7.80,7.50,7.60,1061800,7.60
2012-11-29,7.70,7.85,7.40,7.70,1608700,7.70
2012-11-28,7.65,7.65,7.65,7.65,000,7.65
2012-11-27,7.90,8.20,7.60,7.65,7467100,7.65
2012-11-26,8.05,8.30,7.95,8.00,2813900,8.00
2012-11-23,8.05,8.20,7.85,7.95,3589400,7.95
2012-11-22,8.05,8.20,7.85,8.05,1791800,8.05
2012-11-21,8.20,8.50,7.90,8.05,3650200,8.05
2012-11-20,7.90,8.20,7.90,8.15,5953100,8.15
2012-11-19,8.00,8.30,7.75,7.85,8986300,7.85
2012-11-16,8.35,8.65,8.00,8.15,3649400,8.15
2012-11-15,8.10,8.45,7.70,8.40,7909000,8.40
2012-11-14,7.70,7.70,7.70,7.70,000,7.70
2012-11-13,7.70,7.70,7.70,7.70,000,7.70
2012-11-12,7.50,7.70,7.45,7.70,4934700,7.70
2012-11-09,7.20,7.35,7.10,7.35,6864400,7.35
2012-11-08,6.80,7.00,6.75,7.00,8380200,7.00
2012-11-07,6.55,6.70,6.50,6.70,2481400,6.70
2012-11-06,6.35,6.45,6.05,6.40,7751800,6.40
2012-11-05,6.15,6.15,5.90,6.15,1188000,6.15
2012-11-02,5.80,5.90,5.75,5.90,2029800,5.90
2012-11-01,5.40,5.65,5.35,5.65,2126500,5.65
2012-10-31,5.35,5.55,5.25,5.40,601900,5.40
2012-10-30,5.65,5.65,5.40,5.40,405400,5.40
2012-10-29,5.65,5.65,5.30,5.55,1326000,5.55
2012-10-26,5.65,5.65,5.65,5.65,000,5.65
2012-10-25,5.85,6.05,5.65,5.65,1473900,5.65
2012-10-24,5.90,5.90,5.90,5.90,000,5.90
2012-10-23,6.25,6.40,5.80,5.90,3400800,5.90
2012-10-22,6.10,6.10,5.85,6.10,864600,6.10
2012-10-19,5.85,5.85,5.80,5.85,374300,5.85
2012-10-18,5.40,5.60,5.40,5.60,2330800,5.60
2012-10-17,5.20,5.40,5.20,5.35,2355800,5.35
2012-10-16,5.00,5.15,4.95,5.15,783700,5.15
2012-10-15,5.00,5.10,4.80,4.95,1236900,4.95
2012-10-12,5.00,5.10,4.80,4.90,1217100,4.90
2012-10-11,4.60,4.90,4.60,4.90,1229900,4.90
2012-10-10,4.75,4.90,4.65,4.70,787100,4.70
2012-10-09,5.00,5.10,4.70,4.75,4174300,4.75
2012-10-08,4.75,4.90,4.65,4.90,912100,4.90
2012-10-05,4.95,4.95,4.70,4.70,201200,4.70
2012-10-04,4.95,4.95,4.85,4.90,190700,4.90
2012-10-03,4.85,5.00,4.85,4.90,229200,4.90
2012-10-02,4.85,4.85,4.85,4.85,000,4.85
2012-10-01,5.00,5.05,4.85,4.85,214500,4.85
2012-09-28,5.15,5.20,4.95,4.95,413100,4.95
