Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,51.40,51.40,51.40,51.40,000,51.40
2012-12-24,50.70,51.65,50.10,51.40,68300,51.40
2012-12-21,49.80,50.80,49.80,50.25,33600,50.25
2012-12-20,50.05,50.40,49.75,50.05,11600,50.05
2012-12-19,50.55,50.60,49.90,50.20,38400,50.20
2012-12-18,50.15,50.70,50.00,50.05,14200,50.05
2012-12-17,50.00,50.60,50.00,50.35,33500,50.35
2012-12-14,49.75,50.30,49.50,50.00,33600,50.00
2012-12-13,50.50,50.50,49.60,49.85,32800,49.85
2012-12-12,50.40,50.50,49.65,50.05,34200,50.05
2012-12-11,49.45,50.70,49.45,49.70,32800,49.70
2012-12-10,50.75,50.75,49.40,50.00,42700,50.00
2012-12-07,50.15,50.80,50.00,50.50,526500,50.50
2012-12-06,50.90,50.90,49.55,50.05,35300,50.05
2012-12-05,50.90,50.90,50.00,50.20,26800,50.20
2012-12-04,50.60,51.00,50.00,50.00,21600,50.00
2012-12-03,50.15,51.50,49.75,50.10,29300,50.10
2012-11-30,50.10,52.60,49.60,50.35,148700,50.35
2012-11-29,50.00,51.30,49.20,50.35,364100,50.35
2012-11-28,49.50,49.50,49.50,49.50,000,49.50
2012-11-27,49.40,50.45,49.00,49.50,288100,49.50
2012-11-26,50.75,50.75,48.80,49.50,9800,49.50
2012-11-23,49.90,50.90,49.50,50.05,12700,50.05
2012-11-22,49.65,50.25,49.45,50.00,11900,50.00
2012-11-21,49.70,50.90,49.20,50.05,15000,49.45
2012-11-20,49.80,50.65,49.25,49.85,21100,49.25
2012-11-19,50.50,50.90,49.80,50.00,24400,49.40
2012-11-16,51.75,51.95,50.70,50.85,39100,50.24
2012-11-15,54.50,54.50,51.50,51.80,74100,51.18
2012-11-14,50.90,50.90,50.90,50.90,000,50.29
2012-11-13,50.90,50.90,50.90,50.90,000,50.29
2012-11-12,51.30,51.80,50.55,50.90,29900,50.29
2012-11-09,51.80,52.50,50.40,51.20,38900,50.59
2012-11-08,53.10,54.85,49.15,51.75,215200,51.13
2012-11-07,53.50,54.70,52.60,54.00,121900,53.35
2012-11-06,53.00,53.90,51.00,53.05,213100,52.41
2012-11-05,51.25,53.45,50.30,52.05,108600,51.43
2012-11-02,48.50,51.25,48.00,50.05,156200,49.45
2012-11-01,48.00,48.25,47.40,47.70,17600,47.13
2012-10-31,48.00,48.90,47.50,48.35,35800,47.77
2012-10-30,48.65,49.00,47.50,48.05,20000,47.47
2012-10-29,49.50,50.90,48.30,48.95,82400,48.36
2012-10-26,47.45,47.45,47.45,47.45,000,46.88
2012-10-25,50.00,50.00,47.05,47.45,27500,46.88
2012-10-24,47.70,47.70,47.70,47.70,000,47.13
2012-10-23,48.00,48.15,47.00,47.70,24800,47.13
2012-10-22,47.70,48.95,47.10,47.85,52500,47.28
2012-10-19,48.30,48.75,47.75,48.15,30500,47.57
2012-10-18,49.00,49.00,48.10,48.60,36300,48.02
