Date,Open,High,Low,Close,Volume,Adj Close
2013-01-23,711.00,713.45,704.10,709.75,687700,709.75
2013-01-22,702.90,715.70,701.45,710.70,1129300,710.70
2013-01-21,712.50,714.10,694.00,699.85,1538900,699.85
2013-01-18,720.00,724.00,706.00,712.05,819700,712.05
2013-01-17,720.00,721.65,712.35,717.00,900400,717.00
2013-01-16,725.15,737.85,718.00,719.35,751700,719.35
2013-01-15,735.10,735.65,726.20,730.20,392600,730.20
2013-01-14,740.45,740.45,732.00,735.30,823800,735.30
2013-01-11,753.50,755.55,735.10,739.25,591400,739.25
2013-01-10,764.00,764.90,750.20,754.25,506100,754.25
2013-01-09,755.00,766.65,751.55,761.20,909600,761.20
2013-01-08,745.05,760.00,745.05,754.45,1287400,754.45
2013-01-07,740.80,748.85,737.10,744.15,984300,744.15
2013-01-04,737.50,737.50,726.45,735.15,515800,735.15
2013-01-03,747.95,747.95,730.10,733.85,520400,733.85
2013-01-02,740.10,747.00,739.60,740.90,521800,740.90
2013-01-01,739.10,749.80,736.70,739.50,295900,739.50
2012-12-31,739.60,741.00,733.10,736.25,195000,736.25
2012-12-28,747.70,752.90,731.05,739.50,493100,739.50
2012-12-27,758.00,763.10,742.50,745.50,714800,745.50
2012-12-26,743.80,759.90,742.45,753.70,529800,753.70
2012-12-25,740.85,740.85,740.85,740.85,000,740.85
2012-12-24,732.90,745.30,725.40,740.85,600400,740.85
2012-12-21,747.00,752.00,728.10,729.45,703700,729.45
2012-12-20,769.80,775.90,744.25,747.00,846700,747.00
2012-12-19,741.00,769.90,740.50,764.80,975800,764.80
2012-12-18,726.75,739.20,725.15,736.95,1524000,736.95
2012-12-17,714.10,724.80,714.10,721.05,1023800,721.05
2012-12-14,720.10,725.95,716.20,718.95,484800,718.95
2012-12-13,728.05,729.00,713.50,718.55,728600,718.55
2012-12-12,717.60,729.50,717.10,725.85,911500,725.85
2012-12-11,709.85,736.95,706.55,715.60,1675200,715.60
2012-12-10,700.00,710.70,695.00,704.60,816900,704.60
2012-12-07,700.10,706.00,694.50,699.90,688800,699.90
2012-12-06,701.10,708.95,692.90,703.15,1016400,703.15
