Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,444.05,444.05,444.05,444.05,000,444.05
2012-12-24,444.25,445.55,439.05,444.05,5800,444.05
2012-12-21,445.00,447.75,435.70,439.85,6900,439.85
2012-12-20,441.45,452.05,439.00,443.55,38700,443.55
2012-12-19,430.00,442.00,423.00,440.50,17600,440.50
2012-12-18,426.30,435.00,425.50,429.75,5500,429.75
2012-12-17,419.00,454.70,401.10,426.30,11100,426.30
2012-12-14,414.00,423.80,412.95,419.85,17400,419.85
2012-12-13,415.00,425.00,408.85,414.80,12400,414.80
2012-12-12,415.00,415.00,409.55,410.00,8700,410.00
2012-12-11,409.75,417.90,408.00,414.95,9800,414.95
2012-12-10,410.00,411.00,406.00,409.75,6200,409.75
2012-12-07,408.00,411.00,403.45,406.15,5300,406.15
2012-12-06,398.05,408.00,390.00,406.70,11600,406.70
2012-12-05,390.00,403.70,384.00,401.35,13300,401.35
2012-12-04,382.60,390.00,380.55,388.65,4800,388.65
2012-12-03,388.10,393.95,379.60,388.45,7700,388.45
2012-11-30,390.00,399.45,380.00,388.55,29800,388.55
2012-11-29,364.95,394.95,364.95,387.90,20300,387.90
2012-11-28,364.60,364.60,364.60,364.60,000,364.60
2012-11-27,350.60,364.95,350.60,364.60,25100,364.60
2012-11-26,347.50,358.95,332.50,350.60,41300,350.60
2012-11-23,349.00,350.40,343.00,348.40,21500,348.40
2012-11-22,333.00,349.70,331.00,347.30,40500,347.30
2012-11-21,330.00,340.00,330.00,339.70,3400,339.70
2012-11-20,333.60,347.70,322.60,327.00,3200,327.00
2012-11-19,319.00,324.95,315.50,323.20,16600,323.20
2012-11-16,310.15,323.75,308.80,322.95,64900,322.95
2012-11-15,320.00,320.00,312.10,312.35,300,312.35
2012-11-14,318.80,318.80,318.80,318.80,000,318.80
2012-11-13,318.80,318.80,318.80,318.80,000,318.80
2012-11-12,320.00,320.05,317.10,318.80,21800,318.80
2012-11-09,320.00,320.00,318.45,319.30,3000,319.30
2012-11-08,325.00,325.00,317.70,320.75,900,320.75
2012-11-07,320.00,325.00,317.55,324.70,2300,324.70
2012-11-06,316.00,319.95,315.70,317.60,15100,317.60
2012-11-05,318.00,319.50,317.00,317.95,100,317.95
2012-11-02,317.50,322.15,315.50,315.55,5100,315.55
2012-11-01,316.00,319.95,314.40,316.15,600,316.15
2012-10-31,317.95,321.00,315.30,317.80,8700,317.80
2012-10-30,316.70,320.00,311.00,318.30,29800,318.30
2012-10-29,318.00,318.00,314.80,314.95,13100,314.95
2012-10-26,316.70,316.70,316.70,316.70,000,316.70
2012-10-25,317.85,324.00,315.05,316.70,15600,316.70
2012-10-24,314.15,314.15,314.15,314.15,000,314.15
2012-10-23,317.00,318.85,312.90,314.15,15700,314.15
2012-10-22,315.00,318.90,314.55,317.50,2200,317.50
2012-10-19,317.00,320.00,312.65,314.70,11100,314.70
2012-10-18,318.00,319.90,313.05,318.40,54200,318.40
2012-10-17,319.95,319.95,316.10,318.10,2400,318.10
2012-10-16,318.90,321.15,314.65,317.85,6300,317.85
2012-10-15,317.00,322.00,316.90,318.70,1100,318.70
2012-10-12,317.75,319.85,314.25,318.05,8100,318.05
2012-10-11,319.85,319.85,313.25,317.60,18800,317.60
2012-10-10,318.20,319.95,314.30,318.35,23000,318.35
2012-10-09,319.70,320.00,316.85,319.85,16900,319.85
2012-10-08,337.20,337.20,317.00,319.80,77000,319.80
2012-10-05,320.00,322.00,315.05,318.80,5800,318.80
2012-10-04,319.00,323.05,314.80,318.65,24800,318.65
2012-10-03,318.80,318.80,314.50,315.15,1600,315.15
2012-10-02,314.90,314.90,314.90,314.90,000,314.90
2012-10-01,319.40,319.45,312.90,314.90,24900,314.90
2012-09-28,320.00,325.00,316.45,317.95,34100,317.95
2012-09-27,313.00,325.00,309.80,317.30,37400,317.30
2012-09-26,307.30,315.95,305.05,312.45,32700,312.45
2012-09-25,325.00,325.00,305.05,310.45,12100,310.45
2012-09-24,318.00,324.95,313.50,316.85,23400,316.85
2012-09-21,317.20,323.90,315.45,318.95,20600,318.95
2012-09-20,319.50,325.00,316.15,318.00,25600,318.00
2012-09-19,320.70,320.70,320.70,320.70,000,320.70
2012-09-18,319.60,325.00,316.80,320.70,24300,320.70
2012-09-17,320.00,329.90,317.55,320.30,23900,320.30
2012-09-14,319.20,329.90,313.00,319.80,5700,319.80
2012-09-13,318.70,320.95,314.00,318.90,9100,318.90
2012-09-12,354.00,354.00,313.05,318.45,6200,318.45
2012-09-11,313.90,321.65,313.00,316.70,8000,316.58
2012-09-10,313.00,313.00,311.80,312.65,4000,312.53
2012-09-07,316.70,320.00,312.25,314.90,4700,314.78
2012-09-06,319.80,319.80,311.70,315.95,2300,315.83
2012-09-05,310.85,315.00,310.85,313.90,6200,313.78
2012-09-04,311.00,315.00,309.70,313.85,3500,313.73
2012-09-03,305.15,321.00,305.15,314.75,4200,314.63
2012-08-31,328.60,328.60,295.00,312.25,13800,312.13
2012-08-30,322.00,335.00,315.85,321.70,5400,321.58
2012-08-29,325.00,330.40,318.00,323.35,15200,323.23
2012-08-28,327.90,328.00,323.15,324.85,12800,324.73
2012-08-27,327.00,350.00,324.70,327.70,7700,327.58
2012-08-24,330.00,334.90,321.95,329.05,14400,328.93
2012-08-23,330.00,331.00,328.70,328.90,21000,328.78
2012-08-22,330.00,330.00,326.55,327.90,21800,327.78
2012-08-21,335.00,335.00,329.00,331.55,25400,331.42
2012-08-20,333.70,333.70,333.70,333.70,000,333.57
2012-08-17,339.50,340.00,326.85,333.70,18800,333.57
2012-08-16,339.95,340.45,337.10,338.65,13100,338.52
2012-08-15,339.40,339.40,339.40,339.40,000,339.27
2012-08-14,340.00,340.00,337.70,339.40,8000,339.27
2012-08-13,345.00,345.90,335.65,339.90,5800,339.77
2012-08-10,348.00,349.75,344.00,349.50,3500,349.37
2012-08-09,349.55,350.00,343.85,348.85,1900,348.72
2012-08-08,350.00,350.00,349.50,349.60,2300,349.47
2012-08-07,350.00,350.00,349.40,349.80,700,349.67
2012-08-06,348.25,350.00,347.45,349.90,1600,349.77
2012-08-03,353.00,355.00,348.55,349.95,2400,349.82
2012-08-02,355.00,355.00,352.50,354.30,19500,354.17
2012-08-01,353.80,354.95,353.00,354.45,21800,354.32
2012-07-31,355.50,356.30,353.00,354.90,21200,354.77
2012-07-30,351.35,358.00,350.70,354.75,35800,354.62
2012-07-27,356.80,359.00,349.00,350.40,29600,350.27
2012-07-26,351.05,359.00,347.00,350.15,19700,350.02
2012-07-25,351.50,354.25,348.90,350.40,22300,350.27
2012-07-24,352.50,354.45,348.80,350.75,18900,350.62
2012-07-23,351.00,353.95,349.50,351.30,15000,351.17
2012-07-20,354.50,354.80,347.50,351.10,2100,350.97
2012-07-19,352.00,363.40,341.35,349.40,19500,349.27
2012-07-18,351.00,362.55,349.35,352.70,5000,352.57
2012-07-17,352.20,353.70,349.10,350.90,7600,350.77
2012-07-16,351.00,353.00,349.35,350.90,1900,350.77
2012-07-13,351.00,351.90,348.05,349.90,6300,349.77
2012-07-12,351.00,353.00,349.80,351.45,6200,351.32
2012-07-11,352.50,352.80,345.00,349.65,4100,349.52
2012-07-10,351.20,351.50,348.70,350.75,2100,350.62
2012-07-09,351.80,353.80,350.50,350.95,1500,350.82
2012-07-06,353.00,354.90,349.10,351.20,4300,351.07
2012-07-05,355.95,355.95,349.05,350.90,3400,350.77
2012-07-04,352.05,353.50,350.50,351.40,3800,351.27
2012-07-03,352.50,353.30,349.70,351.85,1800,351.72
2012-07-02,356.00,356.00,341.10,352.35,2700,352.22
2012-06-29,354.80,356.20,349.70,351.75,4700,351.62
2012-06-28,355.00,357.00,350.10,352.70,8200,352.57
2012-06-27,357.00,357.00,341.90,352.15,7500,352.02
2012-06-26,354.00,354.95,351.60,353.65,3400,353.52
2012-06-25,351.00,354.90,348.75,353.05,8000,352.92
2012-06-22,350.45,357.90,343.10,350.00,13500,349.87
2012-06-21,371.00,374.95,337.75,348.30,114400,348.17
2012-06-20,373.50,374.10,370.25,370.85,3700,370.71
2012-06-19,374.00,374.90,373.00,373.50,4100,373.36
2012-06-18,373.00,374.15,372.40,373.05,6100,372.91
2012-06-15,374.10,374.10,371.10,372.70,4600,372.56
2012-06-14,371.60,372.00,369.30,371.65,1400,371.51
2012-06-13,372.00,372.00,370.85,371.90,2800,371.76
2012-06-12,372.25,373.05,371.45,371.85,2100,371.71
2012-06-11,374.00,374.95,370.00,371.85,2900,371.71
2012-06-08,374.00,374.95,369.10,373.35,6800,373.21
2012-06-07,375.00,375.00,368.05,372.75,3000,372.61
2012-06-06,373.00,374.60,371.70,371.95,7000,371.81
2012-06-05,374.70,375.00,370.30,371.85,2800,371.71
2012-06-04,374.70,374.95,374.15,374.90,6500,374.76
2012-06-01,374.70,375.00,372.85,374.70,2700,374.56
2012-05-31,374.95,379.90,373.55,374.10,2400,373.96
2012-05-30,374.00,375.00,372.00,374.25,3400,374.11
2012-05-29,374.25,375.00,373.85,374.95,2100,374.81
2012-05-28,376.00,379.00,371.45,373.80,8700,373.66
