Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,418.65,418.65,418.65,418.65,000,418.65
2012-12-24,410.90,420.55,401.85,418.65,883700,418.65
2012-12-21,425.00,427.50,407.50,409.65,924300,409.65
2012-12-20,413.30,425.50,413.30,424.35,1216100,424.35
2012-12-19,417.00,419.00,411.45,413.55,1055600,413.55
2012-12-18,408.95,415.45,403.10,414.10,1206200,414.10
2012-12-17,403.55,410.60,401.70,407.75,573300,407.75
2012-12-14,403.20,407.35,393.10,403.50,1473500,403.50
2012-12-13,406.00,411.75,397.60,400.60,887400,400.60
2012-12-12,407.00,407.20,397.45,404.60,858000,404.60
2012-12-11,413.00,418.90,391.70,405.25,2161000,405.25
2012-12-10,418.55,422.95,411.50,412.75,1475800,412.75
2012-12-07,426.70,431.20,417.00,419.45,969400,419.45
2012-12-06,420.55,427.00,411.60,424.55,1320700,424.55
2012-12-05,416.00,422.40,414.00,419.40,1085800,419.40
2012-12-04,408.00,419.90,404.30,412.90,1250800,412.90
2012-12-03,405.00,416.00,405.00,409.95,548100,409.95
2012-11-30,409.25,411.75,400.25,408.80,1849700,408.80
2012-11-29,388.00,414.10,386.90,407.00,2521700,407.00
2012-11-28,388.45,388.45,388.45,388.45,000,388.45
2012-11-27,381.70,393.15,379.10,388.45,2066900,388.45
2012-11-26,385.25,391.50,378.05,379.55,1815800,379.55
2012-11-23,377.85,387.75,370.10,383.75,877700,383.75
2012-11-22,384.30,388.40,375.50,378.10,980600,378.10
2012-11-21,377.80,384.95,373.00,382.75,2271400,382.75
2012-11-20,368.40,383.00,364.70,376.40,2848500,373.90
2012-11-19,360.00,372.40,356.00,367.25,1471800,364.81
2012-11-16,371.80,373.20,355.00,357.15,1109800,354.78
2012-11-15,344.05,373.80,340.65,368.95,2664100,366.50
2012-11-14,337.10,337.10,337.10,337.10,000,334.86
2012-11-13,337.10,337.10,337.10,337.10,000,334.86
2012-11-12,328.00,340.00,321.25,337.10,1535200,334.86
2012-11-09,328.00,340.00,325.65,328.25,920900,326.07
2012-11-08,341.90,341.90,324.15,332.05,658700,329.84
2012-11-07,344.80,344.90,339.50,341.80,560800,339.53
2012-11-06,339.60,345.00,335.35,343.00,594700,340.72
2012-11-05,342.70,342.70,334.10,338.65,330300,336.40
2012-11-02,331.75,344.65,331.15,343.10,1989000,340.82
2012-11-01,329.00,334.00,325.40,329.95,1129200,327.76
2012-10-31,320.10,330.50,317.00,329.30,2443000,327.11
2012-10-30,314.35,323.15,311.00,318.70,2187800,316.58
2012-10-29,321.20,325.40,314.10,315.15,1981600,313.06
2012-10-26,343.45,343.45,343.45,343.45,000,341.17
2012-10-25,356.00,358.30,339.25,343.45,2335000,341.17
2012-10-24,356.60,356.60,356.60,356.60,000,354.23
2012-10-23,360.60,362.60,355.50,356.60,189400,354.23
2012-10-22,357.70,362.15,355.60,359.30,240400,356.91
2012-10-19,354.90,373.35,350.95,362.60,810500,360.19
2012-10-18,364.25,366.90,360.20,362.05,508100,359.65
2012-10-17,358.10,366.50,355.00,360.45,491400,358.06
2012-10-16,366.00,370.85,361.10,363.15,833300,360.74
2012-10-15,353.25,366.00,351.70,364.40,907200,361.98
2012-10-12,349.90,359.50,346.05,351.80,536700,349.46
2012-10-11,344.95,352.90,336.30,350.20,859100,347.87
2012-10-10,350.70,355.75,338.20,340.55,800800,338.29
2012-10-09,353.55,358.60,348.70,352.15,523800,349.81
2012-10-08,358.60,360.00,346.75,350.60,952000,348.27
2012-10-05,368.00,368.95,351.20,354.50,844700,352.15
2012-10-04,365.75,370.60,360.50,364.85,724900,362.43
2012-10-03,363.00,371.35,350.15,364.90,1098900,362.48
2012-10-02,358.90,358.90,358.90,358.90,000,356.52
2012-10-01,350.00,360.45,348.25,358.90,1901900,356.52
2012-09-28,340.30,361.80,340.30,349.05,2198100,346.73
2012-09-27,329.25,342.50,326.20,338.25,1992600,336.00
2012-09-26,320.80,334.90,315.95,327.35,1186700,325.18
2012-09-25,329.65,331.15,320.00,322.85,587100,320.71
2012-09-24,324.20,332.00,320.60,327.90,635200,325.72
2012-09-21,321.80,344.75,321.80,325.15,704800,322.99
2012-09-20,325.75,326.20,315.00,319.00,549700,316.88
2012-09-19,329.85,329.85,329.85,329.85,000,327.66
2012-09-18,320.00,336.65,315.00,329.85,1004500,327.66
2012-09-17,310.00,325.90,308.00,324.20,1400500,322.05
2012-09-14,309.40,311.90,304.35,307.90,407500,305.85
2012-09-13,310.25,316.40,303.30,306.50,1269300,304.46
2012-09-12,306.70,312.60,304.90,310.10,798400,307.30
2012-09-11,307.00,308.85,303.05,304.90,344800,302.14
2012-09-10,312.00,312.00,306.10,306.85,417100,304.07
2012-09-07,306.60,310.65,304.30,308.05,708700,305.26
2012-09-06,298.05,307.40,295.10,303.95,703000,301.20
2012-09-05,293.50,298.80,293.50,297.55,231300,294.86
2012-09-04,291.45,298.50,291.45,295.30,274300,292.63
2012-09-03,292.70,296.80,290.50,292.90,187700,290.25
2012-08-31,294.70,303.00,286.40,290.60,676900,287.97
2012-08-30,284.60,300.90,281.10,295.40,411100,292.73
2012-08-29,287.00,289.90,280.10,284.60,184900,282.03
2012-08-28,294.95,295.20,282.40,287.60,270900,285.00
2012-08-27,293.45,299.90,291.80,294.80,327400,292.13
2012-08-24,297.75,302.60,296.15,298.40,285000,295.70
2012-08-23,301.20,308.55,298.30,299.50,462400,296.79
2012-08-22,300.70,309.80,298.85,304.70,649900,301.94
2012-08-21,301.20,304.90,296.35,301.65,404000,298.92
2012-08-20,301.75,301.75,301.75,301.75,000,299.02
2012-08-17,305.10,308.40,299.45,301.75,335800,299.02
2012-08-16,304.05,310.70,304.00,305.00,475200,302.24
2012-08-15,307.70,307.70,307.70,307.70,000,304.92
2012-08-14,303.00,311.20,300.25,307.70,440100,304.92
2012-08-13,312.00,314.70,299.55,301.95,795600,299.22
2012-08-10,302.00,312.45,301.60,310.80,1099600,307.99
2012-08-09,296.95,304.90,291.40,302.50,1184300,299.76
2012-08-08,295.00,299.60,292.40,297.00,1239500,291.84
2012-08-07,285.05,294.00,285.05,290.00,1706400,284.96
2012-08-06,272.00,284.80,272.00,282.10,1568400,277.20
