Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,61.90,61.90,61.90,61.90,000,61.90
2012-12-24,64.35,69.00,60.00,61.90,50100,61.90
2012-12-21,61.30,61.50,60.10,60.45,14100,60.45
2012-12-20,62.05,62.90,60.80,61.45,25200,61.45
2012-12-19,61.20,62.90,60.30,62.15,35800,62.15
2012-12-18,61.00,63.35,60.35,60.70,47800,60.70
2012-12-17,63.00,63.95,60.60,61.30,65400,61.30
2012-12-14,64.90,67.75,62.55,63.55,116700,63.55
2012-12-13,67.00,70.80,66.30,67.75,1083500,67.75
2012-12-12,59.75,65.35,58.80,64.85,155200,64.85
2012-12-11,59.75,60.75,59.00,60.00,22900,60.00
2012-12-10,60.00,61.80,59.55,60.55,22900,60.55
2012-12-07,57.95,60.60,57.90,60.15,36100,60.15
2012-12-06,58.00,58.00,57.00,57.15,5300,57.15
2012-12-05,57.00,58.00,57.00,57.70,10300,57.70
2012-12-04,56.65,57.95,56.65,57.35,8600,57.35
2012-12-03,56.00,57.45,56.00,57.05,6100,57.05
2012-11-30,57.00,57.65,56.80,57.00,5700,57.00
2012-11-29,57.00,57.75,56.70,57.40,21100,57.40
2012-11-28,56.95,56.95,56.95,56.95,000,56.95
2012-11-27,56.60,57.10,56.60,56.95,20500,56.95
2012-11-26,56.50,57.30,56.50,56.90,9300,56.90
2012-11-23,56.50,57.50,56.10,56.65,6500,56.65
2012-11-22,56.70,57.00,56.70,57.00,8600,57.00
2012-11-21,56.90,57.45,56.25,56.85,35600,56.85
2012-11-20,56.95,57.70,56.60,57.00,19600,57.00
2012-11-19,57.10,57.50,56.20,57.00,32400,57.00
2012-11-16,58.05,59.25,57.00,57.00,18500,57.00
2012-11-15,57.75,58.90,57.05,58.50,20500,58.50
2012-11-14,57.10,57.10,57.10,57.10,000,57.10
2012-11-13,57.10,57.10,57.10,57.10,000,57.10
2012-11-12,56.30,57.95,56.30,57.10,4000,57.10
2012-11-09,57.25,58.85,56.50,56.65,10500,56.65
2012-11-08,57.50,59.00,57.05,57.65,14900,57.65
2012-11-07,56.50,58.50,55.40,57.80,30200,57.80
2012-11-06,56.50,56.50,56.00,56.45,7600,56.45
2012-11-05,56.05,56.15,55.85,55.85,3100,55.85
2012-11-02,55.65,57.25,55.60,57.00,8100,57.00
2012-11-01,55.65,56.50,55.20,55.80,4900,55.80
2012-10-31,56.00,56.50,55.50,56.00,21100,56.00
2012-10-30,56.85,56.85,55.00,56.00,3000,56.00
2012-10-29,58.00,58.00,55.20,55.90,16000,55.90
2012-10-26,59.00,59.00,59.00,59.00,000,59.00
2012-10-25,58.40,62.00,56.85,59.00,55400,59.00
2012-10-24,57.25,57.25,57.25,57.25,000,57.25
2012-10-23,57.25,57.75,55.50,57.25,11100,57.25
2012-10-22,55.75,57.75,54.50,56.95,40300,56.95
2012-10-19,54.50,54.90,53.80,54.30,8500,54.30
2012-10-18,54.25,54.45,53.60,54.05,8300,54.05
2012-10-17,54.50,54.50,51.65,53.75,14100,53.75
2012-10-16,55.90,55.90,54.00,54.25,4700,54.25
2012-10-15,53.70,56.40,53.70,54.35,21700,54.35
2012-10-12,53.65,53.95,53.50,53.60,13200,53.60
2012-10-11,53.65,54.90,53.60,54.00,5600,54.00
2012-10-10,53.75,54.45,53.60,53.90,11500,53.90
2012-10-09,53.85,54.50,53.60,54.00,4600,54.00
2012-10-08,57.00,57.00,53.50,54.00,8600,54.00
2012-10-05,54.70,54.85,53.65,53.75,4700,53.75
2012-10-04,54.30,56.25,54.30,55.50,12600,55.50
2012-10-03,54.30,55.00,54.30,54.90,6400,54.90
2012-10-02,54.20,54.20,54.20,54.20,000,54.20
2012-10-01,55.10,58.45,53.50,54.20,25600,54.20
2012-09-28,55.90,56.95,54.25,54.90,26200,54.90
2012-09-27,57.00,57.00,54.40,55.10,2600,55.10
2012-09-26,55.00,56.65,54.20,56.30,7200,56.30
2012-09-25,57.20,57.20,53.60,55.15,14300,55.15
2012-09-24,58.30,58.90,55.50,57.25,13900,55.85
2012-09-21,59.40,60.40,57.75,58.85,22000,57.41
2012-09-20,56.00,61.00,54.80,58.65,115100,57.22
2012-09-19,55.45,55.45,55.45,55.45,000,54.09
2012-09-18,53.00,56.00,53.00,55.45,49800,54.09
2012-09-17,51.00,53.15,50.30,52.85,23100,51.56
2012-09-14,50.55,51.40,50.50,50.80,17400,49.56
2012-09-13,50.50,51.40,50.10,50.90,7700,49.66
2012-09-12,51.90,51.90,50.05,50.70,1200,49.46
2012-09-11,50.50,50.80,50.00,50.50,7000,49.27
2012-09-10,51.25,51.55,50.15,50.65,10000,49.41
2012-09-07,50.30,51.25,49.15,51.00,23100,49.75
2012-09-06,50.05,50.90,50.00,50.20,17300,48.97
2012-09-05,49.00,50.60,48.40,50.15,10200,48.92
2012-09-04,46.60,49.25,46.60,48.80,3500,47.61
2012-09-03,47.80,48.75,46.80,47.15,4300,46.00
2012-08-31,49.00,49.55,46.15,47.50,4700,46.34
2012-08-30,49.60,50.90,49.20,49.65,24200,48.44
2012-08-29,48.25,49.95,47.65,49.15,23900,47.95
2012-08-28,47.50,48.30,46.55,47.70,8700,46.53
2012-08-27,46.65,48.95,46.65,47.40,5800,46.24
2012-08-24,47.95,47.95,46.50,47.35,7200,46.19
2012-08-23,48.50,49.00,46.20,46.65,6300,45.51
2012-08-22,46.10,49.00,46.10,47.35,22500,46.19
2012-08-21,46.05,46.30,46.00,46.10,2600,44.97
2012-08-20,46.00,46.00,46.00,46.00,000,44.88
2012-08-17,46.05,46.40,46.00,46.00,5900,44.88
2012-08-16,46.65,46.65,46.00,46.20,800,45.07
2012-08-15,46.05,46.05,46.05,46.05,000,44.92
2012-08-14,46.50,46.95,46.05,46.05,700,44.92
2012-08-13,46.10,46.50,46.00,46.00,3100,44.88
2012-08-10,46.65,46.65,46.00,46.00,1100,44.88
2012-08-09,46.10,46.50,46.00,46.00,9700,44.88
2012-08-08,46.05,46.30,46.00,46.00,10500,44.88
2012-08-07,46.65,46.70,46.00,46.10,1800,44.97
2012-08-06,46.15,47.70,46.00,46.05,3300,44.92
2012-08-03,46.00,46.70,46.00,46.15,3900,45.02
2012-08-02,47.00,47.00,46.00,46.00,900,44.88
2012-08-01,46.10,47.00,46.10,46.60,2200,45.46
2012-07-31,46.10,47.00,46.00,46.35,5600,45.22
2012-07-30,45.80,46.05,45.20,45.85,1300,44.73
2012-07-27,45.80,46.45,45.75,46.00,10200,44.88
2012-07-26,45.75,46.25,45.25,46.00,23900,44.88
2012-07-25,46.00,46.25,45.75,45.90,33000,44.78
2012-07-24,45.75,47.00,45.50,46.95,5200,45.80
2012-07-23,46.00,46.50,45.85,45.90,3900,44.78
2012-07-20,45.00,46.50,45.00,45.85,16600,44.73
2012-07-19,46.00,46.45,44.50,45.55,69500,44.44
2012-07-18,47.05,47.20,45.30,46.40,6200,45.27
2012-07-17,47.90,49.00,46.85,47.05,12100,45.90
2012-07-16,49.00,49.15,47.60,47.90,12200,46.73
2012-07-13,48.00,48.60,47.60,47.70,5400,46.53
2012-07-12,48.20,48.25,47.20,48.20,9700,47.02
2012-07-11,48.00,48.75,47.20,48.70,4000,47.51
2012-07-10,48.00,48.75,47.80,48.40,14100,47.22
