Date,Open,High,Low,Close,Volume,Adj Close
2012-12-27,296.90,296.90,292.95,294.00,4400,294.00
2012-12-26,290.50,296.00,290.50,295.10,27700,295.10
2012-12-25,290.25,290.25,290.25,290.25,000,290.25
2012-12-24,296.90,296.90,288.00,290.25,20200,290.25
2012-12-21,294.15,294.55,291.15,294.00,15300,294.00
2012-12-20,295.00,295.00,291.00,293.90,22500,293.90
2012-12-19,294.90,294.95,292.05,294.50,8800,294.50
2012-12-18,294.85,298.40,293.60,294.05,17300,294.05
2012-12-17,292.05,294.50,291.05,293.60,20700,293.60
2012-12-14,294.80,294.85,291.00,291.55,15100,291.55
2012-12-13,292.90,294.20,291.00,292.00,14100,292.00
2012-12-12,293.50,293.50,289.25,290.45,34400,290.45
2012-12-11,294.95,294.95,288.50,291.30,10300,291.30
2012-12-10,290.20,292.95,290.00,292.15,18300,292.15
2012-12-07,294.45,294.50,289.10,291.05,7300,291.05
2012-12-06,290.00,294.45,287.50,292.55,11800,292.55
2012-12-05,289.05,293.35,289.05,291.20,23800,291.20
2012-12-04,288.35,290.50,287.00,289.00,24000,289.00
2012-12-03,290.90,296.95,285.35,287.70,17400,287.70
2012-11-30,289.70,289.80,286.20,287.80,6800,287.80
2012-11-29,285.10,289.50,285.10,287.05,13800,287.05
2012-11-28,285.40,285.40,285.40,285.40,000,285.40
2012-11-27,288.75,288.75,283.55,285.40,7400,285.40
2012-11-26,286.75,289.95,284.35,286.20,3700,286.20
2012-11-23,289.90,291.00,285.15,286.70,430200,286.70
2012-11-22,285.15,289.95,285.15,287.50,11100,287.50
2012-11-21,290.00,292.45,280.30,287.30,6700,287.30
2012-11-20,288.60,292.00,287.50,290.00,14100,290.00
2012-11-19,293.00,293.00,286.45,290.05,11300,290.05
2012-11-16,289.80,292.90,288.05,291.75,114400,291.75
2012-11-15,288.00,292.80,288.00,289.50,18600,289.50
2012-11-14,293.00,293.00,293.00,293.00,000,293.00
2012-11-13,293.00,293.00,293.00,293.00,000,293.00
2012-11-12,284.00,296.90,284.00,293.00,38000,293.00
2012-11-09,287.45,289.15,284.75,285.00,21300,285.00
2012-11-08,281.55,286.75,278.70,285.40,43300,285.40
2012-11-07,281.60,287.60,281.55,283.55,13200,283.55
2012-11-06,281.10,286.95,280.55,285.20,10300,285.20
2012-11-05,292.00,294.90,279.95,282.60,22900,282.60
2012-11-02,291.05,293.30,285.20,287.00,90300,287.00
2012-11-01,290.20,293.90,289.95,290.30,11800,290.30
2012-10-31,290.05,293.85,288.80,291.85,16300,291.85
2012-10-30,291.25,296.50,289.00,290.55,20600,290.55
2012-10-29,302.00,302.00,277.00,290.95,91900,290.95
2012-10-26,295.05,295.05,295.05,295.05,000,295.05
2012-10-25,294.90,296.50,292.05,295.05,13200,295.05
2012-10-24,290.05,290.05,290.05,290.05,000,290.05
2012-10-23,290.05,295.00,288.25,290.05,15500,290.05
2012-10-22,295.05,299.40,288.15,289.95,49000,289.95
2012-10-19,294.85,299.70,293.05,295.05,52800,295.05
2012-10-18,294.40,296.00,290.25,294.35,86500,294.35
2012-10-17,292.80,295.00,286.80,293.35,21100,293.35
2012-10-16,290.10,296.00,289.60,290.20,65700,290.20
2012-10-15,280.00,287.50,280.00,286.30,34700,286.30
2012-10-12,275.05,281.15,274.00,280.10,64200,280.10
2012-10-11,273.10,278.85,272.30,277.10,32100,277.10
2012-10-10,277.85,280.00,273.80,275.95,17000,275.95
2012-10-09,274.10,280.50,274.00,275.60,45400,275.60
2012-10-08,276.00,277.80,273.10,274.20,11800,274.20
2012-10-05,278.00,281.15,269.50,275.15,217700,275.15
2012-10-04,282.00,282.00,276.15,277.30,228700,277.30
2012-10-03,281.00,284.45,277.20,278.30,149200,278.30
2012-10-02,281.45,281.45,281.45,281.45,000,281.45
2012-10-01,285.05,285.05,280.00,281.45,41000,281.45
2012-09-28,280.00,284.90,280.00,282.95,11500,282.95
2012-09-27,285.80,285.90,280.00,280.20,527200,280.20
2012-09-26,284.00,288.90,282.00,283.00,469000,283.00
2012-09-25,281.05,287.50,281.05,285.30,10300,285.30
2012-09-24,285.00,285.00,278.15,283.90,621000,283.90
2012-09-21,285.00,285.00,279.10,280.00,84800,280.00
2012-09-20,281.90,283.00,276.00,282.15,21300,282.15
2012-09-19,281.75,281.75,281.75,281.75,000,281.75
2012-09-18,284.10,285.90,275.00,281.75,28000,281.75
2012-09-17,286.50,288.90,277.70,283.85,22500,282.60
2012-09-14,284.05,288.85,284.05,286.00,15000,284.74
2012-09-13,288.80,288.85,284.00,285.55,47100,284.29
2012-09-12,281.00,289.30,280.10,285.10,26000,283.84
2012-09-11,285.00,288.80,284.30,286.00,16800,284.74
2012-09-10,285.50,287.50,283.00,286.25,12600,284.99
2012-09-07,279.05,288.95,279.05,286.75,18500,285.49
2012-09-06,282.00,283.95,275.10,282.75,40800,281.50
2012-09-05,282.95,284.00,280.00,283.00,46100,277.27
2012-09-04,281.00,283.00,279.05,280.20,8500,274.53
2012-09-03,281.95,288.00,280.50,282.90,18800,277.18
2012-08-31,279.05,282.00,278.00,280.50,49700,274.82
2012-08-30,275.05,284.00,275.00,280.25,50100,274.58
2012-08-29,274.00,279.05,274.00,274.80,18400,269.24
2012-08-28,277.00,277.00,272.00,275.05,70600,269.48
2012-08-27,275.00,280.00,270.00,271.80,22100,266.30
2012-08-24,268.00,276.00,264.10,274.40,33800,268.85
2012-08-23,275.00,282.00,269.10,270.35,38000,264.88
2012-08-22,283.00,292.90,274.00,275.40,91500,269.83
2012-08-21,279.70,284.00,275.15,281.35,25300,275.66
2012-08-20,277.10,277.10,277.10,277.10,000,271.49
2012-08-17,277.00,280.00,274.55,277.10,10300,271.49
2012-08-16,270.05,279.00,270.00,277.60,20000,271.98
2012-08-15,273.00,273.00,273.00,273.00,000,267.48
2012-08-14,270.10,274.40,269.90,273.00,20200,267.48
2012-08-13,273.90,273.90,265.95,270.10,15300,264.63
2012-08-10,264.65,274.50,262.00,270.85,45000,265.37
2012-08-09,258.00,265.00,256.30,262.20,20800,256.89
2012-08-08,255.90,261.00,252.00,259.65,38900,254.40
2012-08-07,253.50,254.60,250.00,253.75,17800,248.62
2012-08-06,253.75,254.70,248.00,250.75,7400,245.68
2012-08-03,249.95,250.90,245.25,249.95,8400,244.89
2012-08-02,254.00,254.00,244.30,250.50,6600,245.43
2012-08-01,249.55,253.00,248.00,252.20,7600,247.10
2012-07-31,242.50,251.00,242.00,250.40,50100,245.33
2012-07-30,239.00,244.90,239.00,244.05,32700,239.11
2012-07-27,239.90,239.90,235.10,237.90,23100,233.09
2012-07-26,242.95,245.00,231.80,234.85,8500,230.10
2012-07-25,243.40,243.40,238.50,240.30,4000,235.44
2012-07-24,242.00,244.40,241.00,241.05,29200,236.17
2012-07-23,238.00,243.50,237.00,242.20,30500,237.30
2012-07-20,240.00,247.00,230.00,236.65,170400,231.86
2012-07-19,235.45,241.00,232.25,239.20,77500,234.36
2012-07-18,229.00,237.00,229.00,235.75,58200,230.98
2012-07-17,227.55,231.50,225.10,227.05,9800,222.46
2012-07-16,230.95,232.95,225.00,228.30,20100,223.68
2012-07-13,229.50,230.65,227.60,228.75,5500,224.12
2012-07-12,225.35,229.95,225.35,228.20,6700,223.58
2012-07-11,230.95,231.55,226.30,228.40,2500,223.78
2012-07-10,229.00,229.00,225.00,226.40,7400,221.82
2012-07-09,227.00,231.25,220.00,223.95,13200,219.42
2012-07-06,222.00,228.50,220.00,226.90,10300,222.31
2012-07-05,221.00,224.00,217.60,222.60,4900,218.10
2012-07-04,217.50,222.95,217.50,221.10,3900,216.63
2012-07-03,218.00,229.00,215.70,217.00,224000,212.61
2012-07-02,224.00,229.80,215.10,218.50,13900,214.08
2012-06-29,224.85,227.35,221.55,222.95,7400,218.44
2012-06-28,222.65,228.00,220.10,224.05,6700,219.52
2012-06-27,223.50,227.35,210.70,223.65,9500,219.12
2012-06-26,235.00,235.75,223.30,226.55,15100,221.97
2012-06-25,228.00,240.00,228.00,235.30,28400,230.54
2012-06-22,223.25,233.05,218.00,230.25,42400,225.59
2012-06-21,223.95,223.95,216.00,220.00,14200,215.55
2012-06-20,214.00,219.80,211.50,217.60,24400,213.20
2012-06-19,210.20,213.90,203.35,212.90,10100,208.59
2012-06-18,214.75,214.75,201.30,204.10,14200,199.97
2012-06-15,214.40,214.70,211.10,212.30,7900,208.00
2012-06-14,212.90,213.00,211.50,212.75,4900,208.45
2012-06-13,212.75,213.00,209.50,211.70,16700,207.42
2012-06-12,210.00,213.00,210.00,211.00,14900,206.73
2012-06-11,210.10,213.25,208.45,210.55,6000,206.29
2012-06-08,205.00,211.00,205.00,209.85,5800,205.60
2012-06-07,209.90,209.90,205.60,207.70,9200,203.50
2012-06-06,207.00,209.50,205.00,208.35,58400,204.13
2012-06-05,202.50,208.70,195.00,207.40,11900,203.20
2012-06-04,206.05,210.95,201.00,204.30,73300,200.17
2012-06-01,214.90,217.75,205.00,206.20,7100,202.03
2012-05-31,206.45,211.00,202.00,209.70,7700,205.46
2012-05-30,205.00,206.85,203.35,204.40,2600,200.26
2012-05-29,205.00,205.00,202.00,204.30,4900,200.17
2012-05-28,206.00,207.00,200.30,202.45,9100,198.35
2012-05-25,207.25,207.45,204.00,204.55,3900,200.41
2012-05-24,207.90,207.90,202.00,206.40,509300,202.22
2012-05-23,208.95,208.95,200.05,202.95,4900,198.84
2012-05-22,209.00,210.00,203.60,205.00,371200,200.85
2012-05-21,209.00,211.00,203.75,207.65,39800,203.45
2012-05-18,210.00,214.85,199.60,207.25,33100,203.06
2012-05-17,215.15,220.00,212.00,213.65,5100,209.33
2012-05-16,218.90,221.00,215.00,219.80,36400,215.35
2012-05-15,215.00,217.45,214.95,215.25,5000,210.89
2012-05-14,218.00,218.00,210.10,215.00,15800,210.65
2012-05-11,215.00,217.60,215.00,215.00,6400,210.65
2012-05-10,215.95,217.00,214.95,215.05,21100,210.70
2012-05-09,215.00,216.00,214.95,215.05,15500,210.70
2012-05-08,216.00,218.00,214.50,215.00,24500,210.65
2012-05-07,211.20,213.95,207.05,212.85,153200,208.54
2012-05-04,206.00,211.50,206.00,210.20,244100,205.95
2012-05-03,205.00,206.90,202.00,206.00,17600,201.83
2012-05-02,202.55,209.00,202.55,204.25,6800,200.12
2012-05-01,208.05,208.05,208.05,208.05,000,203.84
2012-04-30,209.25,210.80,206.00,207.65,12400,203.45
2012-04-27,210.00,210.00,206.50,208.00,16100,203.79
2012-04-26,205.25,211.90,204.00,210.05,132900,205.80
2012-04-25,208.90,210.00,202.00,206.80,23300,202.62
2012-04-24,208.90,208.90,202.30,207.05,5100,202.86
2012-04-23,207.25,207.25,203.00,203.70,3100,199.58
2012-04-20,205.00,206.50,203.60,205.80,3100,201.64
2012-04-19,207.75,207.75,201.30,204.85,20100,200.70
2012-04-18,207.25,208.05,204.60,205.85,25500,201.68
2012-04-17,204.00,206.00,203.60,205.55,4100,201.39
2012-04-16,204.50,205.50,203.30,205.00,5500,200.85
2012-04-13,206.50,207.50,204.15,204.85,11800,200.70
2012-04-12,205.00,208.00,204.60,206.00,10300,201.83
2012-04-11,205.70,208.95,204.50,206.25,18300,202.08
2012-04-10,208.80,208.80,205.00,206.75,12400,202.57
2012-04-09,207.90,207.90,204.50,205.70,5900,201.54
2012-04-06,205.10,205.10,205.10,205.10,000,200.95
2012-04-05,205.10,205.10,205.10,205.10,000,200.95
2012-04-04,206.25,208.00,205.00,205.10,8200,200.95
2012-04-03,207.00,209.50,205.00,206.45,14400,202.27
2012-04-02,210.00,210.00,206.00,206.05,29300,201.88
2012-03-30,207.50,210.40,203.50,208.20,18900,203.99
2012-03-29,203.75,206.35,203.00,205.55,8400,201.39
2012-03-28,203.05,207.00,202.10,204.00,14900,199.87
2012-03-27,209.90,210.00,203.10,204.20,10400,200.07
2012-03-26,205.00,206.85,202.65,205.95,16600,201.78
2012-03-23,203.00,205.75,200.50,205.00,24700,200.85
2012-03-22,202.60,205.00,202.20,204.20,58700,200.07
2012-03-21,205.95,206.15,201.50,205.05,45900,200.90
2012-03-20,200.35,207.45,200.35,203.70,55500,199.58
2012-03-19,199.50,203.95,199.40,201.85,17900,197.77
2012-03-16,201.00,203.00,197.10,200.25,18200,196.20
2012-03-15,202.50,202.50,198.50,201.00,171300,196.93
2012-03-14,205.00,205.00,199.05,202.85,316500,198.75
2012-03-13,203.80,204.95,200.50,203.45,47100,199.33
2012-03-12,205.00,205.00,198.20,202.30,28400,198.21
2012-03-09,197.15,204.50,196.05,203.10,190700,198.99
2012-03-08,195.55,195.55,195.55,195.55,000,191.59
2012-03-07,194.90,208.25,191.80,195.55,149300,191.59
2012-03-06,189.10,194.90,189.10,192.75,14600,188.85
2012-03-05,187.00,191.90,187.00,191.05,34800,187.18
2012-03-02,191.60,192.70,189.50,191.80,15400,187.92
2012-03-01,194.25,195.00,190.00,190.70,8100,186.84
2012-02-29,191.25,195.00,190.00,194.35,32400,190.42
2012-02-28,195.00,196.95,190.05,192.15,10400,188.26
2012-02-27,194.00,197.00,190.00,192.55,99400,188.65
2012-02-24,197.00,201.95,194.60,197.10,169500,193.11
2012-02-23,191.50,199.25,191.50,196.70,57500,192.72
2012-02-22,202.00,202.00,195.00,197.85,20500,193.85
2012-02-21,201.75,201.90,196.50,200.50,32500,196.44
2012-02-20,200.50,200.50,200.50,200.50,000,196.44
2012-02-17,200.00,201.85,194.95,200.50,60500,196.44
2012-02-16,197.00,201.00,196.55,199.45,123000,195.41
2012-02-15,191.55,201.00,189.00,196.05,75400,192.08
2012-02-14,188.00,196.00,188.00,194.80,56800,190.86
2012-02-13,181.50,189.80,180.00,187.55,76400,183.75
2012-02-10,180.00,183.00,174.65,181.50,34800,177.83
2012-02-09,183.00,185.00,179.10,180.35,32900,176.70
2012-02-08,174.00,186.00,173.60,181.80,304600,178.12
2012-02-07,177.40,177.40,173.15,174.20,14100,170.68
2012-02-06,176.20,178.45,174.20,174.90,70700,171.36
2012-02-03,178.15,178.50,173.30,174.95,145600,171.41
2012-02-02,176.95,181.85,173.10,178.35,28100,174.74
2012-02-01,175.00,179.85,173.25,178.20,21200,174.59
2012-01-31,173.00,177.00,171.65,175.15,30300,171.61
2012-01-30,175.00,178.00,172.00,172.60,25100,167.64
2012-01-27,181.45,189.90,161.60,174.15,77100,169.14
2012-01-26,178.95,178.95,178.95,178.95,000,173.81
2012-01-25,180.75,184.00,177.10,178.95,77400,173.81
2012-01-24,180.05,182.00,175.00,177.25,14800,172.15
2012-01-23,184.40,184.40,178.00,179.15,31200,174.00
2012-01-20,183.85,184.65,178.10,182.40,13000,177.16
2012-01-19,182.65,185.50,180.15,183.25,10800,177.98
2012-01-18,182.55,184.05,182.10,182.85,12800,177.59
2012-01-17,183.50,183.75,182.00,182.55,7800,177.30
2012-01-16,180.00,187.35,175.00,180.50,45700,175.31
2012-01-13,179.30,181.95,177.10,179.70,9700,174.53
2012-01-12,178.35,181.50,178.00,178.65,16400,173.51
2012-01-11,190.00,190.00,178.00,180.00,7900,174.83
