Date, Open, High, Low, Close,Volume,Adj Close
2012-12-31,295,296.4,293.75,296.25,9460,295.75
2012-12-28,294,296,293.25,294,8925,295.45
2012-12-27,296.9,296.9,292.95,294.7,4410,294
2012-12-26,290.5,296,290.5,295.1,27787,295.1
2012-12-24,296.9,296.9,288,288,20295,290.25
2012-12-21,294.15,294.55,291.15,294,15366,294
2012-12-20,295,295,291,294,22594,293.9
2012-12-19,294.9,294.95,292.05,294.3,8841,294.5
2012-12-18,294.85,298.4,293.6,294,17322,294.05
2012-12-17,292.05,294.5,291.05,293.5,20703,293.6
2012-12-14,294.8,294.85,291,291.5,15133,291.55
2012-12-13,292.9,294.2,291,292,14107,292
2012-12-12,293.5,293.5,289.25,291,34480,290.45
2012-12-11,294.95,294.95,288.5,291,10379,291.3
2012-12-10,290.2,292.95,290,292,18378,292.15
2012-12-07,294.45,294.5,289.1,291,7334,291.05
2012-12-06,290,294.45,287.5,293.85,11860,292.55
2012-12-05,289.05,293.35,289.05,291,23806,291.2
2012-12-04,288.35,290.5,287,289.3,24084,289
2012-12-03,290.9,296.95,285.35,288,17417,287.7
2012-11-30,289.7,289.8,286.2,288.5,6817,287.8
2012-11-29,285.1,289.5,285.1,287,13897,287.05
2012-11-27,288.75,288.75,283.55,285.1,7421,285.4
2012-11-26,286.75,289.95,284.35,285,3711,286.2
2012-11-23,289.9,291,285.15,287.8,430290,286.7
2012-11-22,285.15,289.95,285.15,287.5,11189,287.5
2012-11-21,290,292.45,280.3,288.5,6714,287.3
2012-11-20,288.6,292,287.5,290,14190,290
2012-11-19,293,293,286.45,290.3,11356,290.05
2012-11-16,289.8,292.9,288.05,291.75,114408,291.1
2012-11-15,288,292.8,288,290,18677,289.5
2012-11-13,294,295,289.5,291,9837,293.7
2012-11-12,284,296.9,284,288.5,38054,293
2012-11-09,287.45,289.15,284.75,285,21382,285
2012-11-08,281.55,286.75,278.7,285,43339,285.4
2012-11-07,281.6,287.6,281.55,282.2,13244,283.55
2012-11-06,281.1,286.95,280.55,286.25,10364,285.2
2012-11-05,292,294.9,279.95,283.5,22983,282.6
2012-11-02,291.05,293.3,285.2,286,90303,287
2012-11-01,290.2,293.9,289.95,291.2,11851,290.3
2012-10-31,290.05,293.85,288.8,291,16379,291.85
2012-10-30,291.25,296.5,289,290,20604,290.55
2012-10-29,302,302,277,292.5,91925,290.95
2012-10-26,298.9,299.7,294,298,38218,298.7
2012-10-25,294.9,296.5,292.05,295,13208,295.05
2012-10-23,290.05,295,288.25,292.5,15548,290.05
2012-10-22,295.05,299.4,288.15,288.6,49079,289.95
2012-10-19,294.85,299.7,293.05,296,52885,295.05
2012-10-18,294.4,296,290.25,293,86579,294.35
2012-10-17,292.8,295,286.8,292.7,21161,293.35
2012-10-16,290.1,296,289.6,290.05,65723,290.2
2012-10-15,280,287.5,280,286.1,34770,286.3
2012-10-12,275.05,281.15,274,280,64271,280.1
2012-10-11,273.1,278.85,272.3,277,32193,277.1
2012-10-10,277.85,280,273.8,275,17013,275.95
2012-10-09,274.1,280.5,274,274.5,45400,275.6
2012-10-08,276,277.8,273.1,274.9,11880,274.2
2012-10-05,278,281.15,269.5,276,217703,275.15
2012-10-04,282,282,276.15,276.15,228795,277.3
2012-10-03,281,284.45,277.2,277.5,149213,278.3
2012-10-01,285.05,285.05,280,281,41042,281.45
2012-09-28,280,284.9,280,282,11563,282.95
2012-09-27,285.8,285.9,280,280,527253,280.2
2012-09-26,284,288.9,282,283,469069,283
2012-09-25,281.05,287.5,281.05,286,10330,285.3
2012-09-24,285,285,278.15,284.1,621020,283.9
2012-09-21,285,285,279.1,279.1,84800,280
