Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,17.90,17.90,17.90,17.90,000,17.90
2012-12-24,18.25,18.50,17.80,17.90,13331400,17.90
2012-12-21,18.45,18.70,18.15,18.25,20871800,18.25
2012-12-20,18.80,19.20,18.45,18.65,36546800,18.65
2012-12-19,18.50,19.00,18.00,18.70,25241000,18.70
2012-12-18,18.95,19.15,18.30,18.50,16291000,18.50
2012-12-17,18.75,19.25,18.70,18.85,13822400,18.85
2012-12-14,18.40,18.85,18.35,18.65,14792200,18.65
2012-12-13,18.30,19.00,18.15,18.30,19191500,18.30
2012-12-12,18.50,18.55,18.05,18.30,7770600,18.30
2012-12-11,18.85,19.00,18.15,18.40,11563400,18.40
2012-12-10,18.80,19.15,18.65,18.70,9694300,18.70
2012-12-07,18.95,19.35,18.65,18.70,14281000,18.70
2012-12-06,19.25,19.25,18.70,19.05,16725400,19.05
2012-12-05,18.65,19.55,18.60,19.00,24055500,19.00
2012-12-04,19.70,19.70,18.65,18.85,25747400,18.85
2012-12-03,19.85,20.25,19.35,19.55,36863000,19.55
2012-11-30,18.90,20.40,18.75,19.55,97726700,19.55
2012-11-29,17.30,18.90,17.20,18.55,69000100,18.55
2012-11-28,17.10,17.10,17.10,17.10,000,17.10
2012-11-27,15.45,17.40,15.45,17.10,51476900,17.10
2012-11-26,15.30,15.65,15.20,15.45,10013400,15.45
2012-11-23,15.20,15.45,15.15,15.25,5270800,15.25
2012-11-22,15.35,15.50,15.20,15.25,5259500,15.25
2012-11-21,15.50,15.65,15.30,15.35,5478600,15.35
2012-11-20,15.55,16.00,15.40,15.50,11701600,15.50
2012-11-19,15.60,15.85,15.40,15.45,7363500,15.45
2012-11-16,15.60,15.80,15.35,15.45,8134700,15.45
2012-11-15,15.40,16.15,15.30,15.70,9131300,15.70
2012-11-14,15.30,15.30,15.30,15.30,000,15.30
2012-11-13,15.30,15.30,15.30,15.30,000,15.30
2012-11-12,15.30,15.50,15.05,15.30,7680200,15.30
2012-11-09,15.50,15.85,15.40,15.50,9825900,15.50
2012-11-08,15.55,15.65,15.40,15.55,5746800,15.55
2012-11-07,15.50,15.80,15.50,15.65,6087400,15.65
2012-11-06,15.40,15.75,15.40,15.60,5025800,15.60
2012-11-05,15.60,15.80,15.50,15.60,6045200,15.60
2012-11-02,15.85,16.05,15.50,15.65,8501400,15.65
2012-11-01,15.85,16.00,15.60,15.75,8666700,15.75
2012-10-31,15.90,15.90,15.65,15.80,7458000,15.80
2012-10-30,16.30,16.70,15.40,15.80,21960300,15.80
2012-10-29,15.60,16.10,15.25,15.90,11064700,15.90
2012-10-26,15.85,15.85,15.85,15.85,000,15.85
2012-10-25,15.45,16.05,15.20,15.85,24501300,15.85
2012-10-24,15.55,15.55,15.55,15.55,000,15.55
2012-10-23,16.00,16.10,15.45,15.55,17340200,15.55
2012-10-22,15.55,16.35,15.55,16.00,15504000,16.00
2012-10-19,15.85,15.85,15.50,15.65,7981000,15.65
2012-10-18,15.70,15.90,15.65,15.75,7643700,15.75
2012-10-17,15.95,16.00,15.50,15.65,9709200,15.65
2012-10-16,16.00,16.10,15.55,15.70,9576200,15.70
2012-10-15,15.90,16.25,15.75,15.90,13778300,15.90
2012-10-12,16.00,16.55,15.70,15.90,19839300,15.90
2012-10-11,16.30,16.35,15.70,16.15,23086700,16.15
2012-10-10,17.00,17.00,16.50,16.55,9153300,16.55
2012-10-09,17.45,17.70,17.05,17.15,6819400,17.15
2012-10-08,17.60,17.85,17.25,17.35,6529200,17.35
2012-10-05,18.00,18.20,17.30,17.55,8880200,17.55
2012-10-04,17.85,18.40,17.80,17.90,14356500,17.90
2012-10-03,17.95,18.15,17.60,17.75,9761200,17.75
2012-10-02,17.95,17.95,17.95,17.95,000,17.95
2012-10-01,18.00,18.10,17.40,17.95,19740800,17.95
2012-09-28,18.00,18.45,17.65,17.75,13883500,17.75
2012-09-27,18.10,18.35,17.75,17.90,19085800,17.90
2012-09-26,18.40,18.80,17.90,18.00,19689200,18.00
2012-09-25,18.90,19.20,18.20,18.55,27885400,18.55
2012-09-24,17.40,18.95,17.30,18.50,38692400,18.50
2012-09-21,16.60,17.50,16.40,17.30,17460600,17.30
2012-09-20,17.00,17.00,16.25,16.50,12795000,16.50
2012-09-19,17.15,17.15,17.15,17.15,000,17.15
2012-09-18,16.75,17.50,16.65,17.15,13910600,17.15
2012-09-17,16.30,17.20,16.25,16.70,17062500,16.70
2012-09-14,16.20,16.50,15.95,16.10,16333200,16.10
2012-09-13,16.00,16.15,15.65,15.95,6984700,15.95
2012-09-12,15.40,16.00,15.40,15.90,9406500,15.90
2012-09-11,15.25,15.50,15.15,15.45,5096100,15.45
2012-09-10,15.25,15.40,15.20,15.30,4266600,15.30
2012-09-07,15.30,15.50,15.25,15.35,7968000,15.35
2012-09-06,15.00,15.45,15.00,15.20,7369300,15.20
2012-09-05,15.05,15.30,15.05,15.15,6459600,15.15
2012-09-04,15.20,15.40,15.10,15.25,8111100,15.25
2012-09-03,15.10,15.75,14.80,15.00,17975700,15.00
2012-08-31,14.95,15.20,14.75,15.00,12808700,15.00
2012-08-30,14.95,15.40,14.80,15.00,13062900,15.00
2012-08-29,15.05,15.25,14.80,14.95,14510400,14.95
2012-08-28,15.20,15.55,14.95,15.10,16346800,15.10
2012-08-27,16.05,16.25,15.20,15.30,21452800,15.30
2012-08-24,16.45,16.60,16.00,16.15,13602300,16.15
2012-08-23,16.50,16.75,16.40,16.55,7676400,16.55
2012-08-22,16.70,17.00,16.30,16.55,11874300,16.55
2012-08-21,16.80,17.10,16.65,16.80,8426700,16.80
2012-08-20,16.80,16.80,16.80,16.80,000,16.80
2012-08-17,17.00,17.30,16.65,16.80,9522700,16.80
2012-08-16,17.05,17.30,16.95,17.00,8273400,17.00
2012-08-15,17.00,17.00,17.00,17.00,000,17.00
2012-08-14,16.10,17.30,16.10,17.00,21883900,17.00
2012-08-13,17.30,17.95,17.30,17.70,11143400,17.70
2012-08-10,17.15,17.60,17.15,17.25,7034200,17.25
2012-08-09,17.55,17.70,17.05,17.20,11827400,17.20
2012-08-08,18.00,18.10,17.35,17.45,12489400,17.45
2012-08-07,18.00,18.15,17.80,17.90,9369800,17.90
2012-08-06,18.20,18.35,17.80,17.90,10949800,17.90
2012-08-03,18.25,18.35,17.75,17.90,12503700,17.90
2012-08-02,18.60,18.75,18.30,18.45,6344600,18.45
2012-08-01,18.50,18.95,18.40,18.60,15074800,18.60
2012-07-31,19.40,19.40,18.35,18.45,27113400,18.45
2012-07-30,17.40,19.25,17.25,19.10,36950900,19.10
2012-07-27,17.45,17.75,17.00,17.15,13612000,17.15
2012-07-26,17.45,17.85,17.10,17.25,20971800,17.25
2012-07-25,17.35,17.60,17.10,17.25,17188700,17.25
2012-07-24,17.50,17.80,17.15,17.55,13539800,17.55
2012-07-23,17.75,17.80,17.45,17.50,8775000,17.50
2012-07-20,18.00,18.15,17.80,17.90,7873000,17.90
2012-07-19,18.25,18.55,18.00,18.05,12179800,18.05
2012-07-18,18.00,18.35,17.85,18.15,9161500,18.15
2012-07-17,19.00,19.15,18.00,18.20,14796500,18.20
2012-07-16,19.20,19.50,18.80,18.95,10347200,18.95
2012-07-13,19.45,19.80,19.20,19.30,10112200,19.30
2012-07-12,19.55,19.75,19.25,19.40,13403100,19.40
2012-07-11,19.55,20.25,19.40,19.75,30035200,19.75
2012-07-10,19.30,19.70,19.30,19.55,11431100,19.55
2012-07-09,19.65,19.75,19.05,19.35,20885100,19.35
2012-07-06,19.30,19.95,19.05,19.75,32374500,19.75
2012-07-05,19.00,19.45,18.95,19.30,18996700,19.30
2012-07-04,18.95,19.35,18.80,19.05,17216900,19.05
2012-07-03,19.00,19.20,18.55,18.85,19838100,18.85
2012-07-02,18.80,19.05,18.25,18.90,20737000,18.90
2012-06-29,18.20,18.70,18.20,18.60,20716800,18.60
2012-06-28,18.20,18.65,17.80,17.95,28463300,17.95
2012-06-27,18.00,18.25,17.90,18.10,20575700,18.10
2012-06-26,17.85,18.10,17.60,17.90,16184700,17.90
2012-06-25,17.70,18.15,17.65,17.75,20809000,17.75
2012-06-22,17.40,17.50,17.25,17.40,11877700,17.40
2012-06-21,17.30,17.70,17.30,17.55,11874300,17.55
2012-06-20,17.30,17.65,17.30,17.45,7920500,17.45
2012-06-19,17.40,17.60,17.20,17.30,11977500,17.30
2012-06-18,18.00,18.15,17.35,17.60,18195600,17.60
2012-06-15,17.75,18.25,17.50,17.95,20365100,17.95
2012-06-14,17.95,18.05,17.55,17.70,13976800,17.70
2012-06-13,17.80,18.15,17.65,17.85,18080800,17.85
2012-06-12,18.05,18.10,17.65,17.80,30500500,17.80
2012-06-11,18.20,18.75,18.05,18.20,27660700,18.20
2012-06-08,18.05,18.55,17.75,18.00,28621200,18.00
2012-06-07,18.00,18.60,17.45,18.20,36400400,18.20
2012-06-06,17.35,17.85,17.30,17.55,22956400,17.55
2012-06-05,17.45,17.55,17.00,17.15,22336700,17.15
2012-06-04,17.40,17.70,17.00,17.25,20957800,17.25
2012-06-01,18.00,18.25,17.45,17.55,36917500,17.55
2012-05-31,19.45,19.50,17.75,17.90,100128700,17.90
2012-05-30,21.00,21.05,19.60,19.75,28131000,19.75
2012-05-29,21.05,21.40,20.60,21.00,23081200,21.00
