Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,484.95,484.95,484.95,484.95,000,484.95
2012-12-24,485.00,487.95,482.10,484.95,2800,484.95
2012-12-21,485.00,489.00,481.00,484.85,4600,484.85
2012-12-20,493.45,494.70,478.70,485.85,5400,485.85
2012-12-19,490.00,498.65,472.00,488.35,10800,488.35
2012-12-18,484.00,494.45,473.95,476.75,10800,476.75
2012-12-17,487.00,490.00,479.00,483.35,9200,483.35
2012-12-14,491.15,495.50,482.00,487.40,6200,487.40
2012-12-13,488.05,504.00,471.95,491.25,15600,491.25
2012-12-12,504.05,511.80,493.45,498.20,11300,498.20
2012-12-11,513.15,519.80,495.30,502.10,17500,502.10
2012-12-10,518.00,530.00,505.00,511.40,79600,511.40
2012-12-07,497.30,526.35,474.10,500.05,95400,500.05
2012-12-06,456.05,499.00,455.00,480.80,61600,480.80
2012-12-05,456.00,460.00,451.70,452.85,4600,452.85
2012-12-04,450.00,455.25,439.00,455.00,7200,455.00
2012-12-03,434.00,450.00,430.00,446.20,6300,446.20
2012-11-30,433.00,435.00,429.30,431.20,3100,431.20
2012-11-29,430.25,436.00,421.00,432.60,3400,432.60
2012-11-28,430.25,430.25,430.25,430.25,000,430.25
2012-11-27,436.00,439.25,428.00,430.25,4900,430.25
2012-11-26,439.90,439.90,430.00,432.80,5300,432.80
2012-11-23,425.00,435.00,425.00,431.90,6700,431.90
2012-11-22,429.90,432.00,426.05,430.05,1500,430.05
2012-11-21,420.05,429.90,420.05,429.85,5200,429.85
2012-11-20,431.50,434.95,420.00,421.45,2300,421.45
2012-11-19,441.95,442.00,429.85,431.20,1300,431.20
2012-11-16,447.00,447.00,431.20,441.95,3200,441.95
2012-11-15,445.00,449.55,440.00,444.85,4000,444.85
2012-11-14,430.60,430.60,430.60,430.60,000,430.60
2012-11-13,430.60,430.60,430.60,430.60,000,430.60
2012-11-12,431.10,439.95,428.55,430.60,1100,430.60
2012-11-09,434.40,434.40,427.00,428.85,1300,428.85
2012-11-08,422.15,432.90,422.15,426.35,900,426.35
2012-11-07,425.25,433.00,425.00,429.95,4300,429.95
2012-11-06,425.00,429.80,425.00,427.40,32400,427.40
2012-11-05,428.05,430.00,420.15,424.45,2000,424.45
2012-11-02,426.50,434.50,426.50,426.80,6400,426.80
2012-11-01,426.10,428.75,426.10,426.90,1400,426.90
